matrix_name,mode,gpu,A_probe_ms,C_build_ms,C_estimate_ms,C_probe_total_ms,lightgbm_decision_ms,csr2tile_ms,pipeline_overhead_ms
Chebyshev4,AA,A100,12.49,28.18,5.3,33.48,,,
Chebyshev4,AAT,A100,7.44,26.17,5.47,31.64,,,
Chebyshev4,AA,H200,12.49,28.18,5.3,33.48,,,
Chebyshev4,AAT,H200,7.44,26.17,5.47,31.64,,,
Ga10As10H30,AA,A100,14.77,22.68,23.01,45.69,,,
Ga10As10H30,AA,H200,14.77,22.68,23.01,45.69,,,
Goodwin_071,AA,A100,4.11,5.19,2.86,8.05,,,
Goodwin_071,AAT,A100,4.0,6.91,2.96,9.87,,,
Goodwin_071,AA,H200,4.11,5.19,2.86,8.05,,,
Goodwin_071,AAT,H200,4.0,6.91,2.96,9.87,,,
Goodwin_095,AA,A100,6.92,7.54,5.03,12.57,0.244,26.62,46.35
Goodwin_095,AAT,A100,6.9,9.32,4.52,13.84,0.244,26.6,47.58
Goodwin_095,AA,H200,6.92,7.54,5.03,12.57,,,
Goodwin_095,AAT,H200,6.9,9.32,4.52,13.84,,,
Kuu,AA,A100,1.11,2.92,10.44,13.36,,,
Kuu,AA,H200,1.11,2.92,10.44,13.36,,,
PR02R,AA,A100,12.76,13.05,4.33,17.38,,,
PR02R,AAT,A100,12.98,16.15,4.18,20.33,,,
PR02R,AA,H200,12.76,13.05,4.33,17.38,,,
PR02R,AAT,H200,12.98,16.15,4.18,20.33,,,
SiO2,AA,A100,22.24,30.2,38.3,68.5,,,
SiO2,AA,H200,22.24,30.2,38.3,68.5,,,
TSOPF_FS_b300,AA,A100,8.01,15.2,4.24,19.44,,,
TSOPF_FS_b300,AA,H200,8.01,15.2,4.24,19.44,,,
TSOPF_FS_b300_c1,AA,A100,7.49,19.51,4.22,23.73,,,
TSOPF_FS_b300_c1,AA,H200,7.49,19.51,4.22,23.73,,,
TSOPF_FS_b300_c2,AA,A100,14.39,34.48,20.17,54.65,0.244,915.76,985.04
TSOPF_FS_b300_c2,AA,H200,14.39,34.48,20.17,54.65,,,
a0nsdsil,AA,A100,4.74,3.48,9.14,12.62,,,
a0nsdsil,AA,H200,4.74,3.48,9.14,12.62,,,
a2nnsnsl,AA,A100,4.36,3.58,11.08,14.66,,,
a2nnsnsl,AA,H200,4.36,3.58,11.08,14.66,,,
a5esindl,AA,A100,3.32,2.55,9.57,12.12,,,
a5esindl,AA,H200,3.32,2.55,9.57,12.12,,,
af_shell10,AA,A100,55.38,46.97,32.28,79.25,0.244,2347.4,2482.27
af_shell10,AA,H200,55.38,46.97,32.28,79.25,,,
bbmat,AA,A100,3.51,5.32,3.08,8.4,,,
bbmat,AAT,A100,4.5,10.6,2.37,12.97,,,
bbmat,AA,H200,3.51,5.32,3.08,8.4,,,
bbmat,AAT,H200,4.5,10.6,2.37,12.97,,,
bcsstk30,AA,A100,4.16,6.7,2.56,9.26,,,
bcsstk30,AA,H200,4.16,6.7,2.56,9.26,,,
bcsstk36,AA,A100,3.02,5.09,1.77,6.86,,,
bcsstk36,AA,H200,3.02,5.09,1.77,6.86,,,
bundle1,AA,A100,1.95,9.58,2.38,11.96,,,
bundle1,AA,H200,1.95,9.58,2.38,11.96,,,
c-43,AA,A100,1.36,1.52,5.91,7.43,,,
c-43,AA,H200,1.36,1.52,5.91,7.43,,,
cant,AA,A100,8.08,8.72,4.4,13.12,,,
cant,AA,H200,8.08,8.72,4.4,13.12,,,
cegb2802,AA,A100,0.77,2.33,8.63,10.96,,,
cegb2802,AA,H200,0.77,2.33,8.63,10.96,,,
cegb2919,AA,A100,0.87,2.88,5.11,7.99,,,
cegb2919,AA,H200,0.87,2.88,5.11,7.99,,,
circuit_1,AA,A100,0.99,0.52,3.51,4.03,,,
circuit_1,AAT,A100,1.04,0.57,5.19,5.76,,,
circuit_1,AA,H200,0.99,0.52,3.51,4.03,,,
circuit_1,AAT,H200,1.04,0.57,5.19,5.76,,,
conf5_4-8x8-05,AA,A100,5.18,6.6,3.66,10.26,,,
conf5_4-8x8-05,AAT,A100,5.34,6.16,3.72,9.88,,,
conf5_4-8x8-05,AA,H200,5.18,6.6,3.66,10.26,,,
conf5_4-8x8-05,AAT,H200,5.34,6.16,3.72,9.88,,,
consph,AA,A100,8.47,12.79,4.56,17.35,,,
consph,AA,H200,8.47,12.79,4.56,17.35,,,
cop20k_A,AA,A100,19.31,17.4,27.39,44.79,,,
cop20k_A,AA,H200,19.31,17.4,27.39,44.79,,,
crplat2,AA,A100,1.68,2.35,1.32,3.67,,,
crplat2,AA,H200,1.68,2.35,1.32,3.67,,,
dc1,AA,A100,6.12,10.27,130.99,141.26,,,
dc1,AAT,A100,5.98,10.79,133.23,144.02,,,
dc1,AA,H200,6.12,10.27,130.99,141.26,,,
dc1,AAT,H200,5.98,10.79,133.23,144.02,,,
dc2,AA,A100,5.94,5.68,156.28,161.96,,,
dc2,AAT,A100,5.76,9.43,132.91,142.34,,,
dc2,AA,H200,5.94,5.68,156.28,161.96,,,
dc2,AAT,H200,5.76,9.43,132.91,142.34,,,
dc3,AA,A100,5.95,8.11,131.63,139.74,,,
dc3,AAT,A100,6.43,9.25,119.2,128.45,,,
dc3,AA,H200,5.95,8.11,131.63,139.74,,,
dc3,AAT,H200,6.43,9.25,119.2,128.45,,,
fem_filter,AA,A100,6.43,10.93,7.85,18.78,,,
fem_filter,AAT,A100,6.29,12.96,8.8,21.76,,,
fem_filter,AA,H200,6.43,10.93,7.85,18.78,,,
fem_filter,AAT,H200,6.29,12.96,8.8,21.76,,,
g3rmt3m3,AA,A100,0.73,1.82,2.36,4.18,,,
g3rmt3m3,AA,H200,0.73,1.82,2.36,4.18,,,
gupta3,AA,A100,21.31,45.27,17.12,62.39,0.244,281.54,365.48
gupta3,AA,H200,21.31,45.27,17.12,62.39,,,
hangGlider_3,AA,A100,1.15,0.89,5.69,6.58,,,
hangGlider_3,AA,H200,1.15,0.89,5.69,6.58,,,
hangGlider_4,AA,A100,1.45,1.5,6.99,8.49,0.244,41.69,51.87
hangGlider_4,AA,H200,1.45,1.5,6.99,8.49,,,
hangGlider_5,AA,A100,1.43,1.62,5.38,7.0,,,
hangGlider_5,AA,H200,1.43,1.62,5.38,7.0,,,
heart3,AA,A100,0.94,7.8,1.21,9.01,0.244,39.27,49.46
heart3,AAT,A100,0.94,6.21,1.01,7.22,0.244,103.03,111.43
heart3,AA,H200,0.94,7.8,1.21,9.01,,,
heart3,AAT,H200,0.94,6.21,1.01,7.22,,,
human_gene2,AA,A100,18.26,56.08,379.81,435.89,,,
human_gene2,AA,H200,18.26,56.08,379.81,435.89,,,
imagesensor,AA,A100,7.91,8.43,7.65,16.08,,,
imagesensor,AAT,A100,7.92,11.74,5.55,17.29,,,
imagesensor,AA,H200,7.91,8.43,7.65,16.08,,,
imagesensor,AAT,H200,7.92,11.74,5.55,17.29,,,
lowThrust_5,AA,A100,1.33,2.19,4.13,6.32,,,
lowThrust_5,AA,H200,1.33,2.19,4.13,6.32,,,
lowThrust_9,AA,A100,1.49,2.42,4.65,7.07,,,
lowThrust_9,AA,H200,1.49,2.42,4.65,7.07,,,
m_t1,AA,A100,11.43,18.74,4.66,23.4,,,
m_t1,AA,H200,11.43,18.74,4.66,23.4,,,
mac_econ_fwd500,AA,A100,11.77,13.82,7.42,21.24,,,
