# Matrix: ABACUS_shell_ud_M
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.001-0.01/ABACUS_shell_ud_M.mtx
# Category: 10k-50k-0.001-0.01
# Date: 2026-03-05 22:50:45
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 23412
# Cols: 23412
# NNZ(A): 206474
# NNZ(C) estimate: 1827088
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.12      0.76      0.67      0.53      2.09         1.75      | 156296   0        0        9291     0        | 1      213552         565498       -       
8      8      1      1/8    | 0.12      0.74      0.67      0.51      2.04         1.79      | 156296   0        0        9291     0        | 8      213552         565498       -       
8      8      2      2/8    | 0.12      0.76      0.63      0.50      2.02         1.81      | 156296   0        7202     2089     0        | 16     213552         565498       -       
8      8      3      3/8    | 0.11      0.74      0.60      0.49      1.95         1.88      | 156296   0        8790     501      0        | 24     213552         565498       -       
8      8      4      4/8    | 0.12      0.77      0.61      0.53      2.03         1.80      | 156296   0        9228     63       0        | 32     213552         565498       -       
8      8      5      5/8    | 0.11      0.73      0.60      0.50      1.95         1.87      | 156296   0        9290     1        0        | 40     213552         565498       -       
8      8      6      6/8    | 0.12      0.74      0.60      0.50      1.98         1.85      | 156296   0        9291     0        0        | 48     213552         565498       -       
8      8      7      7/8    | 0.12      0.76      0.60      0.51      2.00         1.83      | 156296   0        9291     0        0        | 56     213552         565498       -       
8      8      8      8/8    | 0.11      0.73      0.60      0.48      1.93         1.89      | 156296   0        9291     0        0        | 64     213552         565498       -       
8      16     0      0/8    | 0.10      0.68      0.63      0.49      1.91         1.91      | 156296   0        0        9291     0        | 1      220981         565498       -       
8      16     1      1/8    | 0.10      0.68      0.63      0.48      1.91         1.92      | 156296   0        0        9291     0        | 8      220981         565498       -       
8      16     2      2/8    | 0.12      0.72      0.58      0.52      1.96         1.87      | 156296   0        7202     2089     0        | 16     220981         565498       -       
8      16     3      3/8    | 0.11      0.70      0.55      0.51      1.87         1.95      | 156296   0        8790     501      0        | 24     220981         565498       -       
8      16     4      4/8    | 0.12      0.72      0.54      0.51      1.90         1.92      | 156296   0        9228     63       0        | 32     220981         565498       -       
8      16     5      5/8    | 0.11      0.71      0.53      0.49      1.86         1.97      | 156296   0        9290     1        0        | 40     220981         565498       -       
8      16     6      6/8    | 0.12      0.71      0.53      0.53      1.91         1.91      | 156296   0        9291     0        0        | 48     220981         565498       -       
8      16     7      7/8    | 0.11      0.73      0.53      0.50      1.89         1.93      | 156296   0        9291     0        0        | 56     220981         565498       -       
8      16     8      8/8    | 0.12      0.71      0.53      0.53      1.90         1.92      | 156296   0        9291     0        0        | 64     220981         565498       -       
8      32     0      0/8    | 0.11      0.73      0.56      0.55      1.95         1.87      | 156296   0        0        9291     0        | 1      230427         565498       -       
8      32     1      1/8    | 0.10      0.70      0.56      0.54      1.92         1.91      | 156296   0        0        9291     0        | 8      230427         565498       -       
8      32     2      2/8    | 0.11      0.72      0.47      0.54      1.86         1.97      | 156296   0        7202     2089     0        | 16     230427         565498       -       
8      32     3      3/8    | 0.12      0.75      0.44      0.56      1.87         1.95      | 156296   0        8790     501      0        | 24     230427         565498       -       
8      32     4      4/8    | 0.12      0.74      0.40      0.57      1.85         1.97      | 156296   0        9228     63       0        | 32     230427         565498       -       
8      32     5      5/8    | 0.11      0.75      0.38      0.55      1.80         2.03      | 156296   0        9290     1        0        | 40     230427         565498       -       
8      32     6      6/8    | 0.12      0.75      0.38      0.57      1.83         1.99      | 156296   0        9291     0        0        | 48     230427         565498       -       
8      32     7      7/8    | 0.11      0.73      0.38      0.56      1.79         2.04      | 156296   0        9291     0        0        | 56     230427         565498       -       
8      32     8      8/8    | 0.10      0.72      0.38      0.54      1.75         2.09      | 156296   0        9291     0        0        | 64     230427         565498       -       
16     8      0      0/8    | 0.11      0.63      0.49      0.34      1.58         2.31      | 51474    0        0        1865     0        | 1      59585          565498       -       
16     8      1      1/8    | 0.11      0.63      0.48      0.37      1.61         2.27      | 51474    0        0        1865     0        | 32     59585          565498       -       
16     8      2      2/8    | 0.11      0.61      0.47      0.35      1.55         2.36      | 51474    0        1800     65       0        | 64     59585          565498       -       
16     8      3      3/8    | 0.11      0.63      0.48      0.37      1.60         2.28      | 51474    0        1857     8        0        | 96     59585          565498       -       
16     8      4      4/8    | 0.10      0.60      0.47      0.35      1.54         2.38      | 51474    0        1864     1        0        | 128    59585          565498       -       
16     8      5      5/8    | 0.12      0.62      0.47      0.36      1.58         2.31      | 51474    0        1865     0        0        | 160    59585          565498       -       
16     8      6      6/8    | 0.11      0.61      0.47      0.35      1.55         2.36      | 51474    0        1865     0        0        | 192    59585          565498       -       
16     8      7      7/8    | 0.10      0.62      0.47      0.35      1.56         2.34      | 51474    0        1865     0        0        | 224    59585          565498       -       
16     8      8      8/8    | 0.10      0.63      0.47      0.34      1.55         2.36      | 51474    0        1865     0        0        | 256    59585          565498       -       
16     16     0      0/8    | 0.11      0.36      0.48      0.36      1.32         2.76      | 51474    0        0        1865     0        | 1      60931          565498       -       
16     16     1      1/8    | 0.10      0.36      0.48      0.36      1.31         2.79      | 51474    0        0        1865     0        | 32     60931          565498       -       
16     16     2      2/8    | 0.09      0.34      0.36      0.35      1.16         3.16      | 51474    0        1800     65       0        | 64     60931          565498       -       
16     16     3      3/8    | 0.09      0.35      0.33      0.34      1.12         3.27      | 51474    0        1857     8        0        | 96     60931          565498       -       
16     16     4      4/8    | 0.11      0.36      0.33      0.36      1.18         3.11      | 51474    0        1864     1        0        | 128    60931          565498       -       
16     16     5      5/8    | 0.10      0.36      0.33      0.35      1.15         3.17      | 51474    0        1865     0        0        | 160    60931          565498       -       
16     16     6      6/8    | 0.10      0.35      0.33      0.34      1.13         3.23      | 51474    0        1865     0        0        | 192    60931          565498       -       
16     16     7      7/8    | 0.11      0.35      0.33      0.35      1.15         3.18      | 51474    0        1865     0        0        | 224    60931          565498       -       
16     16     8      8/8    | 0.11      0.37      0.33      0.36      1.18         3.09      | 51474    0        1865     0        0        | 256    60931          565498       -       
16     32     0      0/8    | 0.10      0.28      0.45      0.39      1.22         3.00      | 51474    0        0        1865     0        | 1      62834          565498       -       
16     32     1      1/8    | 0.11      0.29      0.45      0.42      1.27         2.87      | 51474    0        0        1865     0        | 32     62834          565498       -       
16     32     2      2/8    | 0.10      0.28      0.32      0.40      1.11         3.28      | 51474    0        1800     65       0        | 64     62834          565498       -       
16     32     3      3/8    | 0.10      0.29      0.25      0.40      1.04         3.51      | 51474    0        1857     8        0        | 96     62834          565498       -       
16     32     4      4/8    | 0.10      0.29      0.21      0.42      1.03         3.53      | 51474    0        1864     1        0        | 128    62834          565498       -       
16     32     5      5/8    | 0.10      0.30      0.21      0.41      1.03         3.55      | 51474    0        1865     0        0        | 160    62834          565498       -       
16     32     6      6/8    | 0.11      0.28      0.22      0.42      1.03         3.53      | 51474    0        1865     0        0        | 192    62834          565498       -       
16     32     7      7/8    | 0.10      0.28      0.21      0.41      1.01         3.61      | 51474    0        1865     0        0        | 224    62834          565498       -       
16     32     8      8/8    | 0.11      0.28      0.21      0.40      1.01         3.61      | 51474    0        1865     0        0        | 256    62834          565498       -       
32     8      0      0/8    | 0.11      0.58      0.72      0.29      1.71         2.13      | 15803    0        0        115      0        | 1      16550          565498       -       
32     8      1      1/8    | 0.11      0.58      0.71      0.29      1.69         2.16      | 15803    0        0        115      0        | 128    16550          565498       -       
32     8      2      2/8    | 0.12      0.58      0.52      0.29      1.52         2.40      | 15803    0        112      3        0        | 256    16550          565498       -       
32     8      3      3/8    | 0.11      0.56      0.54      0.29      1.51         2.43      | 15803    0        115      0        0        | 384    16550          565498       -       
32     8      4      4/8    | 0.11      0.58      0.54      0.30      1.54         2.37      | 15803    0        115      0        0        | 512    16550          565498       -       
32     8      5      5/8    | 0.11      0.57      0.51      0.29      1.49         2.45      | 15803    0        115      0        0        | 640    16550          565498       -       
32     8      6      6/8    | 0.11      0.57      0.53      0.29      1.51         2.42      | 15803    0        115      0        0        | 768    16550          565498       -       
32     8      7      7/8    | 0.11      0.58      0.53      0.29      1.51         2.41      | 15803    0        115      0        0        | 896    16550          565498       -       
32     8      8      8/8    | 0.10      0.57      0.54      0.28      1.50         2.44      | 15803    0        115      0        0        | 1024   16550          565498       -       
32     16     0      0/8    | 0.10      0.33      0.56      0.34      1.33         2.75      | 15803    0        0        115      0        | 1      16756          565498       -       
32     16     1      1/8    | 0.10      0.34      0.57      0.34      1.37         2.67      | 15803    0        0        115      0        | 128    16756          565498       -       
32     16     2      2/8    | 0.09      0.34      0.37      0.33      1.15         3.19      | 15803    0        112      3        0        | 256    16756          565498       -       
32     16     3      3/8    | 0.09      0.34      0.36      0.33      1.14         3.22      | 15803    0        115      0        0        | 384    16756          565498       -       
32     16     4      4/8    | 0.10      0.33      0.37      0.33      1.14         3.19      | 15803    0        115      0        0        | 512    16756          565498       -       
32     16     5      5/8    | 0.10      0.33      0.36      0.34      1.15         3.18      | 15803    0        115      0        0        | 640    16756          565498       -       
32     16     6      6/8    | 0.10      0.34      0.37      0.34      1.15         3.17      | 15803    0        115      0        0        | 768    16756          565498       -       
32     16     7      7/8    | 0.11      0.35      0.36      0.35      1.18         3.11      | 15803    0        115      0        0        | 896    16756          565498       -       
32     16     8      8/8    | 0.10      0.35      0.36      0.34      1.16         3.16      | 15803    0        115      0        0        | 1024   16756          565498       -       
32     32     0      0/8    | 0.08      0.25      0.31      0.29      0.93         3.92      | 15803    0        0        115      0        | 1      17096          565498       -       
32     32     1      1/8    | 0.10      0.26      0.30      0.31      0.99         3.67      | 15803    0        0        115      0        | 128    17096          565498       -       
32     32     2      2/8    | 0.10      0.26      0.22      0.29      0.88         4.17      | 15803    0        112      3        0        | 256    17096          565498       -       
32     32     3      3/8    | 0.09      0.26      0.21      0.29      0.86         4.22      | 15803    0        115      0        0        | 384    17096          565498       -       
32     32     4      4/8    | 0.09      0.26      0.21      0.30      0.87         4.19      | 15803    0        115      0        0        | 512    17096          565498       -       
32     32     5      5/8    | 0.09      0.25      0.21      0.28      0.84         4.36      | 15803    0        115      0        0        | 640    17096          565498       -       
32     32     6      6/8    | 0.10      0.27      0.21      0.30      0.88         4.16      | 15803    0        115      0        0        | 768    17096          565498       -       
32     32     7      7/8    | 0.10      0.26      0.21      0.30      0.88         4.13      | 15803    0        115      0        0        | 896    17096          565498       -       
32     32     8      8/8    | 0.10      0.26      0.21      0.31      0.90         4.08      | 15803    0        115      0        0        | 1024   17096          565498       -       
