# Matrix: Fashion_MNIST_norm_10NN
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.001-0.01/Fashion_MNIST_norm_10NN.mtx
# Category: 10k-50k-0.001-0.01
# Date: 2026-03-05 23:47:20
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 10000
# Cols: 10000
# NNZ(A): 158304
# NNZ(C) estimate: 3137084
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.48      6.58      4.31      0.85      12.22        0.51      | 906817   0        0        415      0        | 1      1562408        1378968      -       
8      8      1      1/8    | 0.48      6.57      4.30      0.83      12.20        0.51      | 906817   0        0        415      0        | 8      1562408        1378968      -       
8      8      2      2/8    | 0.48      6.57      4.27      0.85      12.19        0.51      | 906817   0        413      2        0        | 16     1562408        1378968      -       
8      8      3      3/8    | 0.49      6.67      4.28      0.88      12.33        0.51      | 906817   0        415      0        0        | 24     1562408        1378968      -       
8      8      4      4/8    | 0.48      6.59      4.30      0.86      12.24        0.51      | 906817   0        415      0        0        | 32     1562408        1378968      -       
8      8      5      5/8    | 0.49      6.63      4.29      0.85      12.28        0.51      | 906817   0        415      0        0        | 40     1562408        1378968      -       
8      8      6      6/8    | 0.48      6.57      4.29      0.85      12.20        0.51      | 906817   0        415      0        0        | 48     1562408        1378968      -       
8      8      7      7/8    | 0.49      6.67      4.29      0.87      12.34        0.51      | 906817   0        415      0        0        | 56     1562408        1378968      -       
8      8      8      8/8    | 0.48      6.61      4.29      0.86      12.24        0.51      | 906817   0        415      0        0        | 64     1562408        1378968      -       
8      16     0      0/8    | 0.53      9.25      7.99      0.88      18.65        0.34      | 906817   0        0        415      0        | 1      1562500        1378968      -       
8      16     1      1/8    | 0.53      9.22      7.97      0.83      18.55        0.34      | 906817   0        0        415      0        | 8      1562500        1378968      -       
8      16     2      2/8    | 0.52      9.28      7.94      0.81      18.55        0.34      | 906817   0        413      2        0        | 16     1562500        1378968      -       
8      16     3      3/8    | 0.52      9.21      7.94      0.81      18.49        0.34      | 906817   0        415      0        0        | 24     1562500        1378968      -       
8      16     4      4/8    | 0.51      9.18      7.95      0.79      18.44        0.34      | 906817   0        415      0        0        | 32     1562500        1378968      -       
8      16     5      5/8    | 0.51      9.21      7.97      0.79      18.50        0.34      | 906817   0        415      0        0        | 40     1562500        1378968      -       
8      16     6      6/8    | 0.52      9.20      7.94      0.81      18.48        0.34      | 906817   0        415      0        0        | 48     1562500        1378968      -       
8      16     7      7/8    | 0.52      9.15      7.96      0.82      18.47        0.34      | 906817   0        415      0        0        | 56     1562500        1378968      -       
8      16     8      8/8    | 0.53      9.27      7.94      0.86      18.60        0.34      | 906817   0        415      0        0        | 64     1562500        1378968      -       
8      32     0      0/8    | 0.62      17.44     23.92     0.89      42.89        0.15      | 906817   0        0        415      0        | 1      1562500        1378968      -       
8      32     1      1/8    | 0.62      17.42     23.73     0.87      42.66        0.15      | 906817   0        0        415      0        | 8      1562500        1378968      -       
8      32     2      2/8    | 0.61      17.50     23.84     0.87      42.83        0.15      | 906817   0        413      2        0        | 16     1562500        1378968      -       
8      32     3      3/8    | 0.62      17.45     23.81     0.86      42.75        0.15      | 906817   0        415      0        0        | 24     1562500        1378968      -       
8      32     4      4/8    | 0.61      17.39     23.84     0.88      42.73        0.15      | 906817   0        415      0        0        | 32     1562500        1378968      -       
8      32     5      5/8    | 0.63      17.48     23.80     0.89      42.82        0.15      | 906817   0        415      0        0        | 40     1562500        1378968      -       
8      32     6      6/8    | 0.61      17.53     23.84     0.86      42.85        0.15      | 906817   0        415      0        0        | 48     1562500        1378968      -       
8      32     7      7/8    | 0.63      17.45     23.81     0.90      42.80        0.15      | 906817   0        415      0        0        | 56     1562500        1378968      -       
8      32     8      8/8    | 0.62      17.44     23.77     0.87      42.72        0.15      | 906817   0        415      0        0        | 64     1562500        1378968      -       
16     8      0      0/8    | 0.61      9.98      17.06     0.76      28.41        0.22      | 377369   0        0        0        0        | 1      390625         1378968      -       
16     8      1      1/8    | 0.59      9.97      17.03     0.73      28.34        0.22      | 377369   0        0        0        0        | 32     390625         1378968      -       
16     8      2      2/8    | 0.60      9.98      17.05     0.79      28.43        0.22      | 377369   0        0        0        0        | 64     390625         1378968      -       
16     8      3      3/8    | 0.59      10.00     17.05     0.74      28.39        0.22      | 377369   0        0        0        0        | 96     390625         1378968      -       
16     8      4      4/8    | 0.59      10.22     17.17     0.73      28.71        0.22      | 377369   0        0        0        0        | 128    390625         1378968      -       
16     8      5      5/8    | 0.59      10.06     17.11     0.74      28.52        0.22      | 377369   0        0        0        0        | 160    390625         1378968      -       
16     8      6      6/8    | 0.59      9.96      17.09     0.73      28.37        0.22      | 377369   0        0        0        0        | 192    390625         1378968      -       
16     8      7      7/8    | 0.59      9.96      17.04     0.74      28.34        0.22      | 377369   0        0        0        0        | 224    390625         1378968      -       
16     8      8      8/8    | 0.61      10.04     17.03     0.79      28.47        0.22      | 377369   0        0        0        0        | 256    390625         1378968      -       
16     16     0      0/8    | 0.58      10.48     17.79     0.76      29.62        0.21      | 377369   0        0        0        0        | 1      390625         1378968      -       
16     16     1      1/8    | 0.59      10.56     17.82     0.77      29.75        0.21      | 377369   0        0        0        0        | 32     390625         1378968      -       
16     16     2      2/8    | 0.59      10.63     17.81     0.77      29.81        0.21      | 377369   0        0        0        0        | 64     390625         1378968      -       
16     16     3      3/8    | 0.58      10.55     17.82     0.74      29.70        0.21      | 377369   0        0        0        0        | 96     390625         1378968      -       
16     16     4      4/8    | 0.58      10.51     17.88     0.73      29.72        0.21      | 377369   0        0        0        0        | 128    390625         1378968      -       
16     16     5      5/8    | 0.58      10.51     17.77     0.74      29.61        0.21      | 377369   0        0        0        0        | 160    390625         1378968      -       
16     16     6      6/8    | 0.59      10.55     17.86     0.76      29.78        0.21      | 377369   0        0        0        0        | 192    390625         1378968      -       
16     16     7      7/8    | 0.58      10.49     17.86     0.76      29.70        0.21      | 377369   0        0        0        0        | 224    390625         1378968      -       
16     16     8      8/8    | 0.57      10.56     17.74     0.73      29.62        0.21      | 377369   0        0        0        0        | 256    390625         1378968      -       
16     32     0      0/8    | 0.69      10.51     17.08     0.74      29.03        0.22      | 377369   0        0        0        0        | 1      390625         1378968      -       
16     32     1      1/8    | 0.68      10.62     17.14     0.72      29.17        0.22      | 377369   0        0        0        0        | 32     390625         1378968      -       
16     32     2      2/8    | 0.82      10.55     17.09     0.73      29.21        0.21      | 377369   0        0        0        0        | 64     390625         1378968      -       
16     32     3      3/8    | 0.68      10.53     17.10     0.74      29.07        0.22      | 377369   0        0        0        0        | 96     390625         1378968      -       
16     32     4      4/8    | 0.68      10.50     17.09     0.73      29.02        0.22      | 377369   0        0        0        0        | 128    390625         1378968      -       
16     32     5      5/8    | 0.69      10.52     17.16     0.72      29.11        0.22      | 377369   0        0        0        0        | 160    390625         1378968      -       
16     32     6      6/8    | 0.68      10.57     17.08     0.72      29.07        0.22      | 377369   0        0        0        0        | 192    390625         1378968      -       
16     32     7      7/8    | 0.69      10.54     17.09     0.72      29.05        0.22      | 377369   0        0        0        0        | 224    390625         1378968      -       
16     32     8      8/8    | 0.69      10.60     17.18     0.79      29.27        0.21      | 377369   0        0        0        0        | 256    390625         1378968      -       
32     8      0      0/8    | 0.84      7.34      8.96      0.45      17.60        0.36      | 97969    0        0        0        0        | 1      97969          1378968      -       
32     8      1      1/8    | 0.84      7.27      9.01      0.45      17.59        0.36      | 97969    0        0        0        0        | 128    97969          1378968      -       
32     8      2      2/8    | 0.83      7.53      9.00      0.45      17.82        0.35      | 97969    0        0        0        0        | 256    97969          1378968      -       
32     8      3      3/8    | 0.84      7.32      9.04      0.45      17.66        0.36      | 97969    0        0        0        0        | 384    97969          1378968      -       
32     8      4      4/8    | 0.84      7.32      8.97      0.47      17.61        0.36      | 97969    0        0        0        0        | 512    97969          1378968      -       
32     8      5      5/8    | 0.83      7.35      9.04      0.44      17.66        0.36      | 97969    0        0        0        0        | 640    97969          1378968      -       
32     8      6      6/8    | 0.83      7.27      9.06      0.44      17.62        0.36      | 97969    0        0        0        0        | 768    97969          1378968      -       
32     8      7      7/8    | 0.83      7.26      8.99      0.44      17.53        0.36      | 97969    0        0        0        0        | 896    97969          1378968      -       
32     8      8      8/8    | 0.83      7.28      8.99      0.43      17.55        0.36      | 97969    0        0        0        0        | 1024   97969          1378968      -       
32     16     0      0/8    | 0.60      7.54      8.68      0.43      17.27        0.36      | 97969    0        0        0        0        | 1      97969          1378968      -       
32     16     1      1/8    | 0.61      7.44      8.63      0.42      17.11        0.37      | 97969    0        0        0        0        | 128    97969          1378968      -       
32     16     2      2/8    | 0.57      7.53      8.70      0.42      17.22        0.36      | 97969    0        0        0        0        | 256    97969          1378968      -       
32     16     3      3/8    | 0.61      7.45      8.71      0.44      17.21        0.36      | 97969    0        0        0        0        | 384    97969          1378968      -       
32     16     4      4/8    | 0.63      7.45      8.65      0.42      17.16        0.37      | 97969    0        0        0        0        | 512    97969          1378968      -       
32     16     5      5/8    | 0.59      7.41      8.63      0.40      17.04        0.37      | 97969    0        0        0        0        | 640    97969          1378968      -       
32     16     6      6/8    | 0.62      7.51      8.71      0.40      17.25        0.36      | 97969    0        0        0        0        | 768    97969          1378968      -       
32     16     7      7/8    | 0.61      7.38      8.67      0.41      17.09        0.37      | 97969    0        0        0        0        | 896    97969          1378968      -       
32     16     8      8/8    | 0.57      7.60      8.66      0.43      17.27        0.36      | 97969    0        0        0        0        | 1024   97969          1378968      -       
32     32     0      0/8    | 0.61      6.42      7.55      0.42      15.01        0.42      | 97969    0        0        0        0        | 1      97969          1378968      -       
32     32     1      1/8    | 0.60      6.43      7.56      0.43      15.03        0.42      | 97969    0        0        0        0        | 128    97969          1378968      -       
