# Matrix: Ill_Stokes
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.001-0.01/Ill_Stokes.mtx
# Category: 10k-50k-0.001-0.01
# Date: 2026-03-06 00:00:56
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 20896
# Cols: 20896
# NNZ(A): 191368
# NNZ(C) estimate: 1804171
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.46      12.38     1.96      1.01      15.83        0.23      | 832554   0        0        4270     0        | 1      4723368        1053225      -       
8      8      1      1/8    | 0.46      12.31     1.96      1.00      15.74        0.23      | 832554   0        0        4270     0        | 8      4723368        1053225      -       
8      8      2      2/8    | 0.46      12.03     1.85      0.97      15.32        0.24      | 832554   0        4197     73       0        | 16     4723368        1053225      -       
8      8      3      3/8    | 0.45      12.11     1.85      0.98      15.41        0.23      | 832554   0        4261     9        0        | 24     4723368        1053225      -       
8      8      4      4/8    | 0.47      12.43     1.87      1.03      15.82        0.23      | 832554   0        4270     0        0        | 32     4723368        1053225      -       
8      8      5      5/8    | 0.46      12.28     1.86      1.01      15.62        0.23      | 832554   0        4270     0        0        | 40     4723368        1053225      -       
8      8      6      6/8    | 0.46      12.45     1.86      1.06      15.83        0.23      | 832554   0        4270     0        0        | 48     4723368        1053225      -       
8      8      7      7/8    | 0.47      12.41     1.86      1.00      15.75        0.23      | 832554   0        4270     0        0        | 56     4723368        1053225      -       
8      8      8      8/8    | 0.46      12.39     1.85      1.02      15.75        0.23      | 832554   0        4270     0        0        | 64     4723368        1053225      -       
8      16     0      0/8    | 0.65      16.12     2.40      1.00      20.18        0.18      | 832554   0        0        4270     0        | 1      6229535        1053225      -       
8      16     1      1/8    | 0.65      16.05     2.40      0.97      20.08        0.18      | 832554   0        0        4270     0        | 8      6229535        1053225      -       
8      16     2      2/8    | 0.63      15.97     2.29      0.97      19.88        0.18      | 832554   0        4197     73       0        | 16     6229535        1053225      -       
8      16     3      3/8    | 0.64      15.93     2.35      0.99      19.92        0.18      | 832554   0        4261     9        0        | 24     6229535        1053225      -       
8      16     4      4/8    | 0.64      16.40     2.30      1.03      20.38        0.18      | 832554   0        4270     0        0        | 32     6229535        1053225      -       
8      16     5      5/8    | 0.64      16.11     2.35      1.01      20.13        0.18      | 832554   0        4270     0        0        | 40     6229535        1053225      -       
8      16     6      6/8    | 0.65      15.97     2.29      0.97      19.90        0.18      | 832554   0        4270     0        0        | 48     6229535        1053225      -       
8      16     7      7/8    | 0.64      16.42     2.29      1.02      20.39        0.18      | 832554   0        4270     0        0        | 56     6229535        1053225      -       
8      16     8      8/8    | 0.65      16.16     2.28      1.01      20.11        0.18      | 832554   0        4270     0        0        | 64     6229535        1053225      -       
8      32     0      0/8    | 0.72      17.48     2.87      1.08      22.17        0.16      | 832554   0        0        4270     0        | 1      6756420        1053225      -       
8      32     1      1/8    | 0.71      17.79     2.87      1.09      22.48        0.16      | 832554   0        0        4270     0        | 8      6756420        1053225      -       
8      32     2      2/8    | 0.72      17.57     2.72      1.09      22.12        0.16      | 832554   0        4197     73       0        | 16     6756420        1053225      -       
8      32     3      3/8    | 0.73      17.55     2.71      1.08      22.08        0.16      | 832554   0        4261     9        0        | 24     6756420        1053225      -       
8      32     4      4/8    | 0.71      17.52     2.60      1.07      21.92        0.16      | 832554   0        4270     0        0        | 32     6756420        1053225      -       
8      32     5      5/8    | 0.72      17.37     2.61      1.07      21.78        0.17      | 832554   0        4270     0        0        | 40     6756420        1053225      -       
8      32     6      6/8    | 0.71      17.42     2.60      1.06      21.80        0.17      | 832554   0        4270     0        0        | 48     6756420        1053225      -       
8      32     7      7/8    | 0.72      17.58     2.60      1.06      21.97        0.16      | 832554   0        4270     0        0        | 56     6756420        1053225      -       
8      32     8      8/8    | 0.71      17.30     2.61      1.06      21.70        0.17      | 832554   0        4270     0        0        | 64     6756420        1053225      -       
16     8      0      0/8    | 0.36      5.63      2.80      0.87      9.67         0.37      | 660873   0        0        28       0        | 1      1685499        1053225      -       
16     8      1      1/8    | 0.36      5.76      2.78      0.90      9.82         0.37      | 660873   0        0        28       0        | 32     1685499        1053225      -       
16     8      2      2/8    | 0.36      5.70      2.87      0.89      9.84         0.37      | 660873   0        28       0        0        | 64     1685499        1053225      -       
16     8      3      3/8    | 0.35      5.65      2.81      0.87      9.69         0.37      | 660873   0        28       0        0        | 96     1685499        1053225      -       
16     8      4      4/8    | 0.37      5.76      2.80      0.90      9.84         0.37      | 660873   0        28       0        0        | 128    1685499        1053225      -       
16     8      5      5/8    | 0.37      5.70      2.81      0.89      9.78         0.37      | 660873   0        28       0        0        | 160    1685499        1053225      -       
16     8      6      6/8    | 0.36      5.71      2.82      0.87      9.77         0.37      | 660873   0        28       0        0        | 192    1685499        1053225      -       
16     8      7      7/8    | 0.36      5.65      2.82      0.89      9.72         0.37      | 660873   0        28       0        0        | 224    1685499        1053225      -       
16     8      8      8/8    | 0.35      5.62      2.82      0.88      9.69         0.37      | 660873   0        28       0        0        | 256    1685499        1053225      -       
16     16     0      0/8    | 0.46      6.75      3.35      0.84      11.42        0.32      | 660873   0        0        28       0        | 1      1705264        1053225      -       
16     16     1      1/8    | 0.46      6.74      3.36      0.85      11.42        0.32      | 660873   0        0        28       0        | 32     1705264        1053225      -       
16     16     2      2/8    | 0.46      6.75      3.33      0.85      11.40        0.32      | 660873   0        28       0        0        | 64     1705264        1053225      -       
16     16     3      3/8    | 0.46      6.75      3.31      0.85      11.38        0.32      | 660873   0        28       0        0        | 96     1705264        1053225      -       
16     16     4      4/8    | 0.46      6.80      3.32      0.86      11.45        0.32      | 660873   0        28       0        0        | 128    1705264        1053225      -       
16     16     5      5/8    | 0.46      6.76      3.32      0.84      11.39        0.32      | 660873   0        28       0        0        | 160    1705264        1053225      -       
16     16     6      6/8    | 0.46      6.71      3.31      0.85      11.34        0.32      | 660873   0        28       0        0        | 192    1705264        1053225      -       
16     16     7      7/8    | 0.46      6.70      3.31      0.85      11.34        0.32      | 660873   0        28       0        0        | 224    1705264        1053225      -       
16     16     8      8/8    | 0.47      6.86      3.32      0.89      11.55        0.31      | 660873   0        28       0        0        | 256    1705264        1053225      -       
16     32     0      0/8    | 0.45      9.21      5.16      0.94      15.78        0.23      | 660873   0        0        28       0        | 1      1705636        1053225      -       
