# Matrix: LF10000_M
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.001-0.01/LF10000_M.mtx
# Category: 10k-50k-0.001-0.01
# Date: 2026-03-06 00:11:30
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 19998
# Cols: 19998
# NNZ(A): 99982
# NNZ(C) estimate: 499882
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.08      0.09      0.04      0.23      0.46         2.18      | 0        0        0        7498     0        | 1      12494          199954       -       
8      8      1      1/8    | 0.10      0.09      0.04      0.26      0.51         1.97      | 0        0        0        7498     0        | 8      12494          199954       -       
8      8      2      2/8    | 0.09      0.09      0.04      0.25      0.48         2.08      | 0        0        4998     2500     0        | 16     12494          199954       -       
8      8      3      3/8    | 0.08      0.09      0.04      0.23      0.45         2.22      | 0        0        4998     2500     0        | 24     12494          199954       -       
8      8      4      4/8    | 0.10      0.10      0.05      0.26      0.51         1.97      | 0        0        4998     2500     0        | 32     12494          199954       -       
8      8      5      5/8    | 0.09      0.10      0.04      0.24      0.49         2.05      | 0        0        4999     2499     0        | 40     12494          199954       -       
8      8      6      6/8    | 0.08      0.09      0.04      0.23      0.45         2.22      | 0        0        4999     2499     0        | 48     12494          199954       -       
8      8      7      7/8    | 0.09      0.09      0.04      0.24      0.47         2.14      | 0        0        7498     0        0        | 56     12494          199954       -       
8      8      8      8/8    | 0.08      0.09      0.04      0.23      0.45         2.22      | 0        0        7498     0        0        | 64     12494          199954       -       
8      16     0      0/8    | 0.09      0.10      0.05      0.18      0.41         2.41      | 0        0        0        7498     0        | 1      14990          199954       -       
8      16     1      1/8    | 0.11      0.10      0.05      0.19      0.46         2.16      | 0        0        0        7498     0        | 8      14990          199954       -       
8      16     2      2/8    | 0.10      0.09      0.04      0.18      0.42         2.36      | 0        0        4998     2500     0        | 16     14990          199954       -       
8      16     3      3/8    | 0.10      0.09      0.04      0.17      0.42         2.38      | 0        0        4998     2500     0        | 24     14990          199954       -       
8      16     4      4/8    | 0.10      0.09      0.05      0.19      0.45         2.23      | 0        0        4998     2500     0        | 32     14990          199954       -       
8      16     5      5/8    | 0.10      0.09      0.04      0.18      0.42         2.37      | 0        0        4999     2499     0        | 40     14990          199954       -       
8      16     6      6/8    | 0.10      0.09      0.05      0.19      0.44         2.28      | 0        0        4999     2499     0        | 48     14990          199954       -       
8      16     7      7/8    | 0.09      0.09      0.04      0.18      0.41         2.47      | 0        0        7498     0        0        | 56     14990          199954       -       
8      16     8      8/8    | 0.11      0.10      0.04      0.20      0.46         2.16      | 0        0        7498     0        0        | 64     14990          199954       -       
8      32     0      0/8    | 0.10      0.11      0.06      0.18      0.46         2.16      | 0        0        0        7498     0        | 1      19982          199954       -       
8      32     1      1/8    | 0.10      0.12      0.06      0.20      0.48         2.07      | 0        0        0        7498     0        | 8      19982          199954       -       
8      32     2      2/8    | 0.09      0.11      0.06      0.18      0.44         2.25      | 0        0        4998     2500     0        | 16     19982          199954       -       
8      32     3      3/8    | 0.10      0.11      0.06      0.18      0.46         2.19      | 0        0        4998     2500     0        | 24     19982          199954       -       
8      32     4      4/8    | 0.10      0.11      0.06      0.19      0.48         2.10      | 0        0        4998     2500     0        | 32     19982          199954       -       
8      32     5      5/8    | 0.10      0.11      0.07      0.18      0.47         2.13      | 0        0        4999     2499     0        | 40     19982          199954       -       
8      32     6      6/8    | 0.10      0.11      0.06      0.18      0.46         2.17      | 0        0        4999     2499     0        | 48     19982          199954       -       
8      32     7      7/8    | 0.10      0.12      0.04      0.18      0.44         2.25      | 0        0        7498     0        0        | 56     19982          199954       -       
8      32     8      8/8    | 0.10      0.12      0.04      0.18      0.45         2.21      | 0        0        7498     0        0        | 64     19982          199954       -       
16     8      0      0/8    | 0.11      0.11      0.05      0.20      0.49         2.06      | 2498     0        0        1250     0        | 1      3748           199954       -       
16     8      1      1/8    | 0.10      0.10      0.05      0.18      0.44         2.26      | 2498     0        0        1250     0        | 32     3748           199954       -       
16     8      2      2/8    | 0.11      0.10      0.05      0.19      0.46         2.15      | 2498     0        0        1250     0        | 64     3748           199954       -       
16     8      3      3/8    | 0.09      0.10      0.05      0.18      0.43         2.34      | 2498     0        0        1250     0        | 96     3748           199954       -       
