# Matrix: LFAT5000_M
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.001-0.01/LFAT5000_M.mtx
# Category: 10k-50k-0.001-0.01
# Date: 2026-03-06 00:12:07
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 19994
# Cols: 19994
# NNZ(A): 79966
# NNZ(C) estimate: 339826
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.10      0.10      0.05      0.20      0.46         1.48      | 4999     0        0        7495     0        | 1      12494          149922       -       
8      8      1      1/8    | 0.09      0.09      0.05      0.18      0.43         1.58      | 4999     0        0        7495     0        | 8      12494          149922       -       
8      8      2      2/8    | 0.08      0.08      0.05      0.17      0.39         1.73      | 4999     0        0        7495     0        | 16     12494          149922       -       
8      8      3      3/8    | 0.08      0.08      0.04      0.17      0.38         1.79      | 4999     0        7495     0        0        | 24     12494          149922       -       
8      8      4      4/8    | 0.10      0.09      0.04      0.19      0.43         1.59      | 4999     0        7495     0        0        | 32     12494          149922       -       
8      8      5      5/8    | 0.09      0.09      0.04      0.18      0.40         1.71      | 4999     0        7495     0        0        | 40     12494          149922       -       
8      8      6      6/8    | 0.08      0.09      0.04      0.18      0.41         1.67      | 4999     0        7495     0        0        | 48     12494          149922       -       
8      8      7      7/8    | 0.09      0.10      0.04      0.18      0.42         1.63      | 4999     0        7495     0        0        | 56     12494          149922       -       
8      8      8      8/8    | 0.09      0.10      0.04      0.18      0.41         1.65      | 4999     0        7495     0        0        | 64     12494          149922       -       
8      16     0      0/8    | 0.10      0.10      0.05      0.19      0.45         1.52      | 4999     0        0        7495     0        | 1      14990          149922       -       
8      16     1      1/8    | 0.11      0.11      0.05      0.19      0.47         1.44      | 4999     0        0        7495     0        | 8      14990          149922       -       
8      16     2      2/8    | 0.10      0.11      0.06      0.21      0.49         1.39      | 4999     0        0        7495     0        | 16     14990          149922       -       
8      16     3      3/8    | 0.11      0.12      0.04      0.23      0.51         1.32      | 4999     0        7495     0        0        | 24     14990          149922       -       
8      16     4      4/8    | 0.09      0.10      0.04      0.18      0.42         1.62      | 4999     0        7495     0        0        | 32     14990          149922       -       
8      16     5      5/8    | 0.09      0.11      0.03      0.19      0.44         1.56      | 4999     0        7495     0        0        | 40     14990          149922       -       
8      16     6      6/8    | 0.09      0.09      0.03      0.19      0.41         1.64      | 4999     0        7495     0        0        | 48     14990          149922       -       
8      16     7      7/8    | 0.10      0.12      0.04      0.22      0.49         1.38      | 4999     0        7495     0        0        | 56     14990          149922       -       
8      16     8      8/8    | 0.09      0.10      0.04      0.19      0.42         1.63      | 4999     0        7495     0        0        | 64     14990          149922       -       
8      32     0      0/8    | 0.09      0.11      0.07      0.18      0.46         1.48      | 4999     0        0        7495     0        | 1      19982          149922       -       
8      32     1      1/8    | 0.12      0.13      0.07      0.21      0.53         1.28      | 4999     0        0        7495     0        | 8      19982          149922       -       
8      32     2      2/8    | 0.10      0.12      0.07      0.19      0.48         1.41      | 4999     0        0        7495     0        | 16     19982          149922       -       
8      32     3      3/8    | 0.11      0.12      0.04      0.20      0.48         1.42      | 4999     0        7495     0        0        | 24     19982          149922       -       
8      32     4      4/8    | 0.10      0.11      0.04      0.18      0.44         1.54      | 4999     0        7495     0        0        | 32     19982          149922       -       
8      32     5      5/8    | 0.10      0.11      0.03      0.19      0.45         1.51      | 4999     0        7495     0        0        | 40     19982          149922       -       
8      32     6      6/8    | 0.10      0.12      0.04      0.20      0.47         1.45      | 4999     0        7495     0        0        | 48     19982          149922       -       
8      32     7      7/8    | 0.09      0.11      0.03      0.18      0.42         1.62      | 4999     0        7495     0        0        | 56     19982          149922       -       
8      32     8      8/8    | 0.09      0.12      0.04      0.18      0.43         1.57      | 4999     0        7495     0        0        | 64     19982          149922       -       
16     8      0      0/8    | 0.12      0.10      0.05      0.20      0.49         1.40      | 2498     0        0        1250     0        | 1      3748           149922       -       
16     8      1      1/8    | 0.10      0.11      0.05      0.20      0.47         1.43      | 2498     0        0        1250     0        | 32     3748           149922       -       
16     8      2      2/8    | 0.10      0.10      0.05      0.20      0.47         1.44      | 2498     0        1        1249     0        | 64     3748           149922       -       
16     8      3      3/8    | 0.10      0.10      0.04      0.19      0.43         1.57      | 2498     0        1250     0        0        | 96     3748           149922       -       
16     8      4      4/8    | 0.10      0.11      0.05      0.19      0.45         1.51      | 2498     0        1250     0        0        | 128    3748           149922       -       
16     8      5      5/8    | 0.09      0.11      0.04      0.18      0.43         1.60      | 2498     0        1250     0        0        | 160    3748           149922       -       
16     8      6      6/8    | 0.11      0.10      0.05      0.20      0.46         1.46      | 2498     0        1250     0        0        | 192    3748           149922       -       
16     8      7      7/8    | 0.10      0.10      0.04      0.18      0.43         1.57      | 2498     0        1250     0        0        | 224    3748           149922       -       
16     8      8      8/8    | 0.09      0.11      0.05      0.21      0.47         1.44      | 2498     0        1250     0        0        | 256    3748           149922       -       
16     16     0      0/8    | 0.09      0.10      0.07      0.17      0.43         1.56      | 2498     0        0        1250     0        | 1      6244           149922       -       
16     16     1      1/8    | 0.08      0.09      0.07      0.17      0.42         1.60      | 2498     0        0        1250     0        | 32     6244           149922       -       
16     16     2      2/8    | 0.11      0.10      0.07      0.20      0.49         1.40      | 2498     0        1        1249     0        | 64     6244           149922       -       
16     16     3      3/8    | 0.09      0.10      0.04      0.18      0.42         1.60      | 2498     0        1250     0        0        | 96     6244           149922       -       
16     16     4      4/8    | 0.10      0.10      0.04      0.18      0.43         1.57      | 2498     0        1250     0        0        | 128    6244           149922       -       
16     16     5      5/8    | 0.10      0.10      0.04      0.18      0.44         1.53      | 2498     0        1250     0        0        | 160    6244           149922       -       
16     16     6      6/8    | 0.11      0.10      0.05      0.21      0.47         1.43      | 2498     0        1250     0        0        | 192    6244           149922       -       
16     16     7      7/8    | 0.10      0.10      0.05      0.18      0.43         1.56      | 2498     0        1250     0        0        | 224    6244           149922       -       
16     16     8      8/8    | 0.11      0.11      0.05      0.19      0.46         1.48      | 2498     0        1250     0        0        | 256    6244           149922       -       
16     32     0      0/8    | 0.10      0.11      0.08      0.18      0.47         1.43      | 2498     0        0        1250     0        | 1      7490           149922       -       
16     32     1      1/8    | 0.10      0.10      0.08      0.18      0.47         1.45      | 2498     0        0        1250     0        | 32     7490           149922       -       
16     32     2      2/8    | 0.10      0.10      0.08      0.18      0.47         1.46      | 2498     0        1        1249     0        | 64     7490           149922       -       
16     32     3      3/8    | 0.10      0.10      0.04      0.18      0.43         1.60      | 2498     0        1250     0        0        | 96     7490           149922       -       
16     32     4      4/8    | 0.11      0.10      0.04      0.20      0.46         1.47      | 2498     0        1250     0        0        | 128    7490           149922       -       
16     32     5      5/8    | 0.10      0.10      0.04      0.19      0.44         1.56      | 2498     0        1250     0        0        | 160    7490           149922       -       
16     32     6      6/8    | 0.11      0.10      0.04      0.20      0.46         1.46      | 2498     0        1250     0        0        | 192    7490           149922       -       
16     32     7      7/8    | 0.10      0.10      0.04      0.18      0.43         1.57      | 2498     0        1250     0        0        | 224    7490           149922       -       
16     32     8      8/8    | 0.09      0.10      0.04      0.17      0.40         1.68      | 2498     0        1250     0        0        | 256    7490           149922       -       
32     8      0      0/8    | 0.11      0.12      0.12      0.19      0.55         1.24      | 1248     0        0        625      0        | 1      1873           149922       -       
32     8      1      1/8    | 0.09      0.12      0.12      0.20      0.54         1.26      | 1248     0        0        625      0        | 128    1873           149922       -       
32     8      2      2/8    | 0.09      0.11      0.05      0.17      0.44         1.54      | 1248     0        625      0        0        | 256    1873           149922       -       
32     8      3      3/8    | 0.11      0.12      0.06      0.20      0.50         1.36      | 1248     0        625      0        0        | 384    1873           149922       -       
32     8      4      4/8    | 0.10      0.12      0.05      0.19      0.48         1.42      | 1248     0        625      0        0        | 512    1873           149922       -       
32     8      5      5/8    | 0.08      0.12      0.05      0.18      0.44         1.56      | 1248     0        625      0        0        | 640    1873           149922       -       
32     8      6      6/8    | 0.09      0.11      0.05      0.18      0.43         1.57      | 1248     0        625      0        0        | 768    1873           149922       -       
32     8      7      7/8    | 0.08      0.12      0.05      0.18      0.44         1.54      | 1248     0        625      0        0        | 896    1873           149922       -       
32     8      8      8/8    | 0.09      0.11      0.05      0.17      0.43         1.60      | 1248     0        625      0        0        | 1024   1873           149922       -       
32     16     0      0/8    | 0.09      0.12      0.11      0.12      0.45         1.52      | 1248     0        0        625      0        | 1      1873           149922       -       
32     16     1      1/8    | 0.09      0.11      0.11      0.10      0.41         1.66      | 1248     0        0        625      0        | 128    1873           149922       -       
32     16     2      2/8    | 0.09      0.12      0.05      0.09      0.35         1.92      | 1248     0        625      0        0        | 256    1873           149922       -       
32     16     3      3/8    | 0.11      0.12      0.05      0.11      0.40         1.70      | 1248     0        625      0        0        | 384    1873           149922       -       
32     16     4      4/8    | 0.10      0.11      0.05      0.10      0.38         1.78      | 1248     0        625      0        0        | 512    1873           149922       -       
32     16     5      5/8    | 0.08      0.11      0.05      0.10      0.34         1.98      | 1248     0        625      0        0        | 640    1873           149922       -       
32     16     6      6/8    | 0.11      0.12      0.05      0.11      0.40         1.70      | 1248     0        625      0        0        | 768    1873           149922       -       
32     16     7      7/8    | 0.09      0.11      0.05      0.10      0.36         1.87      | 1248     0        625      0        0        | 896    1873           149922       -       
32     16     8      8/8    | 0.09      0.12      0.05      0.10      0.37         1.85      | 1248     0        625      0        0        | 1024   1873           149922       -       
32     32     0      0/8    | 0.10      0.11      0.09      0.19      0.49         1.39      | 1248     0        0        625      0        | 1      3119           149922       -       
32     32     1      1/8    | 0.09      0.11      0.09      0.19      0.50         1.37      | 1248     0        0        625      0        | 128    3119           149922       -       
