# Matrix: Oregon-2
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.001-0.01/Oregon-2.mtx
# Category: 10k-50k-0.001-0.01
# Date: 2026-03-06 00:41:12
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 11806
# Cols: 11806
# NNZ(A): 65460
# NNZ(C) estimate: 14582082
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 1.17      4.74      8.03      0.97      14.92        1.96      | 833524   0        0        566760   6        | 1      1806210        11667433     -       
8      8      1      1/8    | 1.17      4.69      7.95      0.91      14.73        1.98      | 833524   0        0        566760   6        | 8      1806210        11667433     -       
8      8      2      2/8    | 1.17      4.81      6.96      1.00      13.95        2.09      | 833524   0        387917   178843   6        | 16     1806210        11667433     -       
8      8      3      3/8    | 1.17      4.70      6.50      0.96      13.35        2.19      | 833524   0        526263   40497    6        | 24     1806210        11667433     -       
8      8      4      4/8    | 1.17      4.69      6.54      0.93      13.34        2.19      | 833524   0        559748   7012     6        | 32     1806210        11667433     -       
8      8      5      5/8    | 1.16      4.72      6.17      0.93      12.99        2.25      | 833524   0        565753   1007     6        | 40     1806210        11667433     -       
8      8      6      6/8    | 1.17      4.77      6.20      0.96      13.12        2.22      | 833524   0        566641   119      6        | 48     1806210        11667433     -       
8      8      7      7/8    | 1.17      4.70      6.28      0.91      13.06        2.23      | 833524   0        566759   1        6        | 56     1806210        11667433     -       
8      8      8      8/8    | 1.17      4.73      6.27      0.92      13.10        2.23      | 833524   0        566766   0        0        | 64     1806210        11667433     -       
8      16     0      0/8    | 0.86      4.97      9.46      0.94      16.24        1.80      | 833524   0        0        566760   6        | 1      1908742        11667433     -       
8      16     1      1/8    | 0.85      4.90      9.19      0.94      15.90        1.83      | 833524   0        0        566760   6        | 8      1908742        11667433     -       
8      16     2      2/8    | 0.85      4.94      7.49      0.92      14.21        2.05      | 833524   0        387917   178843   6        | 16     1908742        11667433     -       
8      16     3      3/8    | 0.85      4.92      6.42      0.93      13.13        2.22      | 833524   0        526263   40497    6        | 24     1908742        11667433     -       
8      16     4      4/8    | 0.86      5.04      5.79      0.96      12.66        2.30      | 833524   0        559748   7012     6        | 32     1908742        11667433     -       
