# Matrix: as-caida
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.001-0.01/as-caida.mtx
# Category: 10k-50k-0.001-0.01
# Date: 2026-03-05 22:53:38
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 31379
# Cols: 31379
# NNZ(A): 106762
# NNZ(C) estimate: 29919302
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 2.27      22.13     15.36     1.33      41.11        1.46      | 7070462  0        0        554187   17       | 1      8619660        26880947     -       
8      8      1      1/8    | 2.27      22.78     15.92     1.33      42.31        1.41      | 7070462  0        0        554187   17       | 8      8619660        26880947     -       
8      8      2      2/8    | 2.27      22.17     14.13     1.33      39.91        1.50      | 7070462  0        515704   38483    17       | 16     8619660        26880947     -       
8      8      3      3/8    | 2.27      22.37     14.09     1.34      40.09        1.49      | 7070462  0        549883   4304     17       | 24     8619660        26880947     -       
8      8      4      4/8    | 2.29      22.43     14.20     1.34      40.27        1.49      | 7070462  0        553380   807      17       | 32     8619660        26880947     -       
8      8      5      5/8    | 2.28      22.36     14.05     1.33      40.03        1.49      | 7070462  0        554030   157      17       | 40     8619660        26880947     -       
8      8      6      6/8    | 2.28      22.56     14.16     1.34      40.35        1.48      | 7070462  0        554176   11       17       | 48     8619660        26880947     -       
8      8      7      7/8    | 2.28      22.37     14.23     1.30      40.19        1.49      | 7070462  0        554187   0        17       | 56     8619660        26880947     -       
8      8      8      8/8    | 2.26      22.32     13.94     1.31      39.84        1.50      | 7070462  0        554204   0        0        | 64     8619660        26880947     -       
8      16     0      0/8    | 1.95      23.72     17.31     1.35      44.34        1.35      | 7070462  0        0        554187   17       | 1      9079292        26880947     -       
8      16     1      1/8    | 1.95      23.28     17.39     1.35      43.98        1.36      | 7070462  0        0        554187   17       | 8      9079292        26880947     -       
8      16     2      2/8    | 1.96      23.86     15.42     1.42      42.67        1.40      | 7070462  0        515704   38483    17       | 16     9079292        26880947     -       
8      16     3      3/8    | 1.94      23.54     15.31     1.37      42.18        1.42      | 7070462  0        549883   4304     17       | 24     9079292        26880947     -       
8      16     4      4/8    | 1.94      23.27     15.50     1.35      42.08        1.42      | 7070462  0        553380   807      17       | 32     9079292        26880947     -       
8      16     5      5/8    | 1.93      23.71     14.85     1.39      41.90        1.43      | 7070462  0        554030   157      17       | 40     9079292        26880947     -       
8      16     6      6/8    | 1.95      23.67     14.84     1.35      41.84        1.43      | 7070462  0        554176   11       17       | 48     9079292        26880947     -       
8      16     7      7/8    | 1.93      23.63     14.96     1.35      41.89        1.43      | 7070462  0        554187   0        17       | 56     9079292        26880947     -       
8      16     8      8/8    | 1.95      23.53     14.90     1.33      41.73        1.43      | 7070462  0        554204   0        0        | 64     9079292        26880947     -       
8      32     0      0/8    | 1.80      26.50     19.81     1.41      49.53        1.21      | 7070462  0        0        554187   17       | 1      10249774       26880947     -       
8      32     1      1/8    | 1.80      26.69     19.95     1.40      49.85        1.20      | 7070462  0        0        554187   17       | 8      10249774       26880947     -       
8      32     2      2/8    | 1.79      26.57     15.99     1.41      45.76        1.31      | 7070462  0        515704   38483    17       | 16     10249774       26880947     -       
8      32     3      3/8    | 1.79      26.54     15.96     1.41      45.71        1.31      | 7070462  0        549883   4304     17       | 24     10249774       26880947     -       
8      32     4      4/8    | 1.78      26.57     15.95     1.40      45.72        1.31      | 7070462  0        553380   807      17       | 32     10249774       26880947     -       
8      32     5      5/8    | 1.78      26.95     14.06     1.47      44.27        1.35      | 7070462  0        554030   157      17       | 40     10249774       26880947     -       
8      32     6      6/8    | 1.79      26.54     14.24     1.40      43.98        1.36      | 7070462  0        554176   11       17       | 48     10249774       26880947     -       
8      32     7      7/8    | 1.79      26.66     14.24     1.43      44.14        1.36      | 7070462  0        554187   0        17       | 56     10249774       26880947     -       
8      32     8      8/8    | 1.78      26.78     14.07     1.43      44.08        1.36      | 7070462  0        554204   0        0        | 64     10249774       26880947     -       
16     8      0      0/8    | 1.84      8.38      12.11     1.18      23.52        2.54      | 2796841  0        0        85921    4        | 1      3116726        26880947     -       
16     8      1      1/8    | 1.83      8.26      12.03     1.16      23.29        2.57      | 2796841  0        0        85921    4        | 32     3116726        26880947     -       
16     8      2      2/8    | 1.83      8.29      11.17     1.16      22.46        2.66      | 2796841  0        84105    1816     4        | 64     3116726        26880947     -       
16     8      3      3/8    | 1.83      8.25      11.25     1.16      22.50        2.66      | 2796841  0        85662    259      4        | 96     3116726        26880947     -       
16     8      4      4/8    | 1.83      8.19      11.13     1.18      22.35        2.68      | 2796841  0        85862    59       4        | 128    3116726        26880947     -       
16     8      5      5/8    | 1.82      8.20      11.15     1.15      22.34        2.68      | 2796841  0        85918    3        4        | 160    3116726        26880947     -       
16     8      6      6/8    | 1.82      8.16      11.12     1.16      22.28        2.69      | 2796841  0        85921    0        4        | 192    3116726        26880947     -       
16     8      7      7/8    | 1.84      8.37      11.23     1.17      22.61        2.65      | 2796841  0        85921    0        4        | 224    3116726        26880947     -       
16     8      8      8/8    | 1.83      8.18      11.07     1.19      22.28        2.69      | 2796841  0        85925    0        0        | 256    3116726        26880947     -       
16     16     0      0/8    | 1.46      8.49      12.70     1.21      23.88        2.51      | 2796841  0        0        85921    4        | 1      3205554        26880947     -       
16     16     1      1/8    | 1.46      8.37      12.62     1.19      23.66        2.53      | 2796841  0        0        85921    4        | 32     3205554        26880947     -       
16     16     2      2/8    | 1.46      8.37      11.08     1.19      22.11        2.71      | 2796841  0        84105    1816     4        | 64     3205554        26880947     -       
16     16     3      3/8    | 1.46      8.47      11.23     1.20      22.38        2.67      | 2796841  0        85662    259      4        | 96     3205554        26880947     -       
16     16     4      4/8    | 1.46      8.40      11.07     1.19      22.13        2.70      | 2796841  0        85862    59       4        | 128    3205554        26880947     -       
16     16     5      5/8    | 1.45      8.29      11.06     1.16      21.96        2.72      | 2796841  0        85918    3        4        | 160    3205554        26880947     -       
16     16     6      6/8    | 1.45      8.34      11.18     1.16      22.15        2.70      | 2796841  0        85921    0        4        | 192    3205554        26880947     -       
16     16     7      7/8    | 1.46      8.21      11.16     1.16      22.00        2.72      | 2796841  0        85921    0        4        | 224    3205554        26880947     -       
16     16     8      8/8    | 1.46      8.29      11.14     1.15      22.06        2.71      | 2796841  0        85925    0        0        | 256    3205554        26880947     -       
16     32     0      0/8    | 1.22      8.72      14.47     1.18      25.61        2.34      | 2796841  0        0        85921    4        | 1      3408120        26880947     -       
16     32     1      1/8    | 1.21      8.83      14.53     1.21      25.80        2.32      | 2796841  0        0        85921    4        | 32     3408120        26880947     -       
16     32     2      2/8    | 1.22      8.88      11.47     1.19      22.77        2.63      | 2796841  0        84105    1816     4        | 64     3408120        26880947     -       
16     32     3      3/8    | 1.23      8.83      11.46     1.18      22.71        2.63      | 2796841  0        85662    259      4        | 96     3408120        26880947     -       
16     32     4      4/8    | 1.22      8.73      11.31     1.19      22.45        2.66      | 2796841  0        85862    59       4        | 128    3408120        26880947     -       
16     32     5      5/8    | 1.23      8.88      11.29     1.21      22.61        2.65      | 2796841  0        85918    3        4        | 160    3408120        26880947     -       
16     32     6      6/8    | 1.22      8.86      11.33     1.20      22.62        2.65      | 2796841  0        85921    0        4        | 192    3408120        26880947     -       
16     32     7      7/8    | 1.23      8.83      11.29     1.22      22.57        2.65      | 2796841  0        85921    0        4        | 224    3408120        26880947     -       
16     32     8      8/8    | 1.22      8.81      11.39     1.21      22.65        2.64      | 2796841  0        85925    0        0        | 256    3408120        26880947     -       
32     8      0      0/8    | 1.50      6.93      10.87     1.09      20.41        2.93      | 871633   0        0        9515     1        | 1      911793         26880947     -       
32     8      1      1/8    | 1.51      7.01      10.68     1.08      20.29        2.95      | 871633   0        0        9515     1        | 128    911793         26880947     -       
32     8      2      2/8    | 1.51      7.02      9.46      1.08      19.08        3.14      | 871633   0        9399     116      1        | 256    911793         26880947     -       
32     8      3      3/8    | 1.52      7.19      9.49      1.10      19.31        3.10      | 871633   0        9497     18       1        | 384    911793         26880947     -       
32     8      4      4/8    | 1.51      7.08      10.07     1.09      19.76        3.03      | 871633   0        9512     3        1        | 512    911793         26880947     -       
32     8      5      5/8    | 1.51      6.96      9.96      1.07      19.52        3.07      | 871633   0        9515     0        1        | 640    911793         26880947     -       
32     8      6      6/8    | 1.51      7.10      9.88      1.09      19.60        3.05      | 871633   0        9515     0        1        | 768    911793         26880947     -       
32     8      7      7/8    | 1.52      7.09      10.02     1.14      19.79        3.02      | 871633   0        9515     0        1        | 896    911793         26880947     -       
32     8      8      8/8    | 1.50      6.98      9.88      1.07      19.44        3.08      | 871633   0        9516     0        0        | 1024   911793         26880947     -       
32     16     0      0/8    | 1.19      6.14      11.19     1.10      19.63        3.05      | 871633   0        0        9515     1        | 1      922853         26880947     -       
32     16     1      1/8    | 1.19      6.14      11.15     1.07      19.55        3.06      | 871633   0        0        9515     1        | 128    922853         26880947     -       
32     16     2      2/8    | 1.20      6.28      9.66      1.10      18.25        3.28      | 871633   0        9399     116      1        | 256    922853         26880947     -       
32     16     3      3/8    | 1.20      6.21      9.82      1.10      18.34        3.26      | 871633   0        9497     18       1        | 384    922853         26880947     -       
32     16     4      4/8    | 1.19      6.30      9.68      1.09      18.27        3.28      | 871633   0        9512     3        1        | 512    922853         26880947     -       
32     16     5      5/8    | 1.19      6.15      9.55      1.10      18.00        3.33      | 871633   0        9515     0        1        | 640    922853         26880947     -       
32     16     6      6/8    | 1.20      6.21      9.45      1.13      18.01        3.32      | 871633   0        9515     0        1        | 768    922853         26880947     -       
32     16     7      7/8    | 1.19      6.21      9.71      1.09      18.22        3.28      | 871633   0        9515     0        1        | 896    922853         26880947     -       
32     16     8      8/8    | 1.20      6.18      9.63      1.11      18.13        3.30      | 871633   0        9516     0        0        | 1024   922853         26880947     -       
32     32     0      0/8    | 0.98      5.24      11.73     1.14      19.11        3.13      | 871633   0        0        9515     1        | 1      940059         26880947     -       
32     32     1      1/8    | 0.98      5.33      11.26     1.12      18.71        3.20      | 871633   0        0        9515     1        | 128    940059         26880947     -       
32     32     2      2/8    | 0.98      5.26      9.41      1.16      16.82        3.56      | 871633   0        9399     116      1        | 256    940059         26880947     -       
32     32     3      3/8    | 0.98      5.27      9.54      1.13      16.93        3.54      | 871633   0        9497     18       1        | 384    940059         26880947     -       
32     32     4      4/8    | 0.98      5.30      9.37      1.15      16.81        3.56      | 871633   0        9512     3        1        | 512    940059         26880947     -       
32     32     5      5/8    | 0.97      5.22      9.28      1.11      16.60        3.61      | 871633   0        9515     0        1        | 640    940059         26880947     -       
32     32     6      6/8    | 0.97      5.29      9.51      1.13      16.92        3.54      | 871633   0        9515     0        1        | 768    940059         26880947     -       
32     32     7      7/8    | 0.98      5.37      9.61      1.13      17.09        3.50      | 871633   0        9515     0        1        | 896    940059         26880947     -       
32     32     8      8/8    | 0.97      5.32      9.43      1.13      16.87        3.55      | 871633   0        9516     0        0        | 1024   940059         26880947     -       
