# Matrix: bauru5727
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.001-0.01/bauru5727.mtx
# Category: 10k-50k-0.001-0.01
# Date: 2026-03-05 22:58:11
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 40366
# Cols: 40366
# NNZ(A): 145019
# NNZ(C) estimate: 800030
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.11      0.57      0.24      0.49      1.43         1.12      | 59243    0        0        9858     4        | 1      217944         370653       -       
8      8      1      1/8    | 0.12      0.54      0.24      0.51      1.41         1.13      | 59243    0        0        9858     4        | 8      217944         370653       -       
8      8      2      2/8    | 0.12      0.57      0.23      0.48      1.41         1.13      | 59243    0        6749     3109     4        | 16     217944         370653       -       
8      8      3      3/8    | 0.11      0.54      0.22      0.47      1.35         1.19      | 59243    0        9275     583      4        | 24     217944         370653       -       
8      8      4      4/8    | 0.13      0.57      0.22      0.52      1.45         1.11      | 59243    0        9763     95       4        | 32     217944         370653       -       
8      8      5      5/8    | 0.11      0.56      0.23      0.49      1.39         1.15      | 59243    0        9831     27       4        | 40     217944         370653       -       
8      8      6      6/8    | 0.12      0.56      0.23      0.50      1.41         1.13      | 59243    0        9849     9        4        | 48     217944         370653       -       
8      8      7      7/8    | 0.12      0.53      0.22      0.49      1.37         1.17      | 59243    0        9858     0        4        | 56     217944         370653       -       
8      8      8      8/8    | 0.11      0.54      0.22      0.51      1.39         1.15      | 59243    0        9862     0        0        | 64     217944         370653       -       
8      16     0      0/8    | 0.12      0.99      0.27      0.74      2.13         0.75      | 59243    0        0        9858     4        | 1      333790         370653       -       
8      16     1      1/8    | 0.12      0.99      0.26      0.73      2.11         0.76      | 59243    0        0        9858     4        | 8      333790         370653       -       
8      16     2      2/8    | 0.12      1.04      0.23      0.73      2.12         0.75      | 59243    0        6749     3109     4        | 16     333790         370653       -       
8      16     3      3/8    | 0.13      1.02      0.22      0.76      2.13         0.75      | 59243    0        9275     583      4        | 24     333790         370653       -       
8      16     4      4/8    | 0.12      1.02      0.22      0.73      2.10         0.76      | 59243    0        9763     95       4        | 32     333790         370653       -       
8      16     5      5/8    | 0.11      0.99      0.22      0.72      2.06         0.78      | 59243    0        9831     27       4        | 40     333790         370653       -       
8      16     6      6/8    | 0.12      1.00      0.22      0.74      2.09         0.76      | 59243    0        9849     9        4        | 48     333790         370653       -       
8      16     7      7/8    | 0.12      0.99      0.21      0.74      2.07         0.77      | 59243    0        9858     0        4        | 56     333790         370653       -       
8      16     8      8/8    | 0.12      1.01      0.22      0.75      2.10         0.76      | 59243    0        9862     0        0        | 64     333790         370653       -       
8      32     0      0/8    | 0.13      1.46      0.41      0.72      2.73         0.59      | 59243    0        0        9858     4        | 1      515279         370653       -       
8      32     1      1/8    | 0.13      1.44      0.40      0.74      2.73         0.59      | 59243    0        0        9858     4        | 8      515279         370653       -       
8      32     2      2/8    | 0.13      1.44      0.31      0.74      2.63         0.61      | 59243    0        6749     3109     4        | 16     515279         370653       -       
8      32     3      3/8    | 0.13      1.45      0.26      0.73      2.58         0.62      | 59243    0        9275     583      4        | 24     515279         370653       -       
8      32     4      4/8    | 0.13      1.44      0.26      0.73      2.57         0.62      | 59243    0        9763     95       4        | 32     515279         370653       -       
8      32     5      5/8    | 0.13      1.45      0.23      0.72      2.54         0.63      | 59243    0        9831     27       4        | 40     515279         370653       -       
8      32     6      6/8    | 0.12      1.48      0.23      0.74      2.58         0.62      | 59243    0        9849     9        4        | 48     515279         370653       -       
8      32     7      7/8    | 0.12      1.47      0.20      0.74      2.54         0.63      | 59243    0        9858     0        4        | 56     515279         370653       -       
8      32     8      8/8    | 0.13      1.46      0.21      0.72      2.53         0.63      | 59243    0        9862     0        0        | 64     515279         370653       -       
16     8      0      0/8    | 0.12      0.46      0.30      0.44      1.33         1.20      | 42542    0        0        2132     0        | 1      120256         370653       -       
16     8      1      1/8    | 0.12      0.42      0.29      0.44      1.28         1.25      | 42542    0        0        2132     0        | 32     120256         370653       -       
16     8      2      2/8    | 0.12      0.45      0.30      0.45      1.33         1.20      | 42542    0        2058     74       0        | 64     120256         370653       -       
16     8      3      3/8    | 0.12      0.42      0.34      0.45      1.35         1.19      | 42542    0        2118     14       0        | 96     120256         370653       -       
16     8      4      4/8    | 0.13      0.45      0.30      0.49      1.38         1.16      | 42542    0        2129     3        0        | 128    120256         370653       -       
16     8      5      5/8    | 0.13      0.42      0.29      0.44      1.30         1.23      | 42542    0        2131     1        0        | 160    120256         370653       -       
16     8      6      6/8    | 0.12      0.41      0.30      0.43      1.27         1.26      | 42542    0        2132     0        0        | 192    120256         370653       -       
16     8      7      7/8    | 0.12      0.44      0.30      0.44      1.30         1.23      | 42542    0        2132     0        0        | 224    120256         370653       -       
16     8      8      8/8    | 0.13      0.47      0.29      0.46      1.36         1.17      | 42542    0        2132     0        0        | 256    120256         370653       -       
16     16     0      0/8    | 0.12      0.55      0.33      0.47      1.48         1.08      | 42542    0        0        2132     0        | 1      170066         370653       -       
16     16     1      1/8    | 0.11      0.57      0.33      0.47      1.51         1.06      | 42542    0        0        2132     0        | 32     170066         370653       -       
16     16     2      2/8    | 0.11      0.54      0.28      0.45      1.38         1.16      | 42542    0        2058     74       0        | 64     170066         370653       -       
16     16     3      3/8    | 0.11      0.54      0.28      0.45      1.40         1.15      | 42542    0        2118     14       0        | 96     170066         370653       -       
16     16     4      4/8    | 0.11      0.53      0.28      0.44      1.38         1.16      | 42542    0        2129     3        0        | 128    170066         370653       -       
16     16     5      5/8    | 0.12      0.57      0.30      0.51      1.51         1.06      | 42542    0        2131     1        0        | 160    170066         370653       -       
16     16     6      6/8    | 0.12      0.54      0.28      0.47      1.42         1.13      | 42542    0        2132     0        0        | 192    170066         370653       -       
16     16     7      7/8    | 0.12      0.55      0.28      0.47      1.43         1.12      | 42542    0        2132     0        0        | 224    170066         370653       -       
16     16     8      8/8    | 0.12      0.56      0.28      0.47      1.44         1.11      | 42542    0        2132     0        0        | 256    170066         370653       -       
16     32     0      0/8    | 0.12      0.75      0.61      0.56      2.05         0.78      | 42542    0        0        2132     0        | 1      239028         370653       -       
16     32     1      1/8    | 0.11      0.74      0.58      0.53      1.98         0.81      | 42542    0        0        2132     0        | 32     239028         370653       -       
16     32     2      2/8    | 0.12      0.80      0.50      0.56      1.98         0.81      | 42542    0        2058     74       0        | 64     239028         370653       -       
16     32     3      3/8    | 0.12      0.74      0.32      0.56      1.76         0.91      | 42542    0        2118     14       0        | 96     239028         370653       -       
16     32     4      4/8    | 0.12      0.78      0.26      0.58      1.75         0.92      | 42542    0        2129     3        0        | 128    239028         370653       -       
16     32     5      5/8    | 0.11      0.74      0.26      0.54      1.66         0.96      | 42542    0        2131     1        0        | 160    239028         370653       -       
16     32     6      6/8    | 0.12      0.75      0.27      0.55      1.69         0.95      | 42542    0        2132     0        0        | 192    239028         370653       -       
16     32     7      7/8    | 0.12      0.76      0.26      0.59      1.74         0.92      | 42542    0        2132     0        0        | 224    239028         370653       -       
16     32     8      8/8    | 0.11      0.75      0.26      0.53      1.66         0.96      | 42542    0        2132     0        0        | 256    239028         370653       -       
32     8      0      0/8    | 0.15      0.59      0.56      0.35      1.66         0.97      | 27861    0        0        58       0        | 1      59892          370653       -       
32     8      1      1/8    | 0.15      0.54      0.57      0.35      1.61         0.99      | 27861    0        0        58       0        | 128    59892          370653       -       
32     8      2      2/8    | 0.16      0.52      0.60      0.39      1.69         0.95      | 27861    0        58       0        0        | 256    59892          370653       -       
32     8      3      3/8    | 0.15      0.54      0.56      0.33      1.58         1.01      | 27861    0        58       0        0        | 384    59892          370653       -       
32     8      4      4/8    | 0.14      0.54      0.56      0.34      1.59         1.01      | 27861    0        58       0        0        | 512    59892          370653       -       
32     8      5      5/8    | 0.15      0.54      0.58      0.35      1.64         0.98      | 27861    0        58       0        0        | 640    59892          370653       -       
32     8      6      6/8    | 0.14      0.52      0.57      0.33      1.57         1.02      | 27861    0        58       0        0        | 768    59892          370653       -       
32     8      7      7/8    | 0.17      0.53      0.56      0.36      1.64         0.98      | 27861    0        58       0        0        | 896    59892          370653       -       
32     8      8      8/8    | 0.15      0.56      0.56      0.37      1.65         0.97      | 27861    0        58       0        0        | 1024   59892          370653       -       
32     16     0      0/8    | 0.13      0.59      0.57      0.38      1.68         0.95      | 27861    0        0        58       0        | 1      76951          370653       -       
32     16     1      1/8    | 0.13      0.60      0.56      0.37      1.67         0.96      | 27861    0        0        58       0        | 128    76951          370653       -       
32     16     2      2/8    | 0.12      0.62      0.56      0.36      1.67         0.96      | 27861    0        58       0        0        | 256    76951          370653       -       
32     16     3      3/8    | 0.14      0.60      0.57      0.40      1.72         0.93      | 27861    0        58       0        0        | 384    76951          370653       -       
32     16     4      4/8    | 0.12      0.58      0.57      0.38      1.67         0.96      | 27861    0        58       0        0        | 512    76951          370653       -       
32     16     5      5/8    | 0.13      0.59      0.55      0.39      1.67         0.96      | 27861    0        58       0        0        | 640    76951          370653       -       
32     16     6      6/8    | 0.14      0.59      0.56      0.40      1.70         0.94      | 27861    0        58       0        0        | 768    76951          370653       -       
32     16     7      7/8    | 0.13      0.57      0.49      0.36      1.57         1.02      | 27861    0        58       0        0        | 896    76951          370653       -       
32     16     8      8/8    | 0.13      0.65      0.49      0.37      1.65         0.97      | 27861    0        58       0        0        | 1024   76951          370653       -       
32     32     0      0/8    | 0.12      0.62      0.48      0.43      1.66         0.96      | 27861    0        0        58       0        | 1      98135          370653       -       
32     32     1      1/8    | 0.12      0.58      0.49      0.41      1.60         1.00      | 27861    0        0        58       0        | 128    98135          370653       -       
32     32     2      2/8    | 0.11      0.58      0.50      0.41      1.62         0.99      | 27861    0        58       0        0        | 256    98135          370653       -       
32     32     3      3/8    | 0.14      0.59      0.46      0.46      1.67         0.96      | 27861    0        58       0        0        | 384    98135          370653       -       
32     32     4      4/8    | 0.12      0.61      0.46      0.41      1.62         0.99      | 27861    0        58       0        0        | 512    98135          370653       -       
32     32     5      5/8    | 0.12      0.58      0.50      0.41      1.62         0.99      | 27861    0        58       0        0        | 640    98135          370653       -       
32     32     6      6/8    | 0.12      0.59      0.50      0.43      1.65         0.97      | 27861    0        58       0        0        | 768    98135          370653       -       
32     32     7      7/8    | 0.12      0.59      0.47      0.46      1.65         0.97      | 27861    0        58       0        0        | 896    98135          370653       -       
32     32     8      8/8    | 0.12      0.57      0.48      0.41      1.59         1.01      | 27861    0        58       0        0        | 1024   98135          370653       -       
