# Matrix: big
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.001-0.01/big.mtx
# Category: 10k-50k-0.001-0.01
# Date: 2026-03-05 23:02:42
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 13209
# Cols: 13209
# NNZ(A): 91465
# NNZ(C) estimate: 644861
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.11      0.83      0.23      0.71      1.88         0.69      | 48068    0        0        7602     0        | 1      270174         255499       -       
8      8      1      1/8    | 0.11      0.86      0.22      0.72      1.93         0.67      | 48068    0        0        7602     0        | 8      270174         255499       -       
8      8      2      2/8    | 0.11      0.82      0.20      0.69      1.82         0.71      | 48068    0        4816     2786     0        | 16     270174         255499       -       
8      8      3      3/8    | 0.13      0.85      0.19      0.74      1.93         0.67      | 48068    0        6313     1289     0        | 24     270174         255499       -       
8      8      4      4/8    | 0.11      0.87      0.20      0.71      1.90         0.68      | 48068    0        6988     614      0        | 32     270174         255499       -       
8      8      5      5/8    | 0.12      0.84      0.19      0.72      1.88         0.68      | 48068    0        7547     55       0        | 40     270174         255499       -       
8      8      6      6/8    | 0.11      0.85      0.19      0.71      1.87         0.69      | 48068    0        7594     8        0        | 48     270174         255499       -       
8      8      7      7/8    | 0.11      0.82      0.19      0.71      1.84         0.70      | 48068    0        7602     0        0        | 56     270174         255499       -       
8      8      8      8/8    | 0.11      0.84      0.19      0.71      1.86         0.69      | 48068    0        7602     0        0        | 64     270174         255499       -       
8      16     0      0/8    | 0.12      1.25      0.26      0.77      2.40         0.54      | 48068    0        0        7602     0        | 1      434160         255499       -       
8      16     1      1/8    | 0.12      1.23      0.26      0.79      2.40         0.54      | 48068    0        0        7602     0        | 8      434160         255499       -       
8      16     2      2/8    | 0.12      1.25      0.22      0.77      2.37         0.54      | 48068    0        4816     2786     0        | 16     434160         255499       -       
8      16     3      3/8    | 0.11      1.27      0.21      0.77      2.37         0.54      | 48068    0        6313     1289     0        | 24     434160         255499       -       
8      16     4      4/8    | 0.12      1.28      0.21      0.78      2.40         0.54      | 48068    0        6988     614      0        | 32     434160         255499       -       
