# Matrix: bips98_1450
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.001-0.01/bips98_1450.mtx
# Category: 10k-50k-0.001-0.01
# Date: 2026-03-05 23:06:27
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 11305
# Cols: 11305
# NNZ(A): 44678
# NNZ(C) estimate: 269546
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.11      0.32      0.15      0.27      0.86         0.63      | 22938    0        0        3100     0        | 1      89849          117230       -       
8      8      1      1/8    | 0.11      0.31      0.15      0.29      0.87         0.62      | 22938    0        0        3100     0        | 8      89849          117230       -       
8      8      2      2/8    | 0.11      0.32      0.14      0.29      0.86         0.62      | 22938    0        2252     848      0        | 16     89849          117230       -       
8      8      3      3/8    | 0.10      0.32      0.14      0.28      0.86         0.62      | 22938    0        2915     185      0        | 24     89849          117230       -       
8      8      4      4/8    | 0.11      0.34      0.15      0.30      0.90         0.60      | 22938    0        3069     31       0        | 32     89849          117230       -       
8      8      5      5/8    | 0.11      0.32      0.15      0.30      0.89         0.61      | 22938    0        3094     6        0        | 40     89849          117230       -       
8      8      6      6/8    | 0.10      0.33      0.15      0.29      0.88         0.61      | 22938    0        3098     2        0        | 48     89849          117230       -       
8      8      7      7/8    | 0.11      0.31      0.15      0.29      0.86         0.62      | 22938    0        3100     0        0        | 56     89849          117230       -       
8      8      8      8/8    | 0.11      0.33      0.15      0.30      0.91         0.60      | 22938    0        3100     0        0        | 64     89849          117230       -       
8      16     0      0/8    | 0.12      0.44      0.16      0.38      1.10         0.49      | 22938    0        0        3100     0        | 1      123715         117230       -       
8      16     1      1/8    | 0.11      0.42      0.17      0.39      1.10         0.49      | 22938    0        0        3100     0        | 8      123715         117230       -       
8      16     2      2/8    | 0.12      0.45      0.16      0.41      1.15         0.47      | 22938    0        2252     848      0        | 16     123715         117230       -       
8      16     3      3/8    | 0.10      0.41      0.14      0.36      1.02         0.53      | 22938    0        2915     185      0        | 24     123715         117230       -       
8      16     4      4/8    | 0.10      0.42      0.14      0.35      1.03         0.52      | 22938    0        3069     31       0        | 32     123715         117230       -       
8      16     5      5/8    | 0.10      0.41      0.14      0.35      1.02         0.53      | 22938    0        3094     6        0        | 40     123715         117230       -       
8      16     6      6/8    | 0.10      0.42      0.14      0.36      1.03         0.52      | 22938    0        3098     2        0        | 48     123715         117230       -       
8      16     7      7/8    | 0.11      0.45      0.14      0.38      1.09         0.50      | 22938    0        3100     0        0        | 56     123715         117230       -       
8      16     8      8/8    | 0.09      0.42      0.14      0.36      1.03         0.52      | 22938    0        3100     0        0        | 64     123715         117230       -       
8      32     0      0/8    | 0.10      0.55      0.28      0.49      1.42         0.38      | 22938    0        0        3100     0        | 1      175477         117230       -       
8      32     1      1/8    | 0.10      0.57      0.26      0.57      1.53         0.35      | 22938    0        0        3100     0        | 8      175477         117230       -       
8      32     2      2/8    | 0.11      0.59      0.29      0.54      1.55         0.35      | 22938    0        2252     848      0        | 16     175477         117230       -       
8      32     3      3/8    | 0.11      0.60      0.22      0.56      1.50         0.36      | 22938    0        2915     185      0        | 24     175477         117230       -       
8      32     4      4/8    | 0.10      0.56      0.16      0.52      1.35         0.40      | 22938    0        3069     31       0        | 32     175477         117230       -       
8      32     5      5/8    | 0.11      0.57      0.12      0.51      1.31         0.41      | 22938    0        3094     6        0        | 40     175477         117230       -       
8      32     6      6/8    | 0.10      0.58      0.12      0.54      1.36         0.40      | 22938    0        3098     2        0        | 48     175477         117230       -       
8      32     7      7/8    | 0.12      0.58      0.12      0.55      1.37         0.39      | 22938    0        3100     0        0        | 56     175477         117230       -       
8      32     8      8/8    | 0.10      0.56      0.12      0.52      1.31         0.41      | 22938    0        3100     0        0        | 64     175477         117230       -       
16     8      0      0/8    | 0.11      0.34      0.22      0.28      0.95         0.57      | 15072    0        0        601      0        | 1      42676          117230       -       
16     8      1      1/8    | 0.11      0.35      0.22      0.29      0.98         0.55      | 15072    0        0        601      0        | 32     42676          117230       -       
16     8      2      2/8    | 0.11      0.34      0.22      0.30      0.97         0.55      | 15072    0        578      23       0        | 64     42676          117230       -       
16     8      3      3/8    | 0.12      0.34      0.22      0.31      0.99         0.54      | 15072    0        598      3        0        | 96     42676          117230       -       
16     8      4      4/8    | 0.11      0.34      0.21      0.31      0.97         0.55      | 15072    0        601      0        0        | 128    42676          117230       -       
16     8      5      5/8    | 0.12      0.33      0.21      0.32      0.99         0.54      | 15072    0        601      0        0        | 160    42676          117230       -       
16     8      6      6/8    | 0.11      0.33      0.21      0.28      0.93         0.58      | 15072    0        601      0        0        | 192    42676          117230       -       
16     8      7      7/8    | 0.11      0.34      0.21      0.29      0.96         0.56      | 15072    0        601      0        0        | 224    42676          117230       -       
16     8      8      8/8    | 0.11      0.34      0.32      0.30      1.08         0.50      | 15072    0        601      0        0        | 256    42676          117230       -       
