# Matrix: bloweya
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.001-0.01/bloweya.mtx
# Category: 10k-50k-0.001-0.01
# Date: 2026-03-05 23:07:08
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 30004
# Cols: 30004
# NNZ(A): 150009
# NNZ(C) estimate: 100860015
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 2.32      16.14     21.13     1.71      41.32        4.88      | 7494     0        0        6263751  0        | 1      6278737        100360010    -       
8      8      1      1/8    | 2.32      16.15     20.85     1.72      41.06        4.91      | 7494     0        0        6263751  0        | 8      6278737        100360010    -       
8      8      2      2/8    | 2.29      16.12     20.12     1.68      40.23        5.01      | 7494     0        6250001  13750    0        | 16     6278737        100360010    -       
8      8      3      3/8    | 2.35      16.14     20.08     1.71      40.29        5.01      | 7494     0        6257501  6250     0        | 24     6278737        100360010    -       
8      8      4      4/8    | 2.35      16.23     20.90     1.70      41.19        4.90      | 7494     0        6259999  3752     0        | 32     6278737        100360010    -       
8      8      5      5/8    | 2.41      16.25     20.46     1.70      40.84        4.94      | 7494     0        6263751  0        0        | 40     6278737        100360010    -       
8      8      6      6/8    | 2.42      16.79     20.14     1.78      41.14        4.90      | 7494     0        6263751  0        0        | 48     6278737        100360010    -       
8      8      7      7/8    | 2.37      16.35     20.46     1.70      40.89        4.93      | 7494     0        6263751  0        0        | 56     6278737        100360010    -       
8      8      8      8/8    | 2.33      16.43     20.62     1.73      41.12        4.91      | 7494     0        6263751  0        0        | 64     6278737        100360010    -       
8      16     0      0/8    | 1.55      16.18     22.18     1.71      41.63        4.85      | 7494     0        0        6263751  0        | 1      6281233        100360010    -       
8      16     1      1/8    | 1.51      16.26     22.32     1.70      41.80        4.83      | 7494     0        0        6263751  0        | 8      6281233        100360010    -       
8      16     2      2/8    | 1.55      16.34     18.15     1.68      37.74        5.35      | 7494     0        6250001  13750    0        | 16     6281233        100360010    -       
8      16     3      3/8    | 1.48      16.06     18.42     1.70      37.68        5.35      | 7494     0        6257501  6250     0        | 24     6281233        100360010    -       
8      16     4      4/8    | 1.48      16.05     18.91     1.70      38.16        5.29      | 7494     0        6259999  3752     0        | 32     6281233        100360010    -       
8      16     5      5/8    | 1.51      16.16     13.41     1.68      32.77        6.16      | 7494     0        6263751  0        0        | 40     6281233        100360010    -       
8      16     6      6/8    | 1.52      16.43     13.56     1.74      33.26        6.06      | 7494     0        6263751  0        0        | 48     6281233        100360010    -       
8      16     7      7/8    | 1.47      16.45     13.45     1.75      33.14        6.09      | 7494     0        6263751  0        0        | 56     6281233        100360010    -       
8      16     8      8/8    | 1.54      16.12     13.45     1.68      32.80        6.15      | 7494     0        6263751  0        0        | 64     6281233        100360010    -       
8      32     0      0/8    | 1.02      16.54     27.63     1.73      46.93        4.30      | 7494     0        0        6263751  0        | 1      6287469        100360010    -       
8      32     1      1/8    | 1.12      16.29     27.47     1.68      46.57        4.33      | 7494     0        0        6263751  0        | 8      6287469        100360010    -       
8      32     2      2/8    | 1.01      16.31     18.68     1.68      37.69        5.35      | 7494     0        6250001  13750    0        | 16     6287469        100360010    -       
8      32     3      3/8    | 1.00      16.13     18.67     1.69      37.50        5.38      | 7494     0        6257501  6250     0        | 24     6287469        100360010    -       
8      32     4      4/8    | 1.00      16.00     18.98     1.67      37.66        5.36      | 7494     0        6259999  3752     0        | 32     6287469        100360010    -       
