# Matrix: bloweybq
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.001-0.01/bloweybq.mtx
# Category: 10k-50k-0.001-0.01
# Date: 2026-03-05 23:14:25
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 10001
# Cols: 10001
# NNZ(A): 69991
# NNZ(C) estimate: 100379895
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.93      4.04      10.07     1.55      16.60        12.09     | 2501     0        0        0        1562500  | 1      1565001        100020001    -       
8      8      1      1/8    | 0.92      4.05      10.12     1.50      16.60        12.09     | 2501     0        0        0        1562500  | 8      1565001        100020001    -       
8      8      2      2/8    | 0.93      4.01      10.19     1.48      16.62        12.08     | 2501     0        0        0        1562500  | 16     1565001        100020001    -       
8      8      3      3/8    | 0.93      4.12      10.44     1.53      17.02        11.79     | 2501     0        0        0        1562500  | 24     1565001        100020001    -       
8      8      4      4/8    | 0.92      4.00      10.03     1.47      16.44        12.21     | 2501     0        0        0        1562500  | 32     1565001        100020001    -       
8      8      5      5/8    | 0.94      4.07      10.62     1.57      17.20        11.67     | 2501     0        0        0        1562500  | 40     1565001        100020001    -       
8      8      6      6/8    | 0.93      4.03      10.28     1.50      16.75        11.99     | 2501     0        0        0        1562500  | 48     1565001        100020001    -       
8      8      7      7/8    | 0.93      4.08      10.52     1.54      17.09        11.74     | 2501     0        0        0        1562500  | 56     1565001        100020001    -       
8      8      8      8/8    | 0.93      3.98      6.33      1.48      12.73        15.77     | 2501     0        1562500  0        0        | 64     1565001        100020001    -       
8      16     0      0/8    | 0.57      3.97      10.73     1.49      16.78        11.96     | 2501     0        0        0        1562500  | 1      1565001        100020001    -       
8      16     1      1/8    | 0.58      4.11      10.35     1.56      16.61        12.08     | 2501     0        0        0        1562500  | 8      1565001        100020001    -       
8      16     2      2/8    | 0.58      4.13      10.38     1.53      16.64        12.06     | 2501     0        0        0        1562500  | 16     1565001        100020001    -       
8      16     3      3/8    | 0.57      3.97      10.67     1.47      16.69        12.03     | 2501     0        0        0        1562500  | 24     1565001        100020001    -       
8      16     4      4/8    | 0.58      4.08      10.31     1.54      16.52        12.15     | 2501     0        0        0        1562500  | 32     1565001        100020001    -       
8      16     5      5/8    | 0.57      4.04      10.35     1.49      16.47        12.19     | 2501     0        0        0        1562500  | 40     1565001        100020001    -       
8      16     6      6/8    | 0.58      4.13      10.41     1.55      16.69        12.03     | 2501     0        0        0        1562500  | 48     1565001        100020001    -       
8      16     7      7/8    | 0.57      3.98      10.46     1.48      16.50        12.16     | 2501     0        0        0        1562500  | 56     1565001        100020001    -       
8      16     8      8/8    | 0.58      4.06      4.82      1.54      11.02        18.22     | 2501     0        1562500  0        0        | 64     1565001        100020001    -       
8      32     0      0/8    | 0.39      4.04      11.40     1.50      17.35        11.57     | 2501     0        0        0        1562500  | 1      1565001        100020001    -       
8      32     1      1/8    | 0.39      4.07      11.43     1.52      17.42        11.52     | 2501     0        0        0        1562500  | 8      1565001        100020001    -       
8      32     2      2/8    | 0.39      4.00      11.15     1.49      17.04        11.78     | 2501     0        0        0        1562500  | 16     1565001        100020001    -       
8      32     3      3/8    | 0.40      4.02      11.52     1.49      17.44        11.51     | 2501     0        0        0        1562500  | 24     1565001        100020001    -       
8      32     4      4/8    | 0.40      4.03      11.22     1.54      17.19        11.68     | 2501     0        0        0        1562500  | 32     1565001        100020001    -       
8      32     5      5/8    | 0.40      4.03      11.25     1.50      17.18        11.68     | 2501     0        0        0        1562500  | 40     1565001        100020001    -       
8      32     6      6/8    | 0.39      4.02      11.48     1.48      17.39        11.55     | 2501     0        0        0        1562500  | 48     1565001        100020001    -       
8      32     7      7/8    | 0.40      4.11      11.63     1.56      17.71        11.34     | 2501     0        0        0        1562500  | 56     1565001        100020001    -       
8      32     8      8/8    | 0.41      4.08      4.59      1.56      10.64        18.86     | 2501     0        1562500  0        0        | 64     1565001        100020001    -       
16     8      0      0/8    | 0.80      1.42      8.49      1.43      12.16        16.51     | 1251     0        0        0        390625   | 1      391876         100020001    -       
16     8      1      1/8    | 0.80      1.43      8.57      1.42      12.23        16.41     | 1251     0        0        0        390625   | 32     391876         100020001    -       
16     8      2      2/8    | 0.79      1.41      8.39      1.43      12.03        16.68     | 1251     0        0        0        390625   | 64     391876         100020001    -       
16     8      3      3/8    | 0.80      1.42      8.65      1.44      12.32        16.29     | 1251     0        0        0        390625   | 96     391876         100020001    -       
16     8      4      4/8    | 0.79      1.41      8.42      1.42      12.05        16.66     | 1251     0        0        0        390625   | 128    391876         100020001    -       
16     8      5      5/8    | 0.80      1.44      8.24      1.46      11.94        16.81     | 1251     0        0        0        390625   | 160    391876         100020001    -       
16     8      6      6/8    | 0.80      1.44      8.41      1.52      12.18        16.48     | 1251     0        0        0        390625   | 192    391876         100020001    -       
16     8      7      7/8    | 0.80      1.41      8.64      1.44      12.30        16.33     | 1251     0        0        0        390625   | 224    391876         100020001    -       
16     8      8      8/8    | 0.80      1.42      10.53     1.43      14.19        14.15     | 1251     0        390625   0        0        | 256    391876         100020001    -       
16     16     0      0/8    | 0.46      1.03      7.76      1.43      10.69        18.77     | 1251     0        0        0        390625   | 1      391876         100020001    -       
16     16     1      1/8    | 0.46      1.10      7.93      1.46      10.96        18.32     | 1251     0        0        0        390625   | 32     391876         100020001    -       
16     16     2      2/8    | 0.45      1.02      8.08      1.41      10.97        18.30     | 1251     0        0        0        390625   | 64     391876         100020001    -       
16     16     3      3/8    | 0.47      1.05      8.35      1.47      11.36        17.68     | 1251     0        0        0        390625   | 96     391876         100020001    -       
16     16     4      4/8    | 0.47      1.04      8.11      1.45      11.08        18.12     | 1251     0        0        0        390625   | 128    391876         100020001    -       
16     16     5      5/8    | -         -         -         -         -            -         | -        -        -        -        -        | -      -              -            timeout 
16     16     6      6/8    | 0.47      1.06      8.31      1.48      11.34        17.71     | 1251     0        0        0        390625   | 192    391876         100020001    -       
16     16     7      7/8    | 0.46      1.02      8.03      1.42      10.94        18.34     | 1251     0        0        0        390625   | 224    391876         100020001    -       
16     16     8      8/8    | 0.46      1.19      3.53      1.47      6.66         30.13     | 1251     0        390625   0        0        | 256    391876         100020001    -       
16     32     0      0/8    | 0.29      1.07      8.96      1.40      11.73        17.12     | 1251     0        0        0        390625   | 1      391876         100020001    -       
