# Matrix: bodyy5
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.001-0.01/bodyy5.mtx
# Category: 10k-50k-0.001-0.01
# Date: 2026-03-05 23:15:42
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 18589
# Cols: 18589
# NNZ(A): 129281
# NNZ(C) estimate: 903511
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.09      0.20      0.14      0.24      0.68         2.67      | 11496    0        0        15674    0        | 1      48284          351735       -       
8      8      1      1/8    | 0.11      0.20      0.14      0.25      0.71         2.54      | 11496    0        0        15674    0        | 8      48284          351735       -       
8      8      2      2/8    | 0.09      0.20      0.13      0.24      0.68         2.66      | 11496    0        5226     10448    0        | 16     48284          351735       -       
8      8      3      3/8    | 0.10      0.20      0.12      0.24      0.66         2.73      | 11496    0        12176    3498     0        | 24     48284          351735       -       
8      8      4      4/8    | 0.09      0.20      0.12      0.24      0.66         2.73      | 11496    0        13452    2222     0        | 32     48284          351735       -       
8      8      5      5/8    | 0.09      0.20      0.09      0.24      0.63         2.85      | 11496    0        15674    0        0        | 40     48284          351735       -       
8      8      6      6/8    | 0.10      0.21      0.10      0.24      0.66         2.76      | 11496    0        15674    0        0        | 48     48284          351735       -       
8      8      7      7/8    | 0.10      0.18      0.10      0.24      0.62         2.90      | 11496    0        15674    0        0        | 56     48284          351735       -       
8      8      8      8/8    | 0.09      0.19      0.10      0.23      0.62         2.93      | 11496    0        15674    0        0        | 64     48284          351735       -       
8      16     0      0/8    | 0.08      0.23      0.15      0.29      0.77         2.36      | 11496    0        0        15674    0        | 1      64682          351735       -       
8      16     1      1/8    | 0.09      0.24      0.15      0.29      0.77         2.34      | 11496    0        0        15674    0        | 8      64682          351735       -       
8      16     2      2/8    | 0.12      0.27      0.14      0.35      0.89         2.03      | 11496    0        5226     10448    0        | 16     64682          351735       -       
8      16     3      3/8    | 0.10      0.26      0.12      0.31      0.80         2.27      | 11496    0        12176    3498     0        | 24     64682          351735       -       
8      16     4      4/8    | 0.12      0.26      0.12      0.34      0.86         2.10      | 11496    0        13452    2222     0        | 32     64682          351735       -       
8      16     5      5/8    | 0.10      0.27      0.09      0.32      0.79         2.28      | 11496    0        15674    0        0        | 40     64682          351735       -       
8      16     6      6/8    | 0.10      0.24      0.09      0.29      0.73         2.49      | 11496    0        15674    0        0        | 48     64682          351735       -       
8      16     7      7/8    | 0.12      0.26      0.10      0.34      0.82         2.21      | 11496    0        15674    0        0        | 56     64682          351735       -       
8      16     8      8/8    | 0.10      0.25      0.09      0.30      0.74         2.44      | 11496    0        15674    0        0        | 64     64682          351735       -       
8      32     0      0/8    | 0.10      0.36      0.21      0.37      1.06         1.70      | 11496    0        0        15674    0        | 1      97236          351735       -       
8      32     1      1/8    | 0.12      0.35      0.21      0.37      1.06         1.70      | 11496    0        0        15674    0        | 8      97236          351735       -       
