# Matrix: c-51
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.001-0.01/c-51.mtx
# Category: 10k-50k-0.001-0.01
# Date: 2026-03-05 23:26:27
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 23196
# Cols: 23196
# NNZ(A): 203050
# NNZ(C) estimate: 9459338
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.28      1.50      1.56      0.86      4.23         4.48      | 147257   0        0        39854    47165    | 1      513134         4346964      -       
8      8      1      1/8    | 0.28      1.46      1.67      0.81      4.23         4.47      | 147257   0        0        39854    47165    | 8      513134         4346964      -       
8      8      2      2/8    | 0.28      1.51      1.30      0.84      3.95         4.79      | 147257   0        28008    11846    47165    | 16     513134         4346964      -       
8      8      3      3/8    | 0.28      1.45      1.37      0.80      3.91         4.84      | 147257   0        31972    7882     47165    | 24     513134         4346964      -       
8      8      4      4/8    | 0.29      1.51      1.36      0.82      4.00         4.73      | 147257   0        36543    3311     47165    | 32     513134         4346964      -       
8      8      5      5/8    | 0.29      1.50      1.28      0.80      3.88         4.87      | 147257   0        37443    2411     47165    | 40     513134         4346964      -       
8      8      6      6/8    | 0.28      1.48      1.36      0.80      3.93         4.82      | 147257   0        39620    234      47165    | 48     513134         4346964      -       
8      8      7      7/8    | 0.29      1.48      1.36      0.84      3.99         4.75      | 147257   0        39820    34       47165    | 56     513134         4346964      -       
8      8      8      8/8    | 0.29      1.48      0.88      0.79      3.45         5.49      | 147257   0        87019    0        0        | 64     513134         4346964      -       
8      16     0      0/8    | 0.22      2.05      1.58      0.89      4.75         3.99      | 147257   0        0        39854    47165    | 1      746470         4346964      -       
8      16     1      1/8    | 0.22      2.04      1.57      0.86      4.70         4.02      | 147257   0        0        39854    47165    | 8      746470         4346964      -       
8      16     2      2/8    | 0.21      2.02      1.43      0.85      4.52         4.19      | 147257   0        28008    11846    47165    | 16     746470         4346964      -       
8      16     3      3/8    | 0.22      2.02      1.37      0.83      4.45         4.25      | 147257   0        31972    7882     47165    | 24     746470         4346964      -       
8      16     4      4/8    | 0.22      2.03      1.36      0.85      4.46         4.24      | 147257   0        36543    3311     47165    | 32     746470         4346964      -       
8      16     5      5/8    | 0.22      2.08      1.36      0.90      4.56         4.15      | 147257   0        37443    2411     47165    | 40     746470         4346964      -       
8      16     6      6/8    | 0.22      2.05      1.36      0.87      4.52         4.19      | 147257   0        39620    234      47165    | 48     746470         4346964      -       
8      16     7      7/8    | 0.22      2.09      1.34      0.92      4.58         4.13      | 147257   0        39820    34       47165    | 56     746470         4346964      -       
8      16     8      8/8    | 0.22      2.06      0.79      0.86      3.95         4.79      | 147257   0        87019    0        0        | 64     746470         4346964      -       
8      32     0      0/8    | 0.18      2.73      1.99      0.83      5.75         3.29      | 147257   0        0        39854    47165    | 1      1032954        4346964      -       
8      32     1      1/8    | 0.18      2.73      2.03      0.87      5.82         3.25      | 147257   0        0        39854    47165    | 8      1032954        4346964      -       
8      32     2      2/8    | 0.17      2.71      1.77      0.85      5.53         3.42      | 147257   0        28008    11846    47165    | 16     1032954        4346964      -       
