# Matrix: ca-CondMat
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.001-0.01/ca-CondMat.mtx
# Category: 10k-50k-0.001-0.01
# Date: 2026-03-05 23:27:56
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 23133
# Cols: 23133
# NNZ(A): 186936
# NNZ(C) estimate: 4127524
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.85      14.82     4.62      1.01      21.31        0.39      | 1784963  0        0        2601     0        | 1      5663130        2355437      -       
8      8      1      1/8    | 0.85      15.23     4.62      1.01      21.73        0.38      | 1784963  0        0        2601     0        | 8      5663130        2355437      -       
8      8      2      2/8    | 0.86      14.75     4.58      1.03      21.24        0.39      | 1784963  0        2400     201      0        | 16     5663130        2355437      -       
8      8      3      3/8    | 0.85      14.98     4.57      1.03      21.45        0.38      | 1784963  0        2551     50       0        | 24     5663130        2355437      -       
8      8      4      4/8    | 0.85      14.74     4.56      1.03      21.19        0.39      | 1784963  0        2584     17       0        | 32     5663130        2355437      -       
8      8      5      5/8    | 0.84      14.89     4.60      1.09      21.45        0.38      | 1784963  0        2595     6        0        | 40     5663130        2355437      -       
8      8      6      6/8    | 0.84      15.09     4.60      1.02      21.56        0.38      | 1784963  0        2597     4        0        | 48     5663130        2355437      -       
8      8      7      7/8    | 0.86      15.15     4.58      1.01      21.61        0.38      | 1784963  0        2601     0        0        | 56     5663130        2355437      -       
8      8      8      8/8    | 0.85      14.80     4.57      1.02      21.25        0.39      | 1784963  0        2601     0        0        | 64     5663130        2355437      -       
8      16     0      0/8    | 0.97      18.25     5.71      1.09      26.04        0.32      | 1784963  0        0        2601     0        | 1      7152766        2355437      -       
8      16     1      1/8    | 0.99      18.64     5.70      1.11      26.46        0.31      | 1784963  0        0        2601     0        | 8      7152766        2355437      -       
8      16     2      2/8    | 0.98      18.93     5.68      1.13      26.73        0.31      | 1784963  0        2400     201      0        | 16     7152766        2355437      -       
8      16     3      3/8    | 0.96      18.65     5.67      1.14      26.42        0.31      | 1784963  0        2551     50       0        | 24     7152766        2355437      -       
8      16     4      4/8    | 0.97      18.60     5.71      1.13      26.42        0.31      | 1784963  0        2584     17       0        | 32     7152766        2355437      -       
8      16     5      5/8    | 0.97      18.42     5.68      1.11      26.20        0.32      | 1784963  0        2595     6        0        | 40     7152766        2355437      -       
8      16     6      6/8    | 0.96      18.36     5.70      1.11      26.15        0.32      | 1784963  0        2597     4        0        | 48     7152766        2355437      -       
8      16     7      7/8    | 0.96      18.84     5.67      1.10      26.58        0.31      | 1784963  0        2601     0        0        | 56     7152766        2355437      -       
8      16     8      8/8    | 0.97      18.83     5.67      1.14      26.62        0.31      | 1784963  0        2601     0        0        | 64     7152766        2355437      -       
8      32     0      0/8    | 1.09      21.01     6.92      1.16      30.21        0.27      | 1784963  0        0        2601     0        | 1      8022372        2355437      -       
8      32     1      1/8    | 1.09      20.85     6.87      1.19      30.01        0.28      | 1784963  0        0        2601     0        | 8      8022372        2355437      -       
8      32     2      2/8    | 1.08      20.95     6.90      1.21      30.16        0.27      | 1784963  0        2400     201      0        | 16     8022372        2355437      -       
8      32     3      3/8    | 1.08      20.82     6.87      1.15      29.94        0.28      | 1784963  0        2551     50       0        | 24     8022372        2355437      -       
8      32     4      4/8    | 1.09      20.93     6.90      1.15      30.08        0.27      | 1784963  0        2584     17       0        | 32     8022372        2355437      -       
8      32     5      5/8    | 1.06      20.63     6.90      1.15      29.76        0.28      | 1784963  0        2595     6        0        | 40     8022372        2355437      -       
8      32     6      6/8    | 1.09      21.14     6.87      1.19      30.30        0.27      | 1784963  0        2597     4        0        | 48     8022372        2355437      -       
8      32     7      7/8    | 1.06      20.77     6.87      1.16      29.89        0.28      | 1784963  0        2601     0        0        | 56     8022372        2355437      -       
8      32     8      8/8    | 1.09      21.01     6.86      1.17      30.15        0.27      | 1784963  0        2601     0        0        | 64     8022372        2355437      -       
16     8      0      0/8    | 0.77      7.77      6.05      0.94      15.54        0.53      | 1213961  0        0        199      0        | 1      2047584        2355437      -       
16     8      1      1/8    | 0.77      7.84      6.07      0.92      15.61        0.53      | 1213961  0        0        199      0        | 32     2047584        2355437      -       
16     8      2      2/8    | 0.77      7.86      6.06      0.92      15.62        0.53      | 1213961  0        185      14       0        | 64     2047584        2355437      -       
16     8      3      3/8    | 0.76      7.80      6.09      0.91      15.57        0.53      | 1213961  0        197      2        0        | 96     2047584        2355437      -       
16     8      4      4/8    | 0.76      7.83      6.07      0.95      15.62        0.53      | 1213961  0        197      2        0        | 128    2047584        2355437      -       
16     8      5      5/8    | 0.77      7.76      6.12      0.91      15.57        0.53      | 1213961  0        199      0        0        | 160    2047584        2355437      -       
16     8      6      6/8    | 0.77      7.83      6.16      0.91      15.68        0.53      | 1213961  0        199      0        0        | 192    2047584        2355437      -       
16     8      7      7/8    | 0.77      7.80      6.15      0.93      15.66        0.53      | 1213961  0        199      0        0        | 224    2047584        2355437      -       
16     8      8      8/8    | 0.77      7.82      6.15      0.91      15.66        0.53      | 1213961  0        199      0        0        | 256    2047584        2355437      -       
16     16     0      0/8    | 0.76      9.15      7.84      0.92      18.69        0.44      | 1213961  0        0        199      0        | 1      2087354        2355437      -       
16     16     1      1/8    | 0.77      9.18      7.82      0.91      18.70        0.44      | 1213961  0        0        199      0        | 32     2087354        2355437      -       
16     16     2      2/8    | 0.78      9.28      7.89      0.91      18.86        0.44      | 1213961  0        185      14       0        | 64     2087354        2355437      -       
