# Matrix: cryg10000
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.001-0.01/cryg10000.mtx
# Category: 10k-50k-0.001-0.01
# Date: 2026-03-05 23:36:41
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 10000
# Cols: 10000
# NNZ(A): 49699
# NNZ(C) estimate: 247296
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.08      0.11      0.07      0.17      0.44         1.12      | 4888     0        0        6213     0        | 1      23334          128300       -       
8      8      1      1/8    | 0.10      0.12      0.07      0.20      0.51         0.98      | 4888     0        0        6213     0        | 8      23334          128300       -       
8      8      2      2/8    | 0.09      0.12      0.06      0.18      0.46         1.07      | 4888     0        4951     1262     0        | 16     23334          128300       -       
8      8      3      3/8    | 0.09      0.13      0.06      0.17      0.46         1.07      | 4888     0        4963     1250     0        | 24     23334          128300       -       
8      8      4      4/8    | 0.09      0.13      0.06      0.17      0.46         1.08      | 4888     0        5013     1200     0        | 32     23334          128300       -       
8      8      5      5/8    | 0.09      0.12      0.05      0.18      0.46         1.08      | 4888     0        6213     0        0        | 40     23334          128300       -       
8      8      6      6/8    | 0.09      0.13      0.06      0.18      0.47         1.06      | 4888     0        6213     0        0        | 48     23334          128300       -       
8      8      7      7/8    | 0.07      0.12      0.05      0.18      0.44         1.13      | 4888     0        6213     0        0        | 56     23334          128300       -       
8      8      8      8/8    | 0.08      0.11      0.05      0.17      0.42         1.17      | 4888     0        6213     0        0        | 64     23334          128300       -       
8      16     0      0/8    | 0.10      0.18      0.07      0.36      0.74         0.67      | 4888     0        0        6213     0        | 1      30778          128300       -       
8      16     1      1/8    | 0.12      0.17      0.07      0.30      0.67         0.74      | 4888     0        0        6213     0        | 8      30778          128300       -       
8      16     2      2/8    | 0.10      0.15      0.06      0.28      0.61         0.82      | 4888     0        4951     1262     0        | 16     30778          128300       -       
8      16     3      3/8    | 0.11      0.16      0.06      0.30      0.65         0.76      | 4888     0        4963     1250     0        | 24     30778          128300       -       
8      16     4      4/8    | 0.10      0.15      0.06      0.27      0.59         0.84      | 4888     0        5013     1200     0        | 32     30778          128300       -       
8      16     5      5/8    | 0.09      0.15      0.05      0.26      0.56         0.88      | 4888     0        6213     0        0        | 40     30778          128300       -       
8      16     6      6/8    | 0.10      0.16      0.05      0.28      0.60         0.82      | 4888     0        6213     0        0        | 48     30778          128300       -       
8      16     7      7/8    | 0.11      0.16      0.05      0.30      0.62         0.79      | 4888     0        6213     0        0        | 56     30778          128300       -       
8      16     8      8/8    | 0.10      0.16      0.05      0.28      0.59         0.84      | 4888     0        6213     0        0        | 64     30778          128300       -       
8      32     0      0/8    | 0.10      0.18      0.10      0.26      0.65         0.76      | 4888     0        0        6213     0        | 1      43851          128300       -       
8      32     1      1/8    | 0.11      0.21      0.11      0.31      0.75         0.66      | 4888     0        0        6213     0        | 8      43851          128300       -       
8      32     2      2/8    | 0.10      0.19      0.09      0.26      0.65         0.76      | 4888     0        4951     1262     0        | 16     43851          128300       -       
8      32     3      3/8    | 0.10      0.19      0.09      0.26      0.64         0.77      | 4888     0        4963     1250     0        | 24     43851          128300       -       
8      32     4      4/8    | 0.10      0.20      0.09      0.26      0.65         0.76      | 4888     0        5013     1200     0        | 32     43851          128300       -       
8      32     5      5/8    | 0.10      0.19      0.05      0.28      0.64         0.77      | 4888     0        6213     0        0        | 40     43851          128300       -       
8      32     6      6/8    | 0.11      0.20      0.05      0.32      0.70         0.71      | 4888     0        6213     0        0        | 48     43851          128300       -       
8      32     7      7/8    | 0.10      0.19      0.05      0.26      0.61         0.80      | 4888     0        6213     0        0        | 56     43851          128300       -       
8      32     8      8/8    | 0.10      0.20      0.05      0.26      0.62         0.80      | 4888     0        6213     0        0        | 64     43851          128300       -       
16     8      0      0/8    | 0.10      0.14      0.08      0.20      0.53         0.94      | 4905     0        0        1861     0        | 1      8059           128300       -       
16     8      1      1/8    | 0.08      0.13      0.07      0.17      0.47         1.06      | 4905     0        0        1861     0        | 32     8059           128300       -       
16     8      2      2/8    | 0.11      0.14      0.08      0.20      0.54         0.92      | 4905     0        1236     625      0        | 64     8059           128300       -       
16     8      3      3/8    | 0.10      0.13      0.06      0.20      0.49         1.00      | 4905     0        1861     0        0        | 96     8059           128300       -       
16     8      4      4/8    | 0.10      0.14      0.06      0.21      0.52         0.95      | 4905     0        1861     0        0        | 128    8059           128300       -       
16     8      5      5/8    | 0.11      0.14      0.06      0.20      0.52         0.96      | 4905     0        1861     0        0        | 160    8059           128300       -       
16     8      6      6/8    | 0.12      0.14      0.06      0.24      0.56         0.88      | 4905     0        1861     0        0        | 192    8059           128300       -       
16     8      7      7/8    | 0.10      0.13      0.06      0.20      0.49         1.00      | 4905     0        1861     0        0        | 224    8059           128300       -       
16     8      8      8/8    | 0.12      0.14      0.06      0.20      0.52         0.95      | 4905     0        1861     0        0        | 256    8059           128300       -       
16     16     0      0/8    | 0.10      0.13      0.08      0.21      0.54         0.92      | 4905     0        0        1861     0        | 1      11693          128300       -       
16     16     1      1/8    | 0.11      0.13      0.08      0.22      0.55         0.90      | 4905     0        0        1861     0        | 32     11693          128300       -       
16     16     2      2/8    | 0.10      0.13      0.10      0.21      0.54         0.92      | 4905     0        1236     625      0        | 64     11693          128300       -       
16     16     3      3/8    | 0.11      0.13      0.05      0.22      0.52         0.95      | 4905     0        1861     0        0        | 96     11693          128300       -       
16     16     4      4/8    | 0.11      0.14      0.04      0.23      0.53         0.93      | 4905     0        1861     0        0        | 128    11693          128300       -       
16     16     5      5/8    | 0.10      0.13      0.05      0.21      0.50         0.99      | 4905     0        1861     0        0        | 160    11693          128300       -       
16     16     6      6/8    | 0.11      0.13      0.05      0.22      0.52         0.95      | 4905     0        1861     0        0        | 192    11693          128300       -       
16     16     7      7/8    | 0.09      0.13      0.04      0.19      0.46         1.07      | 4905     0        1861     0        0        | 224    11693          128300       -       
16     16     8      8/8    | 0.10      0.13      0.04      0.20      0.47         1.04      | 4905     0        1861     0        0        | 256    11693          128300       -       
16     32     0      0/8    | 0.08      0.12      0.12      0.26      0.58         0.86      | 4905     0        0        1861     0        | 1      15418          128300       -       
16     32     1      1/8    | 0.11      0.13      0.12      0.30      0.67         0.74      | 4905     0        0        1861     0        | 32     15418          128300       -       
16     32     2      2/8    | 0.10      0.13      0.14      0.26      0.64         0.77      | 4905     0        1236     625      0        | 64     15418          128300       -       
16     32     3      3/8    | 0.10      0.12      0.05      0.27      0.54         0.91      | 4905     0        1861     0        0        | 96     15418          128300       -       
16     32     4      4/8    | 0.10      0.13      0.05      0.28      0.57         0.87      | 4905     0        1861     0        0        | 128    15418          128300       -       
16     32     5      5/8    | 0.10      0.12      0.04      0.26      0.54         0.91      | 4905     0        1861     0        0        | 160    15418          128300       -       
16     32     6      6/8    | 0.10      0.13      0.05      0.27      0.55         0.89      | 4905     0        1861     0        0        | 192    15418          128300       -       
16     32     7      7/8    | 0.11      0.13      0.05      0.26      0.56         0.89      | 4905     0        1861     0        0        | 224    15418          128300       -       
16     32     8      8/8    | 0.10      0.12      0.05      0.29      0.57         0.86      | 4905     0        1861     0        0        | 256    15418          128300       -       
32     8      0      0/8    | 0.12      0.16      0.25      0.21      0.74         0.67      | 3076     0        0        312      0        | 1      4033           128300       -       
32     8      1      1/8    | 0.10      0.15      0.25      0.20      0.72         0.68      | 3076     0        0        312      0        | 128    4033           128300       -       
