# Matrix: cti
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.001-0.01/cti.mtx
# Category: 10k-50k-0.001-0.01
# Date: 2026-03-05 23:37:58
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 16840
# Cols: 16840
# NNZ(A): 96464
# NNZ(C) estimate: 556806
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.10      0.34      0.15      0.38      0.98         1.13      | 39546    0        0        11811    0        | 1      93623          295182       -       
8      8      1      1/8    | 0.08      0.33      0.15      0.35      0.93         1.20      | 39546    0        0        11811    0        | 8      93623          295182       -       
8      8      2      2/8    | 0.11      0.34      0.14      0.39      0.98         1.14      | 39546    0        8752     3059     0        | 16     93623          295182       -       
8      8      3      3/8    | 0.10      0.33      0.13      0.35      0.93         1.20      | 39546    0        11379    432      0        | 24     93623          295182       -       
8      8      4      4/8    | 0.10      0.34      0.14      0.40      0.99         1.12      | 39546    0        11776    35       0        | 32     93623          295182       -       
8      8      5      5/8    | 0.09      0.33      0.13      0.35      0.91         1.22      | 39546    0        11789    22       0        | 40     93623          295182       -       
8      8      6      6/8    | 0.10      0.32      0.12      0.35      0.89         1.25      | 39546    0        11811    0        0        | 48     93623          295182       -       
8      8      7      7/8    | 0.10      0.34      0.12      0.38      0.96         1.16      | 39546    0        11811    0        0        | 56     93623          295182       -       
8      8      8      8/8    | 0.10      0.35      0.12      0.37      0.95         1.17      | 39546    0        11811    0        0        | 64     93623          295182       -       
8      16     0      0/8    | 0.08      0.42      0.17      0.34      1.03         1.08      | 39546    0        0        11811    0        | 1      127497         295182       -       
8      16     1      1/8    | 0.08      0.42      0.17      0.34      1.03         1.08      | 39546    0        0        11811    0        | 8      127497         295182       -       
8      16     2      2/8    | 0.09      0.43      0.14      0.34      1.01         1.10      | 39546    0        8752     3059     0        | 16     127497         295182       -       
8      16     3      3/8    | 0.09      0.41      0.13      0.34      0.98         1.13      | 39546    0        11379    432      0        | 24     127497         295182       -       
8      16     4      4/8    | 0.11      0.50      0.14      0.42      1.18         0.94      | 39546    0        11776    35       0        | 32     127497         295182       -       
8      16     5      5/8    | 0.10      0.43      0.13      0.36      1.03         1.08      | 39546    0        11789    22       0        | 40     127497         295182       -       
