# Matrix: de2010
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.001-0.01/de2010.mtx
# Category: 10k-50k-0.001-0.01
# Date: 2026-03-05 23:41:18
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 24115
# Cols: 24115
# NNZ(A): 116056
# NNZ(C) estimate: 772168
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.18      2.66      0.68      0.71      4.24         0.36      | 258163   0        0        3910     0        | 1      996807         520007       -       
8      8      1      1/8    | 0.18      2.63      0.69      0.71      4.22         0.37      | 258163   0        0        3910     0        | 8      996807         520007       -       
8      8      2      2/8    | 0.18      2.70      0.65      0.72      4.26         0.36      | 258163   0        3635     275      0        | 16     996807         520007       -       
8      8      3      3/8    | 0.17      2.65      0.65      0.70      4.19         0.37      | 258163   0        3882     28       0        | 24     996807         520007       -       
8      8      4      4/8    | 0.20      2.73      0.65      0.74      4.33         0.36      | 258163   0        3907     3        0        | 32     996807         520007       -       
8      8      5      5/8    | 0.18      2.69      0.65      0.72      4.27         0.36      | 258163   0        3908     2        0        | 40     996807         520007       -       
8      8      6      6/8    | 0.19      2.68      0.66      0.73      4.27         0.36      | 258163   0        3909     1        0        | 48     996807         520007       -       
8      8      7      7/8    | 0.18      2.66      0.65      0.70      4.20         0.37      | 258163   0        3910     0        0        | 56     996807         520007       -       
8      8      8      8/8    | 0.18      2.68      0.65      0.72      4.23         0.36      | 258163   0        3910     0        0        | 64     996807         520007       -       
8      16     0      0/8    | 0.21      4.20      0.85      0.84      6.13         0.25      | 258163   0        0        3910     0        | 1      1571741        520007       -       
8      16     1      1/8    | 0.21      4.11      0.86      0.84      6.03         0.26      | 258163   0        0        3910     0        | 8      1571741        520007       -       
8      16     2      2/8    | 0.22      4.09      0.80      0.81      5.93         0.26      | 258163   0        3635     275      0        | 16     1571741        520007       -       
8      16     3      3/8    | 0.22      4.13      0.79      0.82      5.97         0.26      | 258163   0        3882     28       0        | 24     1571741        520007       -       
8      16     4      4/8    | 0.21      4.09      0.80      0.82      5.94         0.26      | 258163   0        3907     3        0        | 32     1571741        520007       -       
8      16     5      5/8    | 0.21      4.06      0.79      0.80      5.88         0.26      | 258163   0        3908     2        0        | 40     1571741        520007       -       
8      16     6      6/8    | 0.23      4.17      0.80      0.85      6.06         0.25      | 258163   0        3909     1        0        | 48     1571741        520007       -       
8      16     7      7/8    | 0.22      4.10      0.79      0.82      5.94         0.26      | 258163   0        3910     0        0        | 56     1571741        520007       -       
8      16     8      8/8    | 0.21      4.13      0.79      0.84      5.98         0.26      | 258163   0        3910     0        0        | 64     1571741        520007       -       
8      32     0      0/8    | 0.28      6.18      1.12      0.85      8.44         0.18      | 258163   0        0        3910     0        | 1      2364535        520007       -       
8      32     1      1/8    | 0.29      6.08      1.11      0.84      8.32         0.19      | 258163   0        0        3910     0        | 8      2364535        520007       -       
8      32     2      2/8    | 0.30      6.22      1.02      0.86      8.42         0.18      | 258163   0        3635     275      0        | 16     2364535        520007       -       
8      32     3      3/8    | 0.28      6.15      0.97      0.85      8.26         0.19      | 258163   0        3882     28       0        | 24     2364535        520007       -       
8      32     4      4/8    | 0.29      6.10      0.90      0.83      8.13         0.19      | 258163   0        3907     3        0        | 32     2364535        520007       -       
8      32     5      5/8    | 0.28      6.12      0.86      0.84      8.11         0.19      | 258163   0        3908     2        0        | 40     2364535        520007       -       
8      32     6      6/8    | 0.28      6.05      0.86      0.83      8.05         0.19      | 258163   0        3909     1        0        | 48     2364535        520007       -       
8      32     7      7/8    | 0.28      6.03      0.86      0.84      8.03         0.19      | 258163   0        3910     0        0        | 56     2364535        520007       -       
8      32     8      8/8    | 0.28      6.06      0.86      0.85      8.06         0.19      | 258163   0        3910     0        0        | 64     2364535        520007       -       
16     8      0      0/8    | 0.17      1.40      0.76      0.73      3.07         0.50      | 173657   0        0        181      0        | 1      480234         520007       -       
16     8      1      1/8    | 0.17      1.39      0.78      0.72      3.06         0.51      | 173657   0        0        181      0        | 32     480234         520007       -       
16     8      2      2/8    | 0.17      1.34      0.74      0.73      2.99         0.52      | 173657   0        181      0        0        | 64     480234         520007       -       
16     8      3      3/8    | 0.17      1.35      0.75      0.74      3.02         0.51      | 173657   0        181      0        0        | 96     480234         520007       -       
16     8      4      4/8    | 0.17      1.33      0.75      0.74      3.00         0.51      | 173657   0        181      0        0        | 128    480234         520007       -       
16     8      5      5/8    | 0.18      1.42      0.75      0.78      3.15         0.49      | 173657   0        181      0        0        | 160    480234         520007       -       
16     8      6      6/8    | 0.18      1.37      0.75      0.75      3.06         0.50      | 173657   0        181      0        0        | 192    480234         520007       -       
16     8      7      7/8    | 0.17      1.40      0.75      0.75      3.08         0.50      | 173657   0        181      0        0        | 224    480234         520007       -       
16     8      8      8/8    | 0.17      1.33      0.75      0.73      2.98         0.52      | 173657   0        181      0        0        | 256    480234         520007       -       
16     16     0      0/8    | 0.19      1.75      0.89      0.74      3.58         0.43      | 173657   0        0        181      0        | 1      644622         520007       -       
16     16     1      1/8    | 0.20      1.80      0.92      0.78      3.70         0.42      | 173657   0        0        181      0        | 32     644622         520007       -       
16     16     2      2/8    | 0.19      1.84      0.84      0.75      3.63         0.43      | 173657   0        181      0        0        | 64     644622         520007       -       
16     16     3      3/8    | 0.19      1.76      0.83      0.74      3.53         0.44      | 173657   0        181      0        0        | 96     644622         520007       -       
16     16     4      4/8    | 0.19      1.76      0.83      0.74      3.53         0.44      | 173657   0        181      0        0        | 128    644622         520007       -       
16     16     5      5/8    | 0.19      1.80      0.82      0.77      3.60         0.43      | 173657   0        181      0        0        | 160    644622         520007       -       
16     16     6      6/8    | 0.19      1.81      0.83      0.75      3.59         0.43      | 173657   0        181      0        0        | 192    644622         520007       -       
16     16     7      7/8    | 0.20      1.83      0.83      0.85      3.73         0.41      | 173657   0        181      0        0        | 224    644622         520007       -       
16     16     8      8/8    | 0.19      1.78      0.82      0.75      3.56         0.43      | 173657   0        181      0        0        | 256    644622         520007       -       
16     32     0      0/8    | 0.22      2.30      1.43      0.76      4.73         0.33      | 173657   0        0        181      0        | 1      796552         520007       -       
16     32     1      1/8    | 0.22      2.29      1.44      0.75      4.71         0.33      | 173657   0        0        181      0        | 32     796552         520007       -       
16     32     2      2/8    | 0.22      2.29      0.97      0.73      4.22         0.37      | 173657   0        181      0        0        | 64     796552         520007       -       
16     32     3      3/8    | 0.22      2.29      0.97      0.76      4.25         0.36      | 173657   0        181      0        0        | 96     796552         520007       -       
16     32     4      4/8    | 0.22      2.27      0.97      0.75      4.22         0.37      | 173657   0        181      0        0        | 128    796552         520007       -       
16     32     5      5/8    | 0.21      2.30      0.98      0.72      4.22         0.37      | 173657   0        181      0        0        | 160    796552         520007       -       
16     32     6      6/8    | 0.22      2.25      0.98      0.72      4.17         0.37      | 173657   0        181      0        0        | 192    796552         520007       -       
16     32     7      7/8    | 0.21      2.25      0.97      0.75      4.19         0.37      | 173657   0        181      0        0        | 224    796552         520007       -       
16     32     8      8/8    | 0.21      2.22      0.98      0.74      4.16         0.37      | 173657   0        181      0        0        | 256    796552         520007       -       
32     8      0      0/8    | 0.23      1.15      1.11      0.52      3.01         0.51      | 102500   0        0        0        0        | 1      187690         520007       -       
32     8      1      1/8    | 0.21      1.15      1.12      0.48      2.98         0.52      | 102500   0        0        0        0        | 128    187690         520007       -       
32     8      2      2/8    | 0.21      1.14      1.11      0.49      2.96         0.52      | 102500   0        0        0        0        | 256    187690         520007       -       
32     8      3      3/8    | 0.21      1.15      1.11      0.48      2.97         0.52      | 102500   0        0        0        0        | 384    187690         520007       -       
32     8      4      4/8    | 0.21      1.19      1.09      0.49      2.99         0.52      | 102500   0        0        0        0        | 512    187690         520007       -       
32     8      5      5/8    | 0.21      1.16      1.18      0.49      3.05         0.51      | 102500   0        0        0        0        | 640    187690         520007       -       
32     8      6      6/8    | 0.22      1.14      1.12      0.48      2.97         0.52      | 102500   0        0        0        0        | 768    187690         520007       -       
32     8      7      7/8    | 0.21      1.18      1.17      0.49      3.06         0.51      | 102500   0        0        0        0        | 896    187690         520007       -       
32     8      8      8/8    | 0.21      1.17      1.12      0.50      3.00         0.51      | 102500   0        0        0        0        | 1024   187690         520007       -       
32     16     0      0/8    | 0.23      1.47      1.37      0.60      3.67         0.42      | 102500   0        0        0        0        | 1      211422         520007       -       
32     16     1      1/8    | 0.22      1.46      1.36      0.58      3.63         0.43      | 102500   0        0        0        0        | 128    211422         520007       -       
32     16     2      2/8    | 0.22      1.46      1.36      0.58      3.63         0.43      | 102500   0        0        0        0        | 256    211422         520007       -       
32     16     3      3/8    | 0.23      1.45      1.37      0.58      3.64         0.42      | 102500   0        0        0        0        | 384    211422         520007       -       
32     16     4      4/8    | 0.22      1.45      1.35      0.58      3.61         0.43      | 102500   0        0        0        0        | 512    211422         520007       -       
32     16     5      5/8    | 0.22      1.46      1.36      0.57      3.62         0.43      | 102500   0        0        0        0        | 640    211422         520007       -       
32     16     6      6/8    | 0.22      1.44      1.37      0.56      3.60         0.43      | 102500   0        0        0        0        | 768    211422         520007       -       
32     16     7      7/8    | 0.22      1.41      1.38      0.55      3.58         0.43      | 102500   0        0        0        0        | 896    211422         520007       -       
32     16     8      8/8    | 0.21      1.41      1.37      0.56      3.56         0.43      | 102500   0        0        0        0        | 1024   211422         520007       -       
