# Matrix: delaunay_n14
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.001-0.01/delaunay_n14.mtx
# Category: 10k-50k-0.001-0.01
# Date: 2026-03-05 23:41:55
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 16384
# Cols: 16384
# NNZ(A): 98244
# NNZ(C) estimate: 618884
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.09      0.38      0.18      0.33      0.99         1.25      | 27067    0        0        12595    2        | 1      113558         339326       -       
8      8      1      1/8    | 0.11      0.41      0.19      0.37      1.08         1.14      | 27067    0        0        12595    2        | 8      113558         339326       -       
8      8      2      2/8    | 0.10      0.40      0.16      0.35      1.02         1.21      | 27067    0        6288     6307     2        | 16     113558         339326       -       
8      8      3      3/8    | 0.09      0.37      0.14      0.33      0.94         1.32      | 27067    0        9806     2789     2        | 24     113558         339326       -       
8      8      4      4/8    | 0.10      0.38      0.15      0.33      0.97         1.28      | 27067    0        11009    1586     2        | 32     113558         339326       -       
8      8      5      5/8    | 0.11      0.40      0.15      0.36      1.03         1.21      | 27067    0        11548    1047     2        | 40     113558         339326       -       
8      8      6      6/8    | 0.10      0.39      0.14      0.34      0.97         1.27      | 27067    0        12208    387      2        | 48     113558         339326       -       
8      8      7      7/8    | 0.10      0.39      0.14      0.34      0.96         1.29      | 27067    0        12544    51       2        | 56     113558         339326       -       
8      8      8      8/8    | 0.10      0.39      0.13      0.34      0.97         1.27      | 27067    0        12597    0        0        | 64     113558         339326       -       
8      16     0      0/8    | 0.09      0.55      0.20      0.48      1.33         0.93      | 27067    0        0        12595    2        | 1      176772         339326       -       
8      16     1      1/8    | 0.09      0.55      0.20      0.50      1.35         0.92      | 27067    0        0        12595    2        | 8      176772         339326       -       
8      16     2      2/8    | 0.10      0.55      0.16      0.49      1.31         0.94      | 27067    0        6288     6307     2        | 16     176772         339326       -       
8      16     3      3/8    | 0.09      0.56      0.14      0.50      1.30         0.95      | 27067    0        9806     2789     2        | 24     176772         339326       -       
8      16     4      4/8    | 0.09      0.56      0.15      0.50      1.31         0.94      | 27067    0        11009    1586     2        | 32     176772         339326       -       
8      16     5      5/8    | 0.10      0.55      0.14      0.50      1.30         0.95      | 27067    0        11548    1047     2        | 40     176772         339326       -       
8      16     6      6/8    | 0.09      0.55      0.14      0.51      1.30         0.95      | 27067    0        12208    387      2        | 48     176772         339326       -       
8      16     7      7/8    | 0.09      0.55      0.13      0.49      1.26         0.98      | 27067    0        12544    51       2        | 56     176772         339326       -       
8      16     8      8/8    | 0.10      0.55      0.12      0.49      1.28         0.97      | 27067    0        12597    0        0        | 64     176772         339326       -       
8      32     0      0/8    | 0.12      0.93      0.29      0.76      2.11         0.59      | 27067    0        0        12595    2        | 1      290648         339326       -       
8      32     1      1/8    | 0.11      0.87      0.29      0.72      1.99         0.62      | 27067    0        0        12595    2        | 8      290648         339326       -       
8      32     2      2/8    | 0.11      0.90      0.22      0.73      1.97         0.63      | 27067    0        6288     6307     2        | 16     290648         339326       -       
8      32     3      3/8    | 0.10      0.87      0.19      0.70      1.86         0.66      | 27067    0        9806     2789     2        | 24     290648         339326       -       
8      32     4      4/8    | 0.11      0.90      0.19      0.73      1.94         0.64      | 27067    0        11009    1586     2        | 32     290648         339326       -       
8      32     5      5/8    | 0.11      0.90      0.18      0.73      1.93         0.64      | 27067    0        11548    1047     2        | 40     290648         339326       -       
8      32     6      6/8    | 0.10      0.89      0.18      0.73      1.92         0.65      | 27067    0        12208    387      2        | 48     290648         339326       -       
8      32     7      7/8    | 0.10      0.91      0.17      0.73      1.91         0.65      | 27067    0        12544    51       2        | 56     290648         339326       -       
8      32     8      8/8    | 0.13      0.92      0.13      0.81      2.00         0.62      | 27067    0        12597    0        0        | 64     290648         339326       -       
16     8      0      0/8    | 0.12      0.26      0.22      0.36      0.98         1.27      | 16816    0        0        3004     0        | 1      49386          339326       -       
16     8      1      1/8    | 0.11      0.26      0.21      0.33      0.93         1.33      | 16816    0        0        3004     0        | 32     49386          339326       -       
16     8      2      2/8    | 0.12      0.26      0.17      0.34      0.90         1.38      | 16816    0        2124     880      0        | 64     49386          339326       -       
16     8      3      3/8    | 0.12      0.27      0.16      0.36      0.92         1.34      | 16816    0        2251     753      0        | 96     49386          339326       -       
16     8      4      4/8    | 0.12      0.26      0.15      0.35      0.89         1.39      | 16816    0        2663     341      0        | 128    49386          339326       -       
16     8      5      5/8    | 0.11      0.27      0.21      0.33      0.93         1.33      | 16816    0        2992     12       0        | 160    49386          339326       -       
16     8      6      6/8    | 0.11      0.27      0.16      0.33      0.87         1.42      | 16816    0        3004     0        0        | 192    49386          339326       -       
16     8      7      7/8    | 0.12      0.29      0.16      0.35      0.93         1.33      | 16816    0        3004     0        0        | 224    49386          339326       -       
16     8      8      8/8    | 0.12      0.27      0.16      0.34      0.89         1.38      | 16816    0        3004     0        0        | 256    49386          339326       -       
16     16     0      0/8    | 0.11      0.28      0.26      0.38      1.04         1.19      | 16816    0        0        3004     0        | 1      74978          339326       -       
16     16     1      1/8    | 0.12      0.28      0.26      0.38      1.04         1.19      | 16816    0        0        3004     0        | 32     74978          339326       -       
16     16     2      2/8    | 0.13      0.29      0.20      0.38      1.00         1.24      | 16816    0        2124     880      0        | 64     74978          339326       -       
16     16     3      3/8    | 0.10      0.27      0.20      0.34      0.92         1.35      | 16816    0        2251     753      0        | 96     74978          339326       -       
16     16     4      4/8    | 0.10      0.27      0.20      0.34      0.92         1.34      | 16816    0        2663     341      0        | 128    74978          339326       -       
16     16     5      5/8    | 0.10      0.30      0.17      0.35      0.92         1.35      | 16816    0        2992     12       0        | 160    74978          339326       -       
16     16     6      6/8    | 0.12      0.28      0.14      0.37      0.92         1.35      | 16816    0        3004     0        0        | 192    74978          339326       -       
16     16     7      7/8    | 0.11      0.29      0.14      0.36      0.91         1.36      | 16816    0        3004     0        0        | 224    74978          339326       -       
16     16     8      8/8    | 0.10      0.26      0.14      0.34      0.86         1.44      | 16816    0        3004     0        0        | 256    74978          339326       -       
16     32     0      0/8    | 0.10      0.40      0.31      0.38      1.20         1.03      | 16816    0        0        3004     0        | 1      120714         339326       -       
16     32     1      1/8    | 0.12      0.42      0.28      0.43      1.26         0.98      | 16816    0        0        3004     0        | 32     120714         339326       -       
16     32     2      2/8    | 0.11      0.41      0.27      0.40      1.19         1.04      | 16816    0        2124     880      0        | 64     120714         339326       -       
16     32     3      3/8    | 0.11      0.41      0.28      0.40      1.21         1.02      | 16816    0        2251     753      0        | 96     120714         339326       -       
16     32     4      4/8    | 0.11      0.40      0.27      0.40      1.19         1.04      | 16816    0        2663     341      0        | 128    120714         339326       -       
16     32     5      5/8    | 0.11      0.41      0.22      0.41      1.15         1.08      | 16816    0        2992     12       0        | 160    120714         339326       -       
16     32     6      6/8    | 0.11      0.42      0.13      0.41      1.08         1.15      | 16816    0        3004     0        0        | 192    120714         339326       -       
16     32     7      7/8    | 0.11      0.43      0.13      0.42      1.11         1.11      | 16816    0        3004     0        0        | 224    120714         339326       -       
16     32     8      8/8    | 0.11      0.41      0.13      0.41      1.07         1.16      | 16816    0        3004     0        0        | 256    120714         339326       -       
32     8      0      0/8    | 0.15      0.29      0.44      0.27      1.16         1.06      | 9774     0        0        456      0        | 1      21954          339326       -       
32     8      1      1/8    | 0.15      0.31      0.45      0.26      1.18         1.05      | 9774     0        0        456      0        | 128    21954          339326       -       
32     8      2      2/8    | 0.15      0.31      0.45      0.27      1.19         1.04      | 9774     0        82       374      0        | 256    21954          339326       -       
32     8      3      3/8    | 0.15      0.29      0.31      0.26      1.03         1.20      | 9774     0        452      4        0        | 384    21954          339326       -       
32     8      4      4/8    | 0.15      0.31      0.23      0.27      0.97         1.28      | 9774     0        456      0        0        | 512    21954          339326       -       
32     8      5      5/8    | 0.15      0.31      0.24      0.27      0.97         1.27      | 9774     0        456      0        0        | 640    21954          339326       -       
32     8      6      6/8    | 0.15      0.31      0.32      0.27      1.05         1.18      | 9774     0        456      0        0        | 768    21954          339326       -       
32     8      7      7/8    | 0.16      0.32      0.24      0.30      1.03         1.20      | 9774     0        456      0        0        | 896    21954          339326       -       
32     8      8      8/8    | 0.15      0.30      0.24      0.27      0.98         1.26      | 9774     0        456      0        0        | 1024   21954          339326       -       
32     16     0      0/8    | 0.14      0.31      0.46      0.29      1.20         1.03      | 9774     0        0        456      0        | 1      32496          339326       -       
32     16     1      1/8    | 0.14      0.30      0.47      0.28      1.19         1.04      | 9774     0        0        456      0        | 128    32496          339326       -       
32     16     2      2/8    | 0.15      0.30      0.41      0.29      1.17         1.06      | 9774     0        82       374      0        | 256    32496          339326       -       
32     16     3      3/8    | 0.14      0.29      0.30      0.27      1.01         1.22      | 9774     0        452      4        0        | 384    32496          339326       -       
32     16     4      4/8    | 0.14      0.31      0.24      0.28      0.98         1.27      | 9774     0        456      0        0        | 512    32496          339326       -       
32     16     5      5/8    | 0.15      0.30      0.25      0.28      0.99         1.25      | 9774     0        456      0        0        | 640    32496          339326       -       
32     16     6      6/8    | 0.14      0.32      0.23      0.29      0.98         1.27      | 9774     0        456      0        0        | 768    32496          339326       -       
32     16     7      7/8    | 0.14      0.29      0.22      0.27      0.93         1.33      | 9774     0        456      0        0        | 896    32496          339326       -       
32     16     8      8/8    | 0.14      0.30      0.22      0.26      0.93         1.33      | 9774     0        456      0        0        | 1024   32496          339326       -       
32     32     0      0/8    | 0.12      0.29      0.31      0.34      1.08         1.14      | 9774     0        0        456      0        | 1      51308          339326       -       
32     32     1      1/8    | 0.14      0.32      0.31      0.40      1.18         1.05      | 9774     0        0        456      0        | 128    51308          339326       -       
32     32     2      2/8    | 0.13      0.30      0.32      0.35      1.12         1.11      | 9774     0        82       374      0        | 256    51308          339326       -       
32     32     3      3/8    | 0.13      0.31      0.23      0.36      1.05         1.18      | 9774     0        452      4        0        | 384    51308          339326       -       
32     32     4      4/8    | 0.12      0.30      0.22      0.33      0.98         1.26      | 9774     0        456      0        0        | 512    51308          339326       -       
32     32     5      5/8    | 0.12      0.29      0.21      0.33      0.97         1.28      | 9774     0        456      0        0        | 640    51308          339326       -       
32     32     6      6/8    | 0.12      0.29      0.21      0.33      0.96         1.29      | 9774     0        456      0        0        | 768    51308          339326       -       
32     32     7      7/8    | 0.12      0.30      0.21      0.34      0.98         1.26      | 9774     0        456      0        0        | 896    51308          339326       -       
32     32     8      8/8    | 0.12      0.30      0.21      0.34      0.99         1.25      | 9774     0        456      0        0        | 1024   51308          339326       -       
