# Matrix: g7jac040
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.001-0.01/g7jac040.mtx
# Category: 10k-50k-0.001-0.01
# Date: 2026-03-05 23:52:21
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 11790
# Cols: 11790
# NNZ(A): 114671
# NNZ(C) estimate: 1538270
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.22      1.24      0.69      0.72      2.88         1.07      | 119243   0        0        15815    18       | 1      295647         623334       -       
8      8      1      1/8    | 0.23      1.22      0.69      0.76      2.90         1.06      | 119243   0        0        15815    18       | 8      295647         623334       -       
8      8      2      2/8    | 0.22      1.27      0.65      0.73      2.88         1.07      | 119243   0        10020    5795     18       | 16     295647         623334       -       
8      8      3      3/8    | 0.22      1.28      0.61      0.71      2.84         1.08      | 119243   0        12949    2866     18       | 24     295647         623334       -       
8      8      4      4/8    | 0.22      1.31      0.63      0.71      2.88         1.07      | 119243   0        14009    1806     18       | 32     295647         623334       -       
8      8      5      5/8    | 0.22      1.25      0.61      0.69      2.78         1.11      | 119243   0        14866    949      18       | 40     295647         623334       -       
8      8      6      6/8    | 0.23      1.29      0.62      0.76      2.91         1.06      | 119243   0        15329    486      18       | 48     295647         623334       -       
8      8      7      7/8    | 0.22      1.33      0.62      0.72      2.90         1.06      | 119243   0        15701    114      18       | 56     295647         623334       -       
8      8      8      8/8    | 0.21      1.20      0.62      0.71      2.75         1.12      | 119243   0        15833    0        0        | 64     295647         623334       -       
8      16     0      0/8    | 0.23      1.44      0.75      0.76      3.19         0.96      | 119243   0        0        15815    18       | 1      367668         623334       -       
8      16     1      1/8    | 0.22      1.39      0.74      0.71      3.07         1.00      | 119243   0        0        15815    18       | 8      367668         623334       -       
8      16     2      2/8    | 0.22      1.39      0.67      0.73      3.02         1.02      | 119243   0        10020    5795     18       | 16     367668         623334       -       
8      16     3      3/8    | 0.23      1.38      0.62      0.75      2.98         1.03      | 119243   0        12949    2866     18       | 24     367668         623334       -       
8      16     4      4/8    | 0.22      1.41      0.63      0.72      2.99         1.03      | 119243   0        14009    1806     18       | 32     367668         623334       -       
8      16     5      5/8    | 0.22      1.42      0.61      0.70      2.96         1.04      | 119243   0        14866    949      18       | 40     367668         623334       -       
8      16     6      6/8    | 0.22      1.39      0.62      0.71      2.95         1.04      | 119243   0        15329    486      18       | 48     367668         623334       -       
8      16     7      7/8    | 0.22      1.36      0.61      0.70      2.90         1.06      | 119243   0        15701    114      18       | 56     367668         623334       -       
8      16     8      8/8    | 0.22      1.38      0.61      0.72      2.93         1.05      | 119243   0        15833    0        0        | 64     367668         623334       -       
8      32     0      0/8    | 0.21      1.48      1.01      0.74      3.45         0.89      | 119243   0        0        15815    18       | 1      484486         623334       -       
8      32     1      1/8    | 0.21      1.48      1.01      0.77      3.47         0.89      | 119243   0        0        15815    18       | 8      484486         623334       -       
8      32     2      2/8    | 0.21      1.49      0.77      0.74      3.22         0.96      | 119243   0        10020    5795     18       | 16     484486         623334       -       
8      32     3      3/8    | 0.21      1.48      0.64      0.75      3.08         1.00      | 119243   0        12949    2866     18       | 24     484486         623334       -       
