# Matrix: g7jac050sc
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.001-0.01/g7jac050sc.mtx
# Category: 10k-50k-0.001-0.01
# Date: 2026-03-05 23:53:44
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 14760
# Cols: 14760
# NNZ(A): 157990
# NNZ(C) estimate: 2568056
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.26      1.78      1.20      0.79      4.04         1.27      | 176673   0        0        22779    18       | 1      442868         891031       -       
8      8      1      1/8    | 0.24      1.68      1.22      0.75      3.90         1.32      | 176673   0        0        22779    18       | 8      442868         891031       -       
8      8      2      2/8    | 0.25      1.69      1.14      0.76      3.85         1.33      | 176673   0        15064    7715     18       | 16     442868         891031       -       
8      8      3      3/8    | 0.25      1.71      1.08      0.75      3.80         1.35      | 176673   0        19161    3618     18       | 24     442868         891031       -       
8      8      4      4/8    | 0.24      1.69      1.11      0.77      3.82         1.35      | 176673   0        20527    2252     18       | 32     442868         891031       -       
8      8      5      5/8    | 0.25      1.72      1.09      0.78      3.84         1.34      | 176673   0        21583    1196     18       | 40     442868         891031       -       
8      8      6      6/8    | 0.24      1.74      1.09      0.76      3.85         1.34      | 176673   0        22159    620      18       | 48     442868         891031       -       
8      8      7      7/8    | 0.25      1.75      1.09      0.76      3.85         1.33      | 176673   0        22641    138      18       | 56     442868         891031       -       
8      8      8      8/8    | 0.24      1.66      1.08      0.73      3.73         1.38      | 176673   0        22797    0        0        | 64     442868         891031       -       
8      16     0      0/8    | 0.25      1.98      1.29      0.84      4.37         1.18      | 176673   0        0        22779    18       | 1      551868         891031       -       
8      16     1      1/8    | 0.25      1.96      1.30      0.80      4.32         1.19      | 176673   0        0        22779    18       | 8      551868         891031       -       
8      16     2      2/8    | 0.25      1.89      1.18      0.77      4.09         1.26      | 176673   0        15064    7715     18       | 16     551868         891031       -       
8      16     3      3/8    | 0.24      1.88      1.11      0.77      4.01         1.28      | 176673   0        19161    3618     18       | 24     551868         891031       -       
8      16     4      4/8    | 0.26      1.94      1.15      0.83      4.18         1.23      | 176673   0        20527    2252     18       | 32     551868         891031       -       
8      16     5      5/8    | 0.25      1.88      1.11      0.80      4.04         1.27      | 176673   0        21583    1196     18       | 40     551868         891031       -       
8      16     6      6/8    | 0.25      1.97      1.12      0.81      4.16         1.23      | 176673   0        22159    620      18       | 48     551868         891031       -       
8      16     7      7/8    | 0.26      1.98      1.11      0.82      4.18         1.23      | 176673   0        22641    138      18       | 56     551868         891031       -       
8      16     8      8/8    | 0.25      1.96      1.11      0.78      4.12         1.25      | 176673   0        22797    0        0        | 64     551868         891031       -       
8      32     0      0/8    | 0.26      2.29      1.63      0.77      4.96         1.03      | 176673   0        0        22779    18       | 1      735715         891031       -       
8      32     1      1/8    | 0.26      2.29      1.61      0.73      4.90         1.05      | 176673   0        0        22779    18       | 8      735715         891031       -       
8      32     2      2/8    | 0.25      2.23      1.28      0.70      4.47         1.15      | 176673   0        15064    7715     18       | 16     735715         891031       -       
8      32     3      3/8    | 0.25      2.23      1.18      0.70      4.37         1.18      | 176673   0        19161    3618     18       | 24     735715         891031       -       
8      32     4      4/8    | 0.26      2.22      1.19      0.71      4.38         1.17      | 176673   0        20527    2252     18       | 32     735715         891031       -       
8      32     5      5/8    | 0.26      2.23      1.14      0.71      4.35         1.18      | 176673   0        21583    1196     18       | 40     735715         891031       -       
8      32     6      6/8    | 0.27      2.33      1.13      0.78      4.53         1.14      | 176673   0        22159    620      18       | 48     735715         891031       -       
8      32     7      7/8    | 0.26      2.29      1.14      0.74      4.44         1.16      | 176673   0        22641    138      18       | 56     735715         891031       -       
8      32     8      8/8    | 0.26      2.24      1.13      0.73      4.37         1.18      | 176673   0        22797    0        0        | 64     735715         891031       -       
16     8      0      0/8    | 0.34      1.84      1.18      0.52      3.88         1.32      | 98805    0        0        4267     0        | 1      187000         891031       -       
16     8      1      1/8    | 0.34      1.84      1.16      0.51      3.86         1.33      | 98805    0        0        4267     0        | 32     187000         891031       -       
16     8      2      2/8    | 0.34      1.76      1.14      0.52      3.77         1.36      | 98805    0        2867     1400     0        | 64     187000         891031       -       
16     8      3      3/8    | 0.34      1.76      1.15      0.52      3.79         1.36      | 98805    0        3814     453      0        | 96     187000         891031       -       
16     8      4      4/8    | 0.34      1.83      1.14      0.51      3.84         1.34      | 98805    0        4195     72       0        | 128    187000         891031       -       
