# Matrix: hvdc1
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.001-0.01/hvdc1.mtx
# Category: 10k-50k-0.001-0.01
# Date: 2026-03-05 23:59:22
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 24842
# Cols: 24842
# NNZ(A): 159981
# NNZ(C) estimate: 1229794
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.19      0.68      0.25      0.52      1.65         1.49      | 54783    0        0        11178    41       | 1      203683         407553       -       
8      8      1      1/8    | 0.19      0.65      0.26      0.54      1.66         1.48      | 54783    0        0        11178    41       | 8      203683         407553       -       
8      8      2      2/8    | 0.19      0.68      0.23      0.52      1.63         1.51      | 54783    0        7527     3651     41       | 16     203683         407553       -       
8      8      3      3/8    | 0.18      0.64      0.22      0.50      1.54         1.59      | 54783    0        9631     1547     41       | 24     203683         407553       -       
8      8      4      4/8    | 0.19      0.66      0.23      0.53      1.62         1.51      | 54783    0        10391    787      41       | 32     203683         407553       -       
8      8      5      5/8    | 0.19      0.65      0.22      0.51      1.57         1.56      | 54783    0        10892    286      41       | 40     203683         407553       -       
8      8      6      6/8    | 0.19      0.65      0.22      0.50      1.57         1.57      | 54783    0        11042    136      41       | 48     203683         407553       -       
8      8      7      7/8    | 0.19      0.65      0.22      0.52      1.60         1.53      | 54783    0        11170    8        41       | 56     203683         407553       -       
8      8      8      8/8    | 0.18      0.66      0.22      0.51      1.59         1.55      | 54783    0        11219    0        0        | 64     203683         407553       -       
8      16     0      0/8    | 0.17      0.92      0.28      0.72      2.10         1.17      | 54783    0        0        11178    41       | 1      314719         407553       -       
8      16     1      1/8    | 0.18      0.93      0.28      0.71      2.11         1.17      | 54783    0        0        11178    41       | 8      314719         407553       -       
8      16     2      2/8    | 0.17      0.95      0.24      0.71      2.08         1.18      | 54783    0        7527     3651     41       | 16     314719         407553       -       
8      16     3      3/8    | 0.18      0.99      0.23      0.78      2.19         1.13      | 54783    0        9631     1547     41       | 24     314719         407553       -       
8      16     4      4/8    | 0.18      0.96      0.23      0.73      2.11         1.17      | 54783    0        10391    787      41       | 32     314719         407553       -       
8      16     5      5/8    | 0.18      0.95      0.23      0.72      2.09         1.18      | 54783    0        10892    286      41       | 40     314719         407553       -       
8      16     6      6/8    | 0.17      0.97      0.22      0.71      2.08         1.18      | 54783    0        11042    136      41       | 48     314719         407553       -       
8      16     7      7/8    | 0.18      0.99      0.23      0.77      2.18         1.13      | 54783    0        11170    8        41       | 56     314719         407553       -       
8      16     8      8/8    | 0.18      0.94      0.23      0.73      2.09         1.18      | 54783    0        11219    0        0        | 64     314719         407553       -       
8      32     0      0/8    | 0.17      1.41      0.41      0.70      2.69         0.91      | 54783    0        0        11178    41       | 1      509132         407553       -       
8      32     1      1/8    | 0.18      1.45      0.47      0.76      2.86         0.86      | 54783    0        0        11178    41       | 8      509132         407553       -       
8      32     2      2/8    | 0.17      1.42      0.35      0.72      2.66         0.92      | 54783    0        7527     3651     41       | 16     509132         407553       -       
8      32     3      3/8    | 0.17      1.47      0.32      0.70      2.68         0.92      | 54783    0        9631     1547     41       | 24     509132         407553       -       
8      32     4      4/8    | 0.17      1.44      0.24      0.72      2.60         0.95      | 54783    0        10391    787      41       | 32     509132         407553       -       
8      32     5      5/8    | 0.17      1.49      0.24      0.72      2.64         0.93      | 54783    0        10892    286      41       | 40     509132         407553       -       
8      32     6      6/8    | 0.18      1.43      0.25      0.75      2.62         0.94      | 54783    0        11042    136      41       | 48     509132         407553       -       
8      32     7      7/8    | 0.17      1.42      0.21      0.72      2.53         0.97      | 54783    0        11170    8        41       | 56     509132         407553       -       
8      32     8      8/8    | 0.17      1.41      0.21      0.72      2.52         0.98      | 54783    0        11219    0        0        | 64     509132         407553       -       
16     8      0      0/8    | 0.21      0.38      0.28      0.46      1.35         1.82      | 39272    0        0        2038     0        | 1      109638         407553       -       
16     8      1      1/8    | 0.21      0.43      0.29      0.48      1.42         1.73      | 39272    0        0        2038     0        | 32     109638         407553       -       
16     8      2      2/8    | 0.21      0.41      0.29      0.45      1.38         1.79      | 39272    0        1416     622      0        | 64     109638         407553       -       
16     8      3      3/8    | 0.21      0.40      0.29      0.46      1.38         1.79      | 39272    0        1881     157      0        | 96     109638         407553       -       
16     8      4      4/8    | 0.22      0.40      0.30      0.47      1.39         1.77      | 39272    0        2011     27       0        | 128    109638         407553       -       
16     8      5      5/8    | 0.21      0.41      0.29      0.44      1.35         1.82      | 39272    0        2033     5        0        | 160    109638         407553       -       
16     8      6      6/8    | 0.21      0.42      0.30      0.45      1.39         1.78      | 39272    0        2035     3        0        | 192    109638         407553       -       
16     8      7      7/8    | 0.21      0.41      0.29      0.48      1.42         1.74      | 39272    0        2038     0        0        | 224    109638         407553       -       
16     8      8      8/8    | 0.21      0.40      0.30      0.46      1.38         1.79      | 39272    0        2038     0        0        | 256    109638         407553       -       
16     16     0      0/8    | 0.19      0.53      0.36      0.48      1.56         1.57      | 39272    0        0        2038     0        | 1      162752         407553       -       
16     16     1      1/8    | 0.19      0.53      0.36      0.46      1.55         1.58      | 39272    0        0        2038     0        | 32     162752         407553       -       
16     16     2      2/8    | 0.18      0.54      0.31      0.47      1.52         1.62      | 39272    0        1416     622      0        | 64     162752         407553       -       
16     16     3      3/8    | 0.19      0.53      0.28      0.50      1.51         1.63      | 39272    0        1881     157      0        | 96     162752         407553       -       
16     16     4      4/8    | 0.19      0.70      0.29      0.47      1.66         1.48      | 39272    0        2011     27       0        | 128    162752         407553       -       
16     16     5      5/8    | 0.18      0.52      0.29      0.45      1.45         1.70      | 39272    0        2033     5        0        | 160    162752         407553       -       
16     16     6      6/8    | 0.18      0.52      0.29      0.45      1.45         1.70      | 39272    0        2035     3        0        | 192    162752         407553       -       
16     16     7      7/8    | 0.19      0.54      0.29      0.50      1.53         1.61      | 39272    0        2038     0        0        | 224    162752         407553       -       
16     16     8      8/8    | 0.19      0.52      0.28      0.46      1.45         1.70      | 39272    0        2038     0        0        | 256    162752         407553       -       
16     32     0      0/8    | 0.17      0.79      0.61      0.56      2.14         1.15      | 39272    0        0        2038     0        | 1      251618         407553       -       
16     32     1      1/8    | 0.17      0.76      0.60      0.55      2.09         1.18      | 39272    0        0        2038     0        | 32     251618         407553       -       
16     32     2      2/8    | 0.17      0.78      0.48      0.54      1.96         1.25      | 39272    0        1416     622      0        | 64     251618         407553       -       
16     32     3      3/8    | 0.16      0.75      0.36      0.56      1.84         1.34      | 39272    0        1881     157      0        | 96     251618         407553       -       
16     32     4      4/8    | 0.18      0.78      0.28      0.57      1.83         1.35      | 39272    0        2011     27       0        | 128    251618         407553       -       
16     32     5      5/8    | 0.17      0.81      0.26      0.55      1.81         1.36      | 39272    0        2033     5        0        | 160    251618         407553       -       
16     32     6      6/8    | 0.17      0.78      0.26      0.53      1.75         1.40      | 39272    0        2035     3        0        | 192    251618         407553       -       
16     32     7      7/8    | 0.18      0.79      0.27      0.57      1.82         1.35      | 39272    0        2038     0        0        | 224    251618         407553       -       
16     32     8      8/8    | 0.17      0.77      0.26      0.56      1.78         1.38      | 39272    0        2038     0        0        | 256    251618         407553       -       
32     8      0      0/8    | 0.22      0.39      0.60      0.35      1.57         1.57      | 23775    0        0        418      0        | 1      56578          407553       -       
32     8      1      1/8    | 0.21      0.34      0.59      0.32      1.47         1.68      | 23775    0        0        418      0        | 128    56578          407553       -       
32     8      2      2/8    | 0.21      0.34      0.50      0.32      1.38         1.78      | 23775    0        381      37       0        | 256    56578          407553       -       
32     8      3      3/8    | 0.21      0.36      0.49      0.33      1.41         1.75      | 23775    0        416      2        0        | 384    56578          407553       -       
32     8      4      4/8    | 0.22      0.37      0.49      0.33      1.42         1.73      | 23775    0        418      0        0        | 512    56578          407553       -       
32     8      5      5/8    | 0.23      0.36      0.50      0.36      1.46         1.69      | 23775    0        418      0        0        | 640    56578          407553       -       
32     8      6      6/8    | 0.22      0.40      0.48      0.34      1.45         1.69      | 23775    0        418      0        0        | 768    56578          407553       -       
32     8      7      7/8    | 0.21      0.36      0.48      0.33      1.40         1.76      | 23775    0        418      0        0        | 896    56578          407553       -       
32     8      8      8/8    | 0.23      0.37      0.50      0.36      1.46         1.68      | 23775    0        418      0        0        | 1024   56578          407553       -       
