# Matrix: jan99jac060
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.001-0.01/jan99jac060.mtx
# Category: 10k-50k-0.001-0.01
# Date: 2026-03-06 00:02:55
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 20614
# Cols: 20614
# NNZ(A): 127182
# NNZ(C) estimate: 1164705
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.17      1.07      0.37      0.76      2.37         0.98      | 117746   0        0        17242    89       | 1      360490         663595       -       
8      8      1      1/8    | 0.16      1.10      0.37      0.73      2.37         0.98      | 117746   0        0        17242    89       | 8      360490         663595       -       
8      8      2      2/8    | 0.16      1.03      0.35      0.69      2.24         1.04      | 117746   0        10227    7015     89       | 16     360490         663595       -       
8      8      3      3/8    | 0.15      1.03      0.34      0.71      2.25         1.04      | 117746   0        15076    2166     89       | 24     360490         663595       -       
8      8      4      4/8    | 0.16      1.07      0.34      0.71      2.29         1.02      | 117746   0        16092    1150     89       | 32     360490         663595       -       
8      8      5      5/8    | 0.17      1.10      0.34      0.76      2.39         0.97      | 117746   0        16600    642      89       | 40     360490         663595       -       
8      8      6      6/8    | 0.17      1.05      0.34      0.74      2.31         1.01      | 117746   0        16948    294      89       | 48     360490         663595       -       
8      8      7      7/8    | 0.17      1.06      0.34      0.72      2.29         1.01      | 117746   0        17242    0        89       | 56     360490         663595       -       
8      8      8      8/8    | 0.17      1.09      0.35      0.76      2.37         0.98      | 117746   0        17331    0        0        | 64     360490         663595       -       
8      16     0      0/8    | 0.17      1.54      0.45      0.70      2.88         0.81      | 117746   0        0        17242    89       | 1      550078         663595       -       
8      16     1      1/8    | 0.18      1.55      0.45      0.74      2.92         0.80      | 117746   0        0        17242    89       | 8      550078         663595       -       
8      16     2      2/8    | 0.18      1.54      0.40      0.71      2.84         0.82      | 117746   0        10227    7015     89       | 16     550078         663595       -       
8      16     3      3/8    | 0.17      1.57      0.39      0.72      2.85         0.82      | 117746   0        15076    2166     89       | 24     550078         663595       -       
