# Matrix: jan99jac100sc
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.001-0.01/jan99jac100sc.mtx
# Category: 10k-50k-0.001-0.01
# Date: 2026-03-06 00:06:32
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 34454
# Cols: 34454
# NNZ(A): 215862
# NNZ(C) estimate: 2029225
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.19      1.82      0.64      0.73      3.40         1.19      | 205286   0        0        29432    159      | 1      636194         1144715      -       
8      8      1      1/8    | 0.19      1.76      0.65      0.72      3.34         1.22      | 205286   0        0        29432    159      | 8      636194         1144715      -       
8      8      2      2/8    | 0.19      1.77      0.59      0.73      3.30         1.23      | 205286   0        17487    11945    159      | 16     636194         1144715      -       
8      8      3      3/8    | 0.20      1.81      0.57      0.76      3.36         1.21      | 205286   0        25706    3726     159      | 24     636194         1144715      -       
8      8      4      4/8    | 0.20      1.80      0.56      0.74      3.31         1.23      | 205286   0        27452    1980     159      | 32     636194         1144715      -       
8      8      5      5/8    | 0.19      1.74      0.55      0.71      3.21         1.26      | 205286   0        28330    1102     159      | 40     636194         1144715      -       
8      8      6      6/8    | 0.20      1.77      0.55      0.72      3.26         1.24      | 205286   0        28928    504      159      | 48     636194         1144715      -       
8      8      7      7/8    | 0.19      1.74      0.55      0.73      3.22         1.26      | 205286   0        29432    0        159      | 56     636194         1144715      -       
8      8      8      8/8    | 0.20      1.81      0.55      0.77      3.35         1.21      | 205286   0        29591    0        0        | 64     636194         1144715      -       
8      16     0      0/8    | 0.22      2.63      0.81      0.78      4.45         0.91      | 205286   0        0        29432    159      | 1      980014         1144715      -       
8      16     1      1/8    | 0.21      2.62      0.81      0.80      4.44         0.91      | 205286   0        0        29432    159      | 8      980014         1144715      -       
8      16     2      2/8    | 0.21      2.58      0.71      0.80      4.33         0.94      | 205286   0        17487    11945    159      | 16     980014         1144715      -       
8      16     3      3/8    | 0.21      2.59      0.69      0.78      4.28         0.95      | 205286   0        25706    3726     159      | 24     980014         1144715      -       
8      16     4      4/8    | 0.23      2.68      0.68      0.82      4.42         0.92      | 205286   0        27452    1980     159      | 32     980014         1144715      -       
8      16     5      5/8    | 0.22      2.66      0.66      0.80      4.35         0.93      | 205286   0        28330    1102     159      | 40     980014         1144715      -       
8      16     6      6/8    | 0.22      2.63      0.67      0.83      4.35         0.93      | 205286   0        28928    504      159      | 48     980014         1144715      -       
8      16     7      7/8    | 0.21      2.66      0.67      0.81      4.36         0.93      | 205286   0        29432    0        159      | 56     980014         1144715      -       
8      16     8      8/8    | 0.21      2.62      0.67      0.78      4.29         0.95      | 205286   0        29591    0        0        | 64     980014         1144715      -       
8      32     0      0/8    | 0.25      3.56      1.15      0.88      5.85         0.69      | 205286   0        0        29432    159      | 1      1369013        1144715      -       
8      32     1      1/8    | 0.26      3.59      1.11      0.85      5.83         0.70      | 205286   0        0        29432    159      | 8      1369013        1144715      -       
8      32     2      2/8    | 0.27      3.76      0.98      0.90      5.91         0.69      | 205286   0        17487    11945    159      | 16     1369013        1144715      -       
8      32     3      3/8    | 0.26      3.63      0.76      0.88      5.53         0.73      | 205286   0        25706    3726     159      | 24     1369013        1144715      -       
8      32     4      4/8    | 0.26      3.67      0.72      0.89      5.56         0.73      | 205286   0        27452    1980     159      | 32     1369013        1144715      -       
8      32     5      5/8    | 0.26      3.73      0.72      0.88      5.60         0.72      | 205286   0        28330    1102     159      | 40     1369013        1144715      -       
8      32     6      6/8    | 0.26      3.57      0.72      0.87      5.42         0.75      | 205286   0        28928    504      159      | 48     1369013        1144715      -       
8      32     7      7/8    | 0.27      3.72      0.72      0.90      5.62         0.72      | 205286   0        29432    0        159      | 56     1369013        1144715      -       
8      32     8      8/8    | 0.26      3.65      0.72      0.88      5.52         0.74      | 205286   0        29591    0        0        | 64     1369013        1144715      -       
16     8      0      0/8    | 0.19      1.07      0.71      0.81      2.79         1.45      | 149859   0        0        7414     0        | 1      362005         1144715      -       
16     8      1      1/8    | 0.19      1.08      0.71      0.79      2.79         1.45      | 149859   0        0        7414     0        | 32     362005         1144715      -       
16     8      2      2/8    | 0.18      1.05      0.65      0.78      2.67         1.52      | 149859   0        6450     964      0        | 64     362005         1144715      -       
16     8      3      3/8    | 0.20      1.12      0.64      0.83      2.81         1.45      | 149859   0        7414     0        0        | 96     362005         1144715      -       
16     8      4      4/8    | 0.19      1.07      0.65      0.82      2.75         1.48      | 149859   0        7414     0        0        | 128    362005         1144715      -       
16     8      5      5/8    | 0.18      1.05      0.65      0.79      2.68         1.51      | 149859   0        7414     0        0        | 160    362005         1144715      -       
16     8      6      6/8    | 0.19      1.05      0.66      0.77      2.68         1.52      | 149859   0        7414     0        0        | 192    362005         1144715      -       
16     8      7      7/8    | 0.18      1.04      0.65      0.79      2.67         1.52      | 149859   0        7414     0        0        | 224    362005         1144715      -       
16     8      8      8/8    | 0.18      1.06      0.64      0.80      2.69         1.51      | 149859   0        7414     0        0        | 256    362005         1144715      -       
16     16     0      0/8    | 0.19      1.43      0.79      0.80      3.21         1.26      | 149859   0        0        7414     0        | 1      507860         1144715      -       
16     16     1      1/8    | 0.19      1.41      0.79      0.79      3.20         1.27      | 149859   0        0        7414     0        | 32     507860         1144715      -       
16     16     2      2/8    | 0.19      1.39      0.64      0.80      3.04         1.34      | 149859   0        6450     964      0        | 64     507860         1144715      -       
16     16     3      3/8    | 0.21      1.47      0.67      0.84      3.19         1.27      | 149859   0        7414     0        0        | 96     507860         1144715      -       
16     16     4      4/8    | 0.20      1.43      0.67      0.81      3.12         1.30      | 149859   0        7414     0        0        | 128    507860         1144715      -       
16     16     5      5/8    | 0.20      1.44      0.65      0.81      3.10         1.31      | 149859   0        7414     0        0        | 160    507860         1144715      -       
16     16     6      6/8    | 0.20      1.42      0.67      0.82      3.11         1.30      | 149859   0        7414     0        0        | 192    507860         1144715      -       
16     16     7      7/8    | 0.20      1.48      0.66      0.81      3.16         1.28      | 149859   0        7414     0        0        | 224    507860         1144715      -       
16     16     8      8/8    | 0.21      1.47      0.66      0.85      3.19         1.27      | 149859   0        7414     0        0        | 256    507860         1144715      -       
16     32     0      0/8    | 0.21      1.81      1.08      0.83      3.94         1.03      | 149859   0        0        7414     0        | 1      662285         1144715      -       
16     32     1      1/8    | 0.22      1.83      1.12      0.84      4.02         1.01      | 149859   0        0        7414     0        | 32     662285         1144715      -       
16     32     2      2/8    | 0.22      1.89      0.70      0.82      3.64         1.12      | 149859   0        6450     964      0        | 64     662285         1144715      -       
16     32     3      3/8    | 0.21      1.83      0.69      0.80      3.54         1.15      | 149859   0        7414     0        0        | 96     662285         1144715      -       
16     32     4      4/8    | 0.23      1.85      0.69      0.85      3.64         1.12      | 149859   0        7414     0        0        | 128    662285         1144715      -       
16     32     5      5/8    | 0.22      1.83      0.70      0.83      3.58         1.13      | 149859   0        7414     0        0        | 160    662285         1144715      -       
16     32     6      6/8    | 0.22      1.82      0.70      0.83      3.59         1.13      | 149859   0        7414     0        0        | 192    662285         1144715      -       
16     32     7      7/8    | 0.21      1.92      0.69      0.82      3.65         1.11      | 149859   0        7414     0        0        | 224    662285         1144715      -       
16     32     8      8/8    | 0.21      1.82      0.70      0.81      3.55         1.14      | 149859   0        7414     0        0        | 256    662285         1144715      -       
32     8      0      0/8    | 0.20      0.78      0.93      0.59      2.51         1.62      | 99333    0        0        420      0        | 1      194392         1144715      -       
32     8      1      1/8    | 0.20      0.78      0.92      0.59      2.50         1.62      | 99333    0        0        420      0        | 128    194392         1144715      -       
32     8      2      2/8    | 0.20      0.84      0.80      0.60      2.45         1.65      | 99333    0        420      0        0        | 256    194392         1144715      -       
32     8      3      3/8    | 0.20      0.79      0.83      0.60      2.42         1.68      | 99333    0        420      0        0        | 384    194392         1144715      -       
32     8      4      4/8    | 0.20      0.80      0.80      0.60      2.41         1.69      | 99333    0        420      0        0        | 512    194392         1144715      -       
32     8      5      5/8    | 0.20      0.85      0.82      0.61      2.50         1.63      | 99333    0        420      0        0        | 640    194392         1144715      -       
32     8      6      6/8    | 0.20      0.79      0.80      0.59      2.39         1.70      | 99333    0        420      0        0        | 768    194392         1144715      -       
32     8      7      7/8    | 0.22      0.88      0.80      0.68      2.60         1.56      | 99333    0        420      0        0        | 896    194392         1144715      -       
32     8      8      8/8    | 0.21      0.90      0.81      0.60      2.53         1.61      | 99333    0        420      0        0        | 1024   194392         1144715      -       
32     16     0      0/8    | 0.21      1.03      0.89      0.64      2.79         1.46      | 99333    0        0        420      0        | 1      253677         1144715      -       
32     16     1      1/8    | 0.21      0.98      0.88      0.63      2.72         1.49      | 99333    0        0        420      0        | 128    253677         1144715      -       
