# Matrix: juba40k
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.001-0.01/juba40k.mtx
# Category: 10k-50k-0.001-0.01
# Date: 2026-03-06 00:09:29
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 40337
# Cols: 40337
# NNZ(A): 144945
# NNZ(C) estimate: 799825
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.12      0.64      0.26      0.66      1.68         0.95      | 64867    0        0        10025    0        | 1      262882         370512       -       
8      8      1      1/8    | 0.11      0.64      0.26      0.66      1.69         0.95      | 64867    0        0        10025    0        | 8      262882         370512       -       
8      8      2      2/8    | 0.12      0.68      0.23      0.66      1.70         0.94      | 64867    0        6856     3169     0        | 16     262882         370512       -       
8      8      3      3/8    | 0.12      0.66      0.23      0.68      1.70         0.94      | 64867    0        9394     631      0        | 24     262882         370512       -       
8      8      4      4/8    | 0.12      0.69      0.23      0.66      1.72         0.93      | 64867    0        9918     107      0        | 32     262882         370512       -       
8      8      5      5/8    | 0.12      0.65      0.23      0.66      1.67         0.96      | 64867    0        9998     27       0        | 40     262882         370512       -       
8      8      6      6/8    | 0.12      0.66      0.24      0.65      1.68         0.95      | 64867    0        10015    10       0        | 48     262882         370512       -       
8      8      7      7/8    | 0.11      0.70      0.23      0.66      1.71         0.93      | 64867    0        10024    1        0        | 56     262882         370512       -       
8      8      8      8/8    | 0.12      0.68      0.23      0.67      1.71         0.94      | 64867    0        10025    0        0        | 64     262882         370512       -       
8      16     0      0/8    | 0.12      1.10      0.28      0.74      2.25         0.71      | 64867    0        0        10025    0        | 1      379067         370512       -       
8      16     1      1/8    | 0.12      1.13      0.28      0.73      2.27         0.70      | 64867    0        0        10025    0        | 8      379067         370512       -       
8      16     2      2/8    | 0.11      1.12      0.25      0.73      2.23         0.72      | 64867    0        6856     3169     0        | 16     379067         370512       -       
8      16     3      3/8    | 0.12      1.12      0.24      0.75      2.24         0.71      | 64867    0        9394     631      0        | 24     379067         370512       -       
8      16     4      4/8    | 0.12      1.12      0.24      0.74      2.24         0.71      | 64867    0        9918     107      0        | 32     379067         370512       -       
8      16     5      5/8    | 0.12      1.11      0.24      0.74      2.22         0.72      | 64867    0        9998     27       0        | 40     379067         370512       -       
8      16     6      6/8    | 0.12      1.13      0.24      0.73      2.24         0.71      | 64867    0        10015    10       0        | 48     379067         370512       -       
8      16     7      7/8    | 0.13      1.12      0.24      0.76      2.25         0.71      | 64867    0        10024    1        0        | 56     379067         370512       -       
8      16     8      8/8    | 0.12      1.13      0.24      0.74      2.23         0.72      | 64867    0        10025    0        0        | 64     379067         370512       -       
8      32     0      0/8    | 0.13      1.65      0.42      0.78      2.98         0.54      | 64867    0        0        10025    0        | 1      556030         370512       -       
8      32     1      1/8    | 0.14      1.55      0.43      0.81      2.94         0.54      | 64867    0        0        10025    0        | 8      556030         370512       -       
8      32     2      2/8    | 0.14      1.62      0.41      0.84      3.02         0.53      | 64867    0        6856     3169     0        | 16     556030         370512       -       
8      32     3      3/8    | 0.13      1.56      0.37      0.81      2.89         0.55      | 64867    0        9394     631      0        | 24     556030         370512       -       
8      32     4      4/8    | 0.13      1.54      0.33      0.78      2.79         0.57      | 64867    0        9918     107      0        | 32     556030         370512       -       
8      32     5      5/8    | 0.13      1.61      0.28      0.76      2.79         0.57      | 64867    0        9998     27       0        | 40     556030         370512       -       
8      32     6      6/8    | 0.15      1.58      0.25      0.79      2.78         0.58      | 64867    0        10015    10       0        | 48     556030         370512       -       
8      32     7      7/8    | 0.14      1.60      0.23      0.77      2.76         0.58      | 64867    0        10024    1        0        | 56     556030         370512       -       
8      32     8      8/8    | 0.14      1.59      0.23      0.77      2.75         0.58      | 64867    0        10025    0        0        | 64     556030         370512       -       
16     8      0      0/8    | 0.12      0.54      0.31      0.44      1.42         1.13      | 44455    0        0        2150     0        | 1      134663         370512       -       
16     8      1      1/8    | 0.13      0.52      0.32      0.48      1.45         1.10      | 44455    0        0        2150     0        | 32     134663         370512       -       
16     8      2      2/8    | 0.12      0.49      0.32      0.45      1.39         1.15      | 44455    0        2071     79       0        | 64     134663         370512       -       
16     8      3      3/8    | 0.12      0.52      0.31      0.45      1.42         1.13      | 44455    0        2138     12       0        | 96     134663         370512       -       
16     8      4      4/8    | 0.12      0.54      0.31      0.45      1.43         1.12      | 44455    0        2148     2        0        | 128    134663         370512       -       
16     8      5      5/8    | 0.12      0.49      0.32      0.43      1.38         1.16      | 44455    0        2149     1        0        | 160    134663         370512       -       
16     8      6      6/8    | 0.12      0.48      0.31      0.45      1.37         1.17      | 44455    0        2150     0        0        | 192    134663         370512       -       
16     8      7      7/8    | 0.12      0.53      0.31      0.43      1.41         1.14      | 44455    0        2150     0        0        | 224    134663         370512       -       
16     8      8      8/8    | 0.12      0.53      0.31      0.45      1.41         1.13      | 44455    0        2150     0        0        | 256    134663         370512       -       
16     16     0      0/8    | 0.13      0.61      0.34      0.54      1.63         0.98      | 44455    0        0        2150     0        | 1      182620         370512       -       
16     16     1      1/8    | 0.12      0.58      0.33      0.51      1.56         1.03      | 44455    0        0        2150     0        | 32     182620         370512       -       
16     16     2      2/8    | 0.12      0.58      0.29      0.54      1.54         1.04      | 44455    0        2071     79       0        | 64     182620         370512       -       
16     16     3      3/8    | 0.11      0.59      0.29      0.51      1.51         1.06      | 44455    0        2138     12       0        | 96     182620         370512       -       
16     16     4      4/8    | 0.11      0.58      0.29      0.49      1.47         1.09      | 44455    0        2148     2        0        | 128    182620         370512       -       
16     16     5      5/8    | 0.13      0.59      0.29      0.53      1.55         1.03      | 44455    0        2149     1        0        | 160    182620         370512       -       
16     16     6      6/8    | 0.12      0.58      0.28      0.52      1.52         1.05      | 44455    0        2150     0        0        | 192    182620         370512       -       
16     16     7      7/8    | 0.12      0.60      0.29      0.53      1.54         1.04      | 44455    0        2150     0        0        | 224    182620         370512       -       
