# Matrix: lowThrust_13
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.001-0.01/lowThrust_13.mtx
# Category: 10k-50k-0.001-0.01
# Date: 2026-03-06 00:17:43
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 18476
# Cols: 18476
# NNZ(A): 224897
# NNZ(C) estimate: 105963043
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.75      2.37      8.83      1.14      13.10        16.17     | 45556    0        0        24663    804609   | 1      898636         52354998     -       
8      8      1      1/8    | 0.76      2.43      8.18      1.20      12.58        16.85     | 45556    0        0        24663    804609   | 8      898636         52354998     -       
8      8      2      2/8    | 0.77      2.42      7.99      1.17      12.36        17.15     | 45556    0        7273     17390    804609   | 16     898636         52354998     -       
8      8      3      3/8    | 0.75      2.43      8.75      1.17      13.11        16.16     | 45556    0        11963    12700    804609   | 24     898636         52354998     -       
8      8      4      4/8    | 0.76      2.52      2.81      1.16      7.25         29.22     | 45556    0        15726    8937     804609   | 32     898636         52354998     -       
8      8      5      5/8    | 0.75      2.37      2.84      1.13      7.10         29.84     | 45556    0        22867    1796     804609   | 40     898636         52354998     -       
8      8      6      6/8    | 0.77      2.53      2.84      1.17      7.32         28.96     | 45556    0        24495    168      804609   | 48     898636         52354998     -       
8      8      7      7/8    | 0.76      2.48      2.89      1.14      7.29         29.07     | 45556    0        24663    0        804609   | 56     898636         52354998     -       
8      8      8      8/8    | 0.75      2.47      5.05      1.14      9.42         22.50     | 45556    0        829272   0        0        | 64     898636         52354998     -       
8      16     0      0/8    | 0.45      2.59      8.25      1.14      12.44        17.04     | 45556    0        0        24663    804609   | 1      958142         52354998     -       
8      16     1      1/8    | 0.45      2.56      7.91      1.11      12.03        17.62     | 45556    0        0        24663    804609   | 8      958142         52354998     -       
8      16     2      2/8    | 0.45      2.55      8.02      1.12      12.14        17.45     | 45556    0        7273     17390    804609   | 16     958142         52354998     -       
8      16     3      3/8    | 0.44      2.59      8.10      1.13      12.27        17.27     | 45556    0        11963    12700    804609   | 24     958142         52354998     -       
8      16     4      4/8    | 0.44      2.56      2.73      1.10      6.84         30.97     | 45556    0        15726    8937     804609   | 32     958142         52354998     -       
8      16     5      5/8    | 0.45      2.64      2.69      1.17      6.96         30.47     | 45556    0        22867    1796     804609   | 40     958142         52354998     -       
8      16     6      6/8    | 0.45      2.71      2.68      1.13      6.97         30.41     | 45556    0        24495    168      804609   | 48     958142         52354998     -       
8      16     7      7/8    | 0.44      2.67      2.67      1.16      6.96         30.45     | 45556    0        24663    0        804609   | 56     958142         52354998     -       
8      16     8      8/8    | 0.44      2.56      4.01      1.13      8.16         25.97     | 45556    0        829272   0        0        | 64     958142         52354998     -       
8      32     0      0/8    | 0.36      2.86      8.24      1.23      12.71        16.68     | 45556    0        0        24663    804609   | 1      1027412        52354998     -       
8      32     1      1/8    | 0.36      2.81      8.12      1.17      12.47        17.00     | 45556    0        0        24663    804609   | 8      1027412        52354998     -       
8      32     2      2/8    | 0.36      2.86      7.97      1.14      12.35        17.15     | 45556    0        7273     17390    804609   | 16     1027412        52354998     -       
8      32     3      3/8    | 0.36      2.81      8.21      1.15      12.54        16.90     | 45556    0        11963    12700    804609   | 24     1027412        52354998     -       
8      32     4      4/8    | 0.35      2.79      3.99      1.14      8.28         25.59     | 45556    0        15726    8937     804609   | 32     1027412        52354998     -       
8      32     5      5/8    | 0.35      2.81      3.91      1.15      8.24         25.73     | 45556    0        22867    1796     804609   | 40     1027412        52354998     -       
8      32     6      6/8    | 0.35      2.79      3.88      1.14      8.18         25.90     | 45556    0        24495    168      804609   | 48     1027412        52354998     -       
8      32     7      7/8    | 0.37      2.82      3.88      1.19      8.27         25.62     | 45556    0        24663    0        804609   | 56     1027412        52354998     -       
8      32     8      8/8    | 0.36      2.81      3.79      1.18      8.15         26.01     | 45556    0        829272   0        0        | 64     1027412        52354998     -       
16     8      0      0/8    | 0.71      1.10      8.22      0.92      10.96        19.34     | 24302    0        0        9459     200704   | 1      240497         52354998     -       
16     8      1      1/8    | 0.72      1.11      8.20      0.92      10.95        19.35     | 24302    0        0        9459     200704   | 32     240497         52354998     -       
16     8      2      2/8    | 0.72      1.11      8.41      0.92      11.17        18.97     | 24302    0        4353     5106     200704   | 64     240497         52354998     -       
16     8      3      3/8    | 0.71      1.13      8.27      0.93      11.05        19.17     | 24302    0        8054     1405     200704   | 96     240497         52354998     -       
16     8      4      4/8    | 0.71      1.09      8.14      0.90      10.85        19.53     | 24302    0        8562     897      200704   | 128    240497         52354998     -       
16     8      5      5/8    | 0.71      1.10      2.90      0.89      5.61         37.80     | 24302    0        8563     896      200704   | 160    240497         52354998     -       
16     8      6      6/8    | 0.72      1.12      3.02      0.94      5.81         36.48     | 24302    0        9459     0        200704   | 192    240497         52354998     -       
16     8      7      7/8    | 0.72      1.14      3.00      0.92      5.79         36.59     | 24302    0        9459     0        200704   | 224    240497         52354998     -       
16     8      8      8/8    | 0.72      1.12      4.50      0.93      7.29         29.07     | 24302    0        210163   0        0        | 256    240497         52354998     -       
16     16     0      0/8    | 0.40      0.87      7.40      0.93      9.62         22.04     | 24302    0        0        9459     200704   | 1      252691         52354998     -       
16     16     1      1/8    | 0.40      0.87      7.51      0.95      9.75         21.74     | 24302    0        0        9459     200704   | 32     252691         52354998     -       
16     16     2      2/8    | 0.40      0.85      7.68      0.91      9.84         21.53     | 24302    0        4353     5106     200704   | 64     252691         52354998     -       
16     16     3      3/8    | 0.40      0.85      7.96      0.92      10.14        20.90     | 24302    0        8054     1405     200704   | 96     252691         52354998     -       
16     16     4      4/8    | 0.40      0.86      7.69      0.91      9.86         21.49     | 24302    0        8562     897      200704   | 128    252691         52354998     -       
16     16     5      5/8    | 0.40      0.89      1.57      0.94      3.81         55.64     | 24302    0        8563     896      200704   | 160    252691         52354998     -       
16     16     6      6/8    | 0.41      0.87      1.61      0.94      3.84         55.20     | 24302    0        9459     0        200704   | 192    252691         52354998     -       
16     16     7      7/8    | 0.40      0.87      1.59      0.92      3.80         55.81     | 24302    0        9459     0        200704   | 224    252691         52354998     -       
16     16     8      8/8    | 0.39      0.86      3.33      0.89      5.47         38.73     | 24302    0        210163   0        0        | 256    252691         52354998     -       
16     32     0      0/8    | 0.24      0.83      8.33      1.10      10.50        20.18     | 24302    0        0        9459     200704   | 1      270117         52354998     -       
16     32     1      1/8    | 0.26      0.84      8.32      1.15      10.58        20.04     | 24302    0        0        9459     200704   | 32     270117         52354998     -       
16     32     2      2/8    | 0.25      0.86      7.64      1.10      9.86         21.50     | 24302    0        4353     5106     200704   | 64     270117         52354998     -       
16     32     3      3/8    | 0.24      0.82      7.75      1.09      9.92         21.37     | 24302    0        8054     1405     200704   | 96     270117         52354998     -       
16     32     4      4/8    | 0.25      0.85      7.83      1.15      10.10        20.99     | 24302    0        8562     897      200704   | 128    270117         52354998     -       
16     32     5      5/8    | 0.25      0.84      2.33      1.13      4.57         46.41     | 24302    0        8563     896      200704   | 160    270117         52354998     -       
16     32     6      6/8    | 0.24      0.82      2.33      1.10      4.51         47.03     | 24302    0        9459     0        200704   | 192    270117         52354998     -       
16     32     7      7/8    | 0.26      0.83      2.33      1.15      4.58         46.24     | 24302    0        9459     0        200704   | 224    270117         52354998     -       
16     32     8      8/8    | 0.25      0.85      3.12      1.11      5.35         39.59     | 24302    0        210163   0        0        | 256    270117         52354998     -       
32     8      0      0/8    | 0.72      1.88      8.34      0.81      11.76        18.02     | 13747    0        0        2963     50176    | 1      69154          52354998     -       
32     8      1      1/8    | 0.72      1.85      8.36      0.78      11.72        18.08     | 13747    0        0        2963     50176    | 128    69154          52354998     -       
32     8      2      2/8    | 0.72      1.88      12.61     0.79      16.00        13.24     | 13747    0        2515     448      50176    | 256    69154          52354998     -       
32     8      3      3/8    | 0.72      1.87      12.81     0.78      16.19        13.09     | 13747    0        2963     0        50176    | 384    69154          52354998     -       
32     8      4      4/8    | 0.71      1.86      12.50     0.76      15.83        13.39     | 13747    0        2963     0        50176    | 512    69154          52354998     -       
32     8      5      5/8    | 0.71      1.86      12.61     0.78      15.97        13.27     | 13747    0        2963     0        50176    | 640    69154          52354998     -       
32     8      6      6/8    | 0.70      1.89      12.46     0.76      15.82        13.40     | 13747    0        2963     0        50176    | 768    69154          52354998     -       
32     8      7      7/8    | 0.71      1.85      12.67     0.77      16.01        13.24     | 13747    0        2963     0        50176    | 896    69154          52354998     -       
32     8      8      8/8    | 0.71      1.88      14.27     0.77      17.63        12.02     | 13747    0        53139    0        0        | 1024   69154          52354998     -       
32     16     0      0/8    | 0.39      0.54      7.84      0.75      9.54         22.21     | 13747    0        0        2963     50176    | 1      72066          52354998     -       
32     16     1      1/8    | 0.39      0.59      8.27      0.77      10.04        21.11     | 13747    0        0        2963     50176    | 128    72066          52354998     -       
32     16     2      2/8    | 0.39      0.59      1.88      0.78      3.65         58.01     | 13747    0        2515     448      50176    | 256    72066          52354998     -       
32     16     3      3/8    | 0.40      0.56      1.90      0.80      3.67         57.73     | 13747    0        2963     0        50176    | 384    72066          52354998     -       
32     16     4      4/8    | 0.40      0.58      1.89      0.78      3.65         58.03     | 13747    0        2963     0        50176    | 512    72066          52354998     -       
32     16     5      5/8    | 0.39      0.57      1.89      0.75      3.61         58.64     | 13747    0        2963     0        50176    | 640    72066          52354998     -       
