# Matrix: mark3jac040sc
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.001-0.01/mark3jac040sc.mtx
# Category: 10k-50k-0.001-0.01
# Date: 2026-03-06 00:23:55
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 18289
# Cols: 18289
# NNZ(A): 113435
# NNZ(C) estimate: 775562
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.15      1.01      0.39      0.72      2.28         0.68      | 129055   0        0        13411    0        | 1      329721         513405       -       
8      8      1      1/8    | 0.16      0.98      0.40      0.74      2.30         0.68      | 129055   0        0        13411    0        | 8      329721         513405       -       
8      8      2      2/8    | 0.14      0.98      0.35      0.73      2.21         0.70      | 129055   0        9329     4082     0        | 16     329721         513405       -       
8      8      3      3/8    | 0.14      0.99      0.33      0.71      2.18         0.71      | 129055   0        12059    1352     0        | 24     329721         513405       -       
8      8      4      4/8    | 0.15      0.99      0.34      0.73      2.21         0.70      | 129055   0        13226    185      0        | 32     329721         513405       -       
8      8      5      5/8    | 0.15      0.99      0.30      0.73      2.18         0.71      | 129055   0        13401    10       0        | 40     329721         513405       -       
8      8      6      6/8    | 0.15      0.98      0.30      0.74      2.18         0.71      | 129055   0        13411    0        0        | 48     329721         513405       -       
8      8      7      7/8    | 0.15      1.00      0.30      0.74      2.20         0.71      | 129055   0        13411    0        0        | 56     329721         513405       -       
8      8      8      8/8    | 0.14      0.98      0.30      0.69      2.12         0.73      | 129055   0        13411    0        0        | 64     329721         513405       -       
8      16     0      0/8    | 0.15      1.25      0.44      0.79      2.65         0.59      | 129055   0        0        13411    0        | 1      430671         513405       -       
8      16     1      1/8    | 0.15      1.24      0.44      0.77      2.61         0.59      | 129055   0        0        13411    0        | 8      430671         513405       -       
8      16     2      2/8    | 0.16      1.25      0.38      0.77      2.57         0.60      | 129055   0        9329     4082     0        | 16     430671         513405       -       
8      16     3      3/8    | 0.16      1.28      0.35      0.76      2.57         0.60      | 129055   0        12059    1352     0        | 24     430671         513405       -       
8      16     4      4/8    | 0.15      1.23      0.35      0.79      2.54         0.61      | 129055   0        13226    185      0        | 32     430671         513405       -       
8      16     5      5/8    | 0.15      1.22      0.31      0.75      2.43         0.64      | 129055   0        13401    10       0        | 40     430671         513405       -       
8      16     6      6/8    | 0.16      1.32      0.32      0.81      2.61         0.59      | 129055   0        13411    0        0        | 48     430671         513405       -       
8      16     7      7/8    | 0.15      1.25      0.31      0.78      2.51         0.62      | 129055   0        13411    0        0        | 56     430671         513405       -       
8      16     8      8/8    | 0.16      1.29      0.31      0.78      2.55         0.61      | 129055   0        13411    0        0        | 64     430671         513405       -       
8      32     0      0/8    | 0.16      1.45      0.58      0.76      2.97         0.52      | 129055   0        0        13411    0        | 1      523533         513405       -       
8      32     1      1/8    | 0.16      1.45      0.58      0.76      2.96         0.52      | 129055   0        0        13411    0        | 8      523533         513405       -       
8      32     2      2/8    | 0.16      1.45      0.46      0.76      2.84         0.55      | 129055   0        9329     4082     0        | 16     523533         513405       -       
8      32     3      3/8    | 0.17      1.54      0.42      0.82      2.96         0.52      | 129055   0        12059    1352     0        | 24     523533         513405       -       
8      32     4      4/8    | 0.17      1.50      0.41      0.79      2.88         0.54      | 129055   0        13226    185      0        | 32     523533         513405       -       
8      32     5      5/8    | 0.17      1.48      0.32      0.77      2.75         0.56      | 129055   0        13401    10       0        | 40     523533         513405       -       
8      32     6      6/8    | 0.17      1.50      0.31      0.80      2.79         0.56      | 129055   0        13411    0        0        | 48     523533         513405       -       
8      32     7      7/8    | 0.16      1.53      0.31      0.77      2.78         0.56      | 129055   0        13411    0        0        | 56     523533         513405       -       
8      32     8      8/8    | 0.16      1.45      0.31      0.75      2.68         0.58      | 129055   0        13411    0        0        | 64     523533         513405       -       
16     8      0      0/8    | 0.16      0.50      0.33      0.44      1.45         1.07      | 71550    0        0        2611     0        | 1      143684         513405       -       
16     8      1      1/8    | 0.16      0.53      0.34      0.44      1.48         1.05      | 71550    0        0        2611     0        | 32     143684         513405       -       
16     8      2      2/8    | 0.18      0.54      0.32      0.49      1.54         1.01      | 71550    0        1862     749      0        | 64     143684         513405       -       
16     8      3      3/8    | 0.17      0.55      0.31      0.47      1.51         1.03      | 71550    0        2511     100      0        | 96     143684         513405       -       
16     8      4      4/8    | 0.16      0.52      0.27      0.45      1.42         1.09      | 71550    0        2611     0        0        | 128    143684         513405       -       
16     8      5      5/8    | 0.16      0.52      0.27      0.44      1.40         1.10      | 71550    0        2611     0        0        | 160    143684         513405       -       
16     8      6      6/8    | 0.16      0.53      0.27      0.44      1.41         1.10      | 71550    0        2611     0        0        | 192    143684         513405       -       
16     8      7      7/8    | 0.16      0.52      0.27      0.46      1.43         1.09      | 71550    0        2611     0        0        | 224    143684         513405       -       
16     8      8      8/8    | 0.16      0.49      0.27      0.44      1.38         1.13      | 71550    0        2611     0        0        | 256    143684         513405       -       
16     16     0      0/8    | 0.16      0.61      0.37      0.59      1.73         0.90      | 71550    0        0        2611     0        | 1      178205         513405       -       
16     16     1      1/8    | 0.15      0.59      0.36      0.50      1.62         0.96      | 71550    0        0        2611     0        | 32     178205         513405       -       
16     16     2      2/8    | 0.15      0.58      0.36      0.54      1.64         0.95      | 71550    0        1862     749      0        | 64     178205         513405       -       
16     16     3      3/8    | 0.15      0.58      0.35      0.51      1.61         0.96      | 71550    0        2511     100      0        | 96     178205         513405       -       
16     16     4      4/8    | 0.14      0.56      0.24      0.49      1.45         1.07      | 71550    0        2611     0        0        | 128    178205         513405       -       
16     16     5      5/8    | 0.14      0.57      0.25      0.51      1.48         1.05      | 71550    0        2611     0        0        | 160    178205         513405       -       
16     16     6      6/8    | 0.14      0.55      0.25      0.49      1.45         1.07      | 71550    0        2611     0        0        | 192    178205         513405       -       
16     16     7      7/8    | 0.15      0.55      0.25      0.49      1.45         1.07      | 71550    0        2611     0        0        | 224    178205         513405       -       
16     16     8      8/8    | 0.14      0.59      0.24      0.50      1.48         1.05      | 71550    0        2611     0        0        | 256    178205         513405       -       
16     32     0      0/8    | 0.15      0.65      0.51      0.52      1.84         0.84      | 71550    0        0        2611     0        | 1      201873         513405       -       
16     32     1      1/8    | 0.14      0.66      0.52      0.49      1.83         0.85      | 71550    0        0        2611     0        | 32     201873         513405       -       
16     32     2      2/8    | 0.14      0.62      0.50      0.46      1.73         0.89      | 71550    0        1862     749      0        | 64     201873         513405       -       
16     32     3      3/8    | 0.14      0.61      0.52      0.47      1.74         0.89      | 71550    0        2511     100      0        | 96     201873         513405       -       
16     32     4      4/8    | 0.14      0.65      0.24      0.52      1.56         0.99      | 71550    0        2611     0        0        | 128    201873         513405       -       
16     32     5      5/8    | 0.14      0.63      0.24      0.49      1.51         1.03      | 71550    0        2611     0        0        | 160    201873         513405       -       
16     32     6      6/8    | 0.14      0.64      0.24      0.49      1.52         1.02      | 71550    0        2611     0        0        | 192    201873         513405       -       
16     32     7      7/8    | 0.15      0.64      0.25      0.52      1.57         0.99      | 71550    0        2611     0        0        | 224    201873         513405       -       
16     32     8      8/8    | 0.15      0.63      0.24      0.50      1.52         1.02      | 71550    0        2611     0        0        | 256    201873         513405       -       
32     8      0      0/8    | 0.17      0.48      0.55      0.36      1.56         0.99      | 30012    0        0        589      0        | 1      54900          513405       -       
32     8      1      1/8    | 0.16      0.44      0.56      0.33      1.50         1.04      | 30012    0        0        589      0        | 128    54900          513405       -       
32     8      2      2/8    | 0.16      0.46      0.49      0.33      1.44         1.08      | 30012    0        505      84       0        | 256    54900          513405       -       
32     8      3      3/8    | 0.16      0.44      0.31      0.32      1.24         1.25      | 30012    0        589      0        0        | 384    54900          513405       -       
32     8      4      4/8    | 0.16      0.44      0.31      0.33      1.25         1.24      | 30012    0        589      0        0        | 512    54900          513405       -       
32     8      5      5/8    | 0.16      0.45      0.32      0.33      1.28         1.22      | 30012    0        589      0        0        | 640    54900          513405       -       
32     8      6      6/8    | 0.16      0.44      0.31      0.32      1.24         1.25      | 30012    0        589      0        0        | 768    54900          513405       -       
32     8      7      7/8    | 0.16      0.48      0.31      0.33      1.28         1.21      | 30012    0        589      0        0        | 896    54900          513405       -       
32     8      8      8/8    | 0.17      0.46      0.32      0.36      1.33         1.17      | 30012    0        589      0        0        | 1024   54900          513405       -       
32     16     0      0/8    | 0.15      0.42      0.60      0.33      1.50         1.04      | 30012    0        0        589      0        | 1      66180          513405       -       
32     16     1      1/8    | 0.15      0.41      0.61      0.32      1.49         1.04      | 30012    0        0        589      0        | 128    66180          513405       -       
32     16     2      2/8    | 0.15      0.45      0.54      0.32      1.46         1.06      | 30012    0        505      84       0        | 256    66180          513405       -       
32     16     3      3/8    | 0.15      0.41      0.28      0.34      1.18         1.31      | 30012    0        589      0        0        | 384    66180          513405       -       
32     16     4      4/8    | 0.15      0.42      0.28      0.33      1.19         1.30      | 30012    0        589      0        0        | 512    66180          513405       -       
32     16     5      5/8    | 0.15      0.43      0.28      0.33      1.20         1.29      | 30012    0        589      0        0        | 640    66180          513405       -       
32     16     6      6/8    | 0.15      0.44      0.28      0.33      1.21         1.29      | 30012    0        589      0        0        | 768    66180          513405       -       
32     16     7      7/8    | 0.15      0.45      0.28      0.34      1.23         1.26      | 30012    0        589      0        0        | 896    66180          513405       -       
32     16     8      8/8    | 0.15      0.43      0.29      0.33      1.21         1.29      | 30012    0        589      0        0        | 1024   66180          513405       -       
32     32     0      0/8    | 0.14      0.38      0.48      0.40      1.41         1.10      | 30012    0        0        589      0        | 1      71084          513405       -       
32     32     1      1/8    | 0.14      0.37      0.49      0.38      1.39         1.12      | 30012    0        0        589      0        | 128    71084          513405       -       
32     32     2      2/8    | 0.13      0.38      0.44      0.39      1.36         1.14      | 30012    0        505      84       0        | 256    71084          513405       -       
32     32     3      3/8    | 0.14      0.38      0.24      0.43      1.20         1.29      | 30012    0        589      0        0        | 384    71084          513405       -       
32     32     4      4/8    | 0.13      0.37      0.25      0.37      1.12         1.38      | 30012    0        589      0        0        | 512    71084          513405       -       
32     32     5      5/8    | 0.14      0.38      0.25      0.42      1.20         1.29      | 30012    0        589      0        0        | 640    71084          513405       -       
32     32     6      6/8    | 0.14      0.38      0.25      0.40      1.17         1.32      | 30012    0        589      0        0        | 768    71084          513405       -       
32     32     7      7/8    | 0.13      0.36      0.24      0.38      1.12         1.38      | 30012    0        589      0        0        | 896    71084          513405       -       
32     32     8      8/8    | 0.12      0.37      0.25      0.38      1.13         1.37      | 30012    0        589      0        0        | 1024   71084          513405       -       
