# Matrix: mimo28x28_system
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.001-0.01/mimo28x28_system.mtx
# Category: 10k-50k-0.001-0.01
# Date: 2026-03-06 00:28:10
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 13251
# Cols: 13251
# NNZ(A): 48737
# NNZ(C) estimate: 275966
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.10      0.34      0.15      0.25      0.85         0.65      | 22963    0        0        3289     0        | 1      89129          122352       -       
8      8      1      1/8    | 0.09      0.30      0.16      0.21      0.77         0.71      | 22963    0        0        3289     0        | 8      89129          122352       -       
8      8      2      2/8    | 0.09      0.30      0.14      0.21      0.75         0.74      | 22963    0        2274     1015     0        | 16     89129          122352       -       
8      8      3      3/8    | 0.09      0.31      0.14      0.21      0.77         0.72      | 22963    0        3103     186      0        | 24     89129          122352       -       
8      8      4      4/8    | 0.11      0.33      0.14      0.26      0.85         0.65      | 22963    0        3260     29       0        | 32     89129          122352       -       
8      8      5      5/8    | 0.10      0.31      0.14      0.22      0.78         0.70      | 22963    0        3278     11       0        | 40     89129          122352       -       
8      8      6      6/8    | 0.11      0.34      0.14      0.23      0.82         0.67      | 22963    0        3283     6        0        | 48     89129          122352       -       
8      8      7      7/8    | 0.10      0.32      0.14      0.21      0.77         0.71      | 22963    0        3289     0        0        | 56     89129          122352       -       
8      8      8      8/8    | 0.09      0.32      0.14      0.21      0.76         0.73      | 22963    0        3289     0        0        | 64     89129          122352       -       
8      16     0      0/8    | 0.09      0.41      0.16      0.32      0.98         0.56      | 22963    0        0        3289     0        | 1      124147         122352       -       
8      16     1      1/8    | 0.09      0.41      0.15      0.32      0.98         0.56      | 22963    0        0        3289     0        | 8      124147         122352       -       
8      16     2      2/8    | 0.11      0.44      0.16      0.38      1.10         0.50      | 22963    0        2274     1015     0        | 16     124147         122352       -       
8      16     3      3/8    | 0.10      0.43      0.13      0.34      1.01         0.55      | 22963    0        3103     186      0        | 24     124147         122352       -       
8      16     4      4/8    | 0.10      0.42      0.14      0.33      1.00         0.55      | 22963    0        3260     29       0        | 32     124147         122352       -       
8      16     5      5/8    | 0.10      0.42      0.13      0.33      0.99         0.56      | 22963    0        3278     11       0        | 40     124147         122352       -       
8      16     6      6/8    | 0.11      0.43      0.13      0.34      1.02         0.54      | 22963    0        3283     6        0        | 48     124147         122352       -       
8      16     7      7/8    | 0.10      0.43      0.14      0.36      1.04         0.53      | 22963    0        3289     0        0        | 56     124147         122352       -       
8      16     8      8/8    | 0.10      0.42      0.13      0.33      0.99         0.56      | 22963    0        3289     0        0        | 64     124147         122352       -       
8      32     0      0/8    | 0.10      0.58      0.28      0.45      1.42         0.39      | 22963    0        0        3289     0        | 1      176616         122352       -       
8      32     1      1/8    | 0.10      0.57      0.24      0.43      1.34         0.41      | 22963    0        0        3289     0        | 8      176616         122352       -       
8      32     2      2/8    | 0.11      0.58      0.25      0.47      1.42         0.39      | 22963    0        2274     1015     0        | 16     176616         122352       -       
8      32     3      3/8    | 0.10      0.58      0.21      0.45      1.35         0.41      | 22963    0        3103     186      0        | 24     176616         122352       -       
8      32     4      4/8    | 0.09      0.56      0.18      0.43      1.27         0.43      | 22963    0        3260     29       0        | 32     176616         122352       -       
8      32     5      5/8    | 0.09      0.55      0.17      0.43      1.25         0.44      | 22963    0        3278     11       0        | 40     176616         122352       -       
8      32     6      6/8    | 0.09      0.55      0.13      0.43      1.21         0.46      | 22963    0        3283     6        0        | 48     176616         122352       -       
8      32     7      7/8    | 0.09      0.56      0.11      0.42      1.20         0.46      | 22963    0        3289     0        0        | 56     176616         122352       -       
8      32     8      8/8    | 0.09      0.55      0.11      0.43      1.18         0.47      | 22963    0        3289     0        0        | 64     176616         122352       -       
16     8      0      0/8    | 0.10      0.31      0.20      0.27      0.90         0.62      | 14706    0        0        722      0        | 1      41844          122352       -       
