# Matrix: p2p-Gnutella24
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.001-0.01/p2p-Gnutella24.mtx
# Category: 10k-50k-0.001-0.01
# Date: 2026-03-06 00:42:29
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 26518
# Cols: 26518
# NNZ(A): 65369
# NNZ(C) estimate: 236075
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.14      1.87      0.20      0.73      2.95         0.16      | 165281   0        0        40       0        | 1      695127         235460       -       
8      8      1      1/8    | 0.15      1.89      0.20      0.71      2.96         0.16      | 165281   0        0        40       0        | 8      695127         235460       -       
8      8      2      2/8    | 0.15      1.88      0.19      0.69      2.92         0.16      | 165281   0        40       0        0        | 16     695127         235460       -       
8      8      3      3/8    | 0.14      1.91      0.19      0.72      2.97         0.16      | 165281   0        40       0        0        | 24     695127         235460       -       
8      8      4      4/8    | 0.15      1.96      0.19      0.77      3.09         0.15      | 165281   0        40       0        0        | 32     695127         235460       -       
8      8      5      5/8    | 0.15      1.92      0.19      0.74      3.01         0.16      | 165281   0        40       0        0        | 40     695127         235460       -       
8      8      6      6/8    | 0.15      1.92      0.19      0.77      3.05         0.15      | 165281   0        40       0        0        | 48     695127         235460       -       
8      8      7      7/8    | 0.15      1.96      0.19      0.74      3.05         0.15      | 165281   0        40       0        0        | 56     695127         235460       -       
8      8      8      8/8    | 0.14      1.89      0.19      0.71      2.94         0.16      | 165281   0        40       0        0        | 64     695127         235460       -       
8      16     0      0/8    | 0.18      3.25      0.28      0.78      4.50         0.10      | 165281   0        0        40       0        | 1      1219360        235460       -       
8      16     1      1/8    | 0.17      3.22      0.28      0.75      4.43         0.11      | 165281   0        0        40       0        | 8      1219360        235460       -       
8      16     2      2/8    | 0.17      3.26      0.26      0.75      4.46         0.11      | 165281   0        40       0        0        | 16     1219360        235460       -       
8      16     3      3/8    | 0.18      3.27      0.26      0.78      4.50         0.10      | 165281   0        40       0        0        | 24     1219360        235460       -       
