# Matrix: pesa
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.001-0.01/pesa.mtx
# Category: 10k-50k-0.001-0.01
# Date: 2026-03-06 00:45:03
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 11738
# Cols: 11738
# NNZ(A): 79566
# NNZ(C) estimate: 548538
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.10      0.40      0.18      0.35      1.05         1.05      | 29299    0        0        7191     0        | 1      119900         214586       -       
8      8      1      1/8    | 0.10      0.40      0.19      0.35      1.05         1.04      | 29299    0        0        7191     0        | 8      119900         214586       -       
8      8      2      2/8    | 0.10      0.41      0.16      0.35      1.03         1.07      | 29299    0        4397     2794     0        | 16     119900         214586       -       
8      8      3      3/8    | 0.10      0.43      0.15      0.36      1.06         1.03      | 29299    0        5991     1200     0        | 24     119900         214586       -       
8      8      4      4/8    | 0.11      0.41      0.15      0.37      1.05         1.04      | 29299    0        6531     660      0        | 32     119900         214586       -       
8      8      5      5/8    | 0.11      0.39      0.14      0.35      1.00         1.10      | 29299    0        6968     223      0        | 40     119900         214586       -       
8      8      6      6/8    | 0.10      0.41      0.14      0.35      1.02         1.08      | 29299    0        7138     53       0        | 48     119900         214586       -       
8      8      7      7/8    | 0.10      0.39      0.13      0.34      0.98         1.12      | 29299    0        7191     0        0        | 56     119900         214586       -       
8      8      8      8/8    | 0.10      0.39      0.14      0.35      0.98         1.12      | 29299    0        7191     0        0        | 64     119900         214586       -       
8      16     0      0/8    | 0.10      0.60      0.21      0.50      1.43         0.77      | 29299    0        0        7191     0        | 1      184614         214586       -       
8      16     1      1/8    | 0.09      0.57      0.20      0.50      1.38         0.80      | 29299    0        0        7191     0        | 8      184614         214586       -       
8      16     2      2/8    | 0.12      0.60      0.17      0.54      1.45         0.76      | 29299    0        4397     2794     0        | 16     184614         214586       -       
