# Matrix: poli3
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.001-0.01/poli3.mtx
# Category: 10k-50k-0.001-0.01
# Date: 2026-03-06 00:46:18
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 16955
# Cols: 16955
# NNZ(A): 37849
# NNZ(C) estimate: 97492
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.23      0.38      0.07      0.28      0.96         0.20      | 36658    0        0        1035     0        | 1      108167         73931        -       
8      8      1      1/8    | 0.22      0.40      0.08      0.29      0.99         0.20      | 36658    0        0        1035     0        | 8      108167         73931        -       
8      8      2      2/8    | 0.23      0.37      0.07      0.30      0.98         0.20      | 36658    0        1014     21       0        | 16     108167         73931        -       
8      8      3      3/8    | 0.23      0.37      0.07      0.29      0.97         0.20      | 36658    0        1035     0        0        | 24     108167         73931        -       
8      8      4      4/8    | 0.22      0.35      0.07      0.27      0.91         0.21      | 36658    0        1035     0        0        | 32     108167         73931        -       
8      8      5      5/8    | 0.23      0.37      0.07      0.30      0.98         0.20      | 36658    0        1035     0        0        | 40     108167         73931        -       
8      8      6      6/8    | 0.23      0.37      0.07      0.28      0.95         0.21      | 36658    0        1035     0        0        | 48     108167         73931        -       
8      8      7      7/8    | 0.23      0.39      0.07      0.30      0.99         0.20      | 36658    0        1035     0        0        | 56     108167         73931        -       
8      8      8      8/8    | 0.22      0.39      0.07      0.28      0.97         0.20      | 36658    0        1035     0        0        | 64     108167         73931        -       
8      16     0      0/8    | 0.21      0.63      0.08      0.43      1.35         0.14      | 36658    0        0        1035     0        | 1      201464         73931        -       
8      16     1      1/8    | 0.21      0.62      0.08      0.42      1.35         0.14      | 36658    0        0        1035     0        | 8      201464         73931        -       
8      16     2      2/8    | 0.22      0.66      0.08      0.46      1.43         0.14      | 36658    0        1014     21       0        | 16     201464         73931        -       
8      16     3      3/8    | 0.22      0.65      0.07      0.43      1.38         0.14      | 36658    0        1035     0        0        | 24     201464         73931        -       
8      16     4      4/8    | 0.21      0.63      0.08      0.45      1.38         0.14      | 36658    0        1035     0        0        | 32     201464         73931        -       
8      16     5      5/8    | 0.22      0.63      0.07      0.43      1.36         0.14      | 36658    0        1035     0        0        | 40     201464         73931        -       
8      16     6      6/8    | 0.22      0.68      0.08      0.44      1.42         0.14      | 36658    0        1035     0        0        | 48     201464         73931        -       
8      16     7      7/8    | 0.22      0.68      0.08      0.45      1.44         0.14      | 36658    0        1035     0        0        | 56     201464         73931        -       
8      16     8      8/8    | 0.21      0.63      0.07      0.43      1.36         0.14      | 36658    0        1035     0        0        | 64     201464         73931        -       
8      32     0      0/8    | 0.21      1.09      0.10      0.61      2.03         0.10      | 36658    0        0        1035     0        | 1      363361         73931        -       
8      32     1      1/8    | 0.20      1.06      0.10      0.59      1.97         0.10      | 36658    0        0        1035     0        | 8      363361         73931        -       
8      32     2      2/8    | 0.20      1.04      0.09      0.60      1.94         0.10      | 36658    0        1014     21       0        | 16     363361         73931        -       
8      32     3      3/8    | 0.20      1.04      0.07      0.59      1.91         0.10      | 36658    0        1035     0        0        | 24     363361         73931        -       
8      32     4      4/8    | 0.20      1.04      0.08      0.60      1.94         0.10      | 36658    0        1035     0        0        | 32     363361         73931        -       
8      32     5      5/8    | 0.20      1.05      0.07      0.59      1.93         0.10      | 36658    0        1035     0        0        | 40     363361         73931        -       
8      32     6      6/8    | 0.22      1.10      0.08      0.65      2.06         0.09      | 36658    0        1035     0        0        | 48     363361         73931        -       
8      32     7      7/8    | 0.21      1.10      0.08      0.61      2.01         0.10      | 36658    0        1035     0        0        | 56     363361         73931        -       
8      32     8      8/8    | 0.21      1.06      0.07      0.64      2.00         0.10      | 36658    0        1035     0        0        | 64     363361         73931        -       
