# Matrix: poli_large
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.001-0.01/poli_large.mtx
# Category: 10k-50k-0.001-0.01
# Date: 2026-03-06 00:47:33
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 15575
# Cols: 15575
# NNZ(A): 33074
# NNZ(C) estimate: 78904
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.18      0.14      0.05      0.20      0.57         0.28      | 8366     0        0        1479     0        | 1      18240          59649        -       
8      8      1      1/8    | 0.17      0.12      0.05      0.21      0.56         0.28      | 8366     0        0        1479     0        | 8      18240          59649        -       
8      8      2      2/8    | 0.15      0.12      0.04      0.18      0.49         0.32      | 8366     0        1405     74       0        | 16     18240          59649        -       
8      8      3      3/8    | 0.18      0.13      0.04      0.24      0.60         0.26      | 8366     0        1477     2        0        | 24     18240          59649        -       
8      8      4      4/8    | 0.17      0.13      0.04      0.18      0.52         0.30      | 8366     0        1479     0        0        | 32     18240          59649        -       
8      8      5      5/8    | 0.16      0.14      0.04      0.20      0.55         0.29      | 8366     0        1479     0        0        | 40     18240          59649        -       
8      8      6      6/8    | 0.16      0.11      0.04      0.18      0.50         0.32      | 8366     0        1479     0        0        | 48     18240          59649        -       
8      8      7      7/8    | 0.17      0.13      0.04      0.21      0.56         0.28      | 8366     0        1479     0        0        | 56     18240          59649        -       
8      8      8      8/8    | 0.16      0.13      0.04      0.22      0.57         0.28      | 8366     0        1479     0        0        | 64     18240          59649        -       
8      16     0      0/8    | 0.14      0.14      0.05      0.19      0.53         0.30      | 8366     0        0        1479     0        | 1      26906          59649        -       
8      16     1      1/8    | 0.14      0.15      0.05      0.21      0.55         0.28      | 8366     0        0        1479     0        | 8      26906          59649        -       
8      16     2      2/8    | 0.14      0.14      0.04      0.18      0.51         0.31      | 8366     0        1405     74       0        | 16     26906          59649        -       
8      16     3      3/8    | 0.14      0.14      0.04      0.19      0.51         0.31      | 8366     0        1477     2        0        | 24     26906          59649        -       
