# Matrix: qpband
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.001-0.01/qpband.mtx
# Category: 10k-50k-0.001-0.01
# Date: 2026-03-06 00:48:47
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 20000
# Cols: 20000
# NNZ(A): 45000
# NNZ(C) estimate: 105000
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.10      0.08      0.02      0.11      0.32         0.66      | 10000    0        0        0        0        | 1      10000          80000        -       
8      8      1      1/8    | 0.10      0.09      0.03      0.11      0.33         0.63      | 10000    0        0        0        0        | 8      10000          80000        -       
8      8      2      2/8    | 0.09      0.08      0.02      0.10      0.31         0.68      | 10000    0        0        0        0        | 16     10000          80000        -       
8      8      3      3/8    | 0.10      0.08      0.02      0.11      0.32         0.66      | 10000    0        0        0        0        | 24     10000          80000        -       
8      8      4      4/8    | 0.11      0.09      0.03      0.11      0.34         0.62      | 10000    0        0        0        0        | 32     10000          80000        -       
8      8      5      5/8    | 0.10      0.08      0.02      0.10      0.31         0.69      | 10000    0        0        0        0        | 40     10000          80000        -       
8      8      6      6/8    | 0.09      0.08      0.02      0.10      0.30         0.70      | 10000    0        0        0        0        | 48     10000          80000        -       
8      8      7      7/8    | 0.12      0.09      0.03      0.11      0.35         0.59      | 10000    0        0        0        0        | 56     10000          80000        -       
8      8      8      8/8    | 0.10      0.09      0.04      0.11      0.34         0.62      | 10000    0        0        0        0        | 64     10000          80000        -       
8      16     0      0/8    | 0.10      0.14      0.03      0.11      0.38         0.55      | 10000    0        0        0        0        | 1      21874          80000        -       
8      16     1      1/8    | 0.11      0.13      0.03      0.11      0.39         0.54      | 10000    0        0        0        0        | 8      21874          80000        -       
8      16     2      2/8    | 0.10      0.13      0.03      0.10      0.37         0.57      | 10000    0        0        0        0        | 16     21874          80000        -       
8      16     3      3/8    | 0.11      0.13      0.03      0.11      0.38         0.55      | 10000    0        0        0        0        | 24     21874          80000        -       
8      16     4      4/8    | 0.10      0.12      0.03      0.10      0.35         0.59      | 10000    0        0        0        0        | 32     21874          80000        -       
8      16     5      5/8    | 0.08      0.12      0.03      0.10      0.34         0.62      | 10000    0        0        0        0        | 40     21874          80000        -       
8      16     6      6/8    | 0.11      0.13      0.03      0.12      0.40         0.52      | 10000    0        0        0        0        | 48     21874          80000        -       
8      16     7      7/8    | 0.10      0.12      0.03      0.11      0.38         0.56      | 10000    0        0        0        0        | 56     21874          80000        -       
8      16     8      8/8    | 0.09      0.12      0.03      0.10      0.34         0.61      | 10000    0        0        0        0        | 64     21874          80000        -       
8      32     0      0/8    | 0.12      0.20      0.03      0.28      0.64         0.33      | 10000    0        0        0        0        | 1      44684          80000        -       
8      32     1      1/8    | 0.11      0.21      0.03      0.25      0.61         0.35      | 10000    0        0        0        0        | 8      44684          80000        -       
8      32     2      2/8    | 0.11      0.20      0.03      0.27      0.62         0.34      | 10000    0        0        0        0        | 16     44684          80000        -       
8      32     3      3/8    | 0.09      0.19      0.03      0.24      0.56         0.38      | 10000    0        0        0        0        | 24     44684          80000        -       
8      32     4      4/8    | 0.12      0.21      0.03      0.28      0.65         0.32      | 10000    0        0        0        0        | 32     44684          80000        -       
8      32     5      5/8    | 0.11      0.22      0.03      0.26      0.62         0.34      | 10000    0        0        0        0        | 40     44684          80000        -       
8      32     6      6/8    | 0.10      0.20      0.03      0.24      0.58         0.36      | 10000    0        0        0        0        | 48     44684          80000        -       
8      32     7      7/8    | 0.09      0.21      0.03      0.24      0.58         0.36      | 10000    0        0        0        0        | 56     44684          80000        -       
8      32     8      8/8    | 0.09      0.19      0.03      0.24      0.56         0.38      | 10000    0        0        0        0        | 64     44684          80000        -       
16     8      0      0/8    | 0.09      0.10      0.04      0.10      0.34         0.62      | 7500     0        0        0        0        | 1      7500           80000        -       
16     8      1      1/8    | 0.10      0.10      0.04      0.10      0.34         0.62      | 7500     0        0        0        0        | 32     7500           80000        -       
16     8      2      2/8    | 0.12      0.11      0.05      0.11      0.38         0.55      | 7500     0        0        0        0        | 64     7500           80000        -       
16     8      3      3/8    | 0.10      0.09      0.04      0.10      0.34         0.61      | 7500     0        0        0        0        | 96     7500           80000        -       
16     8      4      4/8    | 0.10      0.10      0.05      0.10      0.35         0.59      | 7500     0        0        0        0        | 128    7500           80000        -       
16     8      5      5/8    | 0.11      0.10      0.05      0.10      0.37         0.57      | 7500     0        0        0        0        | 160    7500           80000        -       
16     8      6      6/8    | 0.10      0.10      0.05      0.10      0.36         0.58      | 7500     0        0        0        0        | 192    7500           80000        -       
16     8      7      7/8    | 0.09      0.09      0.04      0.10      0.33         0.63      | 7500     0        0        0        0        | 224    7500           80000        -       
16     8      8      8/8    | 0.12      0.11      0.05      0.12      0.41         0.52      | 7500     0        0        0        0        | 256    7500           80000        -       
16     16     0      0/8    | 0.10      0.11      0.04      0.20      0.45         0.46      | 7500     0        0        0        0        | 1      10624          80000        -       
16     16     1      1/8    | 0.09      0.10      0.04      0.17      0.41         0.51      | 7500     0        0        0        0        | 32     10624          80000        -       
16     16     2      2/8    | 0.09      0.11      0.04      0.18      0.42         0.50      | 7500     0        0        0        0        | 64     10624          80000        -       
16     16     3      3/8    | 0.11      0.11      0.04      0.20      0.47         0.44      | 7500     0        0        0        0        | 96     10624          80000        -       
16     16     4      4/8    | 0.10      0.10      0.04      0.20      0.45         0.47      | 7500     0        0        0        0        | 128    10624          80000        -       
16     16     5      5/8    | 0.08      0.10      0.04      0.19      0.41         0.51      | 7500     0        0        0        0        | 160    10624          80000        -       
16     16     6      6/8    | 0.08      0.10      0.04      0.17      0.41         0.52      | 7500     0        0        0        0        | 192    10624          80000        -       
16     16     7      7/8    | 0.12      0.11      0.04      0.21      0.48         0.44      | 7500     0        0        0        0        | 224    10624          80000        -       
16     16     8      8/8    | 0.10      0.10      0.04      0.18      0.42         0.50      | 7500     0        0        0        0        | 256    10624          80000        -       
16     32     0      0/8    | 0.10      0.12      0.04      0.26      0.53         0.40      | 7500     0        0        0        0        | 1      16254          80000        -       
16     32     1      1/8    | 0.10      0.10      0.04      0.25      0.50         0.42      | 7500     0        0        0        0        | 32     16254          80000        -       
16     32     2      2/8    | 0.09      0.10      0.04      0.24      0.47         0.44      | 7500     0        0        0        0        | 64     16254          80000        -       
