# Matrix: rajat09
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.001-0.01/rajat09.mtx
# Category: 10k-50k-0.001-0.01
# Date: 2026-03-06 00:51:54
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 24482
# Cols: 24482
# NNZ(A): 105573
# NNZ(C) estimate: 485645
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.16      0.72      0.26      0.51      1.65         0.59      | 78369    0        0        4092     0        | 1      215549         274954       -       
8      8      1      1/8    | 0.15      0.70      0.26      0.54      1.66         0.59      | 78369    0        0        4092     0        | 8      215549         274954       -       
8      8      2      2/8    | 0.15      0.68      0.26      0.51      1.61         0.60      | 78369    0        121      3971     0        | 16     215549         274954       -       
8      8      3      3/8    | 0.16      0.68      0.25      0.52      1.61         0.60      | 78369    0        2107     1985     0        | 24     215549         274954       -       
8      8      4      4/8    | 0.15      0.69      0.24      0.52      1.61         0.60      | 78369    0        3687     405      0        | 32     215549         274954       -       
8      8      5      5/8    | 0.15      0.71      0.25      0.53      1.65         0.59      | 78369    0        4092     0        0        | 40     215549         274954       -       
8      8      6      6/8    | 0.16      0.69      0.24      0.54      1.64         0.59      | 78369    0        4092     0        0        | 48     215549         274954       -       
8      8      7      7/8    | 0.15      0.70      0.24      0.54      1.65         0.59      | 78369    0        4092     0        0        | 56     215549         274954       -       
8      8      8      8/8    | 0.15      0.71      0.25      0.52      1.65         0.59      | 78369    0        4092     0        0        | 64     215549         274954       -       
8      16     0      0/8    | 0.12      0.79      0.25      0.54      1.72         0.56      | 78369    0        0        4092     0        | 1      261869         274954       -       
8      16     1      1/8    | 0.12      0.79      0.25      0.54      1.71         0.57      | 78369    0        0        4092     0        | 8      261869         274954       -       
8      16     2      2/8    | 0.13      0.82      0.25      0.54      1.75         0.56      | 78369    0        121      3971     0        | 16     261869         274954       -       
8      16     3      3/8    | 0.12      0.79      0.25      0.53      1.70         0.57      | 78369    0        2107     1985     0        | 24     261869         274954       -       
8      16     4      4/8    | 0.14      0.84      0.24      0.59      1.83         0.53      | 78369    0        3687     405      0        | 32     261869         274954       -       
8      16     5      5/8    | 0.13      0.82      0.24      0.56      1.75         0.55      | 78369    0        4092     0        0        | 40     261869         274954       -       
8      16     6      6/8    | 0.13      0.79      0.24      0.54      1.71         0.57      | 78369    0        4092     0        0        | 48     261869         274954       -       
8      16     7      7/8    | 0.14      0.83      0.24      0.59      1.81         0.54      | 78369    0        4092     0        0        | 56     261869         274954       -       
