# Matrix: ri2010
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.001-0.01/ri2010.mtx
# Category: 10k-50k-0.001-0.01
# Date: 2026-03-06 00:54:38
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 25181
# Cols: 25181
# NNZ(A): 125750
# NNZ(C) estimate: 849120
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.18      2.93      0.71      0.84      4.67         0.36      | 253860   0        0        5558     0        | 1      1091032        562767       -       
8      8      1      1/8    | 0.18      2.93      0.73      0.80      4.65         0.37      | 253860   0        0        5558     0        | 8      1091032        562767       -       
8      8      2      2/8    | 0.17      2.89      0.66      0.77      4.51         0.38      | 253860   0        5116     442      0        | 16     1091032        562767       -       
8      8      3      3/8    | 0.18      2.91      0.66      0.79      4.55         0.37      | 253860   0        5509     49       0        | 24     1091032        562767       -       
8      8      4      4/8    | 0.17      2.89      0.65      0.79      4.51         0.38      | 253860   0        5551     7        0        | 32     1091032        562767       -       
8      8      5      5/8    | 0.19      2.95      0.66      0.84      4.65         0.37      | 253860   0        5557     1        0        | 40     1091032        562767       -       
8      8      6      6/8    | 0.19      2.93      0.66      0.80      4.59         0.37      | 253860   0        5558     0        0        | 48     1091032        562767       -       
8      8      7      7/8    | 0.18      2.91      0.65      0.80      4.54         0.37      | 253860   0        5558     0        0        | 56     1091032        562767       -       
8      8      8      8/8    | 0.18      2.95      0.66      0.82      4.63         0.37      | 253860   0        5558     0        0        | 64     1091032        562767       -       
8      16     0      0/8    | 0.23      4.45      0.88      0.82      6.39         0.27      | 253860   0        0        5558     0        | 1      1680084        562767       -       
8      16     1      1/8    | 0.23      4.41      0.88      0.82      6.35         0.27      | 253860   0        0        5558     0        | 8      1680084        562767       -       
8      16     2      2/8    | 0.23      4.43      0.81      0.81      6.29         0.27      | 253860   0        5116     442      0        | 16     1680084        562767       -       
8      16     3      3/8    | 0.23      4.50      0.79      0.85      6.38         0.27      | 253860   0        5509     49       0        | 24     1680084        562767       -       
8      16     4      4/8    | 0.22      4.39      0.78      0.80      6.20         0.27      | 253860   0        5551     7        0        | 32     1680084        562767       -       
8      16     5      5/8    | 0.22      4.39      0.78      0.81      6.22         0.27      | 253860   0        5557     1        0        | 40     1680084        562767       -       
8      16     6      6/8    | 0.23      4.41      0.80      0.80      6.25         0.27      | 253860   0        5558     0        0        | 48     1680084        562767       -       
8      16     7      7/8    | 0.23      4.44      0.80      0.84      6.32         0.27      | 253860   0        5558     0        0        | 56     1680084        562767       -       
8      16     8      8/8    | 0.23      4.39      0.79      0.81      6.23         0.27      | 253860   0        5558     0        0        | 64     1680084        562767       -       
8      32     0      0/8    | 0.29      6.38      1.19      0.91      8.78         0.19      | 253860   0        0        5558     0        | 1      2468316        562767       -       
