# Matrix: shermanACb
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.001-0.01/shermanACb.mtx
# Category: 10k-50k-0.001-0.01
# Date: 2026-03-06 00:55:59
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 18510
# Cols: 18510
# NNZ(A): 145149
# NNZ(C) estimate: 945851
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 1.25      2.58      8.72      0.74      13.30        0.14      | 108548   0        0        8588     1        | 1      505437         400519       -       
8      8      1      1/8    | 1.25      2.56      8.14      0.69      12.65        0.15      | 108548   0        0        8588     1        | 8      505437         400519       -       
8      8      2      2/8    | 1.25      2.60      6.42      0.73      11.01        0.17      | 108548   0        6238     2350     1        | 16     505437         400519       -       
8      8      3      3/8    | 1.25      2.60      4.14      0.71      8.71         0.22      | 108548   0        8017     571      1        | 24     505437         400519       -       
8      8      4      4/8    | 1.25      2.53      3.21      0.68      7.68         0.25      | 108548   0        8412     176      1        | 32     505437         400519       -       
8      8      5      5/8    | 1.26      2.62      3.29      0.73      7.91         0.24      | 108548   0        8531     57       1        | 40     505437         400519       -       
8      8      6      6/8    | 1.25      2.57      3.16      0.70      7.68         0.25      | 108548   0        8577     11       1        | 48     505437         400519       -       
8      8      7      7/8    | 1.25      2.64      3.22      0.71      7.83         0.24      | 108548   0        8587     1        1        | 56     505437         400519       -       
8      8      8      8/8    | 1.24      2.53      3.10      0.69      7.57         0.25      | 108548   0        8589     0        0        | 64     505437         400519       -       
8      16     0      0/8    | 0.81      2.18      7.76      0.70      11.46        0.17      | 108548   0        0        8588     1        | 1      818414         400519       -       
8      16     1      1/8    | 0.81      2.20      7.71      0.71      11.44        0.17      | 108548   0        0        8588     1        | 8      818414         400519       -       
8      16     2      2/8    | 0.82      2.26      5.81      0.71      9.61         0.20      | 108548   0        6238     2350     1        | 16     818414         400519       -       
8      16     3      3/8    | 0.82      2.24      4.08      0.70      7.85         0.24      | 108548   0        8017     571      1        | 24     818414         400519       -       
8      16     4      4/8    | 0.81      2.24      1.83      0.70      5.59         0.34      | 108548   0        8412     176      1        | 32     818414         400519       -       
8      16     5      5/8    | 0.81      2.20      1.82      0.68      5.53         0.34      | 108548   0        8531     57       1        | 40     818414         400519       -       
8      16     6      6/8    | 0.83      2.29      1.87      0.74      5.75         0.33      | 108548   0        8577     11       1        | 48     818414         400519       -       
8      16     7      7/8    | 0.82      2.26      1.88      0.71      5.68         0.33      | 108548   0        8587     1        1        | 56     818414         400519       -       
8      16     8      8/8    | 0.83      2.32      1.91      0.74      5.82         0.33      | 108548   0        8589     0        0        | 64     818414         400519       -       
8      32     0      0/8    | 0.60      3.26      7.94      0.77      12.59        0.15      | 108548   0        0        8588     1        | 1      1183878        400519       -       
8      32     1      1/8    | 0.61      3.15      8.05      0.82      12.63        0.15      | 108548   0        0        8588     1        | 8      1183878        400519       -       
8      32     2      2/8    | 0.60      3.06      5.63      0.76      10.05        0.19      | 108548   0        6238     2350     1        | 16     1183878        400519       -       
8      32     3      3/8    | 0.60      3.13      3.67      0.78      8.18         0.23      | 108548   0        8017     571      1        | 24     1183878        400519       -       
8      32     4      4/8    | 0.60      3.08      1.16      0.77      5.62         0.34      | 108548   0        8412     176      1        | 32     1183878        400519       -       
8      32     5      5/8    | 0.60      3.22      1.23      0.78      5.85         0.32      | 108548   0        8531     57       1        | 40     1183878        400519       -       
8      32     6      6/8    | 0.60      3.20      1.18      0.77      5.76         0.33      | 108548   0        8577     11       1        | 48     1183878        400519       -       
8      32     7      7/8    | 0.59      3.09      1.20      0.78      5.68         0.33      | 108548   0        8587     1        1        | 56     1183878        400519       -       
8      32     8      8/8    | 0.59      3.19      1.16      0.77      5.73         0.33      | 108548   0        8589     0        0        | 64     1183878        400519       -       
16     8      0      0/8    | 1.22      2.72      7.95      0.63      12.53        0.15      | 73827    0        0        1447     0        | 1      263643         400519       -       
16     8      1      1/8    | 1.23      2.76      7.82      0.64      12.46        0.15      | 73827    0        0        1447     0        | 32     263643         400519       -       
16     8      2      2/8    | 1.24      2.75      8.03      0.70      12.73        0.15      | 73827    0        1257     190      0        | 64     263643         400519       -       
16     8      3      3/8    | 1.24      2.79      7.88      0.68      12.61        0.15      | 73827    0        1419     28       0        | 96     263643         400519       -       
16     8      4      4/8    | 1.23      2.81      8.21      0.66      12.92        0.15      | 73827    0        1442     5        0        | 128    263643         400519       -       
16     8      5      5/8    | 1.24      2.88      8.10      0.70      12.94        0.15      | 73827    0        1446     1        0        | 160    263643         400519       -       
16     8      6      6/8    | 1.23      2.80      7.90      0.66      12.60        0.15      | 73827    0        1447     0        0        | 192    263643         400519       -       
16     8      7      7/8    | 1.23      2.86      8.18      0.66      12.95        0.15      | 73827    0        1447     0        0        | 224    263643         400519       -       
16     8      8      8/8    | 1.24      2.85      8.21      0.68      12.98        0.15      | 73827    0        1447     0        0        | 256    263643         400519       -       
16     16     0      0/8    | 0.75      2.03      6.59      0.72      10.09        0.19      | 73827    0        0        1447     0        | 1      384474         400519       -       
