# Matrix: shuttle_eddy
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.001-0.01/shuttle_eddy.mtx
# Category: 10k-50k-0.001-0.01
# Date: 2026-03-06 00:57:13
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 10429
# Cols: 10429
# NNZ(A): 103599
# NNZ(C) estimate: 1083153
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.08      0.22      0.15      0.23      0.68         3.18      | 5986     0        0        12996    0        | 1      39206          299329       -       
8      8      1      1/8    | 0.09      0.22      0.14      0.23      0.70         3.11      | 5986     0        0        12996    0        | 8      39206          299329       -       
8      8      2      2/8    | 0.08      0.22      0.14      0.23      0.68         3.20      | 5986     0        5750     7246     0        | 16     39206          299329       -       
8      8      3      3/8    | 0.11      0.22      0.15      0.26      0.75         2.90      | 5986     0        6251     6745     0        | 24     39206          299329       -       
8      8      4      4/8    | 0.09      0.23      0.13      0.23      0.69         3.14      | 5986     0        11356    1640     0        | 32     39206          299329       -       
8      8      5      5/8    | 0.09      0.22      0.11      0.23      0.67         3.25      | 5986     0        12996    0        0        | 40     39206          299329       -       
8      8      6      6/8    | 0.09      0.22      0.12      0.23      0.67         3.22      | 5986     0        12996    0        0        | 48     39206          299329       -       
8      8      7      7/8    | 0.10      0.23      0.12      0.26      0.71         3.03      | 5986     0        12996    0        0        | 56     39206          299329       -       
8      8      8      8/8    | 0.09      0.23      0.12      0.24      0.69         3.16      | 5986     0        12996    0        0        | 64     39206          299329       -       
8      16     0      0/8    | 0.10      0.23      0.17      0.23      0.74         2.91      | 5986     0        0        12996    0        | 1      53084          299329       -       
8      16     1      1/8    | 0.11      0.24      0.17      0.25      0.78         2.76      | 5986     0        0        12996    0        | 8      53084          299329       -       
8      16     2      2/8    | 0.09      0.24      0.16      0.24      0.75         2.90      | 5986     0        5750     7246     0        | 16     53084          299329       -       
8      16     3      3/8    | 0.09      0.22      0.15      0.23      0.70         3.09      | 5986     0        6251     6745     0        | 24     53084          299329       -       
8      16     4      4/8    | 0.09      0.23      0.14      0.27      0.74         2.92      | 5986     0        11356    1640     0        | 32     53084          299329       -       
8      16     5      5/8    | 0.09      0.22      0.11      0.24      0.67         3.23      | 5986     0        12996    0        0        | 40     53084          299329       -       
8      16     6      6/8    | 0.08      0.23      0.11      0.24      0.67         3.24      | 5986     0        12996    0        0        | 48     53084          299329       -       
8      16     7      7/8    | 0.08      0.23      0.11      0.23      0.65         3.32      | 5986     0        12996    0        0        | 56     53084          299329       -       
8      16     8      8/8    | 0.08      0.23      0.11      0.23      0.65         3.31      | 5986     0        12996    0        0        | 64     53084          299329       -       
8      32     0      0/8    | 0.09      0.23      0.30      0.30      0.93         2.33      | 5986     0        0        12996    0        | 1      64730          299329       -       
8      32     1      1/8    | 0.08      0.23      0.30      0.28      0.90         2.40      | 5986     0        0        12996    0        | 8      64730          299329       -       
8      32     2      2/8    | 0.08      0.23      0.28      0.29      0.89         2.43      | 5986     0        5750     7246     0        | 16     64730          299329       -       
8      32     3      3/8    | 0.09      0.23      0.28      0.29      0.90         2.40      | 5986     0        6251     6745     0        | 24     64730          299329       -       
8      32     4      4/8    | 0.11      0.25      0.22      0.31      0.90         2.42      | 5986     0        11356    1640     0        | 32     64730          299329       -       
8      32     5      5/8    | 0.09      0.25      0.11      0.29      0.75         2.90      | 5986     0        12996    0        0        | 40     64730          299329       -       
8      32     6      6/8    | 0.10      0.25      0.11      0.29      0.76         2.84      | 5986     0        12996    0        0        | 48     64730          299329       -       
8      32     7      7/8    | 0.10      0.23      0.11      0.28      0.73         2.98      | 5986     0        12996    0        0        | 56     64730          299329       -       
8      32     8      8/8    | 0.08      0.23      0.11      0.28      0.71         3.05      | 5986     0        12996    0        0        | 64     64730          299329       -       
16     8      0      0/8    | 0.09      0.24      0.18      0.21      0.72         2.99      | 6068     0        0        3640     0        | 1      15176          299329       -       
16     8      1      1/8    | 0.10      0.24      0.18      0.23      0.77         2.81      | 6068     0        0        3640     0        | 32     15176          299329       -       
16     8      2      2/8    | 0.09      0.25      0.17      0.21      0.73         2.98      | 6068     0        1659     1981     0        | 64     15176          299329       -       
16     8      3      3/8    | 0.10      0.25      0.17      0.23      0.76         2.87      | 6068     0        3636     4        0        | 96     15176          299329       -       
16     8      4      4/8    | 0.10      0.25      0.17      0.24      0.77         2.80      | 6068     0        3640     0        0        | 128    15176          299329       -       
16     8      5      5/8    | 0.11      0.25      0.17      0.24      0.78         2.80      | 6068     0        3640     0        0        | 160    15176          299329       -       
16     8      6      6/8    | 0.10      0.25      0.18      0.22      0.74         2.91      | 6068     0        3640     0        0        | 192    15176          299329       -       
16     8      7      7/8    | 0.09      0.24      0.18      0.22      0.74         2.92      | 6068     0        3640     0        0        | 224    15176          299329       -       
16     8      8      8/8    | 0.10      0.24      0.19      0.22      0.76         2.85      | 6068     0        3640     0        0        | 256    15176          299329       -       
16     16     0      0/8    | 0.09      0.24      0.22      0.22      0.79         2.75      | 6068     0        0        3640     0        | 1      17374          299329       -       
16     16     1      1/8    | 0.09      0.25      0.23      0.23      0.80         2.70      | 6068     0        0        3640     0        | 32     17374          299329       -       
16     16     2      2/8    | 0.08      0.25      0.23      0.22      0.80         2.70      | 6068     0        1659     1981     0        | 64     17374          299329       -       
16     16     3      3/8    | 0.09      0.24      0.22      0.23      0.79         2.76      | 6068     0        3636     4        0        | 96     17374          299329       -       
16     16     4      4/8    | 0.09      0.25      0.16      0.24      0.74         2.94      | 6068     0        3640     0        0        | 128    17374          299329       -       
16     16     5      5/8    | 0.11      0.25      0.16      0.26      0.78         2.77      | 6068     0        3640     0        0        | 160    17374          299329       -       
16     16     6      6/8    | 0.09      0.24      0.15      0.24      0.74         2.94      | 6068     0        3640     0        0        | 192    17374          299329       -       
16     16     7      7/8    | 0.10      0.25      0.16      0.25      0.77         2.83      | 6068     0        3640     0        0        | 224    17374          299329       -       
16     16     8      8/8    | 0.10      0.25      0.16      0.26      0.77         2.82      | 6068     0        3640     0        0        | 256    17374          299329       -       
16     32     0      0/8    | 0.08      0.27      0.45      0.23      1.04         2.08      | 6068     0        0        3640     0        | 1      19106          299329       -       
16     32     1      1/8    | 0.11      0.27      0.45      0.25      1.08         2.00      | 6068     0        0        3640     0        | 32     19106          299329       -       
16     32     2      2/8    | 0.09      0.27      0.42      0.24      1.04         2.09      | 6068     0        1659     1981     0        | 64     19106          299329       -       
16     32     3      3/8    | 0.10      0.28      0.41      0.25      1.06         2.04      | 6068     0        3636     4        0        | 96     19106          299329       -       
16     32     4      4/8    | 0.10      0.28      0.15      0.24      0.77         2.81      | 6068     0        3640     0        0        | 128    19106          299329       -       
16     32     5      5/8    | 0.11      0.28      0.14      0.25      0.80         2.72      | 6068     0        3640     0        0        | 160    19106          299329       -       
16     32     6      6/8    | 0.10      0.28      0.13      0.24      0.77         2.83      | 6068     0        3640     0        0        | 192    19106          299329       -       
16     32     7      7/8    | 0.10      0.28      0.15      0.24      0.78         2.78      | 6068     0        3640     0        0        | 224    19106          299329       -       
16     32     8      8/8    | 0.09      0.26      0.14      0.24      0.74         2.93      | 6068     0        3640     0        0        | 256    19106          299329       -       
32     8      0      0/8    | 0.09      0.41      0.36      0.23      1.09         1.99      | 3232     0        0        626      0        | 1      5430           299329       -       
32     8      1      1/8    | 0.11      0.41      0.34      0.25      1.12         1.93      | 3232     0        0        626      0        | 128    5430           299329       -       
32     8      2      2/8    | 0.11      0.41      0.30      0.25      1.09         1.99      | 3232     0        626      0        0        | 256    5430           299329       -       
32     8      3      3/8    | 0.11      0.41      0.31      0.25      1.09         1.99      | 3232     0        626      0        0        | 384    5430           299329       -       
32     8      4      4/8    | 0.10      0.41      0.31      0.24      1.07         2.02      | 3232     0        626      0        0        | 512    5430           299329       -       
32     8      5      5/8    | 0.10      0.40      0.30      0.22      1.03         2.11      | 3232     0        626      0        0        | 640    5430           299329       -       
32     8      6      6/8    | 0.09      0.40      0.30      0.22      1.02         2.12      | 3232     0        626      0        0        | 768    5430           299329       -       
32     8      7      7/8    | 0.10      0.41      0.31      0.23      1.04         2.08      | 3232     0        626      0        0        | 896    5430           299329       -       
32     8      8      8/8    | 0.10      0.40      0.30      0.22      1.03         2.10      | 3232     0        626      0        0        | 1024   5430           299329       -       
32     16     0      0/8    | 0.09      0.28      0.54      0.21      1.14         1.90      | 3232     0        0        626      0        | 1      5632           299329       -       
32     16     1      1/8    | 0.09      0.30      0.55      0.25      1.21         1.79      | 3232     0        0        626      0        | 128    5632           299329       -       
32     16     2      2/8    | 0.10      0.29      0.25      0.24      0.90         2.40      | 3232     0        626      0        0        | 256    5632           299329       -       
32     16     3      3/8    | 0.10      0.30      0.25      0.23      0.89         2.43      | 3232     0        626      0        0        | 384    5632           299329       -       
32     16     4      4/8    | 0.09      0.30      0.24      0.21      0.85         2.56      | 3232     0        626      0        0        | 512    5632           299329       -       
32     16     5      5/8    | 0.08      0.29      0.25      0.21      0.84         2.58      | 3232     0        626      0        0        | 640    5632           299329       -       
32     16     6      6/8    | 0.09      0.30      0.25      0.21      0.85         2.55      | 3232     0        626      0        0        | 768    5632           299329       -       
32     16     7      7/8    | 0.11      0.30      0.25      0.24      0.90         2.40      | 3232     0        626      0        0        | 896    5632           299329       -       
32     16     8      8/8    | 0.09      0.29      0.25      0.22      0.86         2.51      | 3232     0        626      0        0        | 1024   5632           299329       -       
32     32     0      0/8    | 0.09      0.29      0.50      0.25      1.14         1.89      | 3232     0        0        626      0        | 1      6258           299329       -       
32     32     1      1/8    | 0.10      0.29      0.47      0.24      1.11         1.95      | 3232     0        0        626      0        | 128    6258           299329       -       
32     32     2      2/8    | 0.10      0.30      0.22      0.24      0.86         2.50      | 3232     0        626      0        0        | 256    6258           299329       -       
32     32     3      3/8    | 0.09      0.29      0.21      0.22      0.82         2.64      | 3232     0        626      0        0        | 384    6258           299329       -       
32     32     4      4/8    | 0.08      0.29      0.21      0.24      0.83         2.60      | 3232     0        626      0        0        | 512    6258           299329       -       
32     32     5      5/8    | 0.11      0.29      0.22      0.25      0.88         2.47      | 3232     0        626      0        0        | 640    6258           299329       -       
32     32     6      6/8    | 0.10      0.30      0.22      0.24      0.86         2.50      | 3232     0        626      0        0        | 768    6258           299329       -       
32     32     7      7/8    | 0.09      0.29      0.21      0.23      0.83         2.61      | 3232     0        626      0        0        | 896    6258           299329       -       
32     32     8      8/8    | 0.08      0.28      0.22      0.23      0.82         2.63      | 3232     0        626      0        0        | 1024   6258           299329       -       
