# Matrix: stufe-10
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.001-0.01/stufe-10.mtx
# Category: 10k-50k-0.001-0.01
# Date: 2026-03-06 01:01:02
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 24010
# Cols: 24010
# NNZ(A): 92828
# NNZ(C) estimate: 361688
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.10      0.29      0.12      0.29      0.81         0.89      | 30331    0        0        7321     0        | 1      78520          208646       -       
8      8      1      1/8    | 0.10      0.29      0.13      0.30      0.83         0.87      | 30331    0        0        7321     0        | 8      78520          208646       -       
8      8      2      2/8    | 0.09      0.27      0.10      0.29      0.77         0.94      | 30331    0        4856     2465     0        | 16     78520          208646       -       
8      8      3      3/8    | 0.08      0.28      0.09      0.30      0.75         0.96      | 30331    0        7320     1        0        | 24     78520          208646       -       
8      8      4      4/8    | 0.08      0.28      0.09      0.30      0.76         0.95      | 30331    0        7321     0        0        | 32     78520          208646       -       
8      8      5      5/8    | 0.09      0.28      0.09      0.28      0.74         0.97      | 30331    0        7321     0        0        | 40     78520          208646       -       
8      8      6      6/8    | 0.08      0.28      0.09      0.29      0.75         0.97      | 30331    0        7321     0        0        | 48     78520          208646       -       
8      8      7      7/8    | 0.11      0.30      0.09      0.31      0.82         0.88      | 30331    0        7321     0        0        | 56     78520          208646       -       
8      8      8      8/8    | 0.10      0.28      0.09      0.30      0.78         0.93      | 30331    0        7321     0        0        | 64     78520          208646       -       
8      16     0      0/8    | 0.10      0.38      0.13      0.29      0.92         0.79      | 30331    0        0        7321     0        | 1      110158         208646       -       
8      16     1      1/8    | 0.11      0.41      0.13      0.32      0.98         0.74      | 30331    0        0        7321     0        | 8      110158         208646       -       
8      16     2      2/8    | 0.10      0.38      0.11      0.30      0.89         0.81      | 30331    0        4856     2465     0        | 16     110158         208646       -       
8      16     3      3/8    | 0.09      0.37      0.09      0.29      0.84         0.86      | 30331    0        7320     1        0        | 24     110158         208646       -       
8      16     4      4/8    | 0.09      0.37      0.09      0.29      0.84         0.86      | 30331    0        7321     0        0        | 32     110158         208646       -       
8      16     5      5/8    | 0.11      0.38      0.09      0.31      0.89         0.81      | 30331    0        7321     0        0        | 40     110158         208646       -       
8      16     6      6/8    | 0.09      0.39      0.09      0.29      0.87         0.83      | 30331    0        7321     0        0        | 48     110158         208646       -       
8      16     7      7/8    | 0.10      0.38      0.09      0.32      0.90         0.80      | 30331    0        7321     0        0        | 56     110158         208646       -       
8      16     8      8/8    | 0.10      0.38      0.08      0.29      0.86         0.84      | 30331    0        7321     0        0        | 64     110158         208646       -       
8      32     0      0/8    | 0.09      0.53      0.17      0.39      1.20         0.60      | 30331    0        0        7321     0        | 1      158012         208646       -       
8      32     1      1/8    | 0.10      0.52      0.17      0.39      1.19         0.61      | 30331    0        0        7321     0        | 8      158012         208646       -       
8      32     2      2/8    | 0.08      0.50      0.14      0.38      1.12         0.64      | 30331    0        4856     2465     0        | 16     158012         208646       -       
8      32     3      3/8    | 0.11      0.52      0.09      0.42      1.14         0.63      | 30331    0        7320     1        0        | 24     158012         208646       -       
8      32     4      4/8    | 0.10      0.51      0.08      0.39      1.09         0.66      | 30331    0        7321     0        0        | 32     158012         208646       -       
8      32     5      5/8    | 0.09      0.52      0.08      0.40      1.11         0.65      | 30331    0        7321     0        0        | 40     158012         208646       -       
8      32     6      6/8    | 0.10      0.52      0.08      0.40      1.10         0.66      | 30331    0        7321     0        0        | 48     158012         208646       -       
8      32     7      7/8    | 0.10      0.51      0.08      0.39      1.09         0.67      | 30331    0        7321     0        0        | 56     158012         208646       -       
8      32     8      8/8    | 0.11      0.51      0.08      0.40      1.11         0.65      | 30331    0        7321     0        0        | 64     158012         208646       -       
16     8      0      0/8    | 0.10      0.18      0.13      0.23      0.65         1.12      | 19795    0        0        1500     0        | 1      35519          208646       -       
16     8      1      1/8    | 0.08      0.17      0.13      0.21      0.61         1.19      | 19795    0        0        1500     0        | 32     35519          208646       -       
16     8      2      2/8    | 0.10      0.17      0.09      0.24      0.61         1.19      | 19795    0        1499     1        0        | 64     35519          208646       -       
16     8      3      3/8    | 0.09      0.17      0.09      0.23      0.59         1.23      | 19795    0        1500     0        0        | 96     35519          208646       -       
16     8      4      4/8    | 0.09      0.17      0.09      0.23      0.59         1.23      | 19795    0        1500     0        0        | 128    35519          208646       -       
16     8      5      5/8    | 0.09      0.17      0.09      0.23      0.58         1.25      | 19795    0        1500     0        0        | 160    35519          208646       -       
16     8      6      6/8    | 0.09      0.18      0.09      0.22      0.59         1.23      | 19795    0        1500     0        0        | 192    35519          208646       -       
16     8      7      7/8    | 0.09      0.19      0.09      0.23      0.61         1.19      | 19795    0        1500     0        0        | 224    35519          208646       -       
16     8      8      8/8    | 0.10      0.18      0.09      0.23      0.61         1.19      | 19795    0        1500     0        0        | 256    35519          208646       -       
16     16     0      0/8    | 0.08      0.19      0.14      0.29      0.72         1.01      | 19795    0        0        1500     0        | 1      48413          208646       -       
16     16     1      1/8    | 0.08      0.20      0.14      0.29      0.71         1.01      | 19795    0        0        1500     0        | 32     48413          208646       -       
16     16     2      2/8    | 0.09      0.19      0.09      0.28      0.66         1.09      | 19795    0        1499     1        0        | 64     48413          208646       -       
16     16     3      3/8    | 0.10      0.21      0.08      0.32      0.71         1.01      | 19795    0        1500     0        0        | 96     48413          208646       -       
16     16     4      4/8    | 0.09      0.19      0.07      0.30      0.66         1.10      | 19795    0        1500     0        0        | 128    48413          208646       -       
16     16     5      5/8    | 0.09      0.20      0.07      0.30      0.67         1.08      | 19795    0        1500     0        0        | 160    48413          208646       -       
16     16     6      6/8    | 0.09      0.21      0.07      0.30      0.69         1.05      | 19795    0        1500     0        0        | 192    48413          208646       -       
16     16     7      7/8    | 0.10      0.21      0.07      0.32      0.72         1.01      | 19795    0        1500     0        0        | 224    48413          208646       -       
16     16     8      8/8    | 0.09      0.20      0.08      0.29      0.67         1.08      | 19795    0        1500     0        0        | 256    48413          208646       -       
16     32     0      0/8    | 0.09      0.24      0.21      0.34      0.90         0.81      | 19795    0        0        1500     0        | 1      60909          208646       -       
16     32     1      1/8    | 0.10      0.24      0.23      0.36      0.93         0.78      | 19795    0        0        1500     0        | 32     60909          208646       -       
16     32     2      2/8    | 0.09      0.23      0.08      0.34      0.76         0.95      | 19795    0        1499     1        0        | 64     60909          208646       -       
16     32     3      3/8    | 0.09      0.24      0.07      0.34      0.75         0.96      | 19795    0        1500     0        0        | 96     60909          208646       -       
16     32     4      4/8    | 0.09      0.25      0.07      0.34      0.76         0.95      | 19795    0        1500     0        0        | 128    60909          208646       -       
16     32     5      5/8    | 0.11      0.24      0.07      0.37      0.80         0.90      | 19795    0        1500     0        0        | 160    60909          208646       -       
16     32     6      6/8    | 0.09      0.23      0.07      0.33      0.72         1.00      | 19795    0        1500     0        0        | 192    60909          208646       -       
16     32     7      7/8    | 0.08      0.22      0.07      0.33      0.71         1.01      | 19795    0        1500     0        0        | 224    60909          208646       -       
16     32     8      8/8    | 0.11      0.23      0.07      0.36      0.79         0.92      | 19795    0        1500     0        0        | 256    60909          208646       -       
32     8      0      0/8    | 0.10      0.20      0.17      0.22      0.70         1.03      | 11327    0        0        0        0        | 1      17359          208646       -       
32     8      1      1/8    | 0.10      0.20      0.17      0.23      0.71         1.02      | 11327    0        0        0        0        | 128    17359          208646       -       
32     8      2      2/8    | 0.10      0.20      0.18      0.22      0.70         1.03      | 11327    0        0        0        0        | 256    17359          208646       -       
32     8      3      3/8    | 0.09      0.19      0.18      0.21      0.68         1.06      | 11327    0        0        0        0        | 384    17359          208646       -       
32     8      4      4/8    | 0.10      0.20      0.18      0.22      0.70         1.03      | 11327    0        0        0        0        | 512    17359          208646       -       
32     8      5      5/8    | 0.11      0.20      0.18      0.23      0.73         0.99      | 11327    0        0        0        0        | 640    17359          208646       -       
32     8      6      6/8    | 0.10      0.19      0.17      0.22      0.68         1.06      | 11327    0        0        0        0        | 768    17359          208646       -       
