# Matrix: ted_B_unscaled
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.001-0.01/ted_B_unscaled.mtx
# Category: 10k-50k-0.001-0.01
# Date: 2026-03-06 01:03:38
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 10605
# Cols: 10605
# NNZ(A): 144579
# NNZ(C) estimate: 3536877
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.09      0.19      0.10      0.24      0.63         11.21     | 1130     0        0        11200    2060     | 1      14426          489783       -       
8      8      1      1/8    | 0.09      0.19      0.11      0.24      0.64         11.04     | 1130     0        0        11200    2060     | 8      14426          489783       -       
8      8      2      2/8    | 0.08      0.18      0.11      0.22      0.60         11.79     | 1130     0        600      10600    2060     | 16     14426          489783       -       
8      8      3      3/8    | 0.10      0.19      0.11      0.26      0.67         10.59     | 1130     0        1218     9982     2060     | 24     14426          489783       -       
8      8      4      4/8    | 0.09      0.18      0.10      0.25      0.64         11.09     | 1130     0        10822    378      2060     | 32     14426          489783       -       
8      8      5      5/8    | 0.10      0.19      0.10      0.25      0.65         10.95     | 1130     0        10928    272      2060     | 40     14426          489783       -       
8      8      6      6/8    | 0.09      0.18      0.10      0.23      0.61         11.52     | 1130     0        11030    170      2060     | 48     14426          489783       -       
8      8      7      7/8    | 0.09      0.18      0.10      0.24      0.62         11.37     | 1130     0        11126    74       2060     | 56     14426          489783       -       
8      8      8      8/8    | 0.09      0.19      0.12      0.24      0.65         10.85     | 1130     0        13260    0        0        | 64     14426          489783       -       
8      16     0      0/8    | 0.09      0.13      0.10      0.23      0.56         12.65     | 1130     0        0        11200    2060     | 1      15004          489783       -       
8      16     1      1/8    | 0.08      0.13      0.09      0.22      0.53         13.42     | 1130     0        0        11200    2060     | 8      15004          489783       -       
8      16     2      2/8    | 0.08      0.12      0.10      0.22      0.52         13.53     | 1130     0        600      10600    2060     | 16     15004          489783       -       
8      16     3      3/8    | 0.08      0.12      0.09      0.22      0.53         13.42     | 1130     0        1218     9982     2060     | 24     15004          489783       -       
8      16     4      4/8    | 0.09      0.13      0.10      0.24      0.58         12.28     | 1130     0        10822    378      2060     | 32     15004          489783       -       
8      16     5      5/8    | 0.09      0.13      0.09      0.23      0.56         12.75     | 1130     0        10928    272      2060     | 40     15004          489783       -       
8      16     6      6/8    | 0.08      0.13      0.09      0.22      0.53         13.32     | 1130     0        11030    170      2060     | 48     15004          489783       -       
8      16     7      7/8    | 0.08      0.13      0.09      0.22      0.53         13.32     | 1130     0        11126    74       2060     | 56     15004          489783       -       
8      16     8      8/8    | 0.07      0.12      0.12      0.22      0.55         12.93     | 1130     0        13260    0        0        | 64     15004          489783       -       
8      32     0      0/8    | 0.08      0.13      0.12      0.22      0.56         12.68     | 1130     0        0        11200    2060     | 1      16902          489783       -       
8      32     1      1/8    | 0.07      0.11      0.12      0.22      0.54         13.12     | 1130     0        0        11200    2060     | 8      16902          489783       -       
8      32     2      2/8    | 0.08      0.11      0.12      0.21      0.54         13.08     | 1130     0        600      10600    2060     | 16     16902          489783       -       
8      32     3      3/8    | 0.08      0.12      0.12      0.22      0.54         13.00     | 1130     0        1218     9982     2060     | 24     16902          489783       -       
8      32     4      4/8    | 0.10      0.12      0.11      0.24      0.58         12.20     | 1130     0        10822    378      2060     | 32     16902          489783       -       
8      32     5      5/8    | 0.10      0.13      0.11      0.23      0.56         12.52     | 1130     0        10928    272      2060     | 40     16902          489783       -       
8      32     6      6/8    | 0.08      0.11      0.10      0.22      0.52         13.50     | 1130     0        11030    170      2060     | 48     16902          489783       -       
8      32     7      7/8    | 0.11      0.13      0.11      0.26      0.62         11.45     | 1130     0        11126    74       2060     | 56     16902          489783       -       
8      32     8      8/8    | 0.09      0.12      0.13      0.23      0.58         12.26     | 1130     0        13260    0        0        | 64     16902          489783       -       
16     8      0      0/8    | 0.09      0.20      0.09      0.18      0.57         12.32     | 521      0        0        3193     377      | 1      4097           489783       -       
16     8      1      1/8    | 0.10      0.20      0.10      0.20      0.60         11.83     | 521      0        0        3193     377      | 32     4097           489783       -       
16     8      2      2/8    | 0.09      0.20      0.09      0.18      0.57         12.45     | 521      0        398      2795     377      | 64     4097           489783       -       
16     8      3      3/8    | 0.09      0.20      0.09      0.19      0.59         12.07     | 521      0        668      2525     377      | 96     4097           489783       -       
16     8      4      4/8    | 0.09      0.20      0.13      0.19      0.62         11.48     | 521      0        2911     282      377      | 128    4097           489783       -       
16     8      5      5/8    | 0.09      0.20      0.13      0.17      0.61         11.63     | 521      0        2974     219      377      | 160    4097           489783       -       
16     8      6      6/8    | 0.09      0.20      0.13      0.18      0.61         11.54     | 521      0        3077     116      377      | 192    4097           489783       -       
16     8      7      7/8    | 0.08      0.19      0.13      0.17      0.58         12.15     | 521      0        3131     62       377      | 224    4097           489783       -       
16     8      8      8/8    | 0.08      0.21      0.17      0.17      0.64         11.12     | 521      0        3570     0        0        | 256    4097           489783       -       
16     16     0      0/8    | 0.08      0.14      0.08      0.17      0.48         14.86     | 521      0        0        3193     377      | 1      4109           489783       -       
16     16     1      1/8    | 0.11      0.15      0.09      0.21      0.56         12.61     | 521      0        0        3193     377      | 32     4109           489783       -       
16     16     2      2/8    | 0.08      0.14      0.08      0.18      0.49         14.50     | 521      0        398      2795     377      | 64     4109           489783       -       
16     16     3      3/8    | 0.09      0.14      0.09      0.18      0.50         14.12     | 521      0        668      2525     377      | 96     4109           489783       -       
16     16     4      4/8    | 0.09      0.15      0.13      0.17      0.54         13.10     | 521      0        2911     282      377      | 128    4109           489783       -       
16     16     5      5/8    | 0.09      0.15      0.12      0.18      0.54         13.03     | 521      0        2974     219      377      | 160    4109           489783       -       
16     16     6      6/8    | 0.10      0.14      0.12      0.18      0.56         12.65     | 521      0        3077     116      377      | 192    4109           489783       -       
16     16     7      7/8    | 0.10      0.15      0.13      0.22      0.61         11.67     | 521      0        3131     62       377      | 224    4109           489783       -       
16     16     8      8/8    | 0.09      0.14      0.17      0.17      0.57         12.30     | 521      0        3570     0        0        | 256    4109           489783       -       
16     32     0      0/8    | 0.09      0.12      0.12      0.17      0.50         14.04     | 521      0        0        3193     377      | 1      4617           489783       -       
16     32     1      1/8    | 0.10      0.13      0.12      0.19      0.54         13.05     | 521      0        0        3193     377      | 32     4617           489783       -       
16     32     2      2/8    | 0.08      0.13      0.12      0.18      0.52         13.53     | 521      0        398      2795     377      | 64     4617           489783       -       
16     32     3      3/8    | 0.09      0.13      0.13      0.18      0.54         13.08     | 521      0        668      2525     377      | 96     4617           489783       -       
16     32     4      4/8    | 0.08      0.13      0.15      0.17      0.53         13.42     | 521      0        2911     282      377      | 128    4617           489783       -       
16     32     5      5/8    | 0.10      0.13      0.16      0.20      0.59         11.97     | 521      0        2974     219      377      | 160    4617           489783       -       
16     32     6      6/8    | 0.09      0.13      0.16      0.18      0.57         12.37     | 521      0        3077     116      377      | 192    4617           489783       -       
16     32     7      7/8    | 0.10      0.13      0.16      0.19      0.58         12.11     | 521      0        3131     62       377      | 224    4617           489783       -       
16     32     8      8/8    | 0.08      0.13      0.18      0.18      0.58         12.26     | 521      0        3570     0        0        | 256    4617           489783       -       
32     8      0      0/8    | 0.09      0.20      0.17      0.17      0.64         11.09     | 363      0        0        875      56       | 1      1294           489783       -       
32     8      1      1/8    | 0.09      0.20      0.18      0.17      0.64         10.98     | 363      0        0        875      56       | 128    1294           489783       -       
32     8      2      2/8    | 0.09      0.20      0.19      0.17      0.66         10.69     | 363      0        79       796      56       | 256    1294           489783       -       
32     8      3      3/8    | 0.10      0.20      0.25      0.18      0.73         9.69      | 363      0        239      636      56       | 384    1294           489783       -       
32     8      4      4/8    | 0.08      0.20      0.33      0.16      0.78         9.08      | 363      0        735      140      56       | 512    1294           489783       -       
32     8      5      5/8    | 0.08      0.20      0.33      0.17      0.79         9.00      | 363      0        735      140      56       | 640    1294           489783       -       
32     8      6      6/8    | 0.10      0.21      0.32      0.19      0.84         8.45      | 363      0        865      10       56       | 768    1294           489783       -       
32     8      7      7/8    | 0.08      0.20      0.32      0.18      0.79         8.95      | 363      0        866      9        56       | 896    1294           489783       -       
32     8      8      8/8    | 0.11      0.20      0.45      0.18      0.95         7.42      | 363      0        931      0        0        | 1024   1294           489783       -       
32     16     0      0/8    | 0.10      0.15      0.15      0.18      0.60         11.77     | 363      0        0        875      56       | 1      1294           489783       -       
32     16     1      1/8    | 0.11      0.16      0.15      0.20      0.62         11.39     | 363      0        0        875      56       | 128    1294           489783       -       
32     16     2      2/8    | 0.09      0.15      0.16      0.19      0.60         11.71     | 363      0        79       796      56       | 256    1294           489783       -       
32     16     3      3/8    | 0.11      0.15      0.19      0.19      0.65         10.85     | 363      0        239      636      56       | 384    1294           489783       -       
32     16     4      4/8    | 0.10      0.15      0.31      0.17      0.74         9.51      | 363      0        735      140      56       | 512    1294           489783       -       
32     16     5      5/8    | 0.09      0.15      0.31      0.19      0.75         9.38      | 363      0        735      140      56       | 640    1294           489783       -       
32     16     6      6/8    | 0.08      0.15      0.31      0.17      0.73         9.70      | 363      0        865      10       56       | 768    1294           489783       -       
32     16     7      7/8    | 0.09      0.15      0.32      0.18      0.74         9.51      | 363      0        866      9        56       | 896    1294           489783       -       
32     16     8      8/8    | 0.10      0.15      0.45      0.19      0.91         7.77      | 363      0        931      0        0        | 1024   1294           489783       -       
32     32     0      0/8    | 0.10      0.13      0.13      0.19      0.56         12.52     | 363      0        0        875      56       | 1      1340           489783       -       
32     32     1      1/8    | 0.10      0.13      0.13      0.19      0.56         12.75     | 363      0        0        875      56       | 128    1340           489783       -       
32     32     2      2/8    | 0.09      0.13      0.14      0.20      0.57         12.43     | 363      0        79       796      56       | 256    1340           489783       -       
32     32     3      3/8    | 0.10      0.13      0.17      0.20      0.62         11.39     | 363      0        239      636      56       | 384    1340           489783       -       
32     32     4      4/8    | 0.09      0.14      0.27      0.20      0.71         9.89      | 363      0        735      140      56       | 512    1340           489783       -       
