# Matrix: vsp_barth5_1Ksep_50in_5Kout
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.001-0.01/vsp_barth5_1Ksep_50in_5Kout.mtx
# Category: 10k-50k-0.001-0.01
# Date: 2026-03-06 01:07:38
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 32212
# Cols: 32212
# NNZ(A): 203610
# NNZ(C) estimate: 1331444
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.61      19.23     1.57      1.08      22.51        0.12      | 753392   0        0        89       0        | 1      7325865        800408       -       
8      8      1      1/8    | 0.62      19.04     1.57      1.04      22.28        0.12      | 753392   0        0        89       0        | 8      7325865        800408       -       
8      8      2      2/8    | 0.62      19.06     1.55      1.03      22.28        0.12      | 753392   0        89       0        0        | 16     7325865        800408       -       
8      8      3      3/8    | 0.60      18.73     1.55      1.04      21.93        0.12      | 753392   0        89       0        0        | 24     7325865        800408       -       
8      8      4      4/8    | 0.61      18.95     1.55      1.06      22.18        0.12      | 753392   0        89       0        0        | 32     7325865        800408       -       
8      8      5      5/8    | 0.61      18.94     1.55      1.02      22.13        0.12      | 753392   0        89       0        0        | 40     7325865        800408       -       
8      8      6      6/8    | 0.62      19.35     1.56      1.05      22.59        0.12      | 753392   0        89       0        0        | 48     7325865        800408       -       
8      8      7      7/8    | 0.63      19.30     1.56      1.11      22.62        0.12      | 753392   0        89       0        0        | 56     7325865        800408       -       
8      8      8      8/8    | 0.62      19.20     1.55      1.06      22.43        0.12      | 753392   0        89       0        0        | 64     7325865        800408       -       
8      16     0      0/8    | 1.00      29.84     1.89      1.22      33.96        0.08      | 753392   0        0        89       0        | 1      11479149       800408       -       
8      16     1      1/8    | 0.99      29.75     1.89      1.21      33.85        0.08      | 753392   0        0        89       0        | 8      11479149       800408       -       
8      16     2      2/8    | 0.99      29.84     1.87      1.22      33.94        0.08      | 753392   0        89       0        0        | 16     11479149       800408       -       
8      16     3      3/8    | 1.00      29.88     1.90      1.22      34.02        0.08      | 753392   0        89       0        0        | 24     11479149       800408       -       
8      16     4      4/8    | 1.00      29.70     1.90      1.21      33.82        0.08      | 753392   0        89       0        0        | 32     11479149       800408       -       
8      16     5      5/8    | 1.01      30.00     1.87      1.22      34.11        0.08      | 753392   0        89       0        0        | 40     11479149       800408       -       
8      16     6      6/8    | 1.00      30.64     1.87      1.28      34.82        0.08      | 753392   0        89       0        0        | 48     11479149       800408       -       
8      16     7      7/8    | 1.00      29.47     1.87      1.22      33.57        0.08      | 753392   0        89       0        0        | 56     11479149       800408       -       
8      16     8      8/8    | 1.00      29.76     1.87      1.20      33.85        0.08      | 753392   0        89       0        0        | 64     11479149       800408       -       
8      32     0      0/8    | 1.37      38.87     2.09      1.45      43.80        0.06      | 753392   0        0        89       0        | 1      14855911       800408       -       
8      32     1      1/8    | 1.38      38.73     2.08      1.42      43.63        0.06      | 753392   0        0        89       0        | 8      14855911       800408       -       
8      32     2      2/8    | 1.38      38.54     2.05      1.42      43.41        0.06      | 753392   0        89       0        0        | 16     14855911       800408       -       
8      32     3      3/8    | 1.39      39.15     2.06      1.48      44.10        0.06      | 753392   0        89       0        0        | 24     14855911       800408       -       
8      32     4      4/8    | 1.37      38.16     2.06      1.44      43.04        0.06      | 753392   0        89       0        0        | 32     14855911       800408       -       
8      32     5      5/8    | 1.39      38.85     2.09      1.44      43.78        0.06      | 753392   0        89       0        0        | 40     14855911       800408       -       
