# Matrix: vsp_p0291_seymourl_iiasa
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.001-0.01/vsp_p0291_seymourl_iiasa.mtx
# Category: 10k-50k-0.001-0.01
# Date: 2026-03-06 01:09:39
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 10498
# Cols: 10498
# NNZ(A): 107736
# NNZ(C) estimate: 3860358
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.40      3.27      2.82      0.86      7.36         1.05      | 401999   0        0        102840   2268     | 1      1067165        3227032      -       
8      8      1      1/8    | 0.39      3.22      2.74      0.88      7.23         1.07      | 401999   0        0        102840   2268     | 8      1067165        3227032      -       
8      8      2      2/8    | 0.40      3.32      2.38      0.85      6.95         1.11      | 401999   0        59742    43098    2268     | 16     1067165        3227032      -       
8      8      3      3/8    | 0.41      3.33      2.27      0.89      6.92         1.12      | 401999   0        80159    22681    2268     | 24     1067165        3227032      -       
8      8      4      4/8    | 0.40      3.35      2.28      0.87      6.91         1.12      | 401999   0        90355    12485    2268     | 32     1067165        3227032      -       
8      8      5      5/8    | 0.41      3.13      2.23      0.89      6.67         1.16      | 401999   0        95918    6922     2268     | 40     1067165        3227032      -       
8      8      6      6/8    | 0.40      3.31      2.12      0.86      6.70         1.15      | 401999   0        99265    3575     2268     | 48     1067165        3227032      -       
8      8      7      7/8    | 0.40      3.32      2.21      0.83      6.78         1.14      | 401999   0        101787   1053     2268     | 56     1067165        3227032      -       
8      8      8      8/8    | 0.40      3.08      1.88      0.86      6.23         1.24      | 401999   0        105108   0        0        | 64     1067165        3227032      -       
8      16     0      0/8    | 0.36      3.21      3.63      0.86      8.07         0.96      | 401999   0        0        102840   2268     | 1      1165107        3227032      -       
8      16     1      1/8    | 0.36      3.27      3.72      0.81      8.16         0.95      | 401999   0        0        102840   2268     | 8      1165107        3227032      -       
8      16     2      2/8    | 0.36      3.16      2.97      0.84      7.34         1.05      | 401999   0        59742    43098    2268     | 16     1165107        3227032      -       
8      16     3      3/8    | 0.37      3.30      2.64      0.85      7.17         1.08      | 401999   0        80159    22681    2268     | 24     1165107        3227032      -       
8      16     4      4/8    | 0.35      3.17      2.64      0.84      7.02         1.10      | 401999   0        90355    12485    2268     | 32     1165107        3227032      -       
8      16     5      5/8    | 0.36      3.28      2.55      0.86      7.06         1.09      | 401999   0        95918    6922     2268     | 40     1165107        3227032      -       
8      16     6      6/8    | 0.35      3.23      2.54      0.83      6.97         1.11      | 401999   0        99265    3575     2268     | 48     1165107        3227032      -       
8      16     7      7/8    | 0.36      3.23      2.52      0.82      6.94         1.11      | 401999   0        101787   1053     2268     | 56     1165107        3227032      -       
