# Matrix: wang3
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.001-0.01/wang3.mtx
# Category: 10k-50k-0.001-0.01
# Date: 2026-03-06 01:11:02
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 26064
# Cols: 26064
# NNZ(A): 177168
# NNZ(C) estimate: 1209234
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.10      0.45      0.25      0.47      1.28         1.89      | 55548    0        0        21942    0        | 1      132810         615022       -       
8      8      1      1/8    | 0.09      0.43      0.25      0.45      1.23         1.97      | 55548    0        0        21942    0        | 8      132810         615022       -       
8      8      2      2/8    | 0.10      0.42      0.22      0.45      1.19         2.03      | 55548    0        13026    8916     0        | 16     132810         615022       -       
8      8      3      3/8    | 0.09      0.43      0.20      0.44      1.18         2.05      | 55548    0        18684    3258     0        | 24     132810         615022       -       
8      8      4      4/8    | 0.10      0.45      0.21      0.49      1.27         1.90      | 55548    0        19332    2610     0        | 32     132810         615022       -       
8      8      5      5/8    | 0.10      0.45      0.19      0.48      1.23         1.97      | 55548    0        21942    0        0        | 40     132810         615022       -       
8      8      6      6/8    | 0.11      0.44      0.19      0.50      1.26         1.92      | 55548    0        21942    0        0        | 48     132810         615022       -       
8      8      7      7/8    | 0.10      0.45      0.19      0.48      1.24         1.95      | 55548    0        21942    0        0        | 56     132810         615022       -       
8      8      8      8/8    | 0.12      0.47      0.19      0.53      1.32         1.83      | 55548    0        21942    0        0        | 64     132810         615022       -       
8      16     0      0/8    | 0.10      0.49      0.25      0.41      1.26         1.91      | 55548    0        0        21942    0        | 1      152110         615022       -       
8      16     1      1/8    | 0.10      0.50      0.25      0.41      1.27         1.91      | 55548    0        0        21942    0        | 8      152110         615022       -       
