# Matrix: 3D_28984_Tetra
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.01-0.1/3D_28984_Tetra.mtx
# Category: 10k-50k-0.01-0.1
# Date: 2026-03-06 01:21:36
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 28984
# Cols: 28984
# NNZ(A): 599170
# NNZ(C) estimate: 14855296
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 1.48      4.02      3.12      0.90      9.54         3.12      | 710364   0        0        98745    5        | 1      1533862        4493332      -       
8      8      1      1/8    | 1.48      4.08      3.21      0.90      9.69         3.07      | 710364   0        0        98745    5        | 8      1533862        4493332      -       
8      8      2      2/8    | 1.48      4.06      3.62      0.88      10.05        2.96      | 710364   0        52061    46684    5        | 16     1533862        4493332      -       
8      8      3      3/8    | 1.48      4.11      2.63      0.90      9.13         3.25      | 710364   0        71679    27066    5        | 24     1533862        4493332      -       
8      8      4      4/8    | 1.48      4.12      2.40      0.89      8.91         3.34      | 710364   0        82559    16186    5        | 32     1533862        4493332      -       
8      8      5      5/8    | 1.48      4.13      2.53      0.89      9.05         3.28      | 710364   0        92117    6628     5        | 40     1533862        4493332      -       
8      8      6      6/8    | 1.47      4.09      2.52      0.90      8.99         3.30      | 710364   0        94559    4186     5        | 48     1533862        4493332      -       
8      8      7      7/8    | 1.48      4.11      2.56      0.89      9.05         3.28      | 710364   0        98727    18       5        | 56     1533862        4493332      -       
8      8      8      8/8    | 1.48      4.17      2.51      0.90      9.07         3.28      | 710364   0        98750    0        0        | 64     1533862        4493332      -       
8      16     0      0/8    | 1.04      4.33      3.44      0.92      9.73         3.05      | 710364   0        0        98745    5        | 1      1628107        4493332      -       
8      16     1      1/8    | 1.04      4.44      3.87      0.93      10.30        2.89      | 710364   0        0        98745    5        | 8      1628107        4493332      -       
8      16     2      2/8    | 1.04      4.33      3.81      0.90      10.08        2.95      | 710364   0        52061    46684    5        | 16     1628107        4493332      -       
8      16     3      3/8    | 1.04      4.36      2.32      0.88      8.62         3.45      | 710364   0        71679    27066    5        | 24     1628107        4493332      -       
8      16     4      4/8    | 1.03      4.36      2.32      0.87      8.60         3.45      | 710364   0        82559    16186    5        | 32     1628107        4493332      -       
8      16     5      5/8    | 1.02      4.34      2.32      0.88      8.58         3.46      | 710364   0        92117    6628     5        | 40     1628107        4493332      -       
8      16     6      6/8    | 1.05      4.49      2.25      0.94      8.74         3.40      | 710364   0        94559    4186     5        | 48     1628107        4493332      -       
8      16     7      7/8    | 1.04      4.37      2.30      0.91      8.63         3.44      | 710364   0        98727    18       5        | 56     1628107        4493332      -       
8      16     8      8/8    | 1.04      4.35      2.25      0.90      8.56         3.47      | 710364   0        98750    0        0        | 64     1628107        4493332      -       
8      32     0      0/8    | 0.86      4.69      4.14      0.90      10.60        2.80      | 710364   0        0        98745    5        | 1      1792562        4493332      -       
8      32     1      1/8    | 0.86      4.72      4.17      0.88      10.64        2.79      | 710364   0        0        98745    5        | 8      1792562        4493332      -       
8      32     2      2/8    | 0.87      4.83      3.87      0.92      10.50        2.83      | 710364   0        52061    46684    5        | 16     1792562        4493332      -       
8      32     3      3/8    | 0.88      4.75      2.28      0.91      8.82         3.37      | 710364   0        71679    27066    5        | 24     1792562        4493332      -       
8      32     4      4/8    | 0.87      4.79      2.24      0.90      8.82         3.37      | 710364   0        82559    16186    5        | 32     1792562        4493332      -       
8      32     5      5/8    | 0.87      4.85      2.12      0.90      8.75         3.40      | 710364   0        92117    6628     5        | 40     1792562        4493332      -       
8      32     6      6/8    | 0.87      4.76      2.15      0.92      8.71         3.41      | 710364   0        94559    4186     5        | 48     1792562        4493332      -       
8      32     7      7/8    | 0.87      4.83      2.06      0.89      8.66         3.43      | 710364   0        98727    18       5        | 56     1792562        4493332      -       
8      32     8      8/8    | 0.87      4.79      2.07      0.89      8.64         3.44      | 710364   0        98750    0        0        | 64     1792562        4493332      -       
16     8      0      0/8    | 1.50      2.40      2.45      0.87      7.24         4.11      | 525255   0        0        24447    0        | 1      888069         4493332      -       
16     8      1      1/8    | 1.51      2.44      2.50      0.94      7.42         4.00      | 525255   0        0        24447    0        | 32     888069         4493332      -       
