# Matrix: EAT_RS
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.01-0.1/EAT_RS.mtx
# Category: 10k-50k-0.01-0.1
# Date: 2026-03-06 02:26:59
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 23219
# Cols: 23219
# NNZ(A): 325592
# NNZ(C) estimate: 10674996
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 1.61      20.23     14.56     1.12      37.53        0.57      | 3855718  0        0        14019    0        | 1      6608989        7628095      -       
8      8      1      1/8    | 1.60      20.09     14.61     1.16      37.48        0.57      | 3855718  0        0        14019    0        | 8      6608989        7628095      -       
8      8      2      2/8    | 1.61      20.09     14.30     1.12      37.13        0.57      | 3855718  0        13851    168      0        | 16     6608989        7628095      -       
8      8      3      3/8    | 1.63      19.86     14.36     1.11      36.97        0.58      | 3855718  0        14010    9        0        | 24     6608989        7628095      -       
8      8      4      4/8    | 1.61      20.07     14.28     1.11      37.09        0.58      | 3855718  0        14019    0        0        | 32     6608989        7628095      -       
8      8      5      5/8    | 1.62      19.83     14.25     1.11      36.83        0.58      | 3855718  0        14019    0        0        | 40     6608989        7628095      -       
8      8      6      6/8    | 1.61      19.78     14.22     1.07      36.70        0.58      | 3855718  0        14019    0        0        | 48     6608989        7628095      -       
8      8      7      7/8    | 1.63      20.09     14.21     1.12      37.06        0.58      | 3855718  0        14019    0        0        | 56     6608989        7628095      -       
8      8      8      8/8    | 1.61      19.99     14.27     1.11      36.99        0.58      | 3855718  0        14019    0        0        | 64     6608989        7628095      -       
8      16     0      0/8    | 1.64      25.21     25.12     1.18      53.17        0.40      | 3855718  0        0        14019    0        | 1      7372191        7628095      -       
8      16     1      1/8    | 1.63      25.25     25.17     1.19      53.25        0.40      | 3855718  0        0        14019    0        | 8      7372191        7628095      -       
8      16     2      2/8    | 1.65      25.10     24.54     1.19      52.49        0.41      | 3855718  0        13851    168      0        | 16     7372191        7628095      -       
8      16     3      3/8    | 1.63      24.85     24.73     1.16      52.37        0.41      | 3855718  0        14010    9        0        | 24     7372191        7628095      -       
8      16     4      4/8    | 1.64      25.46     24.78     1.20      53.11        0.40      | 3855718  0        14019    0        0        | 32     7372191        7628095      -       
8      16     5      5/8    | 1.64      25.18     24.52     1.18      52.53        0.41      | 3855718  0        14019    0        0        | 40     7372191        7628095      -       
8      16     6      6/8    | 1.62      25.01     24.69     1.16      52.51        0.41      | 3855718  0        14019    0        0        | 48     7372191        7628095      -       
8      16     7      7/8    | 1.63      24.91     24.69     1.16      52.42        0.41      | 3855718  0        14019    0        0        | 56     7372191        7628095      -       
8      16     8      8/8    | 1.65      24.81     24.72     1.17      52.38        0.41      | 3855718  0        14019    0        0        | 64     7372191        7628095      -       
8      32     0      0/8    | 1.64      33.89     47.13     1.17      83.85        0.25      | 3855718  0        0        14019    0        | 1      7793331        7628095      -       
8      32     1      1/8    | 1.65      33.53     47.25     1.17      83.61        0.26      | 3855718  0        0        14019    0        | 8      7793331        7628095      -       
8      32     2      2/8    | 1.64      33.33     46.95     1.14      83.07        0.26      | 3855718  0        13851    168      0        | 16     7793331        7628095      -       
8      32     3      3/8    | 1.65      33.33     46.73     1.14      82.87        0.26      | 3855718  0        14010    9        0        | 24     7793331        7628095      -       
8      32     4      4/8    | 1.66      33.91     47.04     1.19      83.81        0.25      | 3855718  0        14019    0        0        | 32     7793331        7628095      -       
8      32     5      5/8    | 1.64      33.75     47.06     1.15      83.63        0.26      | 3855718  0        14019    0        0        | 40     7793331        7628095      -       
8      32     6      6/8    | 1.64      33.65     46.65     1.17      83.13        0.26      | 3855718  0        14019    0        0        | 48     7793331        7628095      -       
8      32     7      7/8    | 1.63      33.72     46.90     1.21      83.49        0.26      | 3855718  0        14019    0        0        | 56     7793331        7628095      -       
8      32     8      8/8    | 1.63      33.71     47.04     1.15      83.54        0.26      | 3855718  0        14019    0        0        | 64     7793331        7628095      -       
16     8      0      0/8    | 1.40      15.53     20.95     0.98      38.88        0.55      | 1776156  0        0        134      0        | 1      2058472        7628095      -       
16     8      1      1/8    | 1.40      15.55     20.96     0.97      38.90        0.55      | 1776156  0        0        134      0        | 32     2058472        7628095      -       
16     8      2      2/8    | 1.40      15.54     21.00     1.00      38.96        0.55      | 1776156  0        133      1        0        | 64     2058472        7628095      -       
16     8      3      3/8    | 1.40      15.47     20.97     1.02      38.87        0.55      | 1776156  0        134      0        0        | 96     2058472        7628095      -       
16     8      4      4/8    | 1.40      15.69     20.95     0.99      39.05        0.55      | 1776156  0        134      0        0        | 128    2058472        7628095      -       
16     8      5      5/8    | 1.40      15.53     21.08     0.96      38.98        0.55      | 1776156  0        134      0        0        | 160    2058472        7628095      -       
16     8      6      6/8    | 1.41      15.48     20.98     0.97      38.85        0.55      | 1776156  0        134      0        0        | 192    2058472        7628095      -       
16     8      7      7/8    | 1.40      15.48     20.95     0.96      38.80        0.55      | 1776156  0        134      0        0        | 224    2058472        7628095      -       
16     8      8      8/8    | 1.40      15.36     21.03     0.96      38.76        0.55      | 1776156  0        134      0        0        | 256    2058472        7628095      -       
16     16     0      0/8    | 1.39      21.36     36.32     0.95      60.04        0.36      | 1776156  0        0        134      0        | 1      2081301        7628095      -       
16     16     1      1/8    | 1.38      21.29     36.43     0.93      60.05        0.36      | 1776156  0        0        134      0        | 32     2081301        7628095      -       
16     16     2      2/8    | 1.39      21.41     35.82     0.96      59.59        0.36      | 1776156  0        133      1        0        | 64     2081301        7628095      -       
16     16     3      3/8    | 1.38      21.46     35.99     0.99      59.84        0.36      | 1776156  0        134      0        0        | 96     2081301        7628095      -       
16     16     4      4/8    | 1.39      21.45     36.00     0.92      59.77        0.36      | 1776156  0        134      0        0        | 128    2081301        7628095      -       
16     16     5      5/8    | 1.40      21.42     36.00     1.00      59.84        0.36      | 1776156  0        134      0        0        | 160    2081301        7628095      -       
16     16     6      6/8    | 1.40      21.44     36.08     1.01      59.93        0.36      | 1776156  0        134      0        0        | 192    2081301        7628095      -       
16     16     7      7/8    | 1.39      21.50     35.99     0.98      59.88        0.36      | 1776156  0        134      0        0        | 224    2081301        7628095      -       
16     16     8      8/8    | 1.39      21.48     36.08     0.97      59.94        0.36      | 1776156  0        134      0        0        | 256    2081301        7628095      -       
16     32     0      0/8    | 1.40      29.30     58.29     0.99      90.00        0.24      | 1776156  0        0        134      0        | 1      2087893        7628095      -       
16     32     1      1/8    | 1.40      29.32     58.41     1.00      90.15        0.24      | 1776156  0        0        134      0        | 32     2087893        7628095      -       
16     32     2      2/8    | 1.39      29.51     57.63     0.98      89.52        0.24      | 1776156  0        133      1        0        | 64     2087893        7628095      -       
16     32     3      3/8    | 1.39      29.26     58.09     0.98      89.73        0.24      | 1776156  0        134      0        0        | 96     2087893        7628095      -       
