# Matrix: HEP-th
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.01-0.1/HEP-th.mtx
# Category: 10k-50k-0.01-0.1
# Date: 2026-03-06 02:55:40
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 27240
# Cols: 27240
# NNZ(A): 342437
# NNZ(C) estimate: 7187290
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.96      18.62     11.64     1.00      32.24        0.45      | 2072695  0        0        5349     0        | 1      4979422        3687816      -       
8      8      1      1/8    | 0.95      18.49     11.61     1.00      32.06        0.45      | 2072695  0        0        5349     0        | 8      4979422        3687816      -       
8      8      2      2/8    | 0.95      18.44     11.42     1.01      31.84        0.45      | 2072695  0        5332     17       0        | 16     4979422        3687816      -       
8      8      3      3/8    | 0.96      18.36     11.46     0.99      31.79        0.45      | 2072695  0        5348     1        0        | 24     4979422        3687816      -       
8      8      4      4/8    | 0.95      18.20     11.48     0.96      31.61        0.45      | 2072695  0        5349     0        0        | 32     4979422        3687816      -       
8      8      5      5/8    | 0.97      18.57     11.46     1.04      32.06        0.45      | 2072695  0        5349     0        0        | 40     4979422        3687816      -       
8      8      6      6/8    | 0.96      18.36     11.54     1.01      31.88        0.45      | 2072695  0        5349     0        0        | 48     4979422        3687816      -       
8      8      7      7/8    | 0.97      18.30     11.44     0.98      31.70        0.45      | 2072695  0        5349     0        0        | 56     4979422        3687816      -       
8      8      8      8/8    | 0.96      18.59     11.49     1.01      32.07        0.45      | 2072695  0        5349     0        0        | 64     4979422        3687816      -       
8      16     0      0/8    | 0.94      22.93     17.36     1.03      42.29        0.34      | 2072695  0        0        5349     0        | 1      5463434        3687816      -       
8      16     1      1/8    | 0.95      22.81     17.36     1.03      42.17        0.34      | 2072695  0        0        5349     0        | 8      5463434        3687816      -       
8      16     2      2/8    | 0.94      22.95     17.16     1.05      42.11        0.34      | 2072695  0        5332     17       0        | 16     5463434        3687816      -       
8      16     3      3/8    | 0.94      22.91     17.18     1.04      42.09        0.34      | 2072695  0        5348     1        0        | 24     5463434        3687816      -       
8      16     4      4/8    | 0.95      22.96     17.35     1.10      42.38        0.34      | 2072695  0        5349     0        0        | 32     5463434        3687816      -       
8      16     5      5/8    | 0.94      22.90     17.19     1.04      42.09        0.34      | 2072695  0        5349     0        0        | 40     5463434        3687816      -       
8      16     6      6/8    | 0.94      23.20     17.18     1.03      42.37        0.34      | 2072695  0        5349     0        0        | 48     5463434        3687816      -       
8      16     7      7/8    | 0.94      22.63     17.22     0.99      41.80        0.34      | 2072695  0        5349     0        0        | 56     5463434        3687816      -       
8      16     8      8/8    | 0.93      22.69     17.19     1.00      41.83        0.34      | 2072695  0        5349     0        0        | 64     5463434        3687816      -       
8      32     0      0/8    | 1.06      28.49     24.27     1.03      54.86        0.26      | 2072695  0        0        5349     0        | 1      5724682        3687816      -       
8      32     1      1/8    | 1.07      28.76     24.35     1.04      55.24        0.26      | 2072695  0        0        5349     0        | 8      5724682        3687816      -       
8      32     2      2/8    | 1.07      28.55     24.28     1.06      54.97        0.26      | 2072695  0        5332     17       0        | 16     5724682        3687816      -       
8      32     3      3/8    | 1.07      28.86     24.31     1.07      55.32        0.26      | 2072695  0        5348     1        0        | 24     5724682        3687816      -       
8      32     4      4/8    | 1.06      28.63     24.18     1.03      54.92        0.26      | 2072695  0        5349     0        0        | 32     5724682        3687816      -       
8      32     5      5/8    | 1.08      28.46     24.24     1.04      54.83        0.26      | 2072695  0        5349     0        0        | 40     5724682        3687816      -       
8      32     6      6/8    | 1.06      28.57     24.20     1.04      54.88        0.26      | 2072695  0        5349     0        0        | 48     5724682        3687816      -       
8      32     7      7/8    | 1.07      28.75     24.25     1.07      55.16        0.26      | 2072695  0        5349     0        0        | 56     5724682        3687816      -       
8      32     8      8/8    | 1.09      28.75     24.25     1.05      55.16        0.26      | 2072695  0        5349     0        0        | 64     5724682        3687816      -       
16     8      0      0/8    | 0.96      13.68     17.74     0.89      33.29        0.43      | 1066296  0        0        34       0        | 1      1456860        3687816      -       
16     8      1      1/8    | 0.96      13.72     17.69     0.89      33.28        0.43      | 1066296  0        0        34       0        | 32     1456860        3687816      -       
16     8      2      2/8    | 0.97      13.78     17.69     0.93      33.39        0.43      | 1066296  0        34       0        0        | 64     1456860        3687816      -       
16     8      3      3/8    | 0.96      13.80     17.68     0.88      33.34        0.43      | 1066296  0        34       0        0        | 96     1456860        3687816      -       
16     8      4      4/8    | 0.97      13.69     17.70     0.91      33.28        0.43      | 1066296  0        34       0        0        | 128    1456860        3687816      -       
16     8      5      5/8    | 0.96      13.86     17.71     0.90      33.45        0.43      | 1066296  0        34       0        0        | 160    1456860        3687816      -       
16     8      6      6/8    | 0.96      13.71     17.70     0.91      33.30        0.43      | 1066296  0        34       0        0        | 192    1456860        3687816      -       
16     8      7      7/8    | 0.96      13.61     17.71     0.91      33.22        0.43      | 1066296  0        34       0        0        | 224    1456860        3687816      -       
16     8      8      8/8    | 0.96      13.68     17.72     0.91      33.28        0.43      | 1066296  0        34       0        0        | 256    1456860        3687816      -       
16     16     0      0/8    | 1.01      18.01     25.75     0.89      45.69        0.31      | 1066296  0        0        34       0        | 1      1504891        3687816      -       
16     16     1      1/8    | 1.01      17.93     25.78     0.89      45.63        0.32      | 1066296  0        0        34       0        | 32     1504891        3687816      -       
16     16     2      2/8    | 1.01      17.91     25.68     0.89      45.50        0.32      | 1066296  0        34       0        0        | 64     1504891        3687816      -       
16     16     3      3/8    | 1.02      18.03     25.69     0.90      45.65        0.31      | 1066296  0        34       0        0        | 96     1504891        3687816      -       
16     16     4      4/8    | 1.01      17.93     25.68     0.88      45.52        0.32      | 1066296  0        34       0        0        | 128    1504891        3687816      -       
16     16     5      5/8    | 1.02      18.01     25.70     0.89      45.63        0.31      | 1066296  0        34       0        0        | 160    1504891        3687816      -       
16     16     6      6/8    | 1.02      17.98     25.71     0.89      45.61        0.32      | 1066296  0        34       0        0        | 192    1504891        3687816      -       
16     16     7      7/8    | 1.02      17.95     25.72     0.90      45.60        0.32      | 1066296  0        34       0        0        | 224    1504891        3687816      -       
16     16     8      8/8    | 1.02      17.86     25.70     0.86      45.46        0.32      | 1066296  0        34       0        0        | 256    1504891        3687816      -       
16     32     0      0/8    | 1.14      21.82     32.50     0.93      56.41        0.25      | 1066296  0        0        34       0        | 1      1545173        3687816      -       
16     32     1      1/8    | 1.13      21.86     32.40     0.91      56.32        0.26      | 1066296  0        0        34       0        | 32     1545173        3687816      -       
16     32     2      2/8    | 1.14      21.95     32.25     0.92      56.27        0.26      | 1066296  0        34       0        0        | 64     1545173        3687816      -       
16     32     3      3/8    | 1.13      22.06     32.32     0.91      56.44        0.25      | 1066296  0        34       0        0        | 96     1545173        3687816      -       
16     32     4      4/8    | 1.12      21.85     32.31     0.93      56.22        0.26      | 1066296  0        34       0        0        | 128    1545173        3687816      -       
16     32     5      5/8    | 1.12      21.82     32.27     0.93      56.15        0.26      | 1066296  0        34       0        0        | 160    1545173        3687816      -       
16     32     6      6/8    | 1.14      21.79     32.33     0.93      56.21        0.26      | 1066296  0        34       0        0        | 192    1545173        3687816      -       
16     32     7      7/8    | 1.12      21.83     32.26     0.93      56.15        0.26      | 1066296  0        34       0        0        | 224    1545173        3687816      -       
16     32     8      8/8    | 1.12      21.87     32.34     0.91      56.27        0.26      | 1066296  0        34       0        0        | 256    1545173        3687816      -       
32     8      0      0/8    | 1.24      14.08     21.40     0.82      37.56        0.38      | 352090   0        0        0        0        | 1      391466         3687816      -       
32     8      1      1/8    | 1.26      14.22     21.36     0.93      37.78        0.38      | 352090   0        0        0        0        | 128    391466         3687816      -       
32     8      2      2/8    | 1.25      14.17     21.42     0.84      37.69        0.38      | 352090   0        0        0        0        | 256    391466         3687816      -       
32     8      3      3/8    | 1.24      13.89     21.32     0.85      37.31        0.39      | 352090   0        0        0        0        | 384    391466         3687816      -       
32     8      4      4/8    | 1.25      13.98     21.38     0.89      37.52        0.38      | 352090   0        0        0        0        | 512    391466         3687816      -       
32     8      5      5/8    | 1.25      13.72     21.35     0.85      37.18        0.39      | 352090   0        0        0        0        | 640    391466         3687816      -       
32     8      6      6/8    | 1.25      14.25     21.40     0.88      37.79        0.38      | 352090   0        0        0        0        | 768    391466         3687816      -       
32     8      7      7/8    | 1.25      14.04     21.44     0.82      37.56        0.38      | 352090   0        0        0        0        | 896    391466         3687816      -       
32     8      8      8/8    | 1.26      14.01     21.35     0.87      37.50        0.38      | 352090   0        0        0        0        | 1024   391466         3687816      -       
32     16     0      0/8    | 1.13      14.80     21.78     0.88      38.60        0.37      | 352090   0        0        0        0        | 1      413051         3687816      -       
32     16     1      1/8    | 1.13      14.66     21.80     0.85      38.46        0.37      | 352090   0        0        0        0        | 128    413051         3687816      -       
32     16     2      2/8    | 1.12      14.46     21.81     0.85      38.26        0.38      | 352090   0        0        0        0        | 256    413051         3687816      -       
32     16     3      3/8    | 1.12      14.54     21.80     0.87      38.35        0.37      | 352090   0        0        0        0        | 384    413051         3687816      -       
32     16     4      4/8    | 1.13      14.51     21.80     0.88      38.34        0.37      | 352090   0        0        0        0        | 512    413051         3687816      -       
32     16     5      5/8    | 1.12      14.66     21.81     0.88      38.48        0.37      | 352090   0        0        0        0        | 640    413051         3687816      -       
32     16     6      6/8    | 1.13      14.79     21.82     0.87      38.63        0.37      | 352090   0        0        0        0        | 768    413051         3687816      -       
32     16     7      7/8    | 1.12      14.54     21.81     0.85      38.34        0.37      | 352090   0        0        0        0        | 896    413051         3687816      -       
32     16     8      8/8    | 1.12      14.35     21.77     0.83      38.10        0.38      | 352090   0        0        0        0        | 1024   413051         3687816      -       
32     32     0      0/8    | 1.04      12.93     19.70     0.86      34.55        0.42      | 352090   0        0        0        0        | 1      429400         3687816      -       
32     32     1      1/8    | 1.04      12.69     19.69     0.85      34.29        0.42      | 352090   0        0        0        0        | 128    429400         3687816      -       
32     32     2      2/8    | 1.05      12.96     19.68     0.88      34.58        0.42      | 352090   0        0        0        0        | 256    429400         3687816      -       
32     32     3      3/8    | 1.03      12.86     19.71     0.86      34.48        0.42      | 352090   0        0        0        0        | 384    429400         3687816      -       
32     32     4      4/8    | 1.04      12.73     19.66     0.87      34.31        0.42      | 352090   0        0        0        0        | 512    429400         3687816      -       
32     32     5      5/8    | 1.05      12.92     19.67     0.88      34.53        0.42      | 352090   0        0        0        0        | 640    429400         3687816      -       
32     32     6      6/8    | 1.03      12.79     19.71     0.85      34.40        0.42      | 352090   0        0        0        0        | 768    429400         3687816      -       
32     32     7      7/8    | 1.03      12.80     19.67     0.83      34.34        0.42      | 352090   0        0        0        0        | 896    429400         3687816      -       
32     32     8      8/8    | 1.04      12.93     19.65     0.84      34.48        0.42      | 352090   0        0        0        0        | 1024   429400         3687816      -       
