# Matrix: OPF_10000
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.01-0.1/OPF_10000.mtx
# Category: 10k-50k-0.01-0.1
# Date: 2026-03-06 03:29:35
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 43887
# Cols: 43887
# NNZ(A): 467711
# NNZ(C) estimate: 6561499
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.15      1.37      0.81      0.81      3.15         4.17      | 85857    0        0        74605    294      | 1      662538         1521757      -       
8      8      1      1/8    | 0.15      1.42      0.81      0.79      3.18         4.13      | 85857    0        0        74605    294      | 8      662538         1521757      -       
8      8      2      2/8    | 0.16      1.36      0.73      0.79      3.04         4.31      | 85857    0        54280    20325    294      | 16     662538         1521757      -       
8      8      3      3/8    | 0.15      1.35      0.71      0.80      3.02         4.34      | 85857    0        63139    11466    294      | 24     662538         1521757      -       
8      8      4      4/8    | 0.15      1.40      0.65      0.79      3.01         4.36      | 85857    0        71814    2791     294      | 32     662538         1521757      -       
8      8      5      5/8    | 0.16      1.39      0.62      0.79      2.98         4.40      | 85857    0        73384    1221     294      | 40     662538         1521757      -       
8      8      6      6/8    | 0.15      1.35      0.63      0.81      2.96         4.44      | 85857    0        73426    1179     294      | 48     662538         1521757      -       
8      8      7      7/8    | 0.16      1.40      0.63      0.78      2.97         4.42      | 85857    0        74603    2        294      | 56     662538         1521757      -       
8      8      8      8/8    | 0.15      1.37      0.63      0.75      2.91         4.51      | 85857    0        74899    0        0        | 64     662538         1521757      -       
8      16     0      0/8    | 0.16      2.62      0.87      0.82      4.49         2.93      | 85857    0        0        74605    294      | 1      941432         1521757      -       
8      16     1      1/8    | 0.16      2.56      0.84      0.78      4.36         3.01      | 85857    0        0        74605    294      | 8      941432         1521757      -       
8      16     2      2/8    | 0.16      2.62      0.71      0.77      4.28         3.07      | 85857    0        54280    20325    294      | 16     941432         1521757      -       
8      16     3      3/8    | 0.15      2.53      0.69      0.78      4.17         3.15      | 85857    0        63139    11466    294      | 24     941432         1521757      -       
8      16     4      4/8    | 0.15      2.52      0.62      0.76      4.07         3.22      | 85857    0        71814    2791     294      | 32     941432         1521757      -       
8      16     5      5/8    | 0.15      2.53      0.57      0.79      4.04         3.25      | 85857    0        73384    1221     294      | 40     941432         1521757      -       
8      16     6      6/8    | 0.15      2.52      0.57      0.79      4.05         3.24      | 85857    0        73426    1179     294      | 48     941432         1521757      -       
8      16     7      7/8    | 0.15      2.54      0.57      0.78      4.05         3.24      | 85857    0        74603    2        294      | 56     941432         1521757      -       
8      16     8      8/8    | 0.16      2.56      0.57      0.82      4.13         3.18      | 85857    0        74899    0        0        | 64     941432         1521757      -       
8      32     0      0/8    | 0.18      3.88      1.14      0.84      6.05         2.17      | 85857    0        0        74605    294      | 1      1459206        1521757      -       
8      32     1      1/8    | 0.18      3.89      1.13      0.91      6.12         2.14      | 85857    0        0        74605    294      | 8      1459206        1521757      -       
8      32     2      2/8    | 0.17      3.89      0.96      0.83      5.86         2.24      | 85857    0        54280    20325    294      | 16     1459206        1521757      -       
8      32     3      3/8    | 0.18      3.86      0.90      0.86      5.81         2.26      | 85857    0        63139    11466    294      | 24     1459206        1521757      -       
8      32     4      4/8    | 0.18      3.99      0.67      0.86      5.70         2.30      | 85857    0        71814    2791     294      | 32     1459206        1521757      -       
