# Matrix: TSOPF_RS_b300_c1
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.01-0.1/TSOPF_RS_b300_c1.mtx
# Category: 10k-50k-0.01-0.1
# Date: 2026-03-06 04:29:07
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 14538
# Cols: 14538
# NNZ(A): 1474325
# NNZ(C) estimate: 11526689
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.11      0.36      0.54      0.47      1.48         15.53     | 9003     0        0        12828    96413    | 1      125054         6665142      -       
8      8      1      1/8    | 0.11      0.34      0.54      0.45      1.45         15.93     | 9003     0        0        12828    96413    | 8      125054         6665142      -       
8      8      2      2/8    | 0.10      0.34      0.53      0.45      1.44         15.98     | 9003     0        2712     10116    96413    | 16     125054         6665142      -       
8      8      3      3/8    | 0.11      0.33      0.53      0.43      1.42         16.29     | 9003     0        4914     7914     96413    | 24     125054         6665142      -       
8      8      4      4/8    | 0.10      0.33      0.53      0.44      1.42         16.26     | 9003     0        6254     6574     96413    | 32     125054         6665142      -       
8      8      5      5/8    | 0.11      0.33      0.52      0.46      1.43         16.13     | 9003     0        8356     4472     96413    | 40     125054         6665142      -       
8      8      6      6/8    | 0.14      0.36      0.53      0.51      1.55         14.86     | 9003     0        10515    2313     96413    | 48     125054         6665142      -       
8      8      7      7/8    | 0.11      0.34      0.52      0.45      1.44         15.99     | 9003     0        12677    151      96413    | 56     125054         6665142      -       
8      8      8      8/8    | 0.11      0.34      0.50      0.46      1.43         16.13     | 9003     0        109241   0        0        | 64     125054         6665142      -       
8      16     0      0/8    | 0.10      0.38      0.58      0.51      1.58         14.56     | 9003     0        0        12828    96413    | 1      137736         6665142      -       
8      16     1      1/8    | 0.11      0.38      0.58      0.50      1.59         14.52     | 9003     0        0        12828    96413    | 8      137736         6665142      -       
8      16     2      2/8    | 0.11      0.38      0.57      0.51      1.58         14.63     | 9003     0        2712     10116    96413    | 16     137736         6665142      -       
8      16     3      3/8    | 0.11      0.38      0.57      0.51      1.58         14.61     | 9003     0        4914     7914     96413    | 24     137736         6665142      -       
8      16     4      4/8    | 0.11      0.39      0.57      0.50      1.57         14.66     | 9003     0        6254     6574     96413    | 32     137736         6665142      -       
8      16     5      5/8    | 0.12      0.40      0.56      0.51      1.60         14.36     | 9003     0        8356     4472     96413    | 40     137736         6665142      -       
8      16     6      6/8    | 0.10      0.39      0.56      0.49      1.55         14.84     | 9003     0        10515    2313     96413    | 48     137736         6665142      -       
8      16     7      7/8    | 0.11      0.38      0.56      0.50      1.56         14.80     | 9003     0        12677    151      96413    | 56     137736         6665142      -       
8      16     8      8/8    | 0.11      0.40      0.52      0.50      1.54         14.92     | 9003     0        109241   0        0        | 64     137736         6665142      -       
8      32     0      0/8    | 0.11      0.49      0.91      0.52      2.03         11.35     | 9003     0        0        12828    96413    | 1      156925         6665142      -       
8      32     1      1/8    | 0.10      0.48      0.91      0.53      2.04         11.32     | 9003     0        0        12828    96413    | 8      156925         6665142      -       
8      32     2      2/8    | 0.09      0.47      0.89      0.50      1.97         11.69     | 9003     0        2712     10116    96413    | 16     156925         6665142      -       
8      32     3      3/8    | 0.11      0.49      0.88      0.54      2.04         11.33     | 9003     0        4914     7914     96413    | 24     156925         6665142      -       
8      32     4      4/8    | 0.10      0.48      0.88      0.53      2.00         11.52     | 9003     0        6254     6574     96413    | 32     156925         6665142      -       
8      32     5      5/8    | 0.11      0.48      0.87      0.52      2.00         11.56     | 9003     0        8356     4472     96413    | 40     156925         6665142      -       
8      32     6      6/8    | 0.10      0.49      0.86      0.54      2.01         11.45     | 9003     0        10515    2313     96413    | 48     156925         6665142      -       
8      32     7      7/8    | 0.12      0.49      0.85      0.57      2.05         11.24     | 9003     0        12677    151      96413    | 56     156925         6665142      -       
8      32     8      8/8    | 0.10      0.49      0.69      0.52      1.83         12.59     | 9003     0        109241   0        0        | 64     156925         6665142      -       
16     8      0      0/8    | 0.10      0.27      0.41      0.32      1.10         20.92     | 4991     0        0        6955     21940    | 1      35603          6665142      -       
16     8      1      1/8    | 0.10      0.27      0.41      0.33      1.12         20.64     | 4991     0        0        6955     21940    | 32     35603          6665142      -       
16     8      2      2/8    | 0.11      0.28      0.41      0.35      1.16         19.81     | 4991     0        1215     5740     21940    | 64     35603          6665142      -       
16     8      3      3/8    | 0.11      0.28      0.41      0.33      1.13         20.40     | 4991     0        2295     4660     21940    | 96     35603          6665142      -       
16     8      4      4/8    | 0.10      0.28      0.41      0.33      1.14         20.28     | 4991     0        3721     3234     21940    | 128    35603          6665142      -       
16     8      5      5/8    | 0.12      0.28      0.41      0.34      1.16         19.81     | 4991     0        4407     2548     21940    | 160    35603          6665142      -       
16     8      6      6/8    | 0.10      0.28      0.40      0.33      1.14         20.29     | 4991     0        5023     1932     21940    | 192    35603          6665142      -       
16     8      7      7/8    | 0.11      0.29      0.41      0.36      1.18         19.52     | 4991     0        6123     832      21940    | 224    35603          6665142      -       
16     8      8      8/8    | 0.11      0.28      0.48      0.35      1.24         18.56     | 4991     0        28895    0        0        | 256    35603          6665142      -       
16     16     0      0/8    | 0.10      0.27      0.40      0.36      1.14         20.15     | 4991     0        0        6955     21940    | 1      38624          6665142      -       
16     16     1      1/8    | 0.10      0.26      0.40      0.34      1.11         20.77     | 4991     0        0        6955     21940    | 32     38624          6665142      -       
16     16     2      2/8    | 0.11      0.27      0.39      0.36      1.14         20.17     | 4991     0        1215     5740     21940    | 64     38624          6665142      -       
16     16     3      3/8    | 0.10      0.27      0.39      0.34      1.10         20.90     | 4991     0        2295     4660     21940    | 96     38624          6665142      -       
16     16     4      4/8    | 0.11      0.28      0.38      0.37      1.15         20.06     | 4991     0        3721     3234     21940    | 128    38624          6665142      -       
16     16     5      5/8    | 0.10      0.28      0.38      0.37      1.14         20.24     | 4991     0        4407     2548     21940    | 160    38624          6665142      -       
16     16     6      6/8    | 0.09      0.26      0.38      0.33      1.06         21.69     | 4991     0        5023     1932     21940    | 192    38624          6665142      -       
16     16     7      7/8    | 0.11      0.28      0.38      0.37      1.14         20.17     | 4991     0        6123     832      21940    | 224    38624          6665142      -       
16     16     8      8/8    | 0.11      0.27      0.41      0.34      1.14         20.28     | 4991     0        28895    0        0        | 256    38624          6665142      -       
16     32     0      0/8    | 0.09      0.32      0.72      0.43      1.57         14.66     | 4991     0        0        6955     21940    | 1      42965          6665142      -       
