# Matrix: Zd_Jac3
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.01-0.1/Zd_Jac3.mtx
# Category: 10k-50k-0.01-0.1
# Date: 2026-03-06 05:00:33
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 22835
# Cols: 22835
# NNZ(A): 1916152
# NNZ(C) estimate: 159016954
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.28      2.35      5.77      0.90      9.31         34.15     | 159877   0        0        361677   86295    | 1      678115         17998654     -       
8      8      1      1/8    | 0.28      2.45      5.78      0.97      9.49         33.52     | 159877   0        0        361677   86295    | 8      678115         17998654     -       
8      8      2      2/8    | 0.29      2.46      5.63      0.95      9.35         34.02     | 159877   0        87494    274183   86295    | 16     678115         17998654     -       
8      8      3      3/8    | 0.29      2.43      5.46      0.95      9.15         34.76     | 159877   0        149023   212654   86295    | 24     678115         17998654     -       
8      8      4      4/8    | 0.29      2.44      5.44      0.93      9.12         34.89     | 159877   0        198203   163474   86295    | 32     678115         17998654     -       
8      8      5      5/8    | 0.29      2.46      5.16      0.95      8.87         35.88     | 159877   0        242985   118692   86295    | 40     678115         17998654     -       
8      8      6      6/8    | 0.29      2.40      5.04      0.96      8.71         36.53     | 159877   0        287939   73738    86295    | 48     678115         17998654     -       
8      8      7      7/8    | 0.29      2.42      4.90      0.93      8.55         37.20     | 159877   0        338657   23020    86295    | 56     678115         17998654     -       
8      8      8      8/8    | 0.28      2.44      4.94      0.95      8.63         36.86     | 159877   0        447972   0        0        | 64     678115         17998654     -       
8      16     0      0/8    | 0.21      2.07      5.45      0.90      8.65         36.78     | 159877   0        0        361677   86295    | 1      718855         17998654     -       
8      16     1      1/8    | 0.21      2.12      5.45      0.88      8.66         36.70     | 159877   0        0        361677   86295    | 8      718855         17998654     -       
8      16     2      2/8    | 0.21      2.04      5.20      0.86      8.32         38.20     | 159877   0        87494    274183   86295    | 16     718855         17998654     -       
8      16     3      3/8    | 0.22      1.99      4.95      0.88      8.05         39.49     | 159877   0        149023   212654   86295    | 24     718855         17998654     -       
8      16     4      4/8    | 0.22      2.02      4.88      0.94      8.08         39.36     | 159877   0        198203   163474   86295    | 32     718855         17998654     -       
8      16     5      5/8    | 0.21      2.07      4.56      0.89      7.74         41.07     | 159877   0        242985   118692   86295    | 40     718855         17998654     -       
8      16     6      6/8    | 0.21      1.99      4.43      0.86      7.50         42.39     | 159877   0        287939   73738    86295    | 48     718855         17998654     -       
8      16     7      7/8    | 0.21      2.02      4.32      0.87      7.43         42.82     | 159877   0        338657   23020    86295    | 56     718855         17998654     -       
8      16     8      8/8    | 0.20      2.04      4.72      0.86      7.83         40.61     | 159877   0        447972   0        0        | 64     718855         17998654     -       
8      32     0      0/8    | 0.18      2.21      8.50      0.94      11.83        26.88     | 159877   0        0        361677   86295    | 1      788937         17998654     -       
8      32     1      1/8    | 0.18      2.23      8.51      0.97      11.90        26.73     | 159877   0        0        361677   86295    | 8      788937         17998654     -       
8      32     2      2/8    | 0.18      2.20      7.98      0.95      11.32        28.09     | 159877   0        87494    274183   86295    | 16     788937         17998654     -       
8      32     3      3/8    | 0.18      2.28      7.45      1.00      10.93        29.11     | 159877   0        149023   212654   86295    | 24     788937         17998654     -       
8      32     4      4/8    | 0.18      2.25      6.99      0.93      10.37        30.68     | 159877   0        198203   163474   86295    | 32     788937         17998654     -       
8      32     5      5/8    | 0.18      2.25      6.58      0.95      9.98         31.88     | 159877   0        242985   118692   86295    | 40     788937         17998654     -       
8      32     6      6/8    | 0.18      2.30      6.22      0.92      9.63         33.02     | 159877   0        287939   73738    86295    | 48     788937         17998654     -       
8      32     7      7/8    | 0.18      2.17      5.84      0.95      9.16         34.72     | 159877   0        338657   23020    86295    | 56     788937         17998654     -       
8      32     8      8/8    | 0.18      2.15      5.57      0.92      8.82         36.04     | 159877   0        447972   0        0        | 64     788937         17998654     -       
16     8      0      0/8    | 0.24      1.45      4.47      0.69      6.86         46.34     | 67830    0        0        113063   11560    | 1      206577         17998654     -       
16     8      1      1/8    | 0.25      1.49      4.46      0.72      6.94         45.85     | 67830    0        0        113063   11560    | 32     206577         17998654     -       
16     8      2      2/8    | 0.24      1.48      4.28      0.67      6.68         47.61     | 67830    0        27275    85788    11560    | 64     206577         17998654     -       
16     8      3      3/8    | 0.23      1.44      4.15      0.67      6.51         48.86     | 67830    0        46005    67058    11560    | 96     206577         17998654     -       
16     8      4      4/8    | 0.24      1.48      4.05      0.72      6.50         48.91     | 67830    0        63574    49489    11560    | 128    206577         17998654     -       
16     8      5      5/8    | 0.24      1.46      3.97      0.69      6.37         49.93     | 67830    0        78940    34123    11560    | 160    206577         17998654     -       
16     8      6      6/8    | 0.24      1.47      3.97      0.70      6.39         49.75     | 67830    0        90801    22262    11560    | 192    206577         17998654     -       
