# Matrix: bbmat
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.01-0.1/bbmat.mtx
# Category: 10k-50k-0.01-0.1
# Date: 2026-03-06 01:31:03
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 38744
# Cols: 38744
# NNZ(A): 1771722
# NNZ(C) estimate: 96381493
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.13      0.86      1.70      0.89      3.60         53.62     | 14051    0        0        251044   8346     | 1      273702         11551062     -       
8      8      1      1/8    | 0.13      0.90      1.70      0.89      3.63         53.09     | 14051    0        0        251044   8346     | 8      273702         11551062     -       
8      8      2      2/8    | 0.13      0.84      1.69      0.84      3.50         55.03     | 14051    0        10482    240562   8346     | 16     273702         11551062     -       
8      8      3      3/8    | 0.14      0.85      1.66      0.88      3.55         54.33     | 14051    0        48203    202841   8346     | 24     273702         11551062     -       
8      8      4      4/8    | 0.13      0.87      1.66      0.88      3.55         54.36     | 14051    0        73846    177198   8346     | 32     273702         11551062     -       
8      8      5      5/8    | 0.12      0.86      1.59      0.88      3.46         55.68     | 14051    0        113464   137580   8346     | 40     273702         11551062     -       
8      8      6      6/8    | 0.14      0.88      1.59      0.90      3.52         54.76     | 14051    0        135509   115535   8346     | 48     273702         11551062     -       
8      8      7      7/8    | 0.13      0.87      1.66      0.89      3.57         54.06     | 14051    0        163739   87305    8346     | 56     273702         11551062     -       
8      8      8      8/8    | 0.12      0.87      2.33      0.86      4.19         46.02     | 14051    0        259390   0        0        | 64     273702         11551062     -       
8      16     0      0/8    | 0.11      1.02      1.85      0.85      3.86         49.98     | 14051    0        0        251044   8346     | 1      345040         11551062     -       
8      16     1      1/8    | 0.13      1.06      1.85      0.89      3.96         48.74     | 14051    0        0        251044   8346     | 8      345040         11551062     -       
8      16     2      2/8    | 0.12      1.07      1.84      0.87      3.91         49.31     | 14051    0        10482    240562   8346     | 16     345040         11551062     -       
8      16     3      3/8    | 0.12      1.05      1.79      0.91      3.88         49.64     | 14051    0        48203    202841   8346     | 24     345040         11551062     -       
8      16     4      4/8    | 0.11      1.05      1.77      0.88      3.84         50.20     | 14051    0        73846    177198   8346     | 32     345040         11551062     -       
8      16     5      5/8    | 0.11      1.05      1.68      0.88      3.75         51.47     | 14051    0        113464   137580   8346     | 40     345040         11551062     -       
8      16     6      6/8    | 0.13      1.07      1.65      0.91      3.78         51.02     | 14051    0        135509   115535   8346     | 48     345040         11551062     -       
8      16     7      7/8    | 0.12      1.04      1.71      0.87      3.75         51.35     | 14051    0        163739   87305    8346     | 56     345040         11551062     -       
8      16     8      8/8    | 0.12      1.08      2.31      0.85      4.38         44.01     | 14051    0        259390   0        0        | 64     345040         11551062     -       
8      32     0      0/8    | 0.12      1.38      3.03      0.84      5.38         35.80     | 14051    0        0        251044   8346     | 1      469181         11551062     -       
8      32     1      1/8    | 0.11      1.34      3.03      0.85      5.34         36.07     | 14051    0        0        251044   8346     | 8      469181         11551062     -       
8      32     2      2/8    | 0.11      1.36      3.00      0.85      5.34         36.06     | 14051    0        10482    240562   8346     | 16     469181         11551062     -       
8      32     3      3/8    | 0.12      1.39      2.87      0.89      5.28         36.50     | 14051    0        48203    202841   8346     | 24     469181         11551062     -       
8      32     4      4/8    | 0.11      1.36      2.77      0.85      5.11         37.72     | 14051    0        73846    177198   8346     | 32     469181         11551062     -       
8      32     5      5/8    | 0.11      1.38      2.64      0.85      5.00         38.56     | 14051    0        113464   137580   8346     | 40     469181         11551062     -       
8      32     6      6/8    | 0.13      1.40      2.54      0.88      4.97         38.81     | 14051    0        135509   115535   8346     | 48     469181         11551062     -       
8      32     7      7/8    | 0.12      1.41      2.52      0.86      4.93         39.09     | 14051    0        163739   87305    8346     | 56     469181         11551062     -       
8      32     8      8/8    | 0.11      1.34      2.53      0.87      4.88         39.54     | 14051    0        259390   0        0        | 64     469181         11551062     -       
16     8      0      0/8    | 0.10      0.43      1.38      0.50      2.43         79.29     | 23653    0        0        67153    0        | 1      90875          11551062     -       
16     8      1      1/8    | 0.14      0.47      1.39      0.55      2.56         75.33     | 23653    0        0        67153    0        | 32     90875          11551062     -       
16     8      2      2/8    | 0.11      0.44      1.39      0.51      2.47         78.14     | 23653    0        5422     61731    0        | 64     90875          11551062     -       
16     8      3      3/8    | 0.11      0.44      1.37      0.50      2.43         79.23     | 23653    0        11315    55838    0        | 96     90875          11551062     -       
16     8      4      4/8    | 0.11      0.47      1.38      0.52      2.49         77.32     | 23653    0        20433    46720    0        | 128    90875          11551062     -       
16     8      5      5/8    | 0.11      0.45      1.34      0.52      2.43         79.23     | 23653    0        35597    31556    0        | 160    90875          11551062     -       
16     8      6      6/8    | 0.11      0.46      1.34      0.49      2.41         80.05     | 23653    0        40978    26175    0        | 192    90875          11551062     -       
16     8      7      7/8    | 0.12      0.46      1.41      0.54      2.54         75.83     | 23653    0        48297    18856    0        | 224    90875          11551062     -       
16     8      8      8/8    | 0.11      0.44      2.25      0.52      3.33         57.82     | 23653    0        67153    0        0        | 256    90875          11551062     -       
16     16     0      0/8    | 0.11      0.45      1.33      0.55      2.45         78.65     | 23653    0        0        67153    0        | 1      104864         11551062     -       
16     16     1      1/8    | 0.11      0.45      1.32      0.64      2.54         76.04     | 23653    0        0        67153    0        | 32     104864         11551062     -       
16     16     2      2/8    | 0.11      0.44      1.31      0.57      2.44         78.84     | 23653    0        5422     61731    0        | 64     104864         11551062     -       
16     16     3      3/8    | 0.10      0.45      1.32      0.57      2.46         78.45     | 23653    0        11315    55838    0        | 96     104864         11551062     -       
16     16     4      4/8    | 0.09      0.43      1.34      0.53      2.40         80.15     | 23653    0        20433    46720    0        | 128    104864         11551062     -       
16     16     5      5/8    | 0.09      0.43      1.28      0.53      2.35         82.10     | 23653    0        35597    31556    0        | 160    104864         11551062     -       
16     16     6      6/8    | 0.10      0.43      1.29      0.54      2.37         81.20     | 23653    0        40978    26175    0        | 192    104864         11551062     -       
16     16     7      7/8    | 0.10      0.44      1.39      0.57      2.51         76.92     | 23653    0        48297    18856    0        | 224    104864         11551062     -       
16     16     8      8/8    | 0.11      0.44      2.23      0.56      3.35         57.59     | 23653    0        67153    0        0        | 256    104864         11551062     -       
16     32     0      0/8    | 0.11      0.53      2.42      0.59      3.66         52.61     | 23653    0        0        67153    0        | 1      136117         11551062     -       
16     32     1      1/8    | 0.10      0.51      2.40      0.60      3.62         53.21     | 23653    0        0        67153    0        | 32     136117         11551062     -       
16     32     2      2/8    | 0.10      0.52      2.35      0.56      3.55         54.30     | 23653    0        5422     61731    0        | 64     136117         11551062     -       
16     32     3      3/8    | 0.11      0.52      2.30      0.58      3.52         54.73     | 23653    0        11315    55838    0        | 96     136117         11551062     -       
16     32     4      4/8    | 0.12      0.53      2.22      0.58      3.46         55.68     | 23653    0        20433    46720    0        | 128    136117         11551062     -       
16     32     5      5/8    | 0.11      0.51      1.96      0.56      3.17         60.90     | 23653    0        35597    31556    0        | 160    136117         11551062     -       
16     32     6      6/8    | 0.11      0.50      1.90      0.59      3.11         61.94     | 23653    0        40978    26175    0        | 192    136117         11551062     -       
16     32     7      7/8    | 0.10      0.54      1.90      0.57      3.13         61.62     | 23653    0        48297    18856    0        | 224    136117         11551062     -       
16     32     8      8/8    | 0.10      0.50      2.64      0.56      3.81         50.59     | 23653    0        67153    0        0        | 256    136117         11551062     -       
32     8      0      0/8    | 0.10      0.39      2.64      0.42      3.56         54.16     | 11370    0        0        21033    0        | 1      32421          11551062     -       
32     8      1      1/8    | 0.10      0.39      2.65      0.42      3.57         54.03     | 11370    0        0        21033    0        | 128    32421          11551062     -       
32     8      2      2/8    | 0.10      0.37      2.51      0.41      3.40         56.69     | 11370    0        5757     15276    0        | 256    32421          11551062     -       
32     8      3      3/8    | 0.12      0.40      2.43      0.44      3.41         56.55     | 11370    0        8331     12702    0        | 384    32421          11551062     -       
32     8      4      4/8    | 0.10      0.39      2.44      0.43      3.38         57.08     | 11370    0        11326    9707     0        | 512    32421          11551062     -       
32     8      5      5/8    | 0.11      0.38      2.35      0.42      3.27         58.93     | 11370    0        13745    7288     0        | 640    32421          11551062     -       
32     8      6      6/8    | 0.11      0.39      2.36      0.42      3.29         58.50     | 11370    0        15970    5063     0        | 768    32421          11551062     -       
32     8      7      7/8    | 0.11      0.39      2.39      0.43      3.34         57.73     | 11370    0        17273    3760     0        | 896    32421          11551062     -       
32     8      8      8/8    | 0.10      0.40      2.77      0.42      3.70         52.07     | 11370    0        21033    0        0        | 1024   32421          11551062     -       
32     16     0      0/8    | 0.11      0.33      2.77      0.47      3.70         52.11     | 11370    0        0        21033    0        | 1      35320          11551062     -       
32     16     1      1/8    | 0.10      0.32      2.77      0.47      3.67         52.50     | 11370    0        0        21033    0        | 128    35320          11551062     -       
32     16     2      2/8    | 0.11      0.32      2.51      0.50      3.46         55.70     | 11370    0        5757     15276    0        | 256    35320          11551062     -       
32     16     3      3/8    | 0.11      0.31      2.40      0.48      3.32         57.99     | 11370    0        8331     12702    0        | 384    35320          11551062     -       
32     16     4      4/8    | 0.10      0.31      2.32      0.47      3.22         59.85     | 11370    0        11326    9707     0        | 512    35320          11551062     -       
32     16     5      5/8    | 0.10      0.32      2.25      0.46      3.13         61.51     | 11370    0        13745    7288     0        | 640    35320          11551062     -       
32     16     6      6/8    | 0.10      0.31      2.24      0.46      3.12         61.72     | 11370    0        15970    5063     0        | 768    35320          11551062     -       
32     16     7      7/8    | 0.10      0.32      2.23      0.48      3.15         61.16     | 11370    0        17273    3760     0        | 896    35320          11551062     -       
32     16     8      8/8    | 0.09      0.32      2.94      0.45      3.81         50.61     | 11370    0        21033    0        0        | 1024   35320          11551062     -       
32     32     0      0/8    | 0.11      0.33      2.88      0.45      3.77         51.13     | 11370    0        0        21033    0        | 1      50509          11551062     -       
32     32     1      1/8    | 0.10      0.32      2.88      0.47      3.78         50.96     | 11370    0        0        21033    0        | 128    50509          11551062     -       
32     32     2      2/8    | 0.11      0.34      2.55      0.47      3.48         55.38     | 11370    0        5757     15276    0        | 256    50509          11551062     -       
32     32     3      3/8    | 0.11      0.33      2.42      0.50      3.38         57.11     | 11370    0        8331     12702    0        | 384    50509          11551062     -       
32     32     4      4/8    | 0.10      0.32      2.33      0.45      3.22         59.90     | 11370    0        11326    9707     0        | 512    50509          11551062     -       
32     32     5      5/8    | 0.10      0.32      2.25      0.46      3.15         61.14     | 11370    0        13745    7288     0        | 640    50509          11551062     -       
32     32     6      6/8    | 0.11      0.32      2.27      0.49      3.21         59.99     | 11370    0        15970    5063     0        | 768    50509          11551062     -       
32     32     7      7/8    | 0.10      0.32      2.29      0.46      3.18         60.56     | 11370    0        17273    3760     0        | 896    50509          11551062     -       
32     32     8      8/8    | 0.10      0.33      3.31      0.46      4.21         45.77     | 11370    0        21033    0        0        | 1024   50509          11551062     -       
