# Matrix: bcsstk17
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.01-0.1/bcsstk17.mtx
# Category: 10k-50k-0.01-0.1
# Date: 2026-03-06 01:31:47
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 10974
# Cols: 10974
# NNZ(A): 428650
# NNZ(C) estimate: 19350466
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.11      0.29      0.28      0.33      1.01         38.32     | 6175     0        0        31190    6859     | 1      69166          1406936      -       
8      8      1      1/8    | 0.10      0.28      0.28      0.34      1.02         37.94     | 6175     0        0        31190    6859     | 8      69166          1406936      -       
8      8      2      2/8    | 0.10      0.29      0.27      0.33      0.99         38.90     | 6175     0        9084     22106    6859     | 16     69166          1406936      -       
8      8      3      3/8    | 0.10      0.31      0.28      0.34      1.03         37.72     | 6175     0        15168    16022    6859     | 24     69166          1406936      -       
8      8      4      4/8    | 0.09      0.29      0.28      0.35      1.03         37.57     | 6175     0        20450    10740    6859     | 32     69166          1406936      -       
8      8      5      5/8    | 0.09      0.28      0.29      0.32      0.99         38.97     | 6175     0        24093    7097     6859     | 40     69166          1406936      -       
8      8      6      6/8    | 0.09      0.28      0.33      0.31      1.01         38.20     | 6175     0        28104    3086     6859     | 48     69166          1406936      -       
8      8      7      7/8    | 0.09      0.28      0.34      0.32      1.03         37.39     | 6175     0        30182    1008     6859     | 56     69166          1406936      -       
8      8      8      8/8    | 0.09      0.28      0.54      0.31      1.23         31.49     | 6175     0        38049    0        0        | 64     69166          1406936      -       
8      16     0      0/8    | 0.09      0.29      0.30      0.38      1.07         36.14     | 6175     0        0        31190    6859     | 1      85616          1406936      -       
8      16     1      1/8    | 0.09      0.29      0.29      0.37      1.05         36.86     | 6175     0        0        31190    6859     | 8      85616          1406936      -       
