# Matrix: case39_A_13
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.01-0.1/case39_A_13.mtx
# Category: 10k-50k-0.01-0.1
# Date: 2026-03-06 01:57:33
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 40216
# Cols: 40216
# NNZ(A): 1042170
# NNZ(C) estimate: 4048571996
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 2.42      17.89     38.19     3.77      62.30        129.98    | 34588    0        0        68296    6281019  | 1      6431949        404707306    -       
8      8      1      1/8    | 2.40      17.79     39.37     3.70      63.28        127.95    | 34588    0        0        68296    6281019  | 8      6431949        404707306    -       
8      8      2      2/8    | 2.39      17.76     38.36     3.71      62.24        130.10    | 34588    0        8207     60089    6281019  | 16     6431949        404707306    -       
8      8      3      3/8    | 2.38      17.46     38.27     3.74      61.87        130.87    | 34588    0        8245     60051    6281019  | 24     6431949        404707306    -       
8      8      4      4/8    | 2.41      17.86     38.33     3.70      62.32        129.92    | 34588    0        33689    34607    6281019  | 32     6431949        404707306    -       
8      8      5      5/8    | 2.38      17.61     38.97     3.80      62.78        128.97    | 34588    0        41765    26531    6281019  | 40     6431949        404707306    -       
8      8      6      6/8    | 2.38      17.89     38.78     3.74      62.81        128.90    | 34588    0        63800    4496     6281019  | 48     6431949        404707306    -       
8      8      7      7/8    | 2.41      17.57     37.32     3.73      61.05        132.63    | 34588    0        67796    500      6281019  | 56     6431949        404707306    -       
8      8      8      8/8    | 2.40      17.49     107.57    3.75      131.24       61.70     | 34588    0        6349315  0        0        | 64     6431949        404707306    -       
8      16     0      0/8    | 1.48      16.89     35.41     3.71      57.52        140.78    | 34588    0        0        68296    6281019  | 1      6442567        404707306    -       
8      16     1      1/8    | 1.48      16.75     34.56     3.70      56.51        143.28    | 34588    0        0        68296    6281019  | 8      6442567        404707306    -       
8      16     2      2/8    | 1.48      16.72     35.99     3.71      57.91        139.82    | 34588    0        8207     60089    6281019  | 16     6442567        404707306    -       
8      16     3      3/8    | 1.47      16.80     35.90     3.77      57.96        139.70    | 34588    0        8245     60051    6281019  | 24     6442567        404707306    -       
8      16     4      4/8    | 1.46      16.74     35.06     3.69      56.97        142.12    | 34588    0        33689    34607    6281019  | 32     6442567        404707306    -       
8      16     5      5/8    | 1.46      16.72     35.16     3.76      57.13        141.74    | 34588    0        41765    26531    6281019  | 40     6442567        404707306    -       
8      16     6      6/8    | 1.48      16.79     35.31     3.76      57.36        141.16    | 34588    0        63800    4496     6281019  | 48     6442567        404707306    -       
8      16     7      7/8    | 1.49      16.79     35.72     3.71      57.73        140.25    | 34588    0        67796    500      6281019  | 56     6442567        404707306    -       
8      16     8      8/8    | 1.47      16.71     107.21    3.70      129.11       62.71     | 34588    0        6349315  0        0        | 64     6442567        404707306    -       
8      32     0      0/8    | 1.01      16.83     47.07     3.70      68.63        117.98    | 34588    0        0        68296    6281019  | 1      6527333        404707306    -       
8      32     1      1/8    | 1.03      17.11     47.37     3.74      69.27        116.89    | 34588    0        0        68296    6281019  | 8      6527333        404707306    -       
8      32     2      2/8    | 1.01      16.65     48.18     3.77      69.63        116.28    | 34588    0        8207     60089    6281019  | 16     6527333        404707306    -       
8      32     3      3/8    | 1.02      16.74     47.87     3.74      69.37        116.72    | 34588    0        8245     60051    6281019  | 24     6527333        404707306    -       
8      32     4      4/8    | 1.01      16.72     47.75     3.73      69.22        116.97    | 34588    0        33689    34607    6281019  | 32     6527333        404707306    -       
8      32     5      5/8    | 1.01      16.69     48.38     3.72      69.82        115.98    | 34588    0        41765    26531    6281019  | 40     6527333        404707306    -       
8      32     6      6/8    | 1.01      16.70     49.31     3.73      70.77        114.41    | 34588    0        63800    4496     6281019  | 48     6527333        404707306    -       
8      32     7      7/8    | 1.03      17.01     46.63     3.79      68.48        118.24    | 34588    0        67796    500      6281019  | 56     6527333        404707306    -       
8      32     8      8/8    | 1.01      16.95     108.12    3.72      129.82       62.37     | 34588    0        6349315  0        0        | 64     6527333        404707306    -       
16     8      0      0/8    | 1.87      7.18      45.72     3.54      58.34        138.79    | 12605    0        0        34886    1561485  | 1      1627420        404707306    -       
16     8      1      1/8    | 1.87      7.18      46.92     3.57      59.57        135.93    | 12605    0        0        34886    1561485  | 32     1627420        404707306    -       
16     8      2      2/8    | 1.87      7.19      47.94     3.64      60.66        133.49    | 12605    0        2592     32294    1561485  | 64     1627420        404707306    -       
16     8      3      3/8    | 1.87      7.20      47.14     3.52      59.76        135.50    | 12605    0        7679     27207    1561485  | 96     1627420        404707306    -       
16     8      4      4/8    | 1.86      7.12      46.03     3.53      58.55        138.29    | 12605    0        20129    14757    1561485  | 128    1627420        404707306    -       
16     8      5      5/8    | 1.86      7.12      45.48     3.51      57.99        139.63    | 12605    0        27845    7041     1561485  | 160    1627420        404707306    -       
16     8      6      6/8    | 1.87      7.13      44.64     3.54      57.20        141.55    | 12605    0        31365    3521     1561485  | 192    1627420        404707306    -       
16     8      7      7/8    | 1.87      7.14      47.21     3.51      59.75        135.52    | 12605    0        33880    1006     1561485  | 224    1627420        404707306    -       
16     8      8      8/8    | 1.87      7.25      116.61    3.58      129.33       62.61     | 12605    0        1596371  0        0        | 256    1627420        404707306    -       
16     16     0      0/8    | 1.02      4.52      44.18     3.56      53.30        151.91    | 12605    0        0        34886    1561485  | 1      1627466        404707306    -       
16     16     1      1/8    | 1.01      4.49      45.36     3.60      54.46        148.67    | 12605    0        0        34886    1561485  | 32     1627466        404707306    -       
16     16     2      2/8    | 1.01      4.46      43.84     3.64      52.97        152.88    | 12605    0        2592     32294    1561485  | 64     1627466        404707306    -       
16     16     3      3/8    | 1.02      4.57      47.24     3.58      56.42        143.51    | 12605    0        7679     27207    1561485  | 96     1627466        404707306    -       
16     16     4      4/8    | 1.01      4.44      45.06     3.58      54.10        149.66    | 12605    0        20129    14757    1561485  | 128    1627466        404707306    -       
