# Matrix: cbuckle
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.01-0.1/cbuckle.mtx
# Category: 10k-50k-0.01-0.1
# Date: 2026-03-06 01:58:22
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 13681
# Cols: 13681
# NNZ(A): 676515
# NNZ(C) estimate: 34292821
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.22      0.33      0.42      0.39      1.37         50.03     | 16195    0        0        41256    17160    | 1      86191          2269131      -       
8      8      1      1/8    | 0.24      0.38      0.43      0.42      1.47         46.66     | 16195    0        0        41256    17160    | 8      86191          2269131      -       
8      8      2      2/8    | 0.23      0.36      0.44      0.40      1.45         47.37     | 16195    0        20946    20310    17160    | 16     86191          2269131      -       
8      8      3      3/8    | 0.23      0.34      0.44      0.41      1.44         47.79     | 16195    0        23222    18034    17160    | 24     86191          2269131      -       
8      8      4      4/8    | 0.23      0.35      0.43      0.40      1.43         48.13     | 16195    0        28656    12600    17160    | 32     86191          2269131      -       
8      8      5      5/8    | 0.23      0.34      0.47      0.39      1.44         47.79     | 16195    0        31656    9600     17160    | 40     86191          2269131      -       
8      8      6      6/8    | 0.23      0.35      0.48      0.38      1.44         47.60     | 16195    0        34536    6720     17160    | 48     86191          2269131      -       
8      8      7      7/8    | 0.23      0.36      0.50      0.40      1.49         46.03     | 16195    0        40296    960      17160    | 56     86191          2269131      -       
8      8      8      8/8    | 0.24      0.34      0.80      0.41      1.81         37.83     | 16195    0        58416    0        0        | 64     86191          2269131      -       
8      16     0      0/8    | 0.21      0.37      0.35      0.42      1.36         50.50     | 16195    0        0        41256    17160    | 1      98671          2269131      -       
8      16     1      1/8    | 0.21      0.37      0.34      0.43      1.36         50.43     | 16195    0        0        41256    17160    | 8      98671          2269131      -       
8      16     2      2/8    | 0.21      0.37      0.37      0.40      1.36         50.39     | 16195    0        20946    20310    17160    | 16     98671          2269131      -       
8      16     3      3/8    | 0.21      0.36      0.36      0.40      1.33         51.45     | 16195    0        23222    18034    17160    | 24     98671          2269131      -       
8      16     4      4/8    | 0.20      0.34      0.35      0.38      1.29         53.21     | 16195    0        28656    12600    17160    | 32     98671          2269131      -       
8      16     5      5/8    | 0.20      0.35      0.37      0.39      1.33         51.61     | 16195    0        31656    9600     17160    | 40     98671          2269131      -       
8      16     6      6/8    | 0.21      0.36      0.39      0.42      1.40         48.85     | 16195    0        34536    6720     17160    | 48     98671          2269131      -       
8      16     7      7/8    | 0.20      0.39      0.42      0.42      1.44         47.70     | 16195    0        40296    960      17160    | 56     98671          2269131      -       
8      16     8      8/8    | 0.20      0.34      0.80      0.40      1.74         39.35     | 16195    0        58416    0        0        | 64     98671          2269131      -       
8      32     0      0/8    | 0.18      0.41      0.52      0.44      1.55         44.13     | 16195    0        0        41256    17160    | 1      124303         2269131      -       
8      32     1      1/8    | 0.18      0.41      0.52      0.44      1.56         43.97     | 16195    0        0        41256    17160    | 8      124303         2269131      -       
8      32     2      2/8    | 0.18      0.41      0.48      0.43      1.50         45.69     | 16195    0        20946    20310    17160    | 16     124303         2269131      -       
8      32     3      3/8    | 0.18      0.41      0.47      0.43      1.51         45.51     | 16195    0        23222    18034    17160    | 24     124303         2269131      -       
8      32     4      4/8    | 0.18      0.43      0.46      0.46      1.55         44.28     | 16195    0        28656    12600    17160    | 32     124303         2269131      -       
8      32     5      5/8    | 0.19      0.43      0.46      0.45      1.54         44.51     | 16195    0        31656    9600     17160    | 40     124303         2269131      -       
8      32     6      6/8    | 0.18      0.42      0.47      0.44      1.52         45.03     | 16195    0        34536    6720     17160    | 48     124303         2269131      -       
8      32     7      7/8    | 0.19      0.43      0.50      0.47      1.60         42.84     | 16195    0        40296    960      17160    | 56     124303         2269131      -       
8      32     8      8/8    | 0.18      0.41      0.81      0.46      1.88         36.58     | 16195    0        58416    0        0        | 64     124303         2269131      -       
16     8      0      0/8    | 0.23      0.28      0.44      0.34      1.30         52.80     | 23701    0        0        11385    1020     | 1      40276          2269131      -       
16     8      1      1/8    | 0.23      0.26      0.50      0.32      1.32         52.04     | 23701    0        0        11385    1020     | 32     40276          2269131      -       
16     8      2      2/8    | 0.22      0.27      0.51      0.32      1.32         51.80     | 23701    0        1890     9495     1020     | 64     40276          2269131      -       
16     8      3      3/8    | 0.22      0.25      0.53      0.33      1.34         51.11     | 23701    0        3600     7785     1020     | 96     40276          2269131      -       
16     8      4      4/8    | 0.22      0.27      0.56      0.33      1.39         49.45     | 23701    0        5385     6000     1020     | 128    40276          2269131      -       
16     8      5      5/8    | 0.23      0.28      0.59      0.34      1.45         47.30     | 23701    0        7095     4290     1020     | 160    40276          2269131      -       
16     8      6      6/8    | 0.22      0.28      0.58      0.33      1.43         48.10     | 23701    0        8595     2790     1020     | 192    40276          2269131      -       
16     8      7      7/8    | 0.23      0.27      0.63      0.35      1.50         45.75     | 23701    0        8745     2640     1020     | 224    40276          2269131      -       
16     8      8      8/8    | 0.23      0.26      0.84      0.33      1.67         41.00     | 23701    0        12405    0        0        | 256    40276          2269131      -       
16     16     0      0/8    | 0.21      0.27      0.44      0.33      1.26         54.43     | 23701    0        0        11385    1020     | 1      43546          2269131      -       
16     16     1      1/8    | 0.20      0.26      0.45      0.32      1.24         55.13     | 23701    0        0        11385    1020     | 32     43546          2269131      -       
16     16     2      2/8    | 0.20      0.27      0.36      0.32      1.17         58.82     | 23701    0        1890     9495     1020     | 64     43546          2269131      -       
16     16     3      3/8    | 0.20      0.27      0.47      0.32      1.26         54.30     | 23701    0        3600     7785     1020     | 96     43546          2269131      -       
16     16     4      4/8    | 0.20      0.27      0.49      0.32      1.30         52.76     | 23701    0        5385     6000     1020     | 128    43546          2269131      -       
16     16     5      5/8    | 0.20      0.26      0.55      0.31      1.32         52.04     | 23701    0        7095     4290     1020     | 160    43546          2269131      -       
16     16     6      6/8    | 0.20      0.25      0.52      0.31      1.29         53.04     | 23701    0        8595     2790     1020     | 192    43546          2269131      -       
16     16     7      7/8    | 0.19      0.26      0.56      0.31      1.34         51.30     | 23701    0        8745     2640     1020     | 224    43546          2269131      -       
16     16     8      8/8    | 0.19      0.26      0.83      0.30      1.59         43.03     | 23701    0        12405    0        0        | 256    43546          2269131      -       
16     32     0      0/8    | 0.17      0.26      0.48      0.43      1.36         50.54     | 23701    0        0        11385    1020     | 1      51600          2269131      -       
16     32     1      1/8    | 0.17      0.25      0.48      0.45      1.36         50.25     | 23701    0        0        11385    1020     | 32     51600          2269131      -       
16     32     2      2/8    | 0.17      0.26      0.46      0.43      1.32         52.00     | 23701    0        1890     9495     1020     | 64     51600          2269131      -       
16     32     3      3/8    | 0.18      0.27      0.46      0.46      1.39         49.34     | 23701    0        3600     7785     1020     | 96     51600          2269131      -       
16     32     4      4/8    | 0.18      0.27      0.50      0.46      1.43         47.93     | 23701    0        5385     6000     1020     | 128    51600          2269131      -       
16     32     5      5/8    | 0.19      0.27      0.54      0.45      1.46         46.88     | 23701    0        7095     4290     1020     | 160    51600          2269131      -       
16     32     6      6/8    | 0.18      0.27      0.58      0.46      1.51         45.36     | 23701    0        8595     2790     1020     | 192    51600          2269131      -       
16     32     7      7/8    | 0.18      0.27      0.59      0.45      1.51         45.54     | 23701    0        8745     2640     1020     | 224    51600          2269131      -       
16     32     8      8/8    | 0.18      0.27      0.88      0.47      1.81         37.81     | 23701    0        12405    0        0        | 256    51600          2269131      -       
32     8      0      0/8    | 0.24      0.26      1.22      0.39      2.12         32.37     | 19516    0        0        3746     0        | 1      24482          2269131      -       
32     8      1      1/8    | 0.23      0.26      1.25      0.40      2.15         31.83     | 19516    0        0        3746     0        | 128    24482          2269131      -       
32     8      2      2/8    | 0.23      0.27      1.22      0.38      2.10         32.60     | 19516    0        746      3000     0        | 256    24482          2269131      -       
32     8      3      3/8    | 0.23      0.27      0.86      0.40      1.76         38.88     | 19516    0        1063     2683     0        | 384    24482          2269131      -       
32     8      4      4/8    | 0.23      0.25      0.92      0.40      1.82         37.75     | 19516    0        1962     1784     0        | 512    24482          2269131      -       
32     8      5      5/8    | 0.23      0.25      0.96      0.39      1.85         37.09     | 19516    0        2762     984      0        | 640    24482          2269131      -       
32     8      6      6/8    | 0.23      0.25      1.18      0.39      2.07         33.15     | 19516    0        3746     0        0        | 768    24482          2269131      -       
32     8      7      7/8    | 0.23      0.24      1.16      0.40      2.05         33.49     | 19516    0        3746     0        0        | 896    24482          2269131      -       
32     8      8      8/8    | 0.23      0.26      1.21      0.39      2.09         32.82     | 19516    0        3746     0        0        | 1024   24482          2269131      -       
32     16     0      0/8    | 0.21      0.29      1.31      0.41      2.24         30.60     | 19516    0        0        3746     0        | 1      24960          2269131      -       
32     16     1      1/8    | 0.21      0.29      1.30      0.39      2.19         31.25     | 19516    0        0        3746     0        | 128    24960          2269131      -       
32     16     2      2/8    | 0.20      0.27      1.28      0.38      2.14         32.03     | 19516    0        746      3000     0        | 256    24960          2269131      -       
32     16     3      3/8    | 0.19      0.27      0.77      0.37      1.61         42.57     | 19516    0        1063     2683     0        | 384    24960          2269131      -       
32     16     4      4/8    | 0.20      0.26      0.82      0.37      1.67         41.19     | 19516    0        1962     1784     0        | 512    24960          2269131      -       
32     16     5      5/8    | 0.21      0.29      0.95      0.40      1.87         36.68     | 19516    0        2762     984      0        | 640    24960          2269131      -       
32     16     6      6/8    | 0.21      0.27      1.17      0.39      2.04         33.54     | 19516    0        3746     0        0        | 768    24960          2269131      -       
32     16     7      7/8    | 0.20      0.29      1.21      0.40      2.12         32.41     | 19516    0        3746     0        0        | 896    24960          2269131      -       
32     16     8      8/8    | 0.20      0.26      1.25      0.37      2.10         32.74     | 19516    0        3746     0        0        | 1024   24960          2269131      -       
32     32     0      0/8    | 0.17      0.21      1.30      0.38      2.06         33.25     | 19516    0        0        3746     0        | 1      25730          2269131      -       
32     32     1      1/8    | 0.19      0.22      1.31      0.43      2.17         31.62     | 19516    0        0        3746     0        | 128    25730          2269131      -       
32     32     2      2/8    | 0.17      0.21      1.30      0.39      2.08         32.97     | 19516    0        746      3000     0        | 256    25730          2269131      -       
32     32     3      3/8    | 0.17      0.22      0.77      0.37      1.54         44.57     | 19516    0        1063     2683     0        | 384    25730          2269131      -       
32     32     4      4/8    | 0.17      0.21      0.82      0.39      1.60         42.89     | 19516    0        1962     1784     0        | 512    25730          2269131      -       
32     32     5      5/8    | 0.17      0.20      0.97      0.38      1.73         39.60     | 19516    0        2762     984      0        | 640    25730          2269131      -       
32     32     6      6/8    | 0.17      0.22      1.21      0.40      2.01         34.11     | 19516    0        3746     0        0        | 768    25730          2269131      -       
32     32     7      7/8    | 0.17      0.20      1.23      0.38      2.00         34.33     | 19516    0        3746     0        0        | 896    25730          2269131      -       
32     32     8      8/8    | 0.18      0.23      1.23      0.43      2.08         33.05     | 19516    0        3746     0        0        | 1024   25730          2269131      -       
