# Matrix: conf5_4-8x8-05
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.01-0.1/conf5_4-8x8-05.mtx
# Category: 10k-50k-0.01-0.1
# Date: 2026-03-06 02:07:07
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 49152
# Cols: 49152
# NNZ(A): 1916928
# NNZ(C) estimate: 74760192
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.12      1.82      2.66      0.85      5.46         27.38     | 28672    0        0        415744   32768    | 1      667648         10911744     -       
8      8      1      1/8    | 0.15      1.88      2.66      0.93      5.63         26.57     | 28672    0        0        415744   32768    | 8      667648         10911744     -       
8      8      2      2/8    | 0.12      1.88      2.40      0.84      5.25         28.47     | 28672    0        225280   190464   32768    | 16     667648         10911744     -       
8      8      3      3/8    | 0.13      1.91      2.32      0.83      5.20         28.75     | 28672    0        251904   163840   32768    | 24     667648         10911744     -       
8      8      4      4/8    | 0.15      1.92      2.27      0.89      5.24         28.51     | 28672    0        370688   45056    32768    | 32     667648         10911744     -       
8      8      5      5/8    | 0.14      1.90      2.04      0.88      4.97         30.09     | 28672    0        411648   4096     32768    | 40     667648         10911744     -       
8      8      6      6/8    | 0.14      1.96      2.04      0.87      5.02         29.78     | 28672    0        415744   0        32768    | 48     667648         10911744     -       
8      8      7      7/8    | 0.12      1.91      2.03      0.83      4.91         30.43     | 28672    0        415744   0        32768    | 56     667648         10911744     -       
8      8      8      8/8    | 0.14      1.88      2.06      0.90      5.00         29.92     | 28672    0        448512   0        0        | 64     667648         10911744     -       
8      16     0      0/8    | 0.14      2.34      2.94      0.87      6.31         23.71     | 28672    0        0        415744   32768    | 1      829440         10911744     -       
8      16     1      1/8    | 0.14      2.40      2.94      0.87      6.36         23.53     | 28672    0        0        415744   32768    | 8      829440         10911744     -       
8      16     2      2/8    | 0.14      2.39      2.49      0.88      5.92         25.26     | 28672    0        225280   190464   32768    | 16     829440         10911744     -       
8      16     3      3/8    | 0.14      2.31      2.38      0.84      5.69         26.28     | 28672    0        251904   163840   32768    | 24     829440         10911744     -       
8      16     4      4/8    | 0.16      2.36      2.20      0.90      5.63         26.53     | 28672    0        370688   45056    32768    | 32     829440         10911744     -       
8      16     5      5/8    | 0.14      2.30      1.97      0.89      5.32         28.10     | 28672    0        411648   4096     32768    | 40     829440         10911744     -       
8      16     6      6/8    | 0.13      2.26      1.95      0.85      5.21         28.71     | 28672    0        415744   0        32768    | 48     829440         10911744     -       
8      16     7      7/8    | 0.14      2.26      1.95      0.86      5.22         28.65     | 28672    0        415744   0        32768    | 56     829440         10911744     -       
8      16     8      8/8    | 0.15      2.28      1.94      0.89      5.26         28.41     | 28672    0        448512   0        0        | 64     829440         10911744     -       
8      32     0      0/8    | 0.17      3.21      4.78      0.96      9.12         16.39     | 28672    0        0        415744   32768    | 1      1196032        10911744     -       
8      32     1      1/8    | 0.17      3.39      4.78      0.94      9.29         16.09     | 28672    0        0        415744   32768    | 8      1196032        10911744     -       
8      32     2      2/8    | 0.17      3.23      3.68      0.97      8.06         18.54     | 28672    0        225280   190464   32768    | 16     1196032        10911744     -       
8      32     3      3/8    | 0.17      3.19      3.46      0.92      7.76         19.26     | 28672    0        251904   163840   32768    | 24     1196032        10911744     -       
8      32     4      4/8    | 0.15      3.18      2.59      0.93      6.87         21.76     | 28672    0        370688   45056    32768    | 32     1196032        10911744     -       
8      32     5      5/8    | 0.17      3.21      2.39      0.96      6.75         22.15     | 28672    0        411648   4096     32768    | 40     1196032        10911744     -       
8      32     6      6/8    | 0.17      3.24      2.27      0.95      6.63         22.54     | 28672    0        415744   0        32768    | 48     1196032        10911744     -       
8      32     7      7/8    | 0.17      3.27      2.27      0.94      6.66         22.44     | 28672    0        415744   0        32768    | 56     1196032        10911744     -       
8      32     8      8/8    | 0.17      3.23      2.06      0.93      6.41         23.33     | 28672    0        448512   0        0        | 64     1196032        10911744     -       
16     8      0      0/8    | 0.12      0.73      2.33      0.67      3.85         38.86     | 90112    0        0        117760   0        | 1      230400         10911744     -       
16     8      1      1/8    | 0.12      0.78      2.32      0.66      3.89         38.48     | 90112    0        0        117760   0        | 32     230400         10911744     -       
16     8      2      2/8    | 0.11      0.72      2.03      0.63      3.50         42.66     | 90112    0        61440    56320    0        | 64     230400         10911744     -       
16     8      3      3/8    | 0.12      0.76      2.00      0.68      3.59         41.64     | 90112    0        89088    28672    0        | 96     230400         10911744     -       
16     8      4      4/8    | 0.11      0.75      1.88      0.68      3.44         43.52     | 90112    0        105472   12288    0        | 128    230400         10911744     -       
16     8      5      5/8    | 0.12      0.76      1.91      0.64      3.45         43.35     | 90112    0        117760   0        0        | 160    230400         10911744     -       
16     8      6      6/8    | 0.11      0.72      1.91      0.64      3.40         43.99     | 90112    0        117760   0        0        | 192    230400         10911744     -       
