# Matrix: crplat2
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.01-0.1/crplat2.mtx
# Category: 10k-50k-0.01-0.1
# Date: 2026-03-06 02:19:46
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 18010
# Cols: 18010
# NNZ(A): 960946
# NNZ(C) estimate: 52290238
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.11      0.32      0.42      0.41      1.27         82.02     | 6969     0        0        33900    23141    | 1      87774          2722222      -       
8      8      1      1/8    | 0.10      0.34      0.42      0.39      1.27         82.48     | 6969     0        0        33900    23141    | 8      87774          2722222      -       
8      8      2      2/8    | 0.10      0.32      0.42      0.38      1.24         84.54     | 6969     0        7998     25902    23141    | 16     87774          2722222      -       
8      8      3      3/8    | 0.10      0.33      0.43      0.38      1.25         83.53     | 6969     0        11980    21920    23141    | 24     87774          2722222      -       
8      8      4      4/8    | 0.09      0.33      0.46      0.37      1.26         82.74     | 6969     0        16603    17297    23141    | 32     87774          2722222      -       
8      8      5      5/8    | 0.09      0.32      0.47      0.38      1.27         82.22     | 6969     0        21018    12882    23141    | 40     87774          2722222      -       
8      8      6      6/8    | 0.09      0.32      0.51      0.38      1.32         79.35     | 6969     0        25770    8130     23141    | 48     87774          2722222      -       
8      8      7      7/8    | 0.09      0.32      0.57      0.37      1.37         76.22     | 6969     0        32430    1470     23141    | 56     87774          2722222      -       
8      8      8      8/8    | 0.10      0.32      1.28      0.39      2.10         49.73     | 6969     0        57041    0        0        | 64     87774          2722222      -       
8      16     0      0/8    | 0.11      0.40      0.45      0.46      1.44         72.57     | 6969     0        0        33900    23141    | 1      106370         2722222      -       
8      16     1      1/8    | 0.10      0.37      0.45      0.45      1.38         75.73     | 6969     0        0        33900    23141    | 8      106370         2722222      -       
8      16     2      2/8    | 0.11      0.38      0.44      0.46      1.41         74.38     | 6969     0        7998     25902    23141    | 16     106370         2722222      -       
8      16     3      3/8    | 0.10      0.37      0.45      0.47      1.41         74.07     | 6969     0        11980    21920    23141    | 24     106370         2722222      -       
8      16     4      4/8    | 0.10      0.39      0.48      0.46      1.44         72.68     | 6969     0        16603    17297    23141    | 32     106370         2722222      -       
