# Matrix: crystk02
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.01-0.1/crystk02.mtx
# Category: 10k-50k-0.01-0.1
# Date: 2026-03-06 02:20:44
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 13965
# Cols: 13965
# NNZ(A): 968583
# NNZ(C) estimate: 70250431
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.11      0.61      0.94      0.59      2.26         62.22     | 19964    0        0        91471    7645     | 1      177422         3925701      -       
8      8      1      1/8    | 0.12      0.63      0.94      0.62      2.33         60.40     | 19964    0        0        91471    7645     | 8      177422         3925701      -       
8      8      2      2/8    | 0.11      0.64      0.95      0.61      2.33         60.17     | 19964    0        14838    76633    7645     | 16     177422         3925701      -       
8      8      3      3/8    | 0.12      0.64      0.98      0.70      2.46         57.04     | 19964    0        27084    64387    7645     | 24     177422         3925701      -       
8      8      4      4/8    | 0.11      0.65      1.07      0.62      2.46         57.02     | 19964    0        41810    49661    7645     | 32     177422         3925701      -       
8      8      5      5/8    | 0.11      0.66      1.08      0.61      2.47         56.91     | 19964    0        53666    37805    7645     | 40     177422         3925701      -       
8      8      6      6/8    | 0.10      0.63      1.13      0.59      2.47         56.98     | 19964    0        63480    27991    7645     | 48     177422         3925701      -       
8      8      7      7/8    | 0.10      0.61      1.17      0.58      2.48         56.65     | 19964    0        71333    20138    7645     | 56     177422         3925701      -       
8      8      8      8/8    | 0.10      0.62      1.64      0.59      2.97         47.32     | 19964    0        99116    0        0        | 64     177422         3925701      -       
8      16     0      0/8    | 0.10      0.73      1.10      0.62      2.57         54.65     | 19964    0        0        91471    7645     | 1      236144         3925701      -       
8      16     1      1/8    | 0.10      0.73      1.09      0.62      2.56         54.86     | 19964    0        0        91471    7645     | 8      236144         3925701      -       
8      16     2      2/8    | 0.10      0.74      1.08      0.63      2.57         54.63     | 19964    0        14838    76633    7645     | 16     236144         3925701      -       
8      16     3      3/8    | 0.10      0.73      1.09      0.62      2.56         54.95     | 19964    0        27084    64387    7645     | 24     236144         3925701      -       
8      16     4      4/8    | 0.10      0.74      1.16      0.62      2.64         53.30     | 19964    0        41810    49661    7645     | 32     236144         3925701      -       
8      16     5      5/8    | 0.10      0.73      1.13      0.64      2.61         53.75     | 19964    0        53666    37805    7645     | 40     236144         3925701      -       
8      16     6      6/8    | 0.10      0.73      1.18      0.63      2.65         53.02     | 19964    0        63480    27991    7645     | 48     236144         3925701      -       
8      16     7      7/8    | 0.12      0.76      1.21      0.67      2.77         50.80     | 19964    0        71333    20138    7645     | 56     236144         3925701      -       
8      16     8      8/8    | 0.10      0.74      1.58      0.65      3.08         45.62     | 19964    0        99116    0        0        | 64     236144         3925701      -       
8      32     0      0/8    | 0.11      0.86      1.77      0.82      3.58         39.28     | 19964    0        0        91471    7645     | 1      271256         3925701      -       
8      32     1      1/8    | 0.12      0.85      1.78      0.88      3.65         38.50     | 19964    0        0        91471    7645     | 8      271256         3925701      -       
8      32     2      2/8    | 0.12      0.85      1.70      0.85      3.54         39.75     | 19964    0        14838    76633    7645     | 16     271256         3925701      -       
8      32     3      3/8    | 0.11      0.86      1.66      0.83      3.47         40.44     | 19964    0        27084    64387    7645     | 24     271256         3925701      -       
8      32     4      4/8    | 0.11      0.83      1.58      0.81      3.35         41.93     | 19964    0        41810    49661    7645     | 32     271256         3925701      -       
8      32     5      5/8    | 0.10      0.84      1.54      0.79      3.29         42.64     | 19964    0        53666    37805    7645     | 40     271256         3925701      -       
8      32     6      6/8    | 0.11      0.85      1.54      0.82      3.33         42.24     | 19964    0        63480    27991    7645     | 48     271256         3925701      -       
8      32     7      7/8    | 0.12      0.87      1.55      0.86      3.42         41.13     | 19964    0        71333    20138    7645     | 56     271256         3925701      -       
8      32     8      8/8    | 0.12      0.84      1.62      0.86      3.46         40.64     | 19964    0        99116    0        0        | 64     271256         3925701      -       
16     8      0      0/8    | 0.11      0.41      1.26      0.40      2.20         63.89     | 16174    0        0        32039    0        | 1      61849          3925701      -       
16     8      1      1/8    | 0.10      0.41      1.26      0.41      2.20         63.95     | 16174    0        0        32039    0        | 32     61849          3925701      -       
16     8      2      2/8    | 0.10      0.41      1.28      0.42      2.22         63.26     | 16174    0        7074     24965    0        | 64     61849          3925701      -       
16     8      3      3/8    | 0.10      0.41      1.28      0.42      2.23         63.06     | 16174    0        11858    20181    0        | 96     61849          3925701      -       
16     8      4      4/8    | 0.10      0.42      1.39      0.42      2.34         60.07     | 16174    0        18315    13724    0        | 128    61849          3925701      -       
16     8      5      5/8    | 0.11      0.43      1.52      0.42      2.50         56.31     | 16174    0        24202    7837     0        | 160    61849          3925701      -       
16     8      6      6/8    | 0.10      0.40      1.68      0.42      2.60         53.96     | 16174    0        32039    0        0        | 192    61849          3925701      -       
16     8      7      7/8    | 0.11      0.42      1.69      0.44      2.68         52.37     | 16174    0        32039    0        0        | 224    61849          3925701      -       
16     8      8      8/8    | 0.11      0.42      1.67      0.43      2.64         53.14     | 16174    0        32039    0        0        | 256    61849          3925701      -       
16     16     0      0/8    | 0.10      0.35      0.98      0.43      1.87         75.17     | 16174    0        0        32039    0        | 1      63527          3925701      -       
16     16     1      1/8    | 0.10      0.34      0.97      0.41      1.84         76.48     | 16174    0        0        32039    0        | 32     63527          3925701      -       
16     16     2      2/8    | 0.10      0.34      0.93      0.41      1.80         78.19     | 16174    0        7074     24965    0        | 64     63527          3925701      -       
16     16     3      3/8    | 0.09      0.35      0.99      0.42      1.87         75.25     | 16174    0        11858    20181    0        | 96     63527          3925701      -       
16     16     4      4/8    | 0.11      0.35      1.12      0.42      2.01         69.80     | 16174    0        18315    13724    0        | 128    63527          3925701      -       
16     16     5      5/8    | 0.10      0.35      1.31      0.41      2.19         64.27     | 16174    0        24202    7837     0        | 160    63527          3925701      -       
16     16     6      6/8    | 0.09      0.33      1.60      0.38      2.42         58.01     | 16174    0        32039    0        0        | 192    63527          3925701      -       
16     16     7      7/8    | 0.11      0.35      1.59      0.43      2.49         56.38     | 16174    0        32039    0        0        | 224    63527          3925701      -       
16     16     8      8/8    | 0.10      0.34      1.60      0.41      2.46         57.14     | 16174    0        32039    0        0        | 256    63527          3925701      -       
16     32     0      0/8    | 0.10      0.37      1.67      0.49      2.64         53.14     | 16174    0        0        32039    0        | 1      71053          3925701      -       
16     32     1      1/8    | 0.10      0.37      1.68      0.48      2.64         53.22     | 16174    0        0        32039    0        | 32     71053          3925701      -       
16     32     2      2/8    | 0.10      0.36      1.52      0.51      2.51         56.04     | 16174    0        7074     24965    0        | 64     71053          3925701      -       
16     32     3      3/8    | 0.09      0.36      1.50      0.49      2.46         57.04     | 16174    0        11858    20181    0        | 96     71053          3925701      -       
16     32     4      4/8    | 0.09      0.34      1.51      0.47      2.43         57.87     | 16174    0        18315    13724    0        | 128    71053          3925701      -       
16     32     5      5/8    | 0.09      0.35      1.57      0.48      2.50         56.16     | 16174    0        24202    7837     0        | 160    71053          3925701      -       
16     32     6      6/8    | 0.09      0.35      1.59      0.48      2.52         55.69     | 16174    0        32039    0        0        | 192    71053          3925701      -       
16     32     7      7/8    | 0.11      0.37      1.60      0.51      2.60         53.94     | 16174    0        32039    0        0        | 224    71053          3925701      -       
16     32     8      8/8    | 0.10      0.37      1.61      0.48      2.57         54.75     | 16174    0        32039    0        0        | 256    71053          3925701      -       
32     8      0      0/8    | 0.10      0.52      2.71      0.43      3.78         37.17     | 3828     0        0        13423    0        | 1      18179          3925701      -       
32     8      1      1/8    | 0.10      0.52      2.68      0.43      3.75         37.52     | 3828     0        0        13423    0        | 128    18179          3925701      -       
32     8      2      2/8    | 0.10      0.52      2.17      0.41      3.21         43.77     | 3828     0        6725     6698     0        | 256    18179          3925701      -       
