# Matrix: cvxbqp1
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.01-0.1/cvxbqp1.mtx
# Category: 10k-50k-0.01-0.1
# Date: 2026-03-06 02:22:47
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 50000
# Cols: 50000
# NNZ(A): 349968
# NNZ(C) estimate: 2649546
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.17      2.96      1.06      0.87      5.08         1.04      | 645852   0        0        92       0        | 1      1039522        1099432      -       
8      8      1      1/8    | 0.16      2.88      1.06      0.82      4.93         1.08      | 645852   0        0        92       0        | 8      1039522        1099432      -       
8      8      2      2/8    | 0.16      2.87      1.06      0.84      4.94         1.07      | 645852   0        86       6        0        | 16     1039522        1099432      -       
8      8      3      3/8    | 0.15      2.87      1.05      0.79      4.87         1.09      | 645852   0        90       2        0        | 24     1039522        1099432      -       
8      8      4      4/8    | 0.15      2.84      1.05      0.80      4.87         1.09      | 645852   0        91       1        0        | 32     1039522        1099432      -       
8      8      5      5/8    | 0.16      2.87      1.05      0.81      4.90         1.08      | 645852   0        92       0        0        | 40     1039522        1099432      -       
8      8      6      6/8    | 0.16      2.94      1.05      0.80      4.97         1.07      | 645852   0        92       0        0        | 48     1039522        1099432      -       
8      8      7      7/8    | 0.16      2.93      1.05      0.82      4.97         1.07      | 645852   0        92       0        0        | 56     1039522        1099432      -       
8      8      8      8/8    | 0.15      2.87      1.05      0.82      4.91         1.08      | 645852   0        92       0        0        | 64     1039522        1099432      -       
8      16     0      0/8    | 0.17      4.04      1.12      0.85      6.19         0.86      | 645852   0        0        92       0        | 1      1515290        1099432      -       
8      16     1      1/8    | 0.17      4.09      1.11      0.85      6.24         0.85      | 645852   0        0        92       0        | 8      1515290        1099432      -       
8      16     2      2/8    | 0.17      4.14      1.10      0.84      6.27         0.84      | 645852   0        86       6        0        | 16     1515290        1099432      -       
8      16     3      3/8    | 0.17      3.97      1.10      0.83      6.08         0.87      | 645852   0        90       2        0        | 24     1515290        1099432      -       
8      16     4      4/8    | 0.16      3.96      1.10      0.85      6.09         0.87      | 645852   0        91       1        0        | 32     1515290        1099432      -       
8      16     5      5/8    | 0.17      3.96      1.10      0.84      6.08         0.87      | 645852   0        92       0        0        | 40     1515290        1099432      -       
8      16     6      6/8    | 0.17      4.01      1.10      0.85      6.15         0.86      | 645852   0        92       0        0        | 48     1515290        1099432      -       
8      16     7      7/8    | 0.16      3.98      1.10      0.85      6.11         0.87      | 645852   0        92       0        0        | 56     1515290        1099432      -       
8      16     8      8/8    | 0.18      4.14      1.10      0.86      6.30         0.84      | 645852   0        92       0        0        | 64     1515290        1099432      -       
8      32     0      0/8    | 0.24      7.07      1.28      0.92      9.53         0.56      | 645852   0        0        92       0        | 1      2691114        1099432      -       
8      32     1      1/8    | 0.23      7.12      1.29      0.92      9.57         0.55      | 645852   0        0        92       0        | 8      2691114        1099432      -       
8      32     2      2/8    | 0.24      7.02      1.23      0.89      9.40         0.56      | 645852   0        86       6        0        | 16     2691114        1099432      -       
8      32     3      3/8    | 0.22      7.04      1.23      0.92      9.43         0.56      | 645852   0        90       2        0        | 24     2691114        1099432      -       
8      32     4      4/8    | 0.23      6.95      1.23      0.91      9.32         0.57      | 645852   0        91       1        0        | 32     2691114        1099432      -       
8      32     5      5/8    | 0.23      6.97      1.22      0.90      9.34         0.57      | 645852   0        92       0        0        | 40     2691114        1099432      -       
8      32     6      6/8    | 0.23      7.00      1.23      0.91      9.38         0.56      | 645852   0        92       0        0        | 48     2691114        1099432      -       
8      32     7      7/8    | 0.25      7.18      1.23      0.94      9.60         0.55      | 645852   0        92       0        0        | 56     2691114        1099432      -       
8      32     8      8/8    | 0.23      7.02      1.23      0.90      9.39         0.56      | 645852   0        92       0        0        | 64     2691114        1099432      -       
16     8      0      0/8    | 0.12      1.29      0.98      0.78      3.18         1.67      | 360433   0        0        4        0        | 1      445279         1099432      -       
16     8      1      1/8    | 0.14      1.32      0.97      0.83      3.27         1.62      | 360433   0        0        4        0        | 32     445279         1099432      -       
16     8      2      2/8    | 0.13      1.29      0.97      0.80      3.21         1.65      | 360433   0        2        2        0        | 64     445279         1099432      -       
16     8      3      3/8    | 0.12      1.33      0.98      0.79      3.24         1.64      | 360433   0        4        0        0        | 96     445279         1099432      -       
16     8      4      4/8    | 0.14      1.34      0.97      0.81      3.27         1.62      | 360433   0        4        0        0        | 128    445279         1099432      -       
16     8      5      5/8    | 0.13      1.34      0.97      0.79      3.24         1.63      | 360433   0        4        0        0        | 160    445279         1099432      -       
16     8      6      6/8    | 0.12      1.27      0.96      0.76      3.13         1.70      | 360433   0        4        0        0        | 192    445279         1099432      -       
16     8      7      7/8    | 0.12      1.28      0.96      0.77      3.14         1.69      | 360433   0        4        0        0        | 224    445279         1099432      -       
16     8      8      8/8    | 0.12      1.29      0.96      0.74      3.13         1.69      | 360433   0        4        0        0        | 256    445279         1099432      -       
16     16     0      0/8    | 0.12      1.49      0.90      0.80      3.32         1.60      | 360433   0        0        4        0        | 1      529615         1099432      -       
16     16     1      1/8    | 0.12      1.50      0.88      0.77      3.29         1.61      | 360433   0        0        4        0        | 32     529615         1099432      -       
16     16     2      2/8    | 0.12      1.48      0.87      0.77      3.25         1.63      | 360433   0        2        2        0        | 64     529615         1099432      -       
16     16     3      3/8    | 0.12      1.56      0.86      0.78      3.34         1.59      | 360433   0        4        0        0        | 96     529615         1099432      -       
16     16     4      4/8    | 0.12      1.50      0.87      0.76      3.26         1.62      | 360433   0        4        0        0        | 128    529615         1099432      -       
16     16     5      5/8    | 0.12      1.52      0.87      0.78      3.31         1.60      | 360433   0        4        0        0        | 160    529615         1099432      -       
16     16     6      6/8    | 0.12      1.50      0.87      0.76      3.27         1.62      | 360433   0        4        0        0        | 192    529615         1099432      -       
16     16     7      7/8    | 0.12      1.50      0.86      0.77      3.27         1.62      | 360433   0        4        0        0        | 224    529615         1099432      -       
16     16     8      8/8    | 0.13      1.57      0.88      0.81      3.41         1.55      | 360433   0        4        0        0        | 256    529615         1099432      -       
16     32     0      0/8    | 0.14      2.32      0.97      0.81      4.25         1.25      | 360433   0        0        4        0        | 1      820595         1099432      -       
16     32     1      1/8    | 0.13      2.23      0.98      0.80      4.15         1.28      | 360433   0        0        4        0        | 32     820595         1099432      -       
16     32     2      2/8    | 0.13      2.26      0.95      0.82      4.17         1.27      | 360433   0        2        2        0        | 64     820595         1099432      -       
16     32     3      3/8    | 0.13      2.28      0.92      0.81      4.15         1.28      | 360433   0        4        0        0        | 96     820595         1099432      -       
16     32     4      4/8    | 0.15      2.34      0.96      0.83      4.30         1.23      | 360433   0        4        0        0        | 128    820595         1099432      -       
16     32     5      5/8    | 0.14      2.26      0.95      0.88      4.25         1.25      | 360433   0        4        0        0        | 160    820595         1099432      -       
16     32     6      6/8    | 0.13      2.26      0.95      0.82      4.18         1.27      | 360433   0        4        0        0        | 192    820595         1099432      -       
16     32     7      7/8    | 0.13      2.28      0.93      0.83      4.19         1.26      | 360433   0        4        0        0        | 224    820595         1099432      -       
16     32     8      8/8    | 0.13      2.34      0.92      0.82      4.23         1.25      | 360433   0        4        0        0        | 256    820595         1099432      -       
32     8      0      0/8    | 0.14      0.88      1.13      0.64      2.80         1.89      | 194628   0        0        1        0        | 1      228339         1099432      -       
32     8      1      1/8    | 0.14      0.84      1.11      0.62      2.73         1.94      | 194628   0        0        1        0        | 128    228339         1099432      -       
32     8      2      2/8    | 0.12      0.95      1.10      0.60      2.79         1.90      | 194628   0        1        0        0        | 256    228339         1099432      -       
32     8      3      3/8    | 0.13      0.83      1.10      0.61      2.68         1.98      | 194628   0        1        0        0        | 384    228339         1099432      -       
32     8      4      4/8    | 0.15      0.89      1.11      0.68      2.85         1.86      | 194628   0        1        0        0        | 512    228339         1099432      -       
32     8      5      5/8    | 0.13      0.85      1.10      0.63      2.73         1.94      | 194628   0        1        0        0        | 640    228339         1099432      -       
32     8      6      6/8    | 0.13      0.94      1.11      0.59      2.78         1.90      | 194628   0        1        0        0        | 768    228339         1099432      -       
32     8      7      7/8    | 0.14      0.97      1.11      0.68      2.93         1.81      | 194628   0        1        0        0        | 896    228339         1099432      -       
32     8      8      8/8    | 0.13      0.94      1.10      0.63      2.81         1.88      | 194628   0        1        0        0        | 1024   228339         1099432      -       
32     16     0      0/8    | 0.12      0.70      0.99      0.65      2.48         2.13      | 194628   0        0        1        0        | 1      248203         1099432      -       
32     16     1      1/8    | 0.11      0.79      1.00      0.64      2.55         2.08      | 194628   0        0        1        0        | 128    248203         1099432      -       
32     16     2      2/8    | 0.11      0.76      0.97      0.64      2.50         2.12      | 194628   0        1        0        0        | 256    248203         1099432      -       
32     16     3      3/8    | 0.11      0.82      0.98      0.66      2.59         2.05      | 194628   0        1        0        0        | 384    248203         1099432      -       
32     16     4      4/8    | 0.12      0.71      0.98      0.64      2.47         2.15      | 194628   0        1        0        0        | 512    248203         1099432      -       
32     16     5      5/8    | 0.12      0.73      0.98      0.63      2.47         2.15      | 194628   0        1        0        0        | 640    248203         1099432      -       
32     16     6      6/8    | 0.10      0.73      0.97      0.62      2.43         2.18      | 194628   0        1        0        0        | 768    248203         1099432      -       
32     16     7      7/8    | 0.10      0.71      1.01      0.64      2.47         2.14      | 194628   0        1        0        0        | 896    248203         1099432      -       
32     16     8      8/8    | 0.10      0.73      0.97      0.63      2.45         2.17      | 194628   0        1        0        0        | 1024   248203         1099432      -       
32     32     0      0/8    | 0.10      0.95      0.99      0.75      2.82         1.88      | 194628   0        0        1        0        | 1      310061         1099432      -       
32     32     1      1/8    | 0.12      0.95      0.97      0.75      2.79         1.90      | 194628   0        0        1        0        | 128    310061         1099432      -       
32     32     2      2/8    | 0.10      0.94      0.96      0.77      2.78         1.91      | 194628   0        1        0        0        | 256    310061         1099432      -       
32     32     3      3/8    | 0.11      0.95      0.97      0.75      2.79         1.90      | 194628   0        1        0        0        | 384    310061         1099432      -       
32     32     4      4/8    | 0.10      0.95      0.97      0.75      2.78         1.90      | 194628   0        1        0        0        | 512    310061         1099432      -       
32     32     5      5/8    | 0.12      0.97      0.96      0.79      2.85         1.86      | 194628   0        1        0        0        | 640    310061         1099432      -       
32     32     6      6/8    | 0.11      0.97      0.97      0.78      2.84         1.87      | 194628   0        1        0        0        | 768    310061         1099432      -       
32     32     7      7/8    | 0.12      0.98      0.97      0.78      2.87         1.85      | 194628   0        1        0        0        | 896    310061         1099432      -       
32     32     8      8/8    | 0.11      0.99      0.97      0.75      2.84         1.87      | 194628   0        1        0        0        | 1024   310061         1099432      -       
