# Matrix: e40r0100
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.01-0.1/e40r0100.mtx
# Category: 10k-50k-0.01-0.1
# Date: 2026-03-06 02:25:59
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 17281
# Cols: 17281
# NNZ(A): 553562
# NNZ(C) estimate: 16712581
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.12      0.72      0.98      0.64      2.48         13.46     | 44047    0        0        71861    4395     | 1      216815         2622535      -       
8      8      1      1/8    | 0.12      0.71      0.99      0.61      2.45         13.67     | 44047    0        0        71861    4395     | 8      216815         2622535      -       
8      8      2      2/8    | 0.12      0.71      0.92      0.63      2.40         13.94     | 44047    0        20204    51657    4395     | 16     216815         2622535      -       
8      8      3      3/8    | 0.12      0.72      0.88      0.62      2.35         14.19     | 44047    0        33585    38276    4395     | 24     216815         2622535      -       
8      8      4      4/8    | 0.12      0.71      0.89      0.61      2.34         14.31     | 44047    0        43853    28008    4395     | 32     216815         2622535      -       
8      8      5      5/8    | 0.12      0.71      0.82      0.59      2.26         14.76     | 44047    0        52615    19246    4395     | 40     216815         2622535      -       
8      8      6      6/8    | 0.12      0.70      0.81      0.59      2.22         15.04     | 44047    0        60340    11521    4395     | 48     216815         2622535      -       
8      8      7      7/8    | 0.12      0.74      0.80      0.62      2.29         14.58     | 44047    0        67815    4046     4395     | 56     216815         2622535      -       
8      8      8      8/8    | 0.12      0.70      0.79      0.62      2.25         14.88     | 44047    0        76256    0        0        | 64     216815         2622535      -       
8      16     0      0/8    | 0.11      0.82      1.03      0.60      2.58         12.96     | 44047    0        0        71861    4395     | 1      257422         2622535      -       
8      16     1      1/8    | 0.11      0.82      1.03      0.62      2.60         12.85     | 44047    0        0        71861    4395     | 8      257422         2622535      -       
8      16     2      2/8    | 0.11      0.83      0.94      0.62      2.52         13.26     | 44047    0        20204    51657    4395     | 16     257422         2622535      -       
8      16     3      3/8    | 0.11      0.85      0.88      0.60      2.46         13.58     | 44047    0        33585    38276    4395     | 24     257422         2622535      -       
8      16     4      4/8    | 0.10      0.77      0.87      0.59      2.35         14.23     | 44047    0        43853    28008    4395     | 32     257422         2622535      -       
8      16     5      5/8    | 0.11      0.84      0.80      0.59      2.35         14.25     | 44047    0        52615    19246    4395     | 40     257422         2622535      -       
