# Matrix: email-Enron
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.01-0.1/email-Enron.mtx
# Category: 10k-50k-0.01-0.1
# Date: 2026-03-06 02:28:51
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 36692
# Cols: 36692
# NNZ(A): 367662
# NNZ(C) estimate: 51501448
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 1.48      15.10     28.30     1.22      46.11        2.23      | 2155867  0        0        858047   96037    | 1      5256189        30492154     -       
8      8      1      1/8    | 1.50      15.40     28.33     1.21      46.46        2.22      | 2155867  0        0        858047   96037    | 8      5256189        30492154     -       
8      8      2      2/8    | 1.45      15.32     24.93     1.19      42.91        2.40      | 2155867  0        479924   378123   96037    | 16     5256189        30492154     -       
8      8      3      3/8    | 1.45      15.27     23.13     1.24      41.11        2.51      | 2155867  0        670973   187074   96037    | 24     5256189        30492154     -       
8      8      4      4/8    | 1.47      15.08     23.45     1.21      41.23        2.50      | 2155867  0        765363   92684    96037    | 32     5256189        30492154     -       
8      8      5      5/8    | 1.51      15.32     21.29     1.26      39.41        2.61      | 2155867  0        816041   42006    96037    | 40     5256189        30492154     -       
8      8      6      6/8    | 1.45      15.12     20.83     1.21      38.63        2.67      | 2155867  0        841707   16340    96037    | 48     5256189        30492154     -       
8      8      7      7/8    | 1.47      15.22     20.73     1.18      38.61        2.67      | 2155867  0        855548   2499     96037    | 56     5256189        30492154     -       
8      8      8      8/8    | 1.46      14.99     19.44     1.18      37.09        2.78      | 2155867  0        954084   0        0        | 64     5256189        30492154     -       
8      16     0      0/8    | 1.40      16.97     33.33     1.28      53.00        1.94      | 2155867  0        0        858047   96037    | 1      6483071        30492154     -       
8      16     1      1/8    | 1.38      17.48     33.20     1.33      53.41        1.93      | 2155867  0        0        858047   96037    | 8      6483071        30492154     -       
8      16     2      2/8    | 1.39      17.28     27.86     1.30      47.85        2.15      | 2155867  0        479924   378123   96037    | 16     6483071        30492154     -       
8      16     3      3/8    | 1.40      17.06     25.18     1.31      44.96        2.29      | 2155867  0        670973   187074   96037    | 24     6483071        30492154     -       
8      16     4      4/8    | 1.41      17.44     24.89     1.30      45.05        2.29      | 2155867  0        765363   92684    96037    | 32     6483071        30492154     -       
8      16     5      5/8    | 1.38      17.04     22.52     1.30      42.27        2.44      | 2155867  0        816041   42006    96037    | 40     6483071        30492154     -       
8      16     6      6/8    | 1.39      16.93     21.81     1.29      41.43        2.49      | 2155867  0        841707   16340    96037    | 48     6483071        30492154     -       
8      16     7      7/8    | 1.42      17.38     21.41     1.32      41.54        2.48      | 2155867  0        855548   2499     96037    | 56     6483071        30492154     -       
8      16     8      8/8    | 1.37      17.16     20.15     1.27      39.97        2.58      | 2155867  0        954084   0        0        | 64     6483071        30492154     -       
8      32     0      0/8    | 1.37      20.27     40.54     1.30      63.50        1.62      | 2155867  0        0        858047   96037    | 1      7770559        30492154     -       
8      32     1      1/8    | 1.35      20.38     40.56     1.32      63.63        1.62      | 2155867  0        0        858047   96037    | 8      7770559        30492154     -       
8      32     2      2/8    | 1.33      20.08     30.41     1.31      53.15        1.94      | 2155867  0        479924   378123   96037    | 16     7770559        30492154     -       
8      32     3      3/8    | 1.38      20.35     26.51     1.35      49.61        2.08      | 2155867  0        670973   187074   96037    | 24     7770559        30492154     -       
8      32     4      4/8    | 1.35      20.09     24.51     1.31      47.28        2.18      | 2155867  0        765363   92684    96037    | 32     7770559        30492154     -       
8      32     5      5/8    | 1.33      20.18     23.41     1.28      46.20        2.23      | 2155867  0        816041   42006    96037    | 40     7770559        30492154     -       
8      32     6      6/8    | 1.36      19.82     22.71     1.29      45.19        2.28      | 2155867  0        841707   16340    96037    | 48     7770559        30492154     -       
8      32     7      7/8    | 1.36      20.38     22.33     1.32      45.41        2.27      | 2155867  0        855548   2499     96037    | 56     7770559        30492154     -       
8      32     8      8/8    | 1.33      20.21     20.82     1.29      43.67        2.36      | 2155867  0        954084   0        0        | 64     7770559        30492154     -       
16     8      0      0/8    | 1.27      10.24     25.67     1.15      38.34        2.69      | 1050432  0        0        220788   22296    | 1      1994172        30492154     -       
16     8      1      1/8    | 1.26      10.21     25.57     1.18      38.23        2.69      | 1050432  0        0        220788   22296    | 32     1994172        30492154     -       
16     8      2      2/8    | 1.25      10.17     22.33     1.09      34.86        2.95      | 1050432  0        131170   89618    22296    | 64     1994172        30492154     -       
16     8      3      3/8    | 1.25      10.25     20.75     1.13      33.40        3.08      | 1050432  0        179973   40815    22296    | 96     1994172        30492154     -       
16     8      4      4/8    | 1.25      10.72     19.94     1.16      33.09        3.11      | 1050432  0        201072   19716    22296    | 128    1994172        30492154     -       
16     8      5      5/8    | 1.26      10.15     19.37     1.13      31.92        3.23      | 1050432  0        212340   8448     22296    | 160    1994172        30492154     -       
16     8      6      6/8    | 1.26      10.14     18.98     1.12      31.53        3.27      | 1050432  0        217729   3059     22296    | 192    1994172        30492154     -       
16     8      7      7/8    | 1.26      10.24     18.88     1.17      31.57        3.26      | 1050432  0        220099   689      22296    | 224    1994172        30492154     -       
16     8      8      8/8    | 1.28      10.23     18.37     1.11      31.01        3.32      | 1050432  0        243084   0        0        | 256    1994172        30492154     -       
16     16     0      0/8    | 1.07      10.16     24.76     1.15      37.16        2.77      | 1050432  0        0        220788   22296    | 1      2357042        30492154     -       
16     16     1      1/8    | 1.07      10.08     24.68     1.15      37.00        2.78      | 1050432  0        0        220788   22296    | 32     2357042        30492154     -       
16     16     2      2/8    | 1.08      10.03     21.10     1.14      33.36        3.09      | 1050432  0        131170   89618    22296    | 64     2357042        30492154     -       
16     16     3      3/8    | 1.08      10.08     19.62     1.13      31.93        3.23      | 1050432  0        179973   40815    22296    | 96     2357042        30492154     -       
16     16     4      4/8    | 1.08      10.28     18.84     1.19      31.40        3.28      | 1050432  0        201072   19716    22296    | 128    2357042        30492154     -       
16     16     5      5/8    | 1.08      10.25     18.45     1.16      30.96        3.33      | 1050432  0        212340   8448     22296    | 160    2357042        30492154     -       
16     16     6      6/8    | 1.08      10.23     18.09     1.16      30.56        3.37      | 1050432  0        217729   3059     22296    | 192    2357042        30492154     -       
16     16     7      7/8    | 1.07      10.18     17.83     1.16      30.25        3.40      | 1050432  0        220099   689      22296    | 224    2357042        30492154     -       
16     16     8      8/8    | 1.08      10.04     16.04     1.15      28.32        3.64      | 1050432  0        243084   0        0        | 256    2357042        30492154     -       
16     32     0      0/8    | 0.91      10.38     28.11     1.18      40.60        2.54      | 1050432  0        0        220788   22296    | 1      2717820        30492154     -       
16     32     1      1/8    | 0.91      10.28     28.10     1.19      40.49        2.54      | 1050432  0        0        220788   22296    | 32     2717820        30492154     -       
16     32     2      2/8    | 0.94      10.51     22.04     1.21      34.70        2.97      | 1050432  0        131170   89618    22296    | 64     2717820        30492154     -       
