# Matrix: ex19
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.01-0.1/ex19.mtx
# Category: 10k-50k-0.01-0.1
# Date: 2026-03-06 02:30:53
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 12005
# Cols: 12005
# NNZ(A): 259879
# NNZ(C) estimate: 7437975
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.09      0.22      0.28      0.23      0.83         17.97     | 9557     0        0        47487    3        | 1      58905          981383       -       
8      8      1      1/8    | 0.09      0.23      0.28      0.23      0.83         17.82     | 9557     0        0        47487    3        | 8      58905          981383       -       
8      8      2      2/8    | 0.08      0.22      0.26      0.23      0.81         18.46     | 9557     0        17920    29567    3        | 16     58905          981383       -       
8      8      3      3/8    | 0.09      0.22      0.24      0.23      0.79         18.85     | 9557     0        46248    1239     3        | 24     58905          981383       -       
8      8      4      4/8    | 0.09      0.22      0.26      0.23      0.80         18.53     | 9557     0        47487    0        3        | 32     58905          981383       -       
8      8      5      5/8    | 0.08      0.21      0.24      0.23      0.78         19.12     | 9557     0        47487    0        3        | 40     58905          981383       -       
8      8      6      6/8    | 0.09      0.23      0.24      0.24      0.80         18.62     | 9557     0        47487    0        3        | 48     58905          981383       -       
8      8      7      7/8    | 0.11      0.24      0.24      0.26      0.87         17.14     | 9557     0        47487    0        3        | 56     58905          981383       -       
8      8      8      8/8    | 0.10      0.23      0.24      0.24      0.82         18.16     | 9557     0        47490    0        0        | 64     58905          981383       -       
8      16     0      0/8    | 0.10      0.27      0.31      0.38      1.07         13.85     | 9557     0        0        47487    3        | 1      70201          981383       -       
8      16     1      1/8    | 0.09      0.27      0.31      0.36      1.03         14.40     | 9557     0        0        47487    3        | 8      70201          981383       -       
8      16     2      2/8    | 0.09      0.25      0.27      0.34      0.95         15.64     | 9557     0        17920    29567    3        | 16     70201          981383       -       
8      16     3      3/8    | 0.08      0.25      0.23      0.33      0.90         16.46     | 9557     0        46248    1239     3        | 24     70201          981383       -       
8      16     4      4/8    | 0.10      0.27      0.25      0.37      1.00         14.85     | 9557     0        47487    0        3        | 32     70201          981383       -       
8      16     5      5/8    | 0.10      0.27      0.23      0.36      0.97         15.26     | 9557     0        47487    0        3        | 40     70201          981383       -       
8      16     6      6/8    | 0.09      0.26      0.23      0.35      0.95         15.68     | 9557     0        47487    0        3        | 48     70201          981383       -       
8      16     7      7/8    | 0.09      0.26      0.23      0.35      0.94         15.84     | 9557     0        47487    0        3        | 56     70201          981383       -       
8      16     8      8/8    | 0.09      0.26      0.23      0.35      0.95         15.73     | 9557     0        47490    0        0        | 64     70201          981383       -       
8      32     0      0/8    | 0.09      0.37      0.49      0.41      1.37         10.87     | 9557     0        0        47487    3        | 1      108027         981383       -       
8      32     1      1/8    | 0.10      0.39      0.49      0.41      1.39         10.68     | 9557     0        0        47487    3        | 8      108027         981383       -       
8      32     2      2/8    | 0.09      0.36      0.41      0.40      1.27         11.71     | 9557     0        17920    29567    3        | 16     108027         981383       -       
8      32     3      3/8    | 0.11      0.38      0.29      0.43      1.22         12.22     | 9557     0        46248    1239     3        | 24     108027         981383       -       
8      32     4      4/8    | 0.10      0.37      0.25      0.42      1.15         12.98     | 9557     0        47487    0        3        | 32     108027         981383       -       
8      32     5      5/8    | 0.09      0.36      0.25      0.41      1.13         13.18     | 9557     0        47487    0        3        | 40     108027         981383       -       
8      32     6      6/8    | 0.10      0.38      0.25      0.41      1.14         13.04     | 9557     0        47487    0        3        | 48     108027         981383       -       
8      32     7      7/8    | 0.09      0.39      0.25      0.41      1.15         12.92     | 9557     0        47487    0        3        | 56     108027         981383       -       
8      32     8      8/8    | 0.09      0.37      0.25      0.41      1.12         13.23     | 9557     0        47490    0        0        | 64     108027         981383       -       
16     8      0      0/8    | 0.08      0.22      0.26      0.30      0.87         17.02     | 2575     0        0        15380    0        | 1      17971          981383       -       
16     8      1      1/8    | 0.09      0.22      0.26      0.29      0.86         17.32     | 2575     0        0        15380    0        | 32     17971          981383       -       
16     8      2      2/8    | 0.08      0.22      0.23      0.29      0.83         17.94     | 2575     0        10649    4731     0        | 64     17971          981383       -       
16     8      3      3/8    | 0.09      0.22      0.24      0.29      0.84         17.71     | 2575     0        14189    1191     0        | 96     17971          981383       -       
16     8      4      4/8    | 0.08      0.21      0.28      0.28      0.87         17.14     | 2575     0        15379    1        0        | 128    17971          981383       -       
16     8      5      5/8    | 0.10      0.23      0.29      0.32      0.96         15.54     | 2575     0        15379    1        0        | 160    17971          981383       -       
16     8      6      6/8    | 0.10      0.23      0.28      0.31      0.93         16.00     | 2575     0        15380    0        0        | 192    17971          981383       -       
16     8      7      7/8    | 0.11      0.23      0.28      0.32      0.96         15.53     | 2575     0        15380    0        0        | 224    17971          981383       -       
16     8      8      8/8    | 0.09      0.23      0.29      0.30      0.92         16.17     | 2575     0        15380    0        0        | 256    17971          981383       -       
16     16     0      0/8    | 0.11      0.20      0.31      0.33      0.95         15.58     | 2575     0        0        15380    0        | 1      29185          981383       -       
16     16     1      1/8    | 0.09      0.20      0.31      0.30      0.92         16.20     | 2575     0        0        15380    0        | 32     29185          981383       -       
16     16     2      2/8    | 0.09      0.20      0.28      0.31      0.89         16.73     | 2575     0        10649    4731     0        | 64     29185          981383       -       
16     16     3      3/8    | 0.08      0.19      0.30      0.28      0.87         17.08     | 2575     0        14189    1191     0        | 96     29185          981383       -       
16     16     4      4/8    | 0.09      0.19      0.27      0.28      0.84         17.79     | 2575     0        15379    1        0        | 128    29185          981383       -       
16     16     5      5/8    | 0.11      0.20      0.27      0.32      0.91         16.28     | 2575     0        15379    1        0        | 160    29185          981383       -       
16     16     6      6/8    | 0.09      0.20      0.27      0.30      0.87         17.08     | 2575     0        15380    0        0        | 192    29185          981383       -       
16     16     7      7/8    | 0.09      0.18      0.27      0.29      0.84         17.79     | 2575     0        15380    0        0        | 224    29185          981383       -       
16     16     8      8/8    | 0.09      0.20      0.27      0.36      0.92         16.15     | 2575     0        15380    0        0        | 256    29185          981383       -       
16     32     0      0/8    | 0.08      0.19      0.49      0.28      1.05         14.21     | 2575     0        0        15380    0        | 1      29775          981383       -       
16     32     1      1/8    | 0.09      0.19      0.49      0.34      1.12         13.31     | 2575     0        0        15380    0        | 32     29775          981383       -       
16     32     2      2/8    | 0.08      0.19      0.36      0.29      0.93         15.94     | 2575     0        10649    4731     0        | 64     29775          981383       -       
16     32     3      3/8    | 0.08      0.18      0.36      0.29      0.92         16.24     | 2575     0        14189    1191     0        | 96     29775          981383       -       
16     32     4      4/8    | 0.10      0.20      0.25      0.31      0.87         17.06     | 2575     0        15379    1        0        | 128    29775          981383       -       
16     32     5      5/8    | 0.09      0.19      0.24      0.29      0.82         18.08     | 2575     0        15379    1        0        | 160    29775          981383       -       
