# Matrix: fe_body
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.01-0.1/fe_body.mtx
# Category: 10k-50k-0.01-0.1
# Date: 2026-03-06 02:32:19
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 45087
# Cols: 45087
# NNZ(A): 327468
# NNZ(C) estimate: 2635052
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.12      0.73      0.44      0.57      1.87         2.82      | 66057    0        0        45051    162      | 1      218650         1187713      -       
8      8      1      1/8    | 0.13      0.71      0.44      0.63      1.91         2.76      | 66057    0        0        45051    162      | 8      218650         1187713      -       
8      8      2      2/8    | 0.12      0.70      0.38      0.61      1.82         2.90      | 66057    0        20811    24240    162      | 16     218650         1187713      -       
8      8      3      3/8    | 0.12      0.71      0.35      0.62      1.81         2.91      | 66057    0        31390    13661    162      | 24     218650         1187713      -       
8      8      4      4/8    | 0.11      0.70      0.35      0.59      1.77         2.98      | 66057    0        38128    6923     162      | 32     218650         1187713      -       
8      8      5      5/8    | 0.11      0.68      0.31      0.57      1.70         3.11      | 66057    0        42100    2951     162      | 40     218650         1187713      -       
8      8      6      6/8    | 0.12      0.71      0.31      0.63      1.79         2.94      | 66057    0        43688    1363     162      | 48     218650         1187713      -       
8      8      7      7/8    | 0.11      0.71      0.31      0.61      1.76         2.99      | 66057    0        44610    441      162      | 56     218650         1187713      -       
8      8      8      8/8    | 0.11      0.68      0.30      0.57      1.67         3.16      | 66057    0        45213    0        0        | 64     218650         1187713      -       
8      16     0      0/8    | 0.10      0.83      0.47      0.77      2.19         2.40      | 66057    0        0        45051    162      | 1      277870         1187713      -       
8      16     1      1/8    | 0.11      0.83      0.47      0.77      2.19         2.41      | 66057    0        0        45051    162      | 8      277870         1187713      -       
8      16     2      2/8    | 0.13      0.91      0.40      0.88      2.34         2.25      | 66057    0        20811    24240    162      | 16     277870         1187713      -       
8      16     3      3/8    | 0.12      0.89      0.36      0.77      2.15         2.45      | 66057    0        31390    13661    162      | 24     277870         1187713      -       
8      16     4      4/8    | 0.11      0.83      0.34      0.74      2.04         2.59      | 66057    0        38128    6923     162      | 32     277870         1187713      -       
8      16     5      5/8    | 0.12      0.86      0.30      0.82      2.12         2.49      | 66057    0        42100    2951     162      | 40     277870         1187713      -       
8      16     6      6/8    | 0.11      0.84      0.30      0.79      2.06         2.56      | 66057    0        43688    1363     162      | 48     277870         1187713      -       
8      16     7      7/8    | 0.11      0.89      0.30      0.76      2.07         2.54      | 66057    0        44610    441      162      | 56     277870         1187713      -       
8      16     8      8/8    | 0.12      0.87      0.28      0.80      2.09         2.53      | 66057    0        45213    0        0        | 64     277870         1187713      -       
