# Matrix: finance256
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.01-0.1/finance256.mtx
# Category: 10k-50k-0.01-0.1
# Date: 2026-03-06 02:33:51
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 37376
# Cols: 37376
# NNZ(A): 298496
# NNZ(C) estimate: 3856896
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.12      0.90      1.04      0.76      2.83         2.73      | 118976   0        0        96304    320      | 1      293312         2297728      -       
8      8      1      1/8    | 0.12      0.91      1.04      0.76      2.84         2.72      | 118976   0        0        96304    320      | 8      293312         2297728      -       
8      8      2      2/8    | 0.12      0.92      0.89      0.77      2.70         2.85      | 118976   0        40224    56080    320      | 16     293312         2297728      -       
8      8      3      3/8    | 0.12      0.89      0.73      0.75      2.49         3.10      | 118976   0        74752    21552    320      | 24     293312         2297728      -       
8      8      4      4/8    | 0.11      0.94      0.71      0.75      2.51         3.07      | 118976   0        88752    7552     320      | 32     293312         2297728      -       
8      8      5      5/8    | 0.11      0.90      0.65      0.74      2.40         3.21      | 118976   0        94128    2176     320      | 40     293312         2297728      -       
8      8      6      6/8    | 0.13      0.90      0.63      0.79      2.46         3.13      | 118976   0        95472    832      320      | 48     293312         2297728      -       
8      8      7      7/8    | 0.12      0.91      0.63      0.74      2.41         3.20      | 118976   0        95920    384      320      | 56     293312         2297728      -       
8      8      8      8/8    | 0.12      0.91      0.60      0.80      2.44         3.16      | 118976   0        96624    0        0        | 64     293312         2297728      -       
8      16     0      0/8    | 0.11      1.01      1.17      0.73      3.04         2.54      | 118976   0        0        96304    320      | 1      327152         2297728      -       
8      16     1      1/8    | 0.11      0.97      1.17      0.70      2.96         2.61      | 118976   0        0        96304    320      | 8      327152         2297728      -       
8      16     2      2/8    | 0.10      0.99      0.95      0.70      2.75         2.80      | 118976   0        40224    56080    320      | 16     327152         2297728      -       
8      16     3      3/8    | 0.11      1.00      0.72      0.71      2.55         3.02      | 118976   0        74752    21552    320      | 24     327152         2297728      -       
8      16     4      4/8    | 0.11      0.95      0.67      0.69      2.43         3.18      | 118976   0        88752    7552     320      | 32     327152         2297728      -       
8      16     5      5/8    | 0.11      0.98      0.58      0.69      2.38         3.25      | 118976   0        94128    2176     320      | 40     327152         2297728      -       
8      16     6      6/8    | 0.11      0.95      0.58      0.71      2.36         3.27      | 118976   0        95472    832      320      | 48     327152         2297728      -       
8      16     7      7/8    | 0.11      0.96      0.58      0.71      2.37         3.25      | 118976   0        95920    384      320      | 56     327152         2297728      -       
8      16     8      8/8    | 0.11      0.96      0.55      0.71      2.34         3.29      | 118976   0        96624    0        0        | 64     327152         2297728      -       
8      32     0      0/8    | 0.11      1.06      1.74      0.77      3.69         2.09      | 118976   0        0        96304    320      | 1      367888         2297728      -       
8      32     1      1/8    | 0.11      1.07      1.74      0.78      3.70         2.08      | 118976   0        0        96304    320      | 8      367888         2297728      -       
8      32     2      2/8    | 0.11      1.05      1.31      0.77      3.25         2.37      | 118976   0        40224    56080    320      | 16     367888         2297728      -       
8      32     3      3/8    | 0.10      1.06      0.86      0.77      2.81         2.75      | 118976   0        74752    21552    320      | 24     367888         2297728      -       
8      32     4      4/8    | 0.13      1.10      0.69      0.84      2.77         2.79      | 118976   0        88752    7552     320      | 32     367888         2297728      -       
8      32     5      5/8    | 0.11      1.07      0.61      0.79      2.60         2.96      | 118976   0        94128    2176     320      | 40     367888         2297728      -       
8      32     6      6/8    | 0.11      1.10      0.62      0.77      2.61         2.96      | 118976   0        95472    832      320      | 48     367888         2297728      -       
8      32     7      7/8    | 0.13      1.10      0.61      0.82      2.67         2.89      | 118976   0        95920    384      320      | 56     367888         2297728      -       
