# Matrix: garon2
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.01-0.1/garon2.mtx
# Category: 10k-50k-0.01-0.1
# Date: 2026-03-06 02:45:18
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 13535
# Cols: 13535
# NNZ(A): 390607
# NNZ(C) estimate: 12856995
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.14      0.84      1.39      0.60      2.99         8.60      | 43512    0        0        61032    0        | 1      239312         1464469      -       
8      8      1      1/8    | 0.14      0.83      1.38      0.60      2.95         8.71      | 43512    0        0        61032    0        | 8      239312         1464469      -       
8      8      2      2/8    | 0.14      0.80      1.24      0.61      2.80         9.19      | 43512    0        21776    39256    0        | 16     239312         1464469      -       
8      8      3      3/8    | 0.14      0.81      1.10      0.60      2.66         9.68      | 43512    0        41500    19532    0        | 24     239312         1464469      -       
8      8      4      4/8    | 0.15      0.86      1.07      0.63      2.72         9.45      | 43512    0        53746    7286     0        | 32     239312         1464469      -       
8      8      5      5/8    | 0.14      0.84      0.87      0.61      2.48         10.37     | 43512    0        58868    2164     0        | 40     239312         1464469      -       
8      8      6      6/8    | 0.15      0.85      0.88      0.61      2.51         10.25     | 43512    0        59684    1348     0        | 48     239312         1464469      -       
8      8      7      7/8    | 0.14      0.84      0.90      0.60      2.50         10.29     | 43512    0        60960    72       0        | 56     239312         1464469      -       
8      8      8      8/8    | 0.15      0.84      0.90      0.64      2.54         10.14     | 43512    0        61032    0        0        | 64     239312         1464469      -       
8      16     0      0/8    | 0.16      1.15      1.53      0.78      3.63         7.09      | 43512    0        0        61032    0        | 1      382102         1464469      -       
8      16     1      1/8    | 0.15      1.11      1.51      0.78      3.57         7.20      | 43512    0        0        61032    0        | 8      382102         1464469      -       
8      16     2      2/8    | 0.15      1.12      1.30      0.77      3.35         7.66      | 43512    0        21776    39256    0        | 16     382102         1464469      -       
8      16     3      3/8    | 0.15      1.12      1.09      0.78      3.16         8.15      | 43512    0        41500    19532    0        | 24     382102         1464469      -       
8      16     4      4/8    | 0.16      1.13      0.98      0.78      3.06         8.41      | 43512    0        53746    7286     0        | 32     382102         1464469      -       
8      16     5      5/8    | 0.15      1.12      0.79      0.79      2.86         8.98      | 43512    0        58868    2164     0        | 40     382102         1464469      -       
8      16     6      6/8    | 0.16      1.14      0.79      0.82      2.93         8.78      | 43512    0        59684    1348     0        | 48     382102         1464469      -       
8      16     7      7/8    | 0.16      1.11      0.81      0.80      2.89         8.91      | 43512    0        60960    72       0        | 56     382102         1464469      -       
8      16     8      8/8    | 0.15      1.14      0.80      0.88      2.99         8.59      | 43512    0        61032    0        0        | 64     382102         1464469      -       
8      32     0      0/8    | 0.17      1.39      2.54      0.79      4.90         5.25      | 43512    0        0        61032    0        | 1      479522         1464469      -       
