# Matrix: gyro
# Path: /home/stu1/Dataset/training_dataset/10k-50k-0.01-0.1/gyro.mtx
# Category: 10k-50k-0.01-0.1
# Date: 2026-03-06 02:53:46
# Configs: 81 (9 tiles x 9 TC thresholds)
# Version: AdaSpGEMM_new
#
# Rows: 17361
# Cols: 17361
# NNZ(A): 1021159
# NNZ(C) estimate: 77897567
#
tile_m tile_n tc_frc tc     | step1_ms  step2_ms  step3_ms  malloc    total_ms     gflops    | n_tiny   n_sml    n_lrg    n_dns    n_ful    | th_lrg tiles_C        nnzC         error   
-----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
8      8      0      0/8    | 0.19      1.86      3.21      0.82      6.10         25.54     | 73793    0        0        193492   11222    | 1      565035         5777919      -       
8      8      1      1/8    | 0.20      1.82      3.21      0.84      6.08         25.63     | 73793    0        0        193492   11222    | 8      565035         5777919      -       
8      8      2      2/8    | 0.19      1.89      3.04      0.81      5.95         26.20     | 73793    0        71262    122230   11222    | 16     565035         5777919      -       
8      8      3      3/8    | 0.19      1.77      2.84      0.80      5.61         27.75     | 73793    0        128150   65342    11222    | 24     565035         5777919      -       
8      8      4      4/8    | 0.19      1.81      2.87      0.80      5.69         27.40     | 73793    0        150936   42556    11222    | 32     565035         5777919      -       
8      8      5      5/8    | 0.19      1.83      2.62      0.81      5.46         28.53     | 73793    0        171771   21721    11222    | 40     565035         5777919      -       
8      8      6      6/8    | 0.18      1.86      2.55      0.82      5.43         28.69     | 73793    0        183334   10158    11222    | 48     565035         5777919      -       
8      8      7      7/8    | 0.19      1.87      2.54      0.81      5.42         28.73     | 73793    0        191877   1615     11222    | 56     565035         5777919      -       
8      8      8      8/8    | 0.20      1.85      2.40      0.84      5.31         29.33     | 73793    0        204714   0        0        | 64     565035         5777919      -       
8      16     0      0/8    | 0.18      1.77      3.57      0.82      6.36         24.52     | 73793    0        0        193492   11222    | 1      624469         5777919      -       
8      16     1      1/8    | 0.18      1.80      3.56      0.87      6.43         24.22     | 73793    0        0        193492   11222    | 8      624469         5777919      -       
8      16     2      2/8    | 0.18      1.83      3.17      0.83      6.02         25.86     | 73793    0        71262    122230   11222    | 16     624469         5777919      -       
8      16     3      3/8    | 0.18      1.75      2.82      0.83      5.60         27.82     | 73793    0        128150   65342    11222    | 24     624469         5777919      -       
8      16     4      4/8    | 0.18      1.76      2.79      0.82      5.57         27.98     | 73793    0        150936   42556    11222    | 32     624469         5777919      -       
8      16     5      5/8    | 0.17      1.75      2.52      0.84      5.30         29.41     | 73793    0        171771   21721    11222    | 40     624469         5777919      -       
8      16     6      6/8    | 0.18      1.81      2.47      0.86      5.34         29.19     | 73793    0        183334   10158    11222    | 48     624469         5777919      -       
8      16     7      7/8    | 0.18      1.81      2.42      0.86      5.28         29.48     | 73793    0        191877   1615     11222    | 56     624469         5777919      -       
8      16     8      8/8    | 0.17      1.77      2.31      0.86      5.12         30.40     | 73793    0        204714   0        0        | 64     624469         5777919      -       
8      32     0      0/8    | 0.17      1.94      5.84      0.82      8.79         17.72     | 73793    0        0        193492   11222    | 1      692673         5777919      -       
8      32     1      1/8    | 0.17      1.91      5.83      0.85      8.76         17.78     | 73793    0        0        193492   11222    | 8      692673         5777919      -       
8      32     2      2/8    | 0.17      2.00      4.81      0.86      7.86         19.82     | 73793    0        71262    122230   11222    | 16     692673         5777919      -       
8      32     3      3/8    | 0.17      2.03      3.87      0.83      6.92         22.52     | 73793    0        128150   65342    11222    | 24     692673         5777919      -       
8      32     4      4/8    | 0.16      1.94      3.42      0.81      6.35         24.54     | 73793    0        150936   42556    11222    | 32     692673         5777919      -       
8      32     5      5/8    | 0.17      1.96      3.04      0.83      6.01         25.93     | 73793    0        171771   21721    11222    | 40     692673         5777919      -       
8      32     6      6/8    | 0.17      1.88      2.80      0.88      5.74         27.13     | 73793    0        183334   10158    11222    | 48     692673         5777919      -       
8      32     7      7/8    | 0.17      1.95      2.64      0.84      5.61         27.75     | 73793    0        191877   1615     11222    | 56     692673         5777919      -       
8      32     8      8/8    | 0.17      1.87      2.36      0.83      5.23         29.79     | 73793    0        204714   0        0        | 64     692673         5777919      -       
16     8      0      0/8    | 0.17      1.24      3.39      0.58      5.38         28.95     | 55007    0        0        61172    295      | 1      186646         5777919      -       
16     8      1      1/8    | 0.18      1.26      3.36      0.63      5.44         28.64     | 55007    0        0        61172    295      | 32     186646         5777919      -       
16     8      2      2/8    | 0.18      1.26      2.97      0.61      5.03         31.00     | 55007    0        30081    31091    295      | 64     186646         5777919      -       
16     8      3      3/8    | 0.18      1.25      2.72      0.61      4.79         32.54     | 55007    0        44400    16772    295      | 96     186646         5777919      -       
16     8      4      4/8    | 0.18      1.24      2.59      0.61      4.62         33.69     | 55007    0        52260    8912     295      | 128    186646         5777919      -       
16     8      5      5/8    | 0.18      1.22      2.50      0.60      4.52         34.48     | 55007    0        57313    3859     295      | 160    186646         5777919      -       
16     8      6      6/8    | 0.17      1.22      2.47      0.60      4.47         34.85     | 55007    0        59723    1449     295      | 192    186646         5777919      -       
16     8      7      7/8    | 0.19      1.26      2.48      0.63      4.56         34.14     | 55007    0        60742    430      295      | 224    186646         5777919      -       
16     8      8      8/8    | 0.18      1.22      2.41      0.61      4.43         35.17     | 55007    0        61467    0        0        | 256    186646         5777919      -       
16     16     0      0/8    | 0.15      1.07      3.43      0.66      5.33         29.26     | 55007    0        0        61172    295      | 1      198952         5777919      -       
16     16     1      1/8    | 0.15      1.07      3.39      0.66      5.29         29.46     | 55007    0        0        61172    295      | 32     198952         5777919      -       
16     16     2      2/8    | 0.16      1.10      2.85      0.67      4.79         32.53     | 55007    0        30081    31091    295      | 64     198952         5777919      -       
16     16     3      3/8    | 0.16      1.10      2.62      0.67      4.56         34.19     | 55007    0        44400    16772    295      | 96     198952         5777919      -       
16     16     4      4/8    | 0.16      1.08      2.50      0.69      4.45         35.03     | 55007    0        52260    8912     295      | 128    198952         5777919      -       
16     16     5      5/8    | 0.16      1.08      2.51      0.67      4.44         35.08     | 55007    0        57313    3859     295      | 160    198952         5777919      -       
16     16     6      6/8    | 0.16      1.08      2.52      0.66      4.43         35.18     | 55007    0        59723    1449     295      | 192    198952         5777919      -       
16     16     7      7/8    | 0.16      1.10      2.62      0.69      4.58         33.98     | 55007    0        60742    430      295      | 224    198952         5777919      -       
16     16     8      8/8    | 0.16      1.08      2.24      0.66      4.16         37.50     | 55007    0        61467    0        0        | 256    198952         5777919      -       
16     32     0      0/8    | 0.15      1.01      5.77      0.69      7.65         20.37     | 55007    0        0        61172    295      | 1      212202         5777919      -       
16     32     1      1/8    | 0.14      1.00      5.78      0.66      7.60         20.50     | 55007    0        0        61172    295      | 32     212202         5777919      -       
16     32     2      2/8    | 0.14      1.02      4.10      0.66      5.94         26.24     | 55007    0        30081    31091    295      | 64     212202         5777919      -       
16     32     3      3/8    | 0.14      0.99      3.31      0.64      5.09         30.61     | 55007    0        44400    16772    295      | 96     212202         5777919      -       
16     32     4      4/8    | 0.15      0.99      2.84      0.70      4.69         33.20     | 55007    0        52260    8912     295      | 128    212202         5777919      -       
16     32     5      5/8    | 0.14      1.00      2.57      0.65      4.38         35.56     | 55007    0        57313    3859     295      | 160    212202         5777919      -       
16     32     6      6/8    | 0.15      1.01      2.52      0.69      4.39         35.51     | 55007    0        59723    1449     295      | 192    212202         5777919      -       
16     32     7      7/8    | 0.15      1.00      2.59      0.67      4.42         35.25     | 55007    0        60742    430      295      | 224    212202         5777919      -       
16     32     8      8/8    | 0.15      0.99      2.24      0.67      4.06         38.37     | 55007    0        61467    0        0        | 256    212202         5777919      -       
32     8      0      0/8    | 0.18      1.26      4.79      0.52      6.77         23.01     | 26904    0        0        16994    11       | 1      57737          5777919      -       
32     8      1      1/8    | 0.18      1.24      4.79      0.48      6.71         23.23     | 26904    0        0        16994    11       | 128    57737          5777919      -       
32     8      2      2/8    | 0.17      1.30      3.68      0.49      5.66         27.54     | 26904    0        10644    6350     11       | 256    57737          5777919      -       
32     8      3      3/8    | 0.17      1.25      3.43      0.49      5.35         29.12     | 26904    0        14709    2285     11       | 384    57737          5777919      -       
32     8      4      4/8    | 0.18      1.27      3.45      0.49      5.39         28.88     | 26904    0        16150    844      11       | 512    57737          5777919      -       
32     8      5      5/8    | 0.17      1.29      3.33      0.47      5.29         29.47     | 26904    0        16725    269      11       | 640    57737          5777919      -       
32     8      6      6/8    | 0.18      1.27      3.45      0.51      5.43         28.68     | 26904    0        16923    71       11       | 768    57737          5777919      -       
32     8      7      7/8    | 0.17      1.30      3.29      0.49      5.27         29.59     | 26904    0        16976    18       11       | 896    57737          5777919      -       
32     8      8      8/8    | 0.18      1.31      3.25      0.50      5.26         29.61     | 26904    0        17005    0        0        | 1024   57737          5777919      -       
32     16     0      0/8    | 0.15      1.05      5.71      0.49      7.42         21.01     | 26904    0        0        16994    11       | 1      60185          5777919      -       
32     16     1      1/8    | 0.15      1.04      5.70      0.49      7.40         21.06     | 26904    0        0        16994    11       | 128    60185          5777919      -       
32     16     2      2/8    | 0.15      1.08      3.79      0.48      5.51         28.25     | 26904    0        10644    6350     11       | 256    60185          5777919      -       
32     16     3      3/8    | 0.14      1.03      3.22      0.48      4.88         31.89     | 26904    0        14709    2285     11       | 384    60185          5777919      -       
32     16     4      4/8    | 0.16      1.04      3.06      0.50      4.77         32.65     | 26904    0        16150    844      11       | 512    60185          5777919      -       
32     16     5      5/8    | 0.15      1.06      3.08      0.49      4.79         32.53     | 26904    0        16725    269      11       | 640    60185          5777919      -       
32     16     6      6/8    | 0.15      1.01      3.05      0.48      4.71         33.04     | 26904    0        16923    71       11       | 768    60185          5777919      -       
32     16     7      7/8    | 0.15      1.04      2.75      0.52      4.48         34.78     | 26904    0        16976    18       11       | 896    60185          5777919      -       
32     16     8      8/8    | 0.15      1.02      2.76      0.48      4.43         35.16     | 26904    0        17005    0        0        | 1024   60185          5777919      -       
32     32     0      0/8    | 0.14      0.93      6.50      0.46      8.03         19.39     | 26904    0        0        16994    11       | 1      62897          5777919      -       
32     32     1      1/8    | 0.12      0.95      6.58      0.47      8.14         19.13     | 26904    0        0        16994    11       | 128    62897          5777919      -       
32     32     2      2/8    | 0.13      0.91      3.90      0.46      5.42         28.77     | 26904    0        10644    6350     11       | 256    62897          5777919      -       
32     32     3      3/8    | 0.13      0.93      3.12      0.43      4.62         33.71     | 26904    0        14709    2285     11       | 384    62897          5777919      -       
